# starting wavelength: 3711.834
# ending wavelength: 7523.947
# wav flux eflux
3.714870940056121526e+03 7.825763699006377250e-01 1.653344208684987215e+00
3.718585810996179134e+03 1.607565868767922179e+00 1.209441546123942945e+00
3.722304396807176545e+03 2.043255551563236239e+00 9.002235294006907251e-01
3.726026701203984885e+03 2.243028275565452923e+00 6.871395469104671916e-01
3.729752727905190113e+03 2.275234583546967393e+00 5.342767566663133572e-01
3.733482480633096657e+03 2.196779196009634560e+00 4.225547797815095152e-01
3.737215963113731050e+03 2.044018155025565164e+00 3.460504059074829830e-01
3.740953179076846027e+03 1.875517290618271549e+00 2.870525470880322949e-01
3.744694132255923705e+03 1.701412703249789882e+00 2.415510950868358375e-01
3.748438826388181042e+03 1.543970117804791986e+00 2.115577789593697522e-01
3.752187265214570289e+03 1.406437408040724701e+00 1.875181109432446092e-01
3.755939452479786269e+03 1.267294445339536946e+00 1.676639027859258835e-01
3.759695391932267285e+03 1.177552151948346726e+00 1.549530221182958412e-01
3.763455087324201031e+03 1.086989697680156519e+00 1.443170752563241455e-01
3.767218542411526414e+03 9.988284088146723860e-01 1.357372629188022539e-01
3.770985760953939007e+03 9.837916050297468296e-01 1.320698467266410436e-01
3.774756746714894234e+03 8.870910791098922665e-01 1.269483069369286843e-01
3.778531503461610555e+03 8.363652195652031551e-01 1.227814036870771008e-01
3.782310034965073100e+03 7.829018460001320179e-01 1.209838509791056338e-01
3.786092345000039586e+03 7.978278371832661087e-01 1.157634452131462433e-01
3.789878437345040766e+03 8.470584848250860555e-01 9.944157687421868730e-02
3.793668315782387253e+03 9.401937515734367645e-01 8.403441329244384916e-02
3.797461984098170888e+03 9.059994154655457432e-01 7.540459690949137539e-02
3.801259446082270188e+03 8.876636793569862016e-01 6.246783460349568384e-02
3.805060705528353537e+03 8.940578305196241748e-01 6.124020418356306700e-02
3.808865766233883278e+03 9.198120446493922575e-01 5.874695069842011952e-02
3.812674632000118436e+03 9.424155431809465577e-01 5.843707781958012992e-02
3.816487306632119726e+03 9.750022626482465204e-01 5.832675141361089166e-02
3.820303793938753188e+03 9.455593223268078384e-01 5.934339412436746841e-02
3.824124097732693372e+03 9.822939923027746989e-01 6.123075422129030387e-02
3.827948221830427428e+03 1.007814912760796489e+00 6.318787123846870968e-02
3.831776170052258749e+03 1.033456844138618713e+00 5.753801014762432303e-02
3.835607946222312421e+03 1.028129111848524069e+00 5.723963925971831124e-02
3.839443554168536139e+03 1.008846210650890418e+00 5.532324567740265486e-02
3.843282997722705659e+03 9.964349082297625504e-01 5.621166323421444844e-02
3.847126280720429804e+03 1.014855799989412111e+00 5.570597455607309567e-02
3.850973407001151372e+03 1.042509803665452983e+00 5.456345265118081600e-02
3.854824380408153957e+03 1.020020612913403513e+00 5.675947839674380657e-02
3.858679204788563311e+03 1.008626547159263698e+00 5.611099091996363253e-02
3.862537883993353262e+03 9.803950125219191847e-01 5.581424077759971486e-02
3.866400421877347981e+03 1.003934873208655709e+00 5.793466770596590598e-02
3.870266822299226533e+03 1.019807621017191801e+00 5.761969263723658308e-02
3.874137089121526969e+03 9.998350673052176507e-01 5.610144989525937820e-02
3.878011226210649966e+03 9.885556143878191371e-01 5.652742558184899180e-02
3.881889237436861549e+03 1.008335398055328014e+00 5.616906515613407508e-02
3.885771126674299921e+03 1.073793126970590928e+00 5.973994573246128870e-02
3.889656897800975457e+03 1.108879012258368713e+00 6.211116441849163367e-02
3.893546554698777527e+03 1.129163406532921243e+00 6.008930420377193993e-02
3.897440101253477678e+03 1.118104516415344030e+00 5.828465656106431719e-02
3.901337541354732366e+03 1.097768394849934381e+00 5.716992233615034169e-02
3.905238878896088409e+03 1.033756870068435196e+00 5.850217696893503239e-02
3.909144117774985716e+03 9.684388481336330123e-01 6.120275578624299190e-02
3.913053261892762293e+03 8.881617381465016781e-01 6.270268465910021349e-02
3.916966315154656058e+03 8.029990704247300659e-01 6.489697520146250898e-02
3.920883281469812118e+03 7.487003341393123623e-01 6.315180647044819906e-02
3.924804164751283224e+03 7.200650934748242804e-01 6.253340405158182291e-02
3.928728968916035683e+03 6.917747091511053936e-01 6.268793734227823267e-02
3.932657697884953450e+03 6.696114720434489520e-01 6.234866773187481420e-02
3.936590355582839493e+03 6.680156764764120236e-01 6.265551723081638769e-02
3.940526945938423523e+03 6.545784253646776962e-01 6.184616096387206968e-02
3.944467472884363360e+03 6.940888803600019363e-01 5.851750994744189110e-02
3.948411940357249023e+03 7.034608777248777534e-01 5.829071662677574872e-02
3.952360352297607733e+03 7.371951182622170640e-01 5.980307944264792730e-02
3.956312712649906643e+03 7.539220983966581358e-01 5.957365794046581148e-02
3.960269025362557841e+03 7.848360160945831998e-01 5.694338739921798315e-02
3.964229294387921527e+03 8.373211778836618935e-01 5.593588305285869533e-02
3.968193523682310570e+03 8.018893460084606239e-01 6.089164748731752674e-02
3.972161717205994591e+03 8.022603963076682110e-01 6.093010189473106047e-02
3.976133878923201792e+03 8.080725270770722224e-01 6.019538471551958564e-02
3.980110012802126221e+03 8.037745900143801192e-01 5.792565991915730322e-02
3.984090122814929600e+03 7.654332356756907707e-01 5.444290676977017740e-02
3.988074212937745870e+03 7.638807448821575141e-01 5.496318109971165544e-02
3.992062287150684824e+03 7.957968812564296668e-01 5.505801531922756287e-02
3.996054349437837118e+03 8.333475137260714094e-01 5.572600690975890170e-02
4.000050403787276082e+03 8.759267556753789208e-01 5.521289365971875779e-02
4.004050454191064546e+03 9.128196244972256457e-01 5.396101738727911157e-02
4.008054504645257111e+03 9.651966336633891475e-01 5.392716937561275320e-02
