# starting wavelength: 4242.787
# ending wavelength: 6938.205
# wav flux eflux
4.243029342224606808e+03 1.300623036415182066e+00 7.248780517216711905e-01
4.247272371566832589e+03 1.335701404082101140e+00 5.540590716310774821e-01
4.251519643938400804e+03 1.289482586883881732e+00 4.220605061252602486e-01
4.255771163582340705e+03 1.292433906914892683e+00 3.396533421609821968e-01
4.260026934745924336e+03 1.280179406970534117e+00 2.641622553772264848e-01
4.264286961680671993e+03 1.258201727152224558e+00 2.115986107645872749e-01
4.268551248642354039e+03 1.226250092893415244e+00 2.057723802600083529e-01
4.272819799890998183e+03 1.226932869447589614e+00 1.682418130329947636e-01
4.277092619690890388e+03 1.242471109914003335e+00 1.419853119326670854e-01
4.281369712310583054e+03 1.253246127657584807e+00 1.220232714270154534e-01
4.285651082022895025e+03 1.285810598911658165e+00 1.064973592040271005e-01
4.289936733104918858e+03 1.300948085761751916e+00 9.595293204473516469e-02
4.294226669838025373e+03 1.322023623521295876e+00 8.801090884397315406e-02
4.298520896507864563e+03 1.370532959379072047e+00 8.226849211199167844e-02
4.302819417404373780e+03 1.382223104174295170e+00 8.013439457520632470e-02
4.307122236821779552e+03 1.435992481180398794e+00 7.714460184951327237e-02
4.311429359058603040e+03 1.503128998247273529e+00 7.521708968036798504e-02
4.315740788417662770e+03 1.563352290497659780e+00 7.426940797734611632e-02
4.320056529206081905e+03 1.632852438630178149e+00 7.546677272965268690e-02
4.324376585735290064e+03 1.686623362945165683e+00 7.724558287859470407e-02
4.328700962321026054e+03 1.765561539714852746e+00 7.943517003082803396e-02
4.333029663283348782e+03 1.792825999554436223e+00 8.204552494636468962e-02
4.337362692946633615e+03 1.837465757623624851e+00 8.142115168721560103e-02
4.341700055639581478e+03 1.841110646600735645e+00 8.299818794229250896e-02
4.346041755695222491e+03 1.825578057127974274e+00 8.446435115915977565e-02
4.350387797450919606e+03 1.842637053400498992e+00 8.515704646571631287e-02
4.354738185248371337e+03 1.805843422737028803e+00 8.755034026697512684e-02
4.359092923433621763e+03 1.763821588057800094e+00 8.843052984755546408e-02
4.363452016357056891e+03 1.714719169050512582e+00 8.895089015468653215e-02
4.367815468373414660e+03 1.704692964978645531e+00 8.705878258135225922e-02
4.372183283841789489e+03 1.640016005106319064e+00 8.775982160485407135e-02
4.376555467125633186e+03 1.566341230252826566e+00 8.862308125440755691e-02
4.380932022592760404e+03 1.518529083543546543e+00 9.155783643972245645e-02
4.385312954615354101e+03 1.471557484372687297e+00 9.340599128679090424e-02
4.389698267569970994e+03 1.406907563976200093e+00 9.357555445573088881e-02
4.394087965837542470e+03 1.359680704189321521e+00 9.404097766304676809e-02
4.398482053803381859e+03 1.243517421841639603e+00 9.334802793866175952e-02
4.402880535857186260e+03 1.176239119128710042e+00 9.256574268242018233e-02
4.407283416393044718e+03 1.132889535028660521e+00 9.072756191013972571e-02
4.411690699809440048e+03 1.117340328685428208e+00 8.031424190457517320e-02
4.416102390509250654e+03 1.112108857476453716e+00 7.899012405258824809e-02
4.420518492899761441e+03 1.123393873438692570e+00 7.973393958292333827e-02
4.424939011392662906e+03 1.107667977626642486e+00 7.782267271130802189e-02
4.429363950404056595e+03 1.102312098907308080e+00 7.927869682707165688e-02
4.433793314354462382e+03 1.050826754071959579e+00 7.125466840534534774e-02
4.438227107668818462e+03 1.108903955060134949e+00 7.634943678428764147e-02
4.442665334776488635e+03 1.139000173851751452e+00 7.787694126489036472e-02
4.447108000111265937e+03 1.174861660600700519e+00 8.060270227859964165e-02
4.451555108111379013e+03 1.247910031457378555e+00 7.732162781122449424e-02
4.456006663219492111e+03 1.235299936930400300e+00 7.961995131379644153e-02
4.460462669882713271e+03 1.269458855423313048e+00 7.687624974942243450e-02
4.464923132552597053e+03 1.221897469875581788e+00 8.301577891032431433e-02
4.469388055685150903e+03 1.222746669515528462e+00 8.602903497721889337e-02
4.473857443740837880e+03 1.218601710399487725e+00 8.382008373436794502e-02
4.478331301184580298e+03 1.183747473998358668e+00 7.713793015006845111e-02
4.482809632485766087e+03 1.110334880342408015e+00 6.907086481939388178e-02
4.487292442118253348e+03 1.121955226287574048e+00 6.906811367499862686e-02
4.491779734560373072e+03 1.214009915849492360e+00 6.178585706931224997e-02
4.496271514294934605e+03 1.261854601057807557e+00 6.327962222743621634e-02
4.500767785809231100e+03 1.332714009389450949e+00 6.340905101217485240e-02
4.505268553595042249e+03 1.358770429745787212e+00 6.460847674016671760e-02
4.509773822148638828e+03 1.364156728778810335e+00 6.577104329865217369e-02
4.514283595970789065e+03 1.312942357177688812e+00 7.320562688967786891e-02
4.518797879566761367e+03 1.289954604274893946e+00 7.339085617065518874e-02
4.523316677446328868e+03 1.229221944449683246e+00 7.403329848256580414e-02
4.527839994123776705e+03 1.164645239866478610e+00 7.235251130837161426e-02
4.532367834117902021e+03 1.142079956960327491e+00 6.930578100209747183e-02
4.536900201952022144e+03 1.197733238492665109e+00 7.348813468655930603e-02
4.541437102153975502e+03 1.217545484252986920e+00 7.390553130870859688e-02
4.545978539256130716e+03 1.268915900123704921e+00 7.425433463915273591e-02
4.550524517795388419e+03 1.306274314189339147e+00 7.106772147601400635e-02
4.555075042313184895e+03 1.385192024440614400e+00 6.904818935702636273e-02
4.559630117355500261e+03 1.389597652173655717e+00 6.882076572883197296e-02
4.564189747472856652e+03 1.437534661031205641e+00 6.495548155599630002e-02
4.568753937220330954e+03 1.452082379202864093e+00 6.350076794334919006e-02
4.573322691157552981e+03 1.460865156231660356e+00 6.226346635117922801e-02
4.577896013848711846e+03 1.461612765771095557e+00 6.444886832571296298e-02
4.582473909862562323e+03 1.398890927080537860e+00 6.474375918005474684e-02
4.587056383772426670e+03 1.363725474826588568e+00 6.456309569419747818e-02
4.591643440156200086e+03 1.359815857533867911e+00 6.267666573039665234e-02
4.596235083596357981e+03 1.302446209288614209e+00 6.888525879420119569e-02
4.600831318679955984e+03 1.266396024573902768e+00 6.439704503638971067e-02
4.605432149998637215e+03 1.278933776841338910e+00 6.371137129249586362e-02
4.610037582148637739e+03 1.328473459266188206e+00 7.496850874394715702e-02
4.614647619730787483e+03 1.275065000873350174e+00 7.823189094580042247e-02
4.619262267350520233e+03 1.275421232865634469e+00 7.805140810177310651e-02
4.623881529617872729e+03 1.251105157577329763e+00 7.658320735513485245e-02
4.628505411147491941e+03 1.247308316708554354e+00 7.644510491813825970e-02
4.633133916558640522e+03 1.234050767764756085e+00 7.302452761419656047e-02
4.637767050475200449e+03 1.297143360827903491e+00 7.483855795566685121e-02
4.642404817525677572e+03 1.283175408275255558e+00 7.481683265803355798e-02
4.647047222343205249e+03 1.215214274755738622e+00 8.472356466165739675e-02
4.651694269565549803e+03 1.206745271921954465e+00 8.145711577211642296e-02
4.656345963835116891e+03 1.206926247507721150e+00 8.452843742889044887e-02
4.661002309798953320e+03 1.163483568609722241e+00 8.890501384974855426e-02
4.665663312108753416e+03 1.182095938910107336e+00 8.528939812066169135e-02
4.670328975420864481e+03 1.184912760144816612e+00 8.559790570797642939e-02
4.674999304396286789e+03 1.156389844187552862e+00 9.392178101343331975e-02
4.679674303700684504e+03 1.154016013627429782e+00 9.236031083138392106e-02
4.684353978004386590e+03 1.127311184314499171e+00 8.728165968955624299e-02
4.689038331982392265e+03 1.140410398677564441e+00 9.147052290946607045e-02
4.693727370314376458e+03 1.160390701433732907e+00 8.910034385382194222e-02
4.698421097684692540e+03 1.180932383325127066e+00 8.475968802787883782e-02
4.703119518782378691e+03 1.190406746313899644e+00 8.182215032061543325e-02
4.707822638301162442e+03 1.250004458227401694e+00 8.450241010958457755e-02
4.712530460939465229e+03 1.246283370169876559e+00 8.319291226158709307e-02
4.717242991400406027e+03 1.216577233968672900e+00 8.202136805842208389e-02
4.721960234391808626e+03 1.180093558398426001e+00 8.228608269371291695e-02
4.726682194626201635e+03 1.184193811759987058e+00 7.956921983143910859e-02
4.731408876820829391e+03 1.166581616789519771e+00 8.007728471336975073e-02
4.736140285697651962e+03 1.086456270054159123e+00 7.283608161588346619e-02
4.740876425983350600e+03 1.045735780480873567e+00 6.972637230229382366e-02
4.745617302409335934e+03 1.017198458698554520e+00 7.180905255624241146e-02
4.750362919711747054e+03 9.779840866309192915e-01 6.851550012829230041e-02
4.755113282631459697e+03 9.500327698243804520e-01 6.916880674840758525e-02
4.759868395914093526e+03 9.663361177914187028e-01 7.056375437361432634e-02
4.764628264310008490e+03 9.450180194909216791e-01 6.875757571849491767e-02
4.769392892574320285e+03 9.385422386251840443e-01 6.262468904038567818e-02
4.774162285466896719e+03 9.985529179611918327e-01 6.334532503772960510e-02
4.778936447752364984e+03 1.065761144141447847e+00 5.943533866388546472e-02
4.783715384200118933e+03 1.120677297997073607e+00 6.260006090443245852e-02
