# starting wavelength: 4327.928
# ending wavelength: 6825.192
# wav flux eflux
4.328700962321026054e+03 8.083312023209829889e-01 2.998054439667399707e-01
4.333029663283348782e+03 9.182985111710677550e-01 2.180049577916233494e-01
4.337362692946633615e+03 9.824400144448721672e-01 1.632746739564359395e-01
4.341700055639581478e+03 1.015929307527052794e+00 1.281254235912435702e-01
4.346041755695222491e+03 1.036567881972866756e+00 1.006856725742337477e-01
4.350387797450919606e+03 1.049453930426018644e+00 7.955568915106087102e-02
4.354738185248371337e+03 1.045265884852951244e+00 6.347503005009319521e-02
4.359092923433621763e+03 1.029447507289090069e+00 5.192240355894414683e-02
4.363452016357056891e+03 1.008140925952700551e+00 4.364238784198295334e-02
4.367815468373414660e+03 9.865869189969028730e-01 3.742278579286149182e-02
4.372183283841789489e+03 9.731115196638341347e-01 3.365694229407166504e-02
4.376555467125633186e+03 9.633670416917264889e-01 3.095242268821646672e-02
4.380932022592760404e+03 9.492602724471267406e-01 2.820513057804863513e-02
4.385312954615354101e+03 9.390322393458058192e-01 2.652435015848818994e-02
4.389698267569970994e+03 9.331037177664702753e-01 2.533378044836973042e-02
4.394087965837542470e+03 9.257705307092602975e-01 2.419096913163629875e-02
4.398482053803381859e+03 9.252804194177398633e-01 2.349276700176723687e-02
4.402880535857186260e+03 9.384655301271627170e-01 2.150706426673501884e-02
4.407283416393044718e+03 9.388459535860025351e-01 2.111514380044966083e-02
4.411690699809440048e+03 9.385509402039358129e-01 2.130537555251213813e-02
4.416102390509250654e+03 9.451186736995268456e-01 2.031176929247466290e-02
4.420518492899761441e+03 9.420859750584809067e-01 2.059081686277088735e-02
4.424939011392662906e+03 9.398586266875269546e-01 2.128288989899683806e-02
4.429363950404056595e+03 9.541129770687505340e-01 2.094394391608600525e-02
4.433793314354462382e+03 9.483665376375639555e-01 2.133366177700954380e-02
4.438227107668818462e+03 9.551217785546300965e-01 2.124524035487320231e-02
4.442665334776488635e+03 9.603342893040051065e-01 2.189742957630910758e-02
4.447108000111265937e+03 9.605161510428594784e-01 2.209371522078961217e-02
4.451555108111379013e+03 9.408250445309455090e-01 2.216410284008121789e-02
4.456006663219492111e+03 9.293732012641375828e-01 2.255868057501259766e-02
4.460462669882713271e+03 9.188850272865020097e-01 2.230477006669849549e-02
4.464923132552597053e+03 9.177365209076095987e-01 2.293226515811194050e-02
4.469388055685150903e+03 9.169132101119661371e-01 2.274633059563913734e-02
4.473857443740837880e+03 9.153962913984673433e-01 2.303945532401594290e-02
4.478331301184580298e+03 9.225367620930434720e-01 2.262883158479830209e-02
4.482809632485766087e+03 9.331988972159945828e-01 2.223471301714567694e-02
4.487292442118253348e+03 9.411080135286234993e-01 2.222245470452902799e-02
4.491779734560373072e+03 9.329618768026031184e-01 2.194641744677071696e-02
4.496271514294934605e+03 9.337579861307059303e-01 2.210297453494861411e-02
4.500767785809231100e+03 9.335129391866309190e-01 2.194768703990928119e-02
4.505268553595042249e+03 9.479653376750076799e-01 2.133814790879236603e-02
4.509773822148638828e+03 9.667855198050276933e-01 2.246155448451108913e-02
4.514283595970789065e+03 9.700391437393607319e-01 2.269385091897693080e-02
4.518797879566761367e+03 9.710615531656818789e-01 2.278133098966646231e-02
4.523316677446328868e+03 9.722439697067617459e-01 2.249813024964094146e-02
4.527839994123776705e+03 9.760727086500392558e-01 2.230297302158788797e-02
4.532367834117902021e+03 9.613562830993251929e-01 2.277418929138624176e-02
4.536900201952022144e+03 9.565635454252889858e-01 2.296931466140511580e-02
4.541437102153975502e+03 9.359816082061855891e-01 2.275514062045065969e-02
4.545978539256130716e+03 9.246141841191268806e-01 2.140947830130059820e-02
4.550524517795388419e+03 9.055833000837502089e-01 2.226246395105837064e-02
4.555075042313184895e+03 9.037450530109284452e-01 2.237897802024866462e-02
4.559630117355500261e+03 9.114794741161084124e-01 2.179260948715011983e-02
4.564189747472856652e+03 9.063352450160224727e-01 2.099561865105076947e-02
4.568753937220330954e+03 9.148085547979810661e-01 2.179281963946366751e-02
4.573322691157552981e+03 9.290078577975559027e-01 2.134354287635784053e-02
4.577896013848711846e+03 9.519201488874899919e-01 2.144580591865376598e-02
4.582473909862562323e+03 9.705880291087533029e-01 2.079656464363093676e-02
4.587056383772426670e+03 9.967260203957480913e-01 2.031895123327751018e-02
4.591643440156200086e+03 1.018051379104560228e+00 2.013600411286952871e-02
4.596235083596357981e+03 1.022451646372741552e+00 2.030949589612049411e-02
4.600831318679955984e+03 1.014718804712162470e+00 2.109328404554814546e-02
4.605432149998637215e+03 1.014246533463012412e+00 2.212961443805907050e-02
4.610037582148637739e+03 1.013892430169140102e+00 2.215311157388639290e-02
4.614647619730787483e+03 1.012680146274422821e+00 2.225232513975485688e-02
4.619262267350520233e+03 1.010435994060712606e+00 2.208298756411378183e-02
4.623881529617872729e+03 1.010654939190876789e+00 2.215465994785436113e-02
4.628505411147491941e+03 1.020223048897617613e+00 2.263155724714433631e-02
4.633133916558640522e+03 1.045816754865343201e+00 2.172654880980042988e-02
4.637767050475200449e+03 1.051962522815372392e+00 2.075704786372525520e-02
4.642404817525677572e+03 1.054804143335198230e+00 2.073081709631071842e-02
4.647047222343205249e+03 1.052614993829125822e+00 2.083843098497920390e-02
4.651694269565549803e+03 1.050598281491707864e+00 2.019245291197566822e-02
4.656345963835116891e+03 1.060386571393894473e+00 1.966943284727905999e-02
4.661002309798953320e+03 1.052476236931906950e+00 1.894765546208937793e-02
4.665663312108753416e+03 1.041358332036346646e+00 1.882009090452687466e-02
4.670328975420864481e+03 1.041598551963036634e+00 1.878982471368573215e-02
4.674999304396286789e+03 1.045874969127695620e+00 2.007121567569367104e-02
4.679674303700684504e+03 1.056415756482687263e+00 1.876490698947825414e-02
4.684353978004386590e+03 1.060495869600429186e+00 1.849733731575660400e-02
4.689038331982392265e+03 1.055809429301409308e+00 1.831220608930974464e-02
4.693727370314376458e+03 1.052119287750142629e+00 1.837112345388493620e-02
4.698421097684692540e+03 1.054754798104473146e+00 1.726980967199616412e-02
4.703119518782378691e+03 1.045964444905336688e+00 1.795475738693089185e-02
4.707822638301162442e+03 1.039762152300544251e+00 1.991281501801224485e-02
4.712530460939465229e+03 1.034383327020718779e+00 1.927444837270215344e-02
4.717242991400406027e+03 1.035951694501809017e+00 1.868083445170428541e-02
4.721960234391808626e+03 1.044312530663844329e+00 1.840576867231652480e-02
4.726682194626201635e+03 1.062981445935947455e+00 1.858323026245369686e-02
4.731408876820829391e+03 1.069166729618245437e+00 1.854689497116095501e-02
4.736140285697651962e+03 1.073899037708586190e+00 1.885510787635786764e-02
4.740876425983350600e+03 1.068764514786322728e+00 1.873002584821216107e-02
4.745617302409335934e+03 1.066624824770849411e+00 1.840269918739234969e-02
4.750362919711747054e+03 1.048451865557036733e+00 1.871217516342986789e-02
4.755113282631459697e+03 1.037540342236160429e+00 1.907055526409560248e-02
