# starting wavelength: 3293.413
# ending wavelength: 10379.242
# wav flux eflux
3.294992518429529355e+03 6.149072440148058982e-01 2.702803314743998930e-01
3.298287510947960072e+03 5.757136719527877755e-01 1.983697763979650197e-01
3.301585798458909267e+03 5.277044544898311651e-01 1.567985671792950231e-01
3.304887384257369376e+03 4.929263945192045582e-01 1.198726845613450748e-01
3.308192271641627485e+03 4.831725797022452529e-01 9.551856281501990009e-02
3.311500463913270323e+03 4.688733717007886881e-01 7.812002928786583589e-02
3.314811964377184722e+03 4.682412975455426118e-01 6.540007079258700062e-02
3.318126776341563072e+03 4.825464431833479950e-01 5.376282619587623157e-02
3.321444903117905596e+03 4.978678555901435709e-01 4.508272983290544794e-02
3.324766348021024896e+03 5.114078387637880363e-01 3.873707946659120382e-02
3.328091114369046863e+03 5.189627134271520559e-01 3.471820251006970531e-02
3.331419205483417045e+03 5.096131070449092526e-01 3.461481075482104180e-02
3.334750624688901553e+03 5.076690910362002818e-01 3.166519302784229911e-02
3.338085375313591612e+03 5.054722701656062522e-01 2.936452304798855065e-02
3.341423460688906289e+03 4.890293198164781807e-01 2.914523929628896892e-02
3.344764884149596128e+03 4.962826956889450636e-01 2.759831113720051174e-02
3.348109649033746791e+03 5.016079559407435884e-01 2.663471806823582491e-02
3.351457758682781787e+03 4.881488339834549883e-01 2.685866828126143649e-02
3.354809216441465651e+03 4.966536992739972733e-01 2.653419818088303614e-02
3.358164025657908041e+03 5.022514804229579743e-01 2.610766314977760669e-02
3.361522189683567376e+03 4.983372847823841489e-01 2.464102218585505558e-02
3.364883711873251741e+03 5.025434784359567031e-01 2.451181402223002320e-02
3.368248595585126168e+03 5.056964710404439067e-01 2.420568193738622045e-02
3.371616844180712633e+03 5.129445418585167893e-01 2.412448700965842685e-02
3.374988461024894150e+03 5.211646264466749390e-01 2.403726186443675555e-02
3.378363449485920228e+03 5.245538984868929333e-01 2.320190289141682571e-02
3.381741812935407324e+03 5.357691671137595479e-01 2.326400919439349999e-02
3.385123554748343849e+03 5.428863938346540907e-01 2.340228802848045089e-02
3.388508678303093347e+03 5.497438280055682025e-01 2.279686198668378835e-02
3.391897186981397681e+03 5.588803788011352802e-01 2.277340915175316699e-02
3.395289084168380214e+03 5.599964040284847178e-01 2.320276467366537074e-02
3.398684373252549449e+03 5.800747703079400797e-01 2.121081819605819679e-02
3.402083057625803121e+03 5.899733087343003168e-01 2.112526529051729149e-02
3.405485140683430018e+03 5.980837221661856606e-01 2.045632379788147118e-02
3.408890625824114522e+03 6.171406153255767357e-01 2.092551658338085568e-02
3.412299516449939802e+03 6.252464629719527434e-01 2.108354963477595753e-02
3.415711815966390986e+03 6.241571370894833937e-01 2.083984587898459265e-02
3.419127527782358356e+03 6.207067140026636398e-01 2.006685963722010940e-02
3.422546655310141887e+03 6.242037734712571062e-01 2.026527984940400262e-02
3.425969201965453522e+03 6.258667517256829571e-01 2.012160875297153845e-02
3.429395171167419903e+03 6.237313533620081341e-01 1.960844531801551535e-02
3.432824566338588284e+03 6.235573694687908120e-01 1.927703521062807193e-02
3.436257390904928343e+03 6.317518630801800539e-01 1.811829443844849633e-02
3.439693648295834464e+03 6.441188181701760218e-01 1.772501893728797157e-02
3.443133341944131189e+03 6.523872155464901512e-01 1.797320399584130188e-02
3.446576475286076402e+03 6.595183313625541111e-01 1.771905471776132751e-02
3.450023051761363604e+03 6.646979669119570389e-01 1.765855836548763450e-02
3.453473074813126004e+03 6.611926586951504259e-01 1.744796491899348184e-02
3.456926547887940615e+03 6.659865788222248950e-01 1.713126313410566134e-02
3.460383474435829612e+03 6.603902427215291304e-01 1.682831628424566114e-02
3.463843857910266706e+03 6.602461752489112712e-01 1.674921712703247509e-02
3.467307701768178049e+03 6.683129613074417774e-01 1.604553411386511891e-02
3.470775009469947236e+03 6.610468428468524449e-01 1.604825350103876100e-02
3.474245784479418489e+03 6.527779362517546202e-01 1.558175894956523831e-02
3.477720030263898934e+03 6.517790164028778310e-01 1.454362737640737570e-02
3.481197750294164052e+03 6.516592527811063684e-01 1.416292343336622399e-02
3.484678948044459503e+03 6.507149645597476439e-01 1.398514531784357008e-02
3.488163626992504760e+03 6.494628473821768555e-01 1.417173554816925606e-02
3.491651790619498570e+03 6.518675640534520310e-01 1.408550316209416023e-02
3.495143442410119405e+03 6.507200902263725606e-01 1.481113070200329798e-02
3.498638585852530468e+03 6.523095732518494616e-01 1.479633602522039716e-02
3.502137224438384237e+03 6.544905101227426192e-01 1.473072122871904761e-02
3.505639361662823831e+03 6.539956069680438189e-01 1.467785806351163368e-02
3.509145001024487556e+03 6.542813110213635541e-01 1.458080793117400367e-02
3.512654146025513455e+03 6.546428521076181895e-01 1.376377024076340036e-02
3.516166800171540217e+03 6.603930152331712877e-01 1.349398444177437283e-02
3.519682966971712631e+03 6.714502362591393547e-01 1.368309248451364188e-02
3.523202649938685681e+03 6.831411670774292233e-01 1.368590583297142269e-02
3.526725852588625457e+03 7.004546589425166836e-01 1.257345696501478358e-02
3.530252578441215064e+03 7.071029621526960796e-01 1.235088939019395558e-02
3.533782831019657806e+03 7.151421257212867699e-01 1.244554427835148358e-02
3.537316613850678550e+03 7.253653771247041693e-01 1.210777490017519130e-02
3.540853930464530094e+03 7.396344492055870745e-01 1.181226360431385583e-02
3.544394784394995895e+03 7.417199816871494766e-01 1.161672863861042300e-02
3.547939179179392340e+03 7.427060122155355604e-01 1.199795107905002843e-02
3.551487118358572843e+03 7.442832314125101822e-01 1.184028711982133310e-02
3.555038605476932389e+03 7.473056321626144749e-01 1.155785561518270221e-02
3.558593644082410719e+03 7.500353806134408829e-01 1.123417305782917382e-02
3.562152237726494150e+03 7.509205097530133877e-01 1.125812142106540591e-02
3.565714389964221937e+03 7.475826005773237304e-01 1.141969418317697466e-02
3.569280104354187188e+03 7.391926892014415440e-01 1.143302027899851560e-02
3.572849384458542772e+03 7.361655757489813379e-01 1.162716612387045163e-02
3.576422233843002232e+03 7.292078126365603152e-01 1.168361686203543345e-02
3.579998656076846601e+03 7.363140930086330416e-01 1.288276509544930039e-02
3.583578654732924406e+03 7.334136111661875290e-01 1.340625429532325136e-02
3.587162233387658489e+03 7.183132285157567409e-01 1.363180642631359532e-02
3.590749395621047370e+03 7.119850743834227336e-01 1.366372330030121707e-02
3.594340145016669794e+03 7.110302185544427056e-01 1.355829424376685417e-02
3.597934485161687462e+03 7.118816565413158548e-01 1.399881220588155770e-02
3.601532419646850485e+03 7.091350258533819506e-01 1.446884518945190136e-02
3.605133952066498296e+03 7.163331239779663351e-01 1.428658464921986858e-02
3.608739086018566013e+03 7.203345703230692454e-01 1.419498128899012238e-02
3.612347825104585809e+03 7.289491098579135020e-01 1.359946711974115673e-02
3.615960172929691907e+03 7.323991169998803619e-01 1.313718247863031839e-02
3.619576133102622407e+03 7.415765160055148852e-01 1.304881282822989950e-02
3.623195709235726554e+03 7.519506353605645010e-01 1.301789113505995472e-02
3.626818904944963379e+03 7.641548875491853687e-01 1.326687721007679954e-02
3.630445723849909427e+03 7.800000441711585353e-01 1.321298498480867438e-02
3.634076169573760581e+03 8.008501267670834478e-01 1.401959062887820837e-02
3.637710245743335690e+03 8.195413622861714709e-01 1.393171830155689843e-02
3.641347955989080219e+03 8.321701990513264979e-01 1.422685746249959145e-02
3.644989303945070333e+03 8.465744159396402235e-01 1.418758147011242067e-02
3.648634293249016537e+03 8.632355949005291462e-01 1.405592919227097344e-02
3.652282927542266862e+03 8.730060820726146531e-01 1.398160152508356319e-02
3.655935210469810499e+03 8.829816381955579718e-01 1.407781413717769554e-02
3.659591145680281443e+03 8.933376031724110655e-01 1.435755370071385879e-02
3.663250736825963031e+03 9.043011599850983018e-01 1.476994329388860508e-02
3.666913987562790226e+03 9.139685126436111196e-01 1.517582899507499000e-02
3.670580901550354156e+03 9.215546627842829963e-01 1.517600037006029343e-02
3.674251482451905758e+03 9.229371887314894440e-01 1.509324053490917680e-02
3.677925733934358959e+03 9.249936103719466063e-01 1.478940675374987995e-02
3.681603659668294313e+03 9.208264611117904508e-01 1.511159073649605278e-02
3.685285263327964003e+03 9.256836174283021856e-01 1.489731805704239305e-02
3.688970548591293209e+03 9.387030724940511606e-01 1.382590457226546936e-02
3.692659519139885560e+03 9.327660729334201761e-01 1.251421588951664131e-02
3.696352178659026777e+03 9.305770252890978034e-01 1.262993441536064236e-02
3.700048530837686940e+03 9.355500131493031946e-01 1.318708325841158775e-02
3.703748579368525952e+03 9.443817655297825908e-01 1.362651524145981966e-02
3.707452327947895355e+03 9.473276160210166719e-01 1.320998987806956508e-02
3.711159780275844696e+03 9.560883734323138983e-01 1.306636509323239048e-02
3.714870940056121526e+03 9.640738353476647760e-01 1.296783981010754018e-02
3.718585810996179134e+03 9.661587319191935475e-01 1.302696566774348176e-02
3.722304396807176545e+03 9.654562259988901385e-01 1.333266643660145634e-02
3.726026701203984885e+03 9.649701004900526069e-01 1.352112536861797484e-02
3.729752727905190113e+03 9.601555164006427834e-01 1.373844093094339983e-02
3.733482480633096657e+03 9.530233716259938204e-01 1.383449487544793910e-02
3.737215963113731050e+03 9.457273153285415956e-01 1.462024478737423798e-02
3.740953179076846027e+03 9.404477805819444480e-01 1.502194674715567717e-02
3.744694132255923705e+03 9.299927119675610587e-01 1.496870793770166234e-02
3.748438826388181042e+03 9.176425975518501810e-01 1.592317130457180860e-02
3.752187265214570289e+03 9.218942134773201458e-01 1.711482211797579062e-02
3.755939452479786269e+03 9.174530219472472048e-01 1.763309934683843574e-02
3.759695391932267285e+03 9.168989017609919800e-01 1.763820878371874165e-02
3.763455087324201031e+03 9.232155435920619269e-01 1.730916584563016794e-02
3.767218542411526414e+03 9.443166770754329864e-01 1.745499120887661695e-02
3.770985760953939007e+03 9.648689742401709291e-01 1.754009210059788090e-02
3.774756746714894234e+03 9.899073955049851881e-01 1.779165068193604149e-02
3.778531503461610555e+03 1.007814122584784311e+00 1.791325062124117518e-02
3.782310034965073100e+03 1.022037740435145059e+00 1.785877649566614683e-02
3.786092345000039586e+03 1.036336527580605793e+00 1.774959247105106080e-02
3.789878437345040766e+03 1.047166849958548251e+00 1.819382524511695826e-02
3.793668315782387253e+03 1.054191811238525789e+00 1.847345257904931676e-02
3.797461984098170888e+03 1.053543245687461827e+00 1.829007350457019163e-02
3.801259446082270188e+03 1.052625005852743767e+00 1.816001939346987074e-02
3.805060705528353537e+03 1.038063616294485403e+00 1.814132094727369596e-02
3.808865766233883278e+03 1.022747650052472590e+00 1.746414818093010995e-02
3.812674632000118436e+03 1.013148450520813926e+00 1.731114906590825592e-02
3.816487306632119726e+03 1.000476636316647072e+00 1.735499215063771722e-02
3.820303793938753188e+03 9.930605112670443102e-01 1.736588890892560438e-02
3.824124097732693372e+03 9.935052896945453238e-01 1.762323115706231069e-02
3.827948221830427428e+03 9.877309658651109991e-01 1.764515231342048823e-02
3.831776170052258749e+03 9.853046052974002711e-01 1.763910643158925901e-02
3.835607946222312421e+03 9.859120854395886369e-01 1.746113258814907532e-02
3.839443554168536139e+03 9.936157977829607191e-01 1.759324012035948931e-02
3.843282997722705659e+03 9.957822089365127027e-01 1.736389645319095371e-02
3.847126280720429804e+03 1.016149288760617608e+00 1.539022185288580445e-02
3.850973407001151372e+03 1.020213593139458252e+00 1.402383856080468248e-02
3.854824380408153957e+03 1.027226663344661617e+00 1.273432802756430636e-02
3.858679204788563311e+03 1.032867385500916280e+00 1.270103328075456589e-02
3.862537883993353262e+03 1.051499847562649803e+00 1.153736906382242348e-02
3.866400421877347981e+03 1.054974792632917380e+00 1.188578658387948704e-02
3.870266822299226533e+03 1.047205203488736469e+00 1.191721356148146491e-02
3.874137089121526969e+03 1.041324550201051524e+00 1.202726145680220460e-02
3.878011226210649966e+03 1.032603878707406553e+00 1.205138127998246593e-02
3.881889237436861549e+03 1.025095467678745820e+00 1.114171597471558944e-02
3.885771126674299921e+03 9.960549002122810469e-01 1.874683671784272213e-02
3.889656897800975457e+03 9.740021297803074241e-01 2.211651067675073773e-02
3.893546554698777527e+03 1.001462213617688279e+00 3.194149130923459867e-02
3.897440101253477678e+03 1.023228780079604494e+00 3.732285994278949914e-02
3.901337541354732366e+03 1.019151371342609913e+00 3.891609882017761646e-02
3.905238878896088409e+03 1.002996508598963388e+00 3.858057977248761927e-02
3.909144117774985716e+03 9.695614242039636288e-01 3.869039776670160635e-02
3.913053261892762293e+03 9.266175290708190682e-01 3.958760986027772683e-02
3.916966315154656058e+03 8.663808761503281053e-01 4.269388377242806787e-02
3.920883281469812118e+03 8.071348766281976062e-01 4.639279492336407379e-02
3.924804164751283224e+03 7.493465920227858623e-01 5.176227015348497384e-02
3.928728968916035683e+03 7.529761207152293467e-01 5.338591632641409568e-02
3.932657697884953450e+03 7.643396200655480088e-01 5.784949788610387056e-02
3.936590355582839493e+03 7.927346391195316810e-01 6.357744102656834317e-02
3.940526945938423523e+03 8.066383893319231113e-01 6.483880116991540266e-02
3.944467472884363360e+03 8.264174233011940540e-01 6.448353597254651015e-02
3.948411940357249023e+03 8.463581875041794600e-01 6.323364145436802253e-02
3.952360352297607733e+03 8.644955035579858782e-01 6.244337093962151058e-02
3.956312712649906643e+03 8.844379256908209141e-01 6.391362703610757590e-02
3.960269025362557841e+03 9.001036169283822552e-01 6.437278262116076510e-02
3.964229294387921527e+03 8.956040090226524697e-01 6.531153074750824239e-02
3.968193523682310570e+03 8.527610944579844254e-01 5.607745856225790360e-02
3.972161717205994591e+03 8.089382664679054535e-01 4.415659895555282960e-02
3.976133878923201792e+03 8.341704616013569940e-01 4.534577916585262602e-02
3.980110012802126221e+03 8.753115476390181948e-01 4.589859346370558923e-02
3.984090122814929600e+03 9.295985338172341184e-01 4.535872145135744216e-02
3.988074212937745870e+03 9.990819675385331777e-01 4.342712535562898851e-02
3.992062287150684824e+03 1.068239206100420891e+00 3.918183768235601605e-02
3.996054349437837118e+03 1.124533902367244487e+00 3.675099623737820148e-02
4.000050403787276082e+03 1.145892304999951872e+00 3.687201164662661651e-02
4.004050454191064546e+03 1.113521614092740197e+00 2.856946031961766705e-02
4.008054504645257111e+03 1.080526073329595382e+00 1.737964660896480426e-02
4.012062559149903791e+03 1.096149908914111348e+00 1.239839214938779494e-02
4.016074621709055009e+03 1.099671559678022215e+00 1.072830361485040823e-02
4.020090696330765240e+03 1.094229799193597863e+00 1.069450540801493432e-02
4.024110787027097558e+03 1.082084689146583623e+00 1.199885183206909033e-02
4.028134897814125907e+03 1.076892608499564696e+00 1.195125758709271284e-02
4.032163032711941469e+03 1.073523980138127998e+00 1.184997943362178785e-02
4.036195195744654484e+03 1.070776434584662429e+00 1.142146674640791282e-02
4.040231390940400615e+03 1.079948998639673530e+00 1.274741118785063451e-02
4.044271622331342314e+03 1.090054050710899114e+00 1.343089071404601938e-02
4.048315893953675186e+03 1.092781589575657408e+00 1.255859853382694166e-02
4.052364209847629809e+03 1.088227912751418947e+00 1.282286390558701021e-02
4.056416574057479011e+03 1.082827381533924882e+00 1.305746071256807563e-02
4.060472990631537868e+03 1.070235776652975757e+00 1.412391542865830928e-02
