# starting wavelength: 3041.567
# ending wavelength: 9412.470
# wav flux eflux
3.041783042822019070e+03 1.598379566430470078e+00 2.047606718422462446e+00
3.044824825864842296e+03 2.310933105037834778e+00 1.443868946839186762e+00
3.047869650690708113e+03 2.845906676833787508e+00 1.075491211393524438e+00
3.050917520341399722e+03 3.114590586792318483e+00 8.350305906065758066e-01
3.053968437861742132e+03 3.299233352492065396e+00 6.360600896080429445e-01
3.057022406299604881e+03 3.372406860872570356e+00 4.970490063805394487e-01
3.060079428705905229e+03 3.326331245640102630e+00 3.971445040280889294e-01
3.063139508134612242e+03 3.237582542063084823e+00 3.236337110968621200e-01
3.066202647642748161e+03 3.088029456599918010e+00 2.697472987954414592e-01
3.069268850290391583e+03 2.924405055925481278e+00 2.289476004992513913e-01
3.072338119140682920e+03 2.769354184400497410e+00 2.003483530919309696e-01
3.075410457259824852e+03 2.593826961402180054e+00 1.760000544758675289e-01
3.078485867717085512e+03 2.481536288440942872e+00 1.630812881927004299e-01
3.081564353584803939e+03 2.384330718323892206e+00 1.554685806350227517e-01
3.084645917938389630e+03 2.316767765877418839e+00 1.476780546915028858e-01
3.087730563856328899e+03 2.227297760473879951e+00 1.403676952403287159e-01
3.090818294420186248e+03 2.132942163353853449e+00 1.320143820660922285e-01
3.093909112714607545e+03 2.073001098808559206e+00 1.289429861896081997e-01
3.097003021827323209e+03 2.014927704229654282e+00 1.230615282801624938e-01
3.100100024849151396e+03 1.965062290900866815e+00 1.208135306598297071e-01
3.103200124874001631e+03 1.948491590145791985e+00 1.050257425476611856e-01
3.106303324998876633e+03 1.896155769256336221e+00 1.017737576254623549e-01
3.109409628323876859e+03 1.935415789558055044e+00 8.589378779881040593e-02
3.112519037952201415e+03 1.939393970408473500e+00 8.548470437382033049e-02
3.115631556990154877e+03 1.984138409745276777e+00 7.860307626362862676e-02
3.118747188547145925e+03 1.983474895542388872e+00 7.708417057099176128e-02
3.121865935735694165e+03 2.011714340110950072e+00 7.367879749235561881e-02
3.124987801671431043e+03 2.007584285482395092e+00 6.928373241833293839e-02
3.128112789473103476e+03 2.059759979929230767e+00 6.283516153996007714e-02
3.131240902262577492e+03 2.109900113216668149e+00 6.350141981154810988e-02
3.134372143164840963e+03 2.128187793760416113e+00 6.363734545196995940e-02
3.137506515308006783e+03 2.127165582496354013e+00 6.251158885232102613e-02
3.140644021823316052e+03 2.122230483641969201e+00 5.903370728040017307e-02
3.143784665845140353e+03 2.161556947955950658e+00 6.085534682867766582e-02
3.146928450510986750e+03 2.178379635870506981e+00 6.072651295986249836e-02
3.150075378961498700e+03 2.164520616467846992e+00 6.183267044345723551e-02
3.153225454340461056e+03 2.140782329235140669e+00 6.550554888845977475e-02
3.156378679794802792e+03 2.127687093787865802e+00 6.422636555282695836e-02
3.159535058474598372e+03 2.144206418275319770e+00 6.534031228404130198e-02
3.162694593533074112e+03 2.152421586658092689e+00 6.414194291598301900e-02
3.165857288126608182e+03 2.173803989650104462e+00 6.184345213634209748e-02
3.169023145414736064e+03 2.143771016856375056e+00 6.149334305834697201e-02
3.172192168560151458e+03 2.127231475654313364e+00 6.139461045942262024e-02
3.175364360728712654e+03 2.082135915101277934e+00 6.231633388845796845e-02
3.178539725089442527e+03 2.065975922225675276e+00 5.880281037760470148e-02
3.181718264814533086e+03 2.066814689906118829e+00 5.824383792580644509e-02
3.184899983079348658e+03 2.115317147988875490e+00 6.107620799891319563e-02
3.188084883062429071e+03 2.159922639543228939e+00 6.749087466604110352e-02
3.191272967945492383e+03 2.222311497142855696e+00 6.639493825245403047e-02
3.194464240913438971e+03 2.264639251107843698e+00 6.441130953967548478e-02
3.197658705154353811e+03 2.305861109524356856e+00 6.304171632317984164e-02
3.200856363859509202e+03 2.344453595675604074e+00 6.223141369153474545e-02
3.204057220223369768e+03 2.381818858028568631e+00 6.042541234023024455e-02
3.207261277443593826e+03 2.424184650069597602e+00 5.767781552419083690e-02
3.210468538721038840e+03 2.472324130102092621e+00 5.655532385858966227e-02
3.213679007259760965e+03 2.495372078182605424e+00 5.657718649537436112e-02
3.216892686267021418e+03 2.487765971026147938e+00 5.621816063659997031e-02
3.220109578953289656e+03 2.460279731693372440e+00 5.934964281842750738e-02
3.223329688532243836e+03 2.455058966036360424e+00 5.983688113277822046e-02
3.226553018220777176e+03 2.440366981303193405e+00 5.903951687851662078e-02
3.229779571238999324e+03 2.430178975747964820e+00 5.775552661830294504e-02
3.233009350810239084e+03 2.424901112152277438e+00 5.604472494908365604e-02
3.236242360161050783e+03 2.410889428749372954e+00 5.538275788030837254e-02
3.239478602521212906e+03 2.420980780132504950e+00 5.510406324085449087e-02
3.242718081123734919e+03 2.418672796809005376e+00 5.496840145981685133e-02
3.245960799204859995e+03 2.420326284113316628e+00 5.435193376470881521e-02
3.249206760004065927e+03 2.439520454139477046e+00 5.420481173550431575e-02
3.252455966764071036e+03 2.449030025341316197e+00 5.222646600561396679e-02
3.255708422730835991e+03 2.462696700687983409e+00 5.159739466593464552e-02
3.258964131153567905e+03 2.463491131821824442e+00 5.076142868736230329e-02
3.262223095284722604e+03 2.472549911493602259e+00 5.022159279373065999e-02
3.265485318380008266e+03 2.513640307613804303e+00 4.742522451151802432e-02
3.268750803698389518e+03 2.528491201736186245e+00 4.344920835696532840e-02
3.272019554502088795e+03 2.534336337390495686e+00 4.360494774085290487e-02
3.275291574056592253e+03 2.550521418123882889e+00 4.291154015365128416e-02
3.278566865630649772e+03 2.573147214893420465e+00 4.179020610213190351e-02
3.281845432496281319e+03 2.557365211886635681e+00 4.002068932797207823e-02
3.285127277928778767e+03 2.547900835917574103e+00 3.831862445401647971e-02
3.288412405206708627e+03 2.543712303381062689e+00 3.659713761554835715e-02
3.291700817611916591e+03 2.564262068622733093e+00 3.575469084561142680e-02
3.294992518429529355e+03 2.581796595190672505e+00 3.589434489051993027e-02
