# starting wavelength: 3482.269
# ending wavelength: 7348.235
# wav flux eflux
3.484678948044459503e+03 1.266827440896126644e+00 5.430265676259814489e-01
3.488163626992504760e+03 1.235061449727779870e+00 4.863606338165616383e-01
3.491651790619498570e+03 1.163075632493945299e+00 4.290422000466028729e-01
3.495143442410119405e+03 1.098645908363016233e+00 3.737339487617411526e-01
3.498638585852530468e+03 1.035299654976063133e+00 3.324814033329277496e-01
3.502137224438384237e+03 1.001505986404386261e+00 3.006100187708568017e-01
3.505639361662823831e+03 1.103485565807014179e+00 2.840271319537108763e-01
3.509145001024487556e+03 1.158972439404945876e+00 2.662031835233562571e-01
3.512654146025513455e+03 1.267310885948184751e+00 2.561114372023508556e-01
3.516166800171540217e+03 1.343774851159551975e+00 2.465339402158593651e-01
3.519682966971712631e+03 1.345257021786721463e+00 2.355089061506973336e-01
3.523202649938685681e+03 1.340815569603532209e+00 2.294057455978070204e-01
3.526725852588625457e+03 1.398978240419431751e+00 2.286200168846270198e-01
3.530252578441215064e+03 1.527031949613627093e+00 2.315955876098449440e-01
3.533782831019657806e+03 1.599755199917121784e+00 2.254410152425799785e-01
3.537316613850678550e+03 1.629853284982329509e+00 2.214032668877669585e-01
3.540853930464530094e+03 1.583428566523804815e+00 2.140962384432692767e-01
3.544394784394995895e+03 1.542043733994499233e+00 2.131163442204443981e-01
3.547939179179392340e+03 1.440533289494420055e+00 2.122200499716199729e-01
3.551487118358572843e+03 1.463389435334605748e+00 2.095036753814506492e-01
3.555038605476932389e+03 1.411662486278010276e+00 2.060235719621678618e-01
3.558593644082410719e+03 1.381774812782493145e+00 2.032593401319507387e-01
3.562152237726494150e+03 1.355555491800914281e+00 1.954063422974937625e-01
3.565714389964221937e+03 1.238157730970930848e+00 1.972679284837368652e-01
3.569280104354187188e+03 1.219079314976843964e+00 1.936435319293903778e-01
3.572849384458542772e+03 1.083457576931898148e+00 1.860126068854595915e-01
3.576422233843002232e+03 1.016859038935769455e+00 1.803583347989219376e-01
3.579998656076846601e+03 1.083121031793225608e+00 1.827108256970567668e-01
3.583578654732924406e+03 1.071501445726785962e+00 1.810479772602461290e-01
3.587162233387658489e+03 1.088330103623557310e+00 1.775581459005583507e-01
3.590749395621047370e+03 1.092930587467011883e+00 1.676888211517147398e-01
3.594340145016669794e+03 1.002613849243495281e+00 1.708181723013835474e-01
3.597934485161687462e+03 1.024731747510310598e+00 1.680135510338150728e-01
3.601532419646850485e+03 9.641181960290515773e-01 1.657370810222268398e-01
3.605133952066498296e+03 9.820111999833718297e-01 1.558209061254100802e-01
3.608739086018566013e+03 1.068129394206285276e+00 1.521749920083676211e-01
3.612347825104585809e+03 1.097337496401649126e+00 1.418037759954377253e-01
3.615960172929691907e+03 1.041786880616741851e+00 1.393221968985636494e-01
3.619576133102622407e+03 1.009902393531349141e+00 1.386292135454792740e-01
3.623195709235726554e+03 1.059869804340086930e+00 1.453838081549006789e-01
3.626818904944963379e+03 1.064730560870894127e+00 1.437252209618719023e-01
3.630445723849909427e+03 1.056110620983144788e+00 1.432337877575974860e-01
3.634076169573760581e+03 1.057611447038337760e+00 1.419381246601580659e-01
3.637710245743335690e+03 1.128589165359002333e+00 1.484419870828391219e-01
3.641347955989080219e+03 1.171326493606103414e+00 1.518427037858360862e-01
3.644989303945070333e+03 1.218973930080984314e+00 1.457840373170536663e-01
3.648634293249016537e+03 1.215404022297558617e+00 1.445596347675030258e-01
3.652282927542266862e+03 1.130218148726779948e+00 1.476668058525422988e-01
3.655935210469810499e+03 1.148625409704535416e+00 1.473853646721159094e-01
3.659591145680281443e+03 1.144756258437880758e+00 1.468722030055207295e-01
3.663250736825963031e+03 1.042523584528940006e+00 1.513062224607489292e-01
3.666913987562790226e+03 1.103706109678069591e+00 1.497984400114403536e-01
3.670580901550354156e+03 1.147861349527969921e+00 1.508538726686648457e-01
3.674251482451905758e+03 1.216477667120602346e+00 1.509495054718410778e-01
3.677925733934358959e+03 1.185450356363326962e+00 1.484534782893021931e-01
3.681603659668294313e+03 1.189961110358119578e+00 1.494638729983009395e-01
3.685285263327964003e+03 1.257882951825793238e+00 1.505606569836320519e-01
3.688970548591293209e+03 1.414721966174633083e+00 1.526662869668368450e-01
3.692659519139885560e+03 1.492302298682897765e+00 1.520485225993970513e-01
3.696352178659026777e+03 1.589839470591928539e+00 1.470257962872007218e-01
3.700048530837686940e+03 1.582476086993686470e+00 1.490778945099212049e-01
3.703748579368525952e+03 1.574178912608390934e+00 1.462414582514292571e-01
3.707452327947895355e+03 1.547564200404293766e+00 1.425861624852384768e-01
3.711159780275844696e+03 1.575161278844390278e+00 1.437726199795510418e-01
3.714870940056121526e+03 1.553358509584799041e+00 1.453409267140996219e-01
3.718585810996179134e+03 1.578152200708534236e+00 1.469799043886032552e-01
3.722304396807176545e+03 1.475623311565160689e+00 1.410302988582087524e-01
3.726026701203984885e+03 1.369390800217540116e+00 1.448540370192661908e-01
3.729752727905190113e+03 1.252525115236229336e+00 1.298961833590629167e-01
3.733482480633096657e+03 1.193472633232493418e+00 1.315727244997191570e-01
3.737215963113731050e+03 1.170757416763271497e+00 1.272042786728917740e-01
3.740953179076846027e+03 1.197745974941287095e+00 1.247041762243424196e-01
3.744694132255923705e+03 1.189653290819980835e+00 1.223051746419664826e-01
3.748438826388181042e+03 1.154791190255762823e+00 1.230079410586962657e-01
3.752187265214570289e+03 1.167667679873641173e+00 1.209847427294093447e-01
3.755939452479786269e+03 1.247819383522449588e+00 1.192189301177477567e-01
3.759695391932267285e+03 1.291665888611219781e+00 1.192684820078762087e-01
3.763455087324201031e+03 1.439976801461021472e+00 1.126517036909418235e-01
3.767218542411526414e+03 1.490362709511532158e+00 1.130164354304687285e-01
3.770985760953939007e+03 1.538671756886089259e+00 1.116494365965023661e-01
3.774756746714894234e+03 1.485646057494447891e+00 1.090328632454643926e-01
3.778531503461610555e+03 1.487775917260350411e+00 1.085030235630419504e-01
3.782310034965073100e+03 1.511978043872016286e+00 1.069186184759497171e-01
3.786092345000039586e+03 1.512930122954204482e+00 1.080434640637071286e-01
3.789878437345040766e+03 1.471244372004975265e+00 1.044138076477623828e-01
3.793668315782387253e+03 1.443638356614563856e+00 1.020029973024493414e-01
3.797461984098170888e+03 1.369163952543040796e+00 1.054455489659260753e-01
3.801259446082270188e+03 1.419544616276934512e+00 1.094907276289207448e-01
3.805060705528353537e+03 1.373615188401038356e+00 1.055181875165431687e-01
3.808865766233883278e+03 1.411989038065123658e+00 1.026625730465733216e-01
3.812674632000118436e+03 1.428005106523760670e+00 1.026877971233045722e-01
3.816487306632119726e+03 1.487578225314474256e+00 1.008869404519328050e-01
3.820303793938753188e+03 1.469959503468828865e+00 1.053917841929382648e-01
3.824124097732693372e+03 1.429783271754852425e+00 1.096073812522407043e-01
3.827948221830427428e+03 1.474605124028530279e+00 1.058070712549476211e-01
3.831776170052258749e+03 1.456210918649840202e+00 1.035642135700567262e-01
3.835607946222312421e+03 1.441777472404901062e+00 1.015114339742898275e-01
3.839443554168536139e+03 1.430191962758165847e+00 1.040569170609904059e-01
3.843282997722705659e+03 1.455353675351345411e+00 1.018978577109287131e-01
3.847126280720429804e+03 1.542890107378840359e+00 1.068433340099876200e-01
3.850973407001151372e+03 1.627829731720545237e+00 1.056341106466848201e-01
3.854824380408153957e+03 1.661435416335504067e+00 1.015375955311787898e-01
3.858679204788563311e+03 1.676254999211927110e+00 1.008846536666115068e-01
3.862537883993353262e+03 1.643960076594234820e+00 9.659145493157422768e-02
3.866400421877347981e+03 1.616943792563914517e+00 9.212716496456363480e-02
3.870266822299226533e+03 1.524104644114609997e+00 1.024273941405410421e-01
3.874137089121526969e+03 1.437986980088485689e+00 1.041962988374057347e-01
3.878011226210649966e+03 1.400396116642007360e+00 9.947934385508593047e-02
3.881889237436861549e+03 1.340641818377049432e+00 9.567054664013598109e-02
3.885771126674299921e+03 1.263768582162398735e+00 9.278604258662251358e-02
3.889656897800975457e+03 1.311927000408088739e+00 9.815161102607677934e-02
3.893546554698777527e+03 1.339104826095985468e+00 9.663139094931161299e-02
3.897440101253477678e+03 1.325675093443794195e+00 9.465942575844840667e-02
3.901337541354732366e+03 1.320801756091800616e+00 9.253286868945705124e-02
3.905238878896088409e+03 1.327399044771065517e+00 8.458608476781150076e-02
3.909144117774985716e+03 1.249611936753686647e+00 8.381779793025206926e-02
3.913053261892762293e+03 1.081192112582996190e+00 8.915354141569674373e-02
3.916966315154656058e+03 9.215660053865261103e-01 8.630995436488859973e-02
3.920883281469812118e+03 7.681475551345559039e-01 8.797225834002911360e-02
3.924804164751283224e+03 6.772811182693512233e-01 8.765082750452107829e-02
3.928728968916035683e+03 6.024538103264296396e-01 8.215883872304537150e-02
3.932657697884953450e+03 6.311323631488549024e-01 8.643902047029526636e-02
3.936590355582839493e+03 7.407556088732460964e-01 9.937945170787006177e-02
3.940526945938423523e+03 8.305734613627511198e-01 9.688206344962682626e-02
3.944467472884363360e+03 8.421775706285105079e-01 9.654213234997656434e-02
3.948411940357249023e+03 8.203431315579384764e-01 9.731812651289037386e-02
3.952360352297607733e+03 8.500993093508811826e-01 8.910879348434035119e-02
3.956312712649906643e+03 8.169891799258710563e-01 9.194380053652204121e-02
3.960269025362557841e+03 7.271331793989843639e-01 8.567913323063498787e-02
3.964229294387921527e+03 7.133862091575088327e-01 8.388573079540646849e-02
3.968193523682310570e+03 7.262159492804655114e-01 7.568739454052919591e-02
3.972161717205994591e+03 8.167033826335916569e-01 7.906804585839552479e-02
3.976133878923201792e+03 9.245806463094742300e-01 8.114787065227711815e-02
3.980110012802126221e+03 1.066389862615841233e+00 8.208098816863471092e-02
3.984090122814929600e+03 1.180048669667511430e+00 7.931341047167832226e-02
3.988074212937745870e+03 1.317168495099400038e+00 7.247866389643410623e-02
3.992062287150684824e+03 1.436193393098928572e+00 6.566884039757560354e-02
3.996054349437837118e+03 1.468786092719507774e+00 6.427799183144730644e-02
4.000050403787276082e+03 1.487913130215852142e+00 6.300566530771881113e-02
4.004050454191064546e+03 1.461239205223324511e+00 5.345241427610541302e-02
4.008054504645257111e+03 1.464927185461882386e+00 4.991073394648222472e-02
4.012062559149903791e+03 1.453989471281737611e+00 5.094711575804310166e-02
4.016074621709055009e+03 1.467495146220936908e+00 5.456095523669646924e-02
4.020090696330765240e+03 1.518627885944783262e+00 5.882166171879286282e-02
4.024110787027097558e+03 1.497440589750224760e+00 5.840338732105837538e-02
4.028134897814125907e+03 1.445873463048737539e+00 6.199595505464650796e-02
4.032163032711941469e+03 1.426267662763311073e+00 6.276725045159872729e-02
4.036195195744654484e+03 1.346321099155813217e+00 6.058799910726223731e-02
4.040231390940400615e+03 1.304508991529071071e+00 6.062636912516862486e-02
4.044271622331342314e+03 1.291043852755082044e+00 5.910387752385871940e-02
4.048315893953675186e+03 1.240563286137941645e+00 5.771076754471139020e-02
4.052364209847629809e+03 1.234345792108969109e+00 5.779635791486840979e-02
4.056416574057479011e+03 1.218187556317166020e+00 5.721800365802454102e-02
4.060472990631537868e+03 1.212332233667242187e+00 5.831526306749720140e-02
4.064533463622170530e+03 1.208821886353554254e+00 5.909320088982718266e-02
4.068597997085794304e+03 1.213030525268938398e+00 5.879846021241606768e-02
4.072666595082881486e+03 1.241940377466146606e+00 5.931615441575312925e-02
