# starting wavelength: 3459.701
# ending wavelength: 7380.756
# wav flux eflux
3.460383474435829612e+03 4.188780744313383986e-01 2.323685935364891098e+00
3.463843857910266706e+03 2.829833556799425387e-01 1.767767810278006779e+00
3.467307701768178049e+03 3.956707438395035692e-01 1.337063690949706896e+00
3.470775009469947236e+03 5.968704393430446231e-01 1.041004883768606559e+00
3.474245784479418489e+03 7.115586569550595986e-01 8.044641217921240095e-01
3.477720030263898934e+03 7.386276887964992044e-01 6.340635954463249568e-01
3.481197750294164052e+03 7.374861452153923524e-01 5.088953677049831148e-01
3.484678948044459503e+03 7.480345437378583817e-01 4.227863415945980474e-01
3.488163626992504760e+03 7.374894313901996235e-01 3.556642979241369518e-01
3.491651790619498570e+03 7.168029976887104748e-01 3.070623370493674731e-01
3.495143442410119405e+03 7.018548395507641091e-01 2.663737213325819142e-01
3.498638585852530468e+03 7.174889161810589222e-01 2.383880284647670600e-01
3.502137224438384237e+03 6.943539986906848149e-01 2.163078439563681787e-01
3.505639361662823831e+03 6.861001030076787632e-01 2.010006139623654042e-01
3.509145001024487556e+03 6.723077013624898512e-01 1.890813438906258082e-01
3.512654146025513455e+03 6.412605108851849867e-01 1.799980330621163971e-01
3.516166800171540217e+03 6.158086677441789725e-01 1.735129878171921547e-01
3.519682966971712631e+03 5.991056136437402646e-01 1.685404222345090741e-01
3.523202649938685681e+03 6.165631585442544749e-01 1.643025281963357287e-01
3.526725852588625457e+03 6.572042162983781077e-01 1.639561493736310938e-01
3.530252578441215064e+03 8.294190380548714936e-01 1.686586442148730602e-01
3.533782831019657806e+03 9.263966892019455113e-01 1.648639159823216960e-01
3.537316613850678550e+03 9.017655640627713076e-01 1.547808591642026721e-01
3.540853930464530094e+03 9.353029156225095564e-01 1.546161627875333733e-01
3.544394784394995895e+03 9.679667085798351334e-01 1.513198965089589121e-01
3.547939179179392340e+03 1.032645973368151227e+00 1.523130906114245342e-01
3.551487118358572843e+03 1.057996367781875113e+00 1.512282639401127671e-01
3.555038605476932389e+03 1.153458423368620034e+00 1.489912919508819822e-01
3.558593644082410719e+03 1.155334922327927449e+00 1.460553786510263852e-01
3.562152237726494150e+03 1.157193801479380113e+00 1.463818329983616884e-01
3.565714389964221937e+03 1.061587676352476084e+00 1.515352147462196153e-01
3.569280104354187188e+03 9.994375302682027007e-01 1.521351213932757851e-01
3.572849384458542772e+03 8.981638160587555042e-01 1.485727452238091439e-01
3.576422233843002232e+03 8.855621335919519055e-01 1.483603717279178835e-01
3.579998656076846601e+03 8.694670917355143969e-01 1.457527970671665951e-01
3.583578654732924406e+03 8.333998600139156387e-01 1.452153060468441836e-01
3.587162233387658489e+03 8.556803559664439840e-01 1.386427578556373164e-01
3.590749395621047370e+03 7.439777798763259620e-01 1.292466800882622890e-01
3.594340145016669794e+03 6.763422837412373934e-01 1.294381916445335456e-01
3.597934485161687462e+03 6.642407428887147081e-01 1.290975552456715414e-01
3.601532419646850485e+03 6.398819756461240349e-01 1.312184438871076553e-01
3.605133952066498296e+03 6.235153919487793628e-01 1.313904837069125031e-01
3.608739086018566013e+03 5.977826201410050277e-01 1.297714709715620252e-01
3.612347825104585809e+03 6.585620610725479995e-01 1.260828188777804448e-01
3.615960172929691907e+03 6.868393213056318558e-01 1.216100298375121375e-01
3.619576133102622407e+03 7.743611728763883928e-01 1.227072392363896536e-01
3.623195709235726554e+03 7.847492217284707250e-01 1.231995350808405693e-01
3.626818904944963379e+03 8.235579407934663365e-01 1.232910853183548788e-01
3.630445723849909427e+03 8.018750780645317322e-01 1.203196391307204127e-01
3.634076169573760581e+03 8.190559228064572261e-01 1.219467958751135894e-01
3.637710245743335690e+03 7.908290338448158430e-01 1.177033566417064192e-01
3.641347955989080219e+03 7.767394245635315109e-01 1.186177550624144122e-01
3.644989303945070333e+03 8.478961344766637875e-01 1.166345080658562489e-01
3.648634293249016537e+03 9.088408466278082853e-01 1.148974850934494502e-01
3.652282927542266862e+03 9.613612018758075362e-01 1.149565096948909071e-01
3.655935210469810499e+03 9.518009792921994228e-01 1.118680725528922726e-01
3.659591145680281443e+03 9.452969824980885782e-01 1.113382842520654753e-01
3.663250736825963031e+03 9.067220253952753550e-01 1.114533829013631266e-01
3.666913987562790226e+03 9.518209968727051606e-01 1.125741947165474349e-01
3.670580901550354156e+03 1.041869797250236651e+00 1.191653170390766514e-01
3.674251482451905758e+03 1.237208399675745252e+00 1.544352924563176799e-01
3.677925733934358959e+03 1.067377584723933293e+00 1.574589355875215813e-01
3.681603659668294313e+03 8.350121949396414056e-01 1.933841795336223579e-01
3.685285263327964003e+03 5.544457346255839969e-01 2.337408273054906171e-01
3.688970548591293209e+03 4.276199901539178283e-01 2.362601835073920575e-01
3.692659519139885560e+03 4.283525829968961585e-01 2.348962297162420498e-01
3.696352178659026777e+03 4.873203067414523249e-01 2.305812140362611118e-01
3.700048530837686940e+03 5.925814555076449608e-01 2.317298811450019813e-01
3.703748579368525952e+03 8.341170413768412839e-01 2.436011648106447824e-01
3.707452327947895355e+03 1.064256980488908377e+00 2.476732342056585934e-01
3.711159780275844696e+03 1.232439308791487553e+00 2.502153854982484549e-01
3.714870940056121526e+03 1.455932658385325151e+00 2.529700241762602442e-01
3.718585810996179134e+03 1.602729931051185108e+00 2.469999123874596358e-01
3.722304396807176545e+03 1.776744394447165920e+00 2.447013610109117498e-01
3.726026701203984885e+03 1.907269011200466879e+00 2.411213988592398050e-01
3.729752727905190113e+03 1.964442984355864841e+00 2.368099648079367570e-01
3.733482480633096657e+03 1.952187474752688612e+00 2.350831583993360785e-01
3.737215963113731050e+03 1.897413818623249870e+00 2.372492420963504545e-01
3.740953179076846027e+03 1.639039868487552010e+00 2.371567943062045380e-01
3.744694132255923705e+03 1.408680178475854694e+00 2.385238743314869458e-01
3.748438826388181042e+03 1.161940119915364722e+00 2.337800959832782854e-01
3.752187265214570289e+03 9.450655930741613808e-01 2.228180242090830321e-01
3.755939452479786269e+03 7.281410084138302263e-01 2.164374265940280373e-01
3.759695391932267285e+03 5.046043237382136226e-01 2.098519235945762451e-01
3.763455087324201031e+03 5.055263929832961578e-01 1.999033540158067779e-01
3.767218542411526414e+03 6.143519743705253555e-01 1.748958784605127437e-01
3.770985760953939007e+03 8.739752313129083294e-01 1.101973056806413304e-01
3.774756746714894234e+03 8.191043412206614471e-01 1.030329055523268034e-01
3.778531503461610555e+03 7.521312219369802321e-01 8.111550457181686269e-02
3.782310034965073100e+03 7.493378002912480795e-01 8.154395770288484779e-02
3.786092345000039586e+03 7.853470147015657599e-01 8.291779515397700029e-02
3.789878437345040766e+03 8.058211101763899098e-01 8.153093718583724614e-02
3.793668315782387253e+03 8.386116777943631861e-01 7.763516431099128090e-02
3.797461984098170888e+03 8.981518223300446468e-01 7.816956541551038640e-02
3.801259446082270188e+03 8.521424202009011406e-01 7.740895003447027800e-02
3.805060705528353537e+03 8.185964248122685749e-01 7.600912107328561262e-02
3.808865766233883278e+03 7.345918998747344997e-01 7.415410815773965103e-02
3.812674632000118436e+03 7.115524000611630484e-01 6.943676182722029189e-02
3.816487306632119726e+03 6.821065867710314201e-01 7.052200065200636692e-02
3.820303793938753188e+03 6.721809998951212561e-01 6.997977815828376746e-02
3.824124097732693372e+03 6.372720277826441349e-01 6.887307737893230697e-02
3.827948221830427428e+03 6.218937567312547987e-01 6.727831082453579470e-02
3.831776170052258749e+03 6.429975510925283189e-01 6.676896035768846438e-02
3.835607946222312421e+03 6.849836871167970243e-01 6.642820727673061365e-02
3.839443554168536139e+03 7.731316542664972147e-01 6.609032348840751525e-02
3.843282997722705659e+03 8.165450904752664663e-01 6.519021183721408763e-02
3.847126280720429804e+03 9.710158880644063073e-01 7.153147957538120993e-02
3.850973407001151372e+03 1.140197236965764027e+00 7.763361282085273762e-02
3.854824380408153957e+03 1.148256251449996324e+00 7.648856869820662430e-02
3.858679204788563311e+03 1.105660824702645151e+00 8.151351531828542052e-02
3.862537883993353262e+03 1.047826918022728648e+00 8.508234622610927333e-02
3.866400421877347981e+03 1.022629974032128075e+00 8.368994422874720396e-02
3.870266822299226533e+03 9.358074271233807195e-01 8.148252514433143578e-02
3.874137089121526969e+03 8.592371922517322291e-01 8.034634633717095686e-02
