# starting wavelength: 4069.230
# ending wavelength: 7787.860
# wav flux eflux
4.072666595082881486e+03 1.127534981696455940e+00 7.230551364058616093e-01
4.076739261677965715e+03 1.240500585020504865e+00 5.335208073805461915e-01
4.080816000939644709e+03 1.327694139346035973e+00 3.990848596733755915e-01
4.084896816940585722e+03 1.368008816365685831e+00 3.062107880672662596e-01
4.088981713757527814e+03 1.394047908209996356e+00 2.383720861456894713e-01
4.093070695471286854e+03 1.397006181084684551e+00 1.901551493814296889e-01
4.097163766166759160e+03 1.393274490477931504e+00 1.539556454410210828e-01
4.101260929932927866e+03 1.379616909565891669e+00 1.275379455179318222e-01
4.105362190862862008e+03 1.355482361275917480e+00 1.078945472123209043e-01
4.109467553053726078e+03 1.320888824449124810e+00 9.340724871609583368e-02
4.113577020606780934e+03 1.272518730929166120e+00 8.351684515338442250e-02
4.117690597627389252e+03 1.229855812612652866e+00 7.534650296647778245e-02
4.121808288225018259e+03 1.171739034317017536e+00 7.078981757902662320e-02
4.125930096513244280e+03 1.138737329230429030e+00 6.630288047191819356e-02
4.130056026609759101e+03 1.113135334627392670e+00 6.299189793281537164e-02
4.134186082636369974e+03 1.086936438284505924e+00 5.997785804808260929e-02
4.138320268719007800e+03 1.062233689316422369e+00 5.746823096599335684e-02
4.142458588987728035e+03 1.056163005032871194e+00 5.617409657633903181e-02
4.146601047576717065e+03 1.055918357606448588e+00 5.388751874013600340e-02
4.150747648624294925e+03 1.061149567312201114e+00 5.517787042872292907e-02
4.154898396272920763e+03 1.082703241140804851e+00 5.513740009479575765e-02
4.159053294669195566e+03 1.083381057959858840e+00 5.340319203872749554e-02
4.163212347963865795e+03 1.092038432413957594e+00 5.288437101796754358e-02
4.167375560311830668e+03 1.106652883617170069e+00 5.258394004402998367e-02
4.171542935872143971e+03 1.136223349869392996e+00 5.603355983691620662e-02
4.175714478808017702e+03 1.155140927782985161e+00 5.453966689762132503e-02
4.179890193286827525e+03 1.182190860417666300e+00 5.365832601178829875e-02
4.184070083480115500e+03 1.221209212150258905e+00 4.826580817550417402e-02
4.188254153563597356e+03 1.252075583974693096e+00 4.524257771847949722e-02
4.192442407717161586e+03 1.281942323766489977e+00 4.228504059155010347e-02
4.196634850124880359e+03 1.283325528506801927e+00 4.177760652614859183e-02
4.200831484975006788e+03 1.268591086019072556e+00 4.087924183433869207e-02
4.205032316459983122e+03 1.220279164399700189e+00 3.703250653648142848e-02
4.209237348776444378e+03 1.204730199851363759e+00 3.672826520894906938e-02
4.213446586125221984e+03 1.189462632798642838e+00 3.645274330129171653e-02
4.217660032711349231e+03 1.175640754007667876e+00 3.760459113328155911e-02
4.221877692744061278e+03 1.146100694097720751e+00 3.471871084265252400e-02
4.226099570436806971e+03 1.127707318148625459e+00 3.378322170724699230e-02
4.230325670007245208e+03 1.118041610138511333e+00 3.464990944231005621e-02
4.234555995677254032e+03 1.107202931344943408e+00 3.473455353149312863e-02
4.238790551672932452e+03 1.098817714517745348e+00 3.490022276740505081e-02
4.243029342224606808e+03 1.073559571138097413e+00 3.596757317281593785e-02
4.247272371566832589e+03 1.054404300125478589e+00 3.590685049670848394e-02
4.251519643938400804e+03 1.035025665819221841e+00 3.651530893676907530e-02
4.255771163582340705e+03 1.021328406361126984e+00 3.627812152654815575e-02
4.260026934745924336e+03 1.026652704746134681e+00 3.500242500895299480e-02
4.264286961680671993e+03 1.016542884556576487e+00 3.464449490422197991e-02
4.268551248642354039e+03 1.004349017053810300e+00 3.443631640520632836e-02
4.272819799890998183e+03 9.992940958035991805e-01 3.479492078539957872e-02
4.277092619690890388e+03 9.808818984153250264e-01 3.674637598327234328e-02
4.281369712310583054e+03 9.728501481819677998e-01 3.615870254316943394e-02
4.285651082022895025e+03 9.737708489752830987e-01 3.540800164586264259e-02
4.289936733104918858e+03 9.607144289357250067e-01 3.762327204499465311e-02
4.294226669838025373e+03 9.317215921825854341e-01 4.334170650818382209e-02
4.298520896507864563e+03 9.371644997142025701e-01 4.315383043182631495e-02
4.302819417404373780e+03 9.341348776601190451e-01 3.845737025833706468e-02
4.307122236821779552e+03 9.515860404566077735e-01 3.828042236447044139e-02
4.311429359058603040e+03 1.000544071617280872e+00 4.343582779457584586e-02
4.315740788417662770e+03 1.052864229754544745e+00 4.418083938075045847e-02
4.320056529206081905e+03 1.100589957586336487e+00 4.514266719224292734e-02
4.324376585735290064e+03 1.118859959510897228e+00 4.545536983197546316e-02
4.328700962321026054e+03 1.131431807295879777e+00 4.685340144417751013e-02
4.333029663283348782e+03 1.146119753529899032e+00 4.741973307697361362e-02
4.337362692946633615e+03 1.168182103792737569e+00 4.730331012593360501e-02
4.341700055639581478e+03 1.189783005418843631e+00 4.391043481386877612e-02
4.346041755695222491e+03 1.178018224543564640e+00 4.423807350269154393e-02
4.350387797450919606e+03 1.154941135688653420e+00 4.520233189575976335e-02
4.354738185248371337e+03 1.113562344013037775e+00 4.704708193966505164e-02
4.359092923433621763e+03 1.048119762711392733e+00 4.867120862720666907e-02
4.363452016357056891e+03 1.018031911104890552e+00 4.750918449509246300e-02
4.367815468373414660e+03 9.862913057035906927e-01 4.660140809105362686e-02
4.372183283841789489e+03 9.435202256827424083e-01 4.850506686706583526e-02
4.376555467125633186e+03 9.370025332567069043e-01 5.149317913892734189e-02
4.380932022592760404e+03 9.395018925799167864e-01 5.146241608414241220e-02
4.385312954615354101e+03 9.240469110028407540e-01 5.126347836048124329e-02
4.389698267569970994e+03 9.370415562705901591e-01 4.378100230408086407e-02
4.394087965837542470e+03 9.359093265676470264e-01 4.605193499466478380e-02
4.398482053803381859e+03 9.252853002038066155e-01 4.263968136331318382e-02
4.402880535857186260e+03 9.540139104499599787e-01 4.547151028711250709e-02
4.407283416393044718e+03 9.753420173568967400e-01 4.832437095533781424e-02
4.411690699809440048e+03 9.806309220106990132e-01 4.840911851052715625e-02
4.416102390509250654e+03 9.860183246626683662e-01 4.895501784264922468e-02
4.420518492899761441e+03 1.001273770749436576e+00 5.138203801649973007e-02
4.424939011392662906e+03 9.950659144055933325e-01 4.727595043516443635e-02
4.429363950404056595e+03 1.012601392510088738e+00 4.791490759179417580e-02
4.433793314354462382e+03 1.042419396197384662e+00 4.586808846242057536e-02
4.438227107668818462e+03 1.066188886287692261e+00 4.400079445038183185e-02
4.442665334776488635e+03 1.072000514004529226e+00 4.825987607336074126e-02
4.447108000111265937e+03 1.067389291027430742e+00 4.730139195622659609e-02
4.451555108111379013e+03 1.079195633671066190e+00 4.186884343499020639e-02
4.456006663219492111e+03 1.124374420418866372e+00 4.789212496957698240e-02
4.460462669882713271e+03 1.147574023264498644e+00 4.842460724772502945e-02
4.464923132552597053e+03 1.171499774554997542e+00 4.323192048225146800e-02
4.469388055685150903e+03 1.189324058471501688e+00 3.940263973936401071e-02
4.473857443740837880e+03 1.169648329623518723e+00 4.337558713858592763e-02
4.478331301184580298e+03 1.143554712991341260e+00 4.384818157886086198e-02
4.482809632485766087e+03 1.104204571303333271e+00 3.890728355191212101e-02
4.487292442118253348e+03 1.073680797324800151e+00 3.689074379668762921e-02
4.491779734560373072e+03 1.062278613430267971e+00 3.564466943296269036e-02
4.496271514294934605e+03 1.068693890055614659e+00 3.391909683641900625e-02
4.500767785809231100e+03 1.047659368982102768e+00 3.041174166961573000e-02
4.505268553595042249e+03 1.052750149060012630e+00 3.309787067950559908e-02
4.509773822148638828e+03 1.059077078761011315e+00 3.268489325352819802e-02
4.514283595970789065e+03 1.077222557356249721e+00 2.777004987179419390e-02
4.518797879566761367e+03 1.082976480512152451e+00 2.398464186477920410e-02
4.523316677446328868e+03 1.068333744101887861e+00 2.790176374906731122e-02
4.527839994123776705e+03 1.042635074674000517e+00 2.673687340073540447e-02
4.532367834117902021e+03 1.018359629079143902e+00 2.032181834217316671e-02
4.536900201952022144e+03 1.009667519850949491e+00 2.205208851123566932e-02
4.541437102153975502e+03 9.989342634390159237e-01 2.130646825025298008e-02
4.545978539256130716e+03 9.811839936232480408e-01 2.119794955576091711e-02
4.550524517795388419e+03 9.740963213509813423e-01 2.155922019982328339e-02
4.555075042313184895e+03 9.697861888015386622e-01 2.076588176127466823e-02
4.559630117355500261e+03 9.531832915950366747e-01 2.355057843746795332e-02
4.564189747472856652e+03 9.633415445931722276e-01 2.343930142973974992e-02
4.568753937220330954e+03 9.821115731351336420e-01 2.342851333594758723e-02
4.573322691157552981e+03 1.013333529638796859e+00 2.362763994020680713e-02
4.577896013848711846e+03 1.045302688669460522e+00 2.782118288164715444e-02
4.582473909862562323e+03 1.062385038498346201e+00 2.769823250015275920e-02
4.587056383772426670e+03 1.076974034104225542e+00 2.874483134379367949e-02
4.591643440156200086e+03 1.099161941898837869e+00 2.681975773826450818e-02
4.596235083596357981e+03 1.124418241000761265e+00 2.774480432116806228e-02
4.600831318679955984e+03 1.126788973693128471e+00 2.900598405726808812e-02
4.605432149998637215e+03 1.126057122679536393e+00 2.882290562047650634e-02
4.610037582148637739e+03 1.108523915451097741e+00 2.668237431293647363e-02
4.614647619730787483e+03 1.089672360740283619e+00 2.519675358061546425e-02
4.619262267350520233e+03 1.087472413641539681e+00 2.520492432562285862e-02
4.623881529617872729e+03 1.089852068043649203e+00 2.510103868806508320e-02
4.628505411147491941e+03 1.096922099990708110e+00 2.503063090790393769e-02
4.633133916558640522e+03 1.114226176974754789e+00 2.511548577496042212e-02
4.637767050475200449e+03 1.139982421351142694e+00 2.416047318381878486e-02
4.642404817525677572e+03 1.155461719329335946e+00 2.412385358684773079e-02
4.647047222343205249e+03 1.170146930715036504e+00 2.373618409312345384e-02
4.651694269565549803e+03 1.177910131171689745e+00 2.518364770947705347e-02
4.656345963835116891e+03 1.185127345679569899e+00 2.581296888201315559e-02
4.661002309798953320e+03 1.203790212638284451e+00 2.575603199167568816e-02
4.665663312108753416e+03 1.238444103805301344e+00 3.073128306166892851e-02
4.670328975420864481e+03 1.249391538441276817e+00 2.954475800164006044e-02
4.674999304396286789e+03 1.250844335056692902e+00 2.931827836332352374e-02
4.679674303700684504e+03 1.244775547482171341e+00 2.906396941837708844e-02
4.684353978004386590e+03 1.235173431459327675e+00 2.995386434951482699e-02
4.689038331982392265e+03 1.210870904278728899e+00 2.896994666461532447e-02
4.693727370314376458e+03 1.216492947559946414e+00 2.982140061530065209e-02
4.698421097684692540e+03 1.213025024537658592e+00 2.983875519428062090e-02
4.703119518782378691e+03 1.202244169134383922e+00 2.932919032444292542e-02
4.707822638301162442e+03 1.195838773104058061e+00 2.917791990605880445e-02
4.712530460939465229e+03 1.187054460640937892e+00 2.884589195583476401e-02
4.717242991400406027e+03 1.176804947904479981e+00 3.113943640463645579e-02
4.721960234391808626e+03 1.197843807241050662e+00 3.301148445147047972e-02
4.726682194626201635e+03 1.223003302433720796e+00 3.179056000394579751e-02
4.731408876820829391e+03 1.241990801110530729e+00 3.243322370366005791e-02
4.736140285697651962e+03 1.256427804955444705e+00 3.157109737687901346e-02
4.740876425983350600e+03 1.240718009578656300e+00 2.844796098089396111e-02
4.745617302409335934e+03 1.228290034314555967e+00 2.639379956237613775e-02
4.750362919711747054e+03 1.236499575229386805e+00 2.742328896504412847e-02
