# starting wavelength: 5295.046
# ending wavelength: 10189.303
# wav flux eflux
5.297137368996044643e+03 5.207251951295995829e-01 2.907574686858482305e-01
5.302434506365042580e+03 5.291187636288329221e-01 2.181326985653112838e-01
5.307736940871409388e+03 5.116156815782969547e-01 1.663272316450464250e-01
5.313044677812282316e+03 5.122350757157698720e-01 1.257050447582615527e-01
5.318357722490096421e+03 5.318259376031473362e-01 9.715072805761969243e-02
5.323676080212588204e+03 5.636717486418117984e-01 8.051291691446219034e-02
5.328999756292802886e+03 5.710004554674062982e-01 6.461133644603350712e-02
5.334328756049097137e+03 5.803277334762840800e-01 5.373301122620560699e-02
5.339663084805148173e+03 5.913781494918273207e-01 4.525434632407200619e-02
5.345002747889954662e+03 5.976057600690612981e-01 3.825303001524484742e-02
5.350347750637846730e+03 6.019019340327130818e-01 3.313959427127360219e-02
5.355698098388485960e+03 6.067673220172031812e-01 2.946981526107726040e-02
5.361053796486876308e+03 6.125637460294539594e-01 2.685327179759216393e-02
5.366414850283365013e+03 6.141460993296339321e-01 2.479937639052967949e-02
5.371781265133649867e+03 6.004185295060308070e-01 2.364640006700374428e-02
5.377153046398785591e+03 5.929089291985601973e-01 2.244223167230646743e-02
5.382530199445186554e+03 5.849508723867332671e-01 2.138457805979662382e-02
5.387912729644633146e+03 5.884856038539106882e-01 2.142071579900869591e-02
5.393300642374279960e+03 5.651875495742948452e-01 2.130394889617527251e-02
5.398693943016655794e+03 5.460954150285831643e-01 2.161941910728154906e-02
5.404092636959673655e+03 5.182095946256387586e-01 2.204102475238326614e-02
5.409496729596635305e+03 4.955032431651842928e-01 2.096726289520716574e-02
5.414906226326233991e+03 4.771403120095200068e-01 2.021779070629182648e-02
5.420321132552561721e+03 4.782639291655227942e-01 2.007641641853664602e-02
5.425741453685116539e+03 4.733804616152261779e-01 1.987192087223879980e-02
5.431167195138803436e+03 4.719384116273620533e-01 1.970538029833440730e-02
5.436598362333943442e+03 4.712523093026208532e-01 1.959396773779408310e-02
5.442034960696279086e+03 4.734349845675766000e-01 1.918022450882132454e-02
5.447476995656978033e+03 4.830786450898985063e-01 1.897530779771732304e-02
5.452924472652636723e+03 4.846752387253940864e-01 1.824778628648028589e-02
5.458377397125291282e+03 4.926547167548789852e-01 1.804785502373702083e-02
5.463835774522417523e+03 4.994425107252706830e-01 1.766394988241314079e-02
5.469299610296941864e+03 5.009920187665749536e-01 1.711569265090650410e-02
5.474768909907241323e+03 5.024343004118227984e-01 1.688869132332028108e-02
5.480243678817149885e+03 5.087299616237106470e-01 1.675619702283966811e-02
5.485723922495968509e+03 4.989424796899414871e-01 1.958213812657669251e-02
5.491209646418466946e+03 5.267899243557668809e-01 2.161301773758769751e-02
5.496700856064887375e+03 5.400562377596574981e-01 2.156531089493605655e-02
5.502197556920953502e+03 5.475930610661940978e-01 2.132850894987964319e-02
5.507699754477876013e+03 5.417586402590128802e-01 2.094366392428517742e-02
5.513207454232356213e+03 5.492673843995615757e-01 2.071921145466332909e-02
5.518720661686590574e+03 5.495859155953596309e-01 2.052405680417878839e-02
5.524239382348278923e+03 5.413772774902190221e-01 2.023277661334243333e-02
5.529763621730628984e+03 5.297845608733254830e-01 2.018491865107249067e-02
5.535293385352360929e+03 5.180816652995184901e-01 2.024207996932432183e-02
5.540828678737715563e+03 5.143542332563935116e-01 2.036880135239843917e-02
5.546369507416455235e+03 5.006805902429226629e-01 2.019097954242079010e-02
5.551915876923872929e+03 5.010263468279279042e-01 1.987395602515464044e-02
5.557467792800798634e+03 5.041491369716872839e-01 1.960175618676101086e-02
5.563025260593602070e+03 5.051223886521815087e-01 1.905262538036164854e-02
5.568588285854197238e+03 4.967607757577838234e-01 1.804876958927601957e-02
5.574156874140053333e+03 4.901243903641154809e-01 1.792313937156283024e-02
5.579731031014194741e+03 4.885718502082377901e-01 1.778306684810794167e-02
5.585310762045211050e+03 4.926424164318731203e-01 1.777710794735860508e-02
5.590896072807257951e+03 4.986378998902923909e-01 1.774917773922802047e-02
5.596486968880067252e+03 5.056697184727606542e-01 1.758429371093837498e-02
5.602083455848949598e+03 5.181838993194820553e-01 1.756090160341133855e-02
5.607685539304799931e+03 5.240215871035518447e-01 1.762129068480599442e-02
5.613293224844106589e+03 5.340853771294811203e-01 1.830232795388417669e-02
5.618906518068952209e+03 5.300169487975407989e-01 1.946772845861888951e-02
5.624525424587023736e+03 5.296948371509782039e-01 1.977756109849037464e-02
5.630149950011612418e+03 5.326100190024969372e-01 1.972327014153945832e-02
5.635780099961625638e+03 5.291278351736119490e-01 1.924091382645144385e-02
5.641415880061589633e+03 5.203735672758402764e-01 1.850600255172761208e-02
5.647057295941652228e+03 5.321427415467235855e-01 1.515740159218802174e-02
5.652704353237596479e+03 5.316147942000490900e-01 1.431233171746991092e-02
5.658357057590835211e+03 5.328831404484231093e-01 1.402222414441024571e-02
5.664015414648428305e+03 5.507148467991022089e-01 1.367039154011268076e-02
5.669679430063079053e+03 5.678015140802514793e-01 1.416320944729757524e-02
