# starting wavelength: 3395.517
# ending wavelength: 9641.122
# wav flux eflux
3.398684373252549449e+03 9.899927815834502765e-02 1.232067379773594595e+00
3.402083057625803121e+03 1.418719592442471977e-01 9.069014677555222725e-01
3.405485140683430018e+03 1.743467043915881143e-01 6.827795643722643915e-01
3.408890625824114522e+03 1.718251097375393111e-01 5.501834274952032144e-01
3.412299516449939802e+03 2.181829995073800710e-01 4.385433101321157268e-01
3.415711815966390986e+03 3.476482328290713686e-01 3.954203388577753886e-01
3.419127527782358356e+03 4.018010965623330932e-01 3.286957304233930066e-01
3.422546655310141887e+03 4.103908009912121124e-01 2.968339624547457478e-01
3.425969201965453522e+03 4.073175706220965031e-01 2.580001424253514641e-01
3.429395171167419903e+03 4.028202787459196910e-01 2.232208884238051361e-01
3.432824566338588284e+03 3.541624734279042452e-01 2.004736101959604944e-01
3.436257390904928343e+03 2.635560227187436211e-01 1.899559893507490327e-01
3.439693648295834464e+03 2.277478434439627331e-01 1.735401058429536236e-01
3.443133341944131189e+03 1.852621589488774312e-01 1.627113924655423649e-01
3.446576475286076402e+03 1.148577145313703918e-01 1.555950763978391771e-01
3.450023051761363604e+03 1.005256393084915656e-01 1.484389550500810340e-01
3.453473074813126004e+03 9.858792605557389899e-02 1.431250496446547504e-01
3.456926547887940615e+03 9.350834430661636443e-02 1.382134641295740263e-01
3.460383474435829612e+03 1.553436754308634149e-01 1.517077288396570245e-01
3.463843857910266706e+03 1.451116881503970168e-01 1.509520458385427422e-01
3.467307701768178049e+03 1.748621385767689662e-01 1.516814485484546116e-01
3.470775009469947236e+03 1.393269502813707372e-01 1.501559019663369632e-01
3.474245784479418489e+03 1.339840392080635656e-01 1.505035732313004249e-01
3.477720030263898934e+03 5.653479532100411098e-02 1.459482870333790039e-01
3.481197750294164052e+03 3.679890587881404218e-02 1.456087742864127232e-01
3.484678948044459503e+03 5.030191968040276240e-03 1.451259151058967301e-01
3.488163626992504760e+03 4.348059125784417556e-02 1.438481441873969702e-01
3.491651790619498570e+03 9.013319482489384749e-02 1.391084485345029098e-01
3.495143442410119405e+03 1.479683572162256711e-01 1.358886644947236988e-01
3.498638585852530468e+03 1.437004627706461313e-01 1.335662615943632725e-01
3.502137224438384237e+03 1.808847160770532536e-01 1.324905881123741858e-01
3.505639361662823831e+03 2.353823503394892880e-01 1.326273291329390924e-01
3.509145001024487556e+03 2.673381620523158642e-01 1.315453419899617338e-01
3.512654146025513455e+03 2.780757098808886441e-01 1.283474560984821933e-01
3.516166800171540217e+03 2.947711327578741991e-01 1.290765141430907648e-01
3.519682966971712631e+03 3.512489645290807205e-01 1.258006335587807945e-01
3.523202649938685681e+03 3.811237214266890994e-01 1.252014789456733501e-01
3.526725852588625457e+03 3.840205018357805145e-01 1.242252252379924815e-01
3.530252578441215064e+03 4.265980012685809952e-01 1.224762873879517572e-01
3.533782831019657806e+03 4.906897876133078928e-01 1.208228275240705168e-01
3.537316613850678550e+03 5.385658614817651069e-01 1.108535929167709377e-01
