# starting wavelength: 3611.159
# ending wavelength: 9161.932
# wav flux eflux
3.612347825104585809e+03 1.462630637795278465e+00 1.685921791370422529e+00
3.615960172929691907e+03 1.566780989937247348e+00 1.198647930867408062e+00
3.619576133102622407e+03 1.611010433284828292e+00 9.121433583945397494e-01
3.623195709235726554e+03 1.586032212322051160e+00 6.857882687170390179e-01
3.626818904944963379e+03 1.554517931078887694e+00 5.313630794966840432e-01
3.630445723849909427e+03 1.490901661269900202e+00 4.284584978227211072e-01
3.634076169573760581e+03 1.452632655142194640e+00 3.548618564949725385e-01
3.637710245743335690e+03 1.440731255223479224e+00 2.875793436626432609e-01
3.641347955989080219e+03 1.440263207207450380e+00 2.431896313035131207e-01
3.644989303945070333e+03 1.448292664398489249e+00 2.095212921059050604e-01
3.648634293249016537e+03 1.461038433862284602e+00 1.815762860367090836e-01
3.652282927542266862e+03 1.488050611944663926e+00 1.628788944044892162e-01
3.655935210469810499e+03 1.514056112288191924e+00 1.489913639740566287e-01
3.659591145680281443e+03 1.570464873162657593e+00 1.395330877084509091e-01
3.663250736825963031e+03 1.655082651669293137e+00 1.377557849960365788e-01
3.666913987562790226e+03 1.685724942480710808e+00 1.331251770960257264e-01
3.670580901550354156e+03 1.723027252850536151e+00 1.263063287691395253e-01
3.674251482451905758e+03 1.741425380677924295e+00 1.198903515318260338e-01
3.677925733934358959e+03 1.752273696682766335e+00 1.195040255084543618e-01
3.681603659668294313e+03 1.756358766401312055e+00 1.197920203178535897e-01
3.685285263327964003e+03 1.729953703073080051e+00 1.204682912694452906e-01
3.688970548591293209e+03 1.745485156433058238e+00 1.256279122561987649e-01
3.692659519139885560e+03 1.763175746945914613e+00 1.242795433592808613e-01
3.696352178659026777e+03 1.727755272361494177e+00 1.253991412279352458e-01
3.700048530837686940e+03 1.727021931176573544e+00 1.251078138134227302e-01
3.703748579368525952e+03 1.678212105281984723e+00 1.068544781651948050e-01
3.707452327947895355e+03 1.707500286021082392e+00 9.732691596940330758e-02
3.711159780275844696e+03 1.685210749280088738e+00 9.349076924766835939e-02
3.714870940056121526e+03 1.657129952297654141e+00 9.071590628333787987e-02
3.718585810996179134e+03 1.620450284721140832e+00 9.319942815505910527e-02
3.722304396807176545e+03 1.546311322724491122e+00 8.387577840526348749e-02
3.726026701203984885e+03 1.555852592879311214e+00 8.745867394676874740e-02
3.729752727905190113e+03 1.557130560552048015e+00 8.746661401360270038e-02
3.733482480633096657e+03 1.578320326737125745e+00 7.695039679742077254e-02
3.737215963113731050e+03 1.555592222789399237e+00 7.533789692377738934e-02
3.740953179076846027e+03 1.558107596256079086e+00 7.861061194815750774e-02
3.744694132255923705e+03 1.561906225655583125e+00 7.879517857471671216e-02
3.748438826388181042e+03 1.554312425259251285e+00 7.857647061140532463e-02
3.752187265214570289e+03 1.548249997707150660e+00 7.841542935205031428e-02
3.755939452479786269e+03 1.545573253596487673e+00 7.788637885630551871e-02
3.759695391932267285e+03 1.521176132502573664e+00 8.349977840476574542e-02
3.763455087324201031e+03 1.526742901255305762e+00 8.345170160709110274e-02
3.767218542411526414e+03 1.518466949264631882e+00 8.449537753315593258e-02
3.770985760953939007e+03 1.506175017607896072e+00 8.424429596014024191e-02
3.774756746714894234e+03 1.530050103435193654e+00 9.162817385332928943e-02
3.778531503461610555e+03 1.524522765351913334e+00 8.760404816543283790e-02
3.782310034965073100e+03 1.516781579963489168e+00 9.030872797284765496e-02
3.786092345000039586e+03 1.555070404008788598e+00 9.180811820401324486e-02
3.789878437345040766e+03 1.618423972430286906e+00 8.456667173337659160e-02
3.793668315782387253e+03 1.635114329426568647e+00 8.455278393346107868e-02
3.797461984098170888e+03 1.644171914641388899e+00 8.714950144606063709e-02
3.801259446082270188e+03 1.676279843132095104e+00 8.645864226378904838e-02
3.805060705528353537e+03 1.695282947771964643e+00 8.664178858987488241e-02
3.808865766233883278e+03 1.692809626997422878e+00 8.457566199910687699e-02
3.812674632000118436e+03 1.678940198915050308e+00 8.299715470824695074e-02
3.816487306632119726e+03 1.695684261013129968e+00 8.636550011725706300e-02
3.820303793938753188e+03 1.706171039755639329e+00 8.209025665964893304e-02
3.824124097732693372e+03 1.685954490591008215e+00 8.101206889365131225e-02
3.827948221830427428e+03 1.711274000218597324e+00 8.193620349572534878e-02
3.831776170052258749e+03 1.705485816280383871e+00 7.971037591379416531e-02
3.835607946222312421e+03 1.712805805068259746e+00 7.588460267572667839e-02
3.839443554168536139e+03 1.715979011221157702e+00 7.966056085008013654e-02
3.843282997722705659e+03 1.685721477510168542e+00 7.610702342414839283e-02
3.847126280720429804e+03 1.709470229551980580e+00 7.190813107709627394e-02
3.850973407001151372e+03 1.710348642776162498e+00 7.181139541015710281e-02
3.854824380408153957e+03 1.698331707723316875e+00 7.023774277338507011e-02
3.858679204788563311e+03 1.700677840191869850e+00 7.109521380413535985e-02
3.862537883993353262e+03 1.718218785211127475e+00 6.869598784515461298e-02
3.866400421877347981e+03 1.706599961818115796e+00 6.554396727947681134e-02
3.870266822299226533e+03 1.697147863672288093e+00 6.643127398414722107e-02
3.874137089121526969e+03 1.689255932018831174e+00 6.978041884983278431e-02
3.878011226210649966e+03 1.671500904663567599e+00 6.774560201574539309e-02
3.881889237436861549e+03 1.653028794221487630e+00 6.323530704722390983e-02
3.885771126674299921e+03 1.635824263239845422e+00 6.662616748117818066e-02
3.889656897800975457e+03 1.667616220907485181e+00 5.906888140879448107e-02
3.893546554698777527e+03 1.640621002093946013e+00 5.802908496390679627e-02
3.897440101253477678e+03 1.601468558188145597e+00 5.519243430999980216e-02
3.901337541354732366e+03 1.602877563584776954e+00 5.124551634502413217e-02
3.905238878896088409e+03 1.569531006419499608e+00 5.815472344613498851e-02
3.909144117774985716e+03 1.563745615240551334e+00 5.831567063605671425e-02
3.913053261892762293e+03 1.550161679845108331e+00 5.795993365999072000e-02
3.916966315154656058e+03 1.540321649104848145e+00 5.732132591646076081e-02
3.920883281469812118e+03 1.534534711373344518e+00 6.056503790098693996e-02
3.924804164751283224e+03 1.526379316666309105e+00 5.987394753014121246e-02
3.928728968916035683e+03 1.523932765692596725e+00 5.645142958721759835e-02
3.932657697884953450e+03 1.531920850144173230e+00 5.968986478190331513e-02
3.936590355582839493e+03 1.532356954965893525e+00 5.793629373875068544e-02
3.940526945938423523e+03 1.545074275840555345e+00 5.765561575875535055e-02
3.944467472884363360e+03 1.564585936202466554e+00 5.771906089603574819e-02
3.948411940357249023e+03 1.579625962048381016e+00 5.866468476933001108e-02
3.952360352297607733e+03 1.611957569690709136e+00 5.902413212819569016e-02
3.956312712649906643e+03 1.658265271140858976e+00 5.948590572909531748e-02
3.960269025362557841e+03 1.689302078842594756e+00 5.928261842954232752e-02
3.964229294387921527e+03 1.735392930643959497e+00 5.900689452459356721e-02
3.968193523682310570e+03 1.799078287713376856e+00 5.979927716170011648e-02
3.972161717205994591e+03 1.816555446060949652e+00 6.319036102701702795e-02
3.976133878923201792e+03 1.824451590958654279e+00 5.997942018162653877e-02
3.980110012802126221e+03 1.800789818820146104e+00 6.024359190536002218e-02
3.984090122814929600e+03 1.772317287731933977e+00 6.387732385425645698e-02
3.988074212937745870e+03 1.727638488979493792e+00 7.204553728809139079e-02
3.992062287150684824e+03 1.688709366975177151e+00 7.420120516604442051e-02
3.996054349437837118e+03 1.664108699101191746e+00 7.402793978262940666e-02
4.000050403787276082e+03 1.598162549510985908e+00 7.038759506109046327e-02
4.004050454191064546e+03 1.560887491154002715e+00 6.771746158779434754e-02
4.008054504645257111e+03 1.506340678556831847e+00 5.822528844264130560e-02
4.012062559149903791e+03 1.504952756581587670e+00 5.657234245158871550e-02
4.016074621709055009e+03 1.547022140292360293e+00 6.036209523043414849e-02
4.020090696330765240e+03 1.535440115785043025e+00 6.241764792613432172e-02
4.024110787027097558e+03 1.567824982341291307e+00 5.912459462499877749e-02
4.028134897814125907e+03 1.587647733123529692e+00 5.567809184328430250e-02
4.032163032711941469e+03 1.646626442496557541e+00 5.775276084645529495e-02
4.036195195744654484e+03 1.687605853760249408e+00 4.826253093085825646e-02
