# starting wavelength: 5696.205
# ending wavelength: 8558.337
# wav flux eflux
5.698084580732852373e+03 7.562445383770876051e-01 3.358418059889677065e-02
5.703782665313587131e+03 7.552114848053991247e-01 2.509937558646562969e-02
5.709486447978903016e+03 7.572724766556558906e-01 1.931136834283923853e-02
5.715195934426883468e+03 7.603635926333399686e-01 1.499302713729964466e-02
5.720911130361312644e+03 7.628918792547966232e-01 1.182771838622017832e-02
5.726632041491675409e+03 7.643256429297775600e-01 9.442827014402110572e-03
5.732358673533169167e+03 7.648138391535513891e-01 7.667865079422977147e-03
5.738091032206703858e+03 7.642549310297167553e-01 6.479212636289245070e-03
5.743829123238912871e+03 7.628151343533533524e-01 5.517857567453574724e-03
5.749572952362153046e+03 7.609024050104694625e-01 4.830405288211955458e-03
5.755322525314517407e+03 7.599958111290875395e-01 4.332027879881216945e-03
5.761077847839834249e+03 7.604234519763894973e-01 3.967609014155919038e-03
5.766838925687675328e+03 7.628662891074545760e-01 3.835986022286143413e-03
5.772605764613364954e+03 7.649742493141411526e-01 3.674034023155197878e-03
5.778378370377980900e+03 7.665067147881658993e-01 3.516795113049065846e-03
5.784156748748360769e+03 7.671497107384910308e-01 3.466787678324008328e-03
5.789940905497111089e+03 7.673536989916099893e-01 3.814082008041055991e-03
5.795730846402610041e+03 7.678642047982969787e-01 3.987730101576245773e-03
5.801526577249013826e+03 7.702841261001291961e-01 4.012266112375336043e-03
5.807328103826264851e+03 7.805190027924941987e-01 5.300156241822856322e-03
5.813135431930093546e+03 7.884005678126645433e-01 6.295701341101461214e-03
5.818948567362025642e+03 7.971917244965492921e-01 6.515264281176809044e-03
5.824767515929389447e+03 8.022611192821612613e-01 6.520123525691184224e-03
5.830592283445320390e+03 8.039067844857001877e-01 6.554880747335972528e-03
5.836422875728768304e+03 8.044207644387172396e-01 6.536281782751572449e-03
5.842259298604498326e+03 8.019032560686080169e-01 6.661704914044335075e-03
5.848101557903105459e+03 7.948754121786855142e-01 7.001202189096103999e-03
5.853949659461010015e+03 7.854657647910747720e-01 7.200991805118333450e-03
5.859803609120473084e+03 7.747611352977674670e-01 7.376781233733818548e-03
5.865663412729595620e+03 7.662323982416390233e-01 7.552312411490238846e-03
5.871529076142326630e+03 7.629930095651956679e-01 7.660678928319265835e-03
5.877400605218471355e+03 7.557229163103048597e-01 7.653979173446286838e-03
5.883278005823691274e+03 7.494371255243509333e-01 7.640199254951978228e-03
5.889161283829516833e+03 7.468173126514616733e-01 7.667849489080870440e-03
5.895050445113348360e+03 7.496918786077800823e-01 7.976446001422840895e-03
5.900945495558464245e+03 7.540140934801774497e-01 8.150709869256452314e-03
5.906846441054024581e+03 7.625012530641723796e-01 8.327654387641708969e-03
5.912753287495080258e+03 7.721079439634219721e-01 8.526261415121102680e-03
5.918666040782577511e+03 7.829635618352791537e-01 8.639177503876556419e-03
5.924584706823361557e+03 7.945775646843736828e-01 8.425378528837332293e-03
5.930509291530187511e+03 8.048461668291532201e-01 8.219240725219012500e-03
5.936439800821719473e+03 8.118915803849778845e-01 8.397647165583404030e-03
5.942376240622543264e+03 8.118962927517118233e-01 8.538914913659004235e-03
5.948318616863167335e+03 8.036443771138448433e-01 6.865104545441725117e-03
5.954266935480032771e+03 8.002183861602850667e-01 5.530617234087167877e-03
5.960221202415515108e+03 8.069165845197351361e-01 5.103778557458002289e-03
5.966181423617932523e+03 8.165187293255987688e-01 4.543450157310930000e-03
5.972147605041552197e+03 8.214010382242490360e-01 4.649706049914458829e-03
5.978119752646595771e+03 8.269541580882443510e-01 4.713681660745826056e-03
5.984097872399243897e+03 8.325508002690000797e-01 4.801287200292380340e-03
5.990081970271645332e+03 8.382770469542927261e-01 4.768364830575638411e-03
5.996072052241918755e+03 8.424690558652154770e-01 4.745689461197788277e-03
6.002068124294162772e+03 8.445472190453702233e-01 4.736773628999432946e-03
6.008070192418459555e+03 8.462344706512937575e-01 4.705014386171726959e-03
6.014078262610879392e+03 8.430650827601763320e-01 4.684880842949007244e-03
6.020092340873492503e+03 8.398661305844998815e-01 4.398046183561135983e-03
6.026112433214368139e+03 8.399026020314774854e-01 4.405793608008054356e-03
6.032138545647584579e+03 8.363595378992855212e-01 4.342354937180692952e-03
6.038170684193233683e+03 8.375930420685292477e-01 4.222273664303182253e-03
6.044208854877429076e+03 8.432025633295092693e-01 4.107156257927607919e-03
6.050253063732308874e+03 8.492508575863948472e-01 4.035153620496465497e-03
6.056303316796042964e+03 8.513812619228772194e-01 3.704673424779979327e-03
6.062359620112841185e+03 8.525689339564062053e-01 3.674215769791623881e-03
6.068421979732956061e+03 8.568890267153719265e-01 3.673348949216791864e-03
6.074490401712690982e+03 8.650626690437341892e-01 3.714446642991139653e-03
6.080564892114405666e+03 8.681419449618114070e-01 3.697348849247500055e-03
6.086645457006521610e+03 8.712380399117121144e-01 3.601043383668944223e-03
6.092732102463530282e+03 8.753381414443538455e-01 3.663525068877009072e-03
6.098824834565995843e+03 8.756812138697669390e-01 3.767867898890855244e-03
6.104923659400564247e+03 8.764275728195851656e-01 3.662483625198708140e-03
6.111028583059966877e+03 8.776837122553703407e-01 3.803608706935487135e-03
6.117139611643028729e+03 8.791338441186760111e-01 3.773432888945248750e-03
6.123256751254673873e+03 8.836721195146313157e-01 3.844155953119224312e-03
6.129380008005929994e+03 8.842729135704890941e-01 3.759927999633661151e-03
6.135509388013938405e+03 8.860173008270610939e-01 3.710241808148082715e-03
6.141644897401954040e+03 8.876408790751191269e-01 3.600482087716685379e-03
6.147786542299358189e+03 8.840208711685286769e-01 3.638958473921689515e-03
6.153934328841659408e+03 8.798087443939972552e-01 3.719555192230153927e-03
6.160088263170503524e+03 8.746473402006488262e-01 3.810439846804832085e-03
6.166248351433675452e+03 8.686443622972839229e-01 3.899425988823303820e-03
6.172414599785111022e+03 8.626867094598903440e-01 3.846991484813419137e-03
6.178587014384898794e+03 8.564858979430703956e-01 3.637459781802513357e-03
6.184765601399285515e+03 8.525291860332302463e-01 3.619029539113123237e-03
6.190950367000687038e+03 8.522488601297391053e-01 3.606070411311392779e-03
6.197141317367689226e+03 8.504909485560874227e-01 3.490029529941830397e-03
6.203338458685059777e+03 8.569478012621484231e-01 3.548313276274909622e-03
6.209541797143746408e+03 8.697303838304362156e-01 3.577061470008782197e-03
6.215751338940892310e+03 8.841505194500981490e-01 3.961944496964955528e-03
6.221967090279835247e+03 8.966522028450764070e-01 4.063236511338618601e-03
6.228189057370116643e+03 9.106116588561041780e-01 3.980125176319539854e-03
6.234417246427488863e+03 9.193291181771723330e-01 4.153911795292430584e-03
6.240651663673918847e+03 9.256378231600181916e-01 4.034062921601379997e-03
6.246892315337594482e+03 9.174971110277070352e-01 4.768959167010579543e-03
6.253139207652934601e+03 9.037996268359973495e-01 5.418813491750942672e-03
6.259392346860589896e+03 8.871062893818826289e-01 5.846428786678397639e-03
6.265651739207452010e+03 8.720045718608101515e-01 5.585911325481114978e-03
6.271917390946661726e+03 8.601021295351641838e-01 5.311965189469287571e-03
6.278189308337610782e+03 8.493220258674041290e-01 4.953843050103141563e-03
6.284467497645950061e+03 8.460844084481308203e-01 5.185633651405291075e-03
6.290751965143597772e+03 8.504667941096467620e-01 5.468676405600434755e-03
6.297042717108744000e+03 8.630954197265459094e-01 5.736346162885723812e-03
6.303339759825854344e+03 8.792662570454138349e-01 5.588265265624088943e-03
6.309643099585682648e+03 8.915686672923942568e-01 5.213272178776157638e-03
6.315952742685270096e+03 8.988463773036848847e-01 5.268517968118000168e-03
6.322268695427957937e+03 9.037100682191079315e-01 5.410136081553976531e-03
6.328590964123387494e+03 9.050092273471891380e-01 5.420363115393748467e-03
6.334919555087512890e+03 9.044408654596811648e-01 5.367706839946282532e-03
6.341254474642602872e+03 8.993869118285563458e-01 5.001573359806564360e-03
6.347595729117247174e+03 8.968932884175286890e-01 4.887835458342799574e-03
6.353943324846366522e+03 8.965953527202625839e-01 4.959755228982617309e-03
6.360297268171215364e+03 9.006460765502714017e-01 4.372651881220213956e-03
6.366657565439388236e+03 9.007536618427034458e-01 4.458790668545139189e-03
6.373024223004829764e+03 9.003027059768432538e-01 4.533277859637921230e-03
6.379397247227837397e+03 9.014514848405958958e-01 4.588209487612462771e-03
6.385776644475066860e+03 9.073729596157509292e-01 4.483235777040763675e-03
6.392162421119543978e+03 9.135297662613074410e-01 4.553641925619702178e-03
6.398554583540665590e+03 9.160325187300880634e-01 4.450018462016336676e-03
6.404953138124208635e+03 9.217086714494814315e-01 4.518212562581686714e-03
6.411358091262334710e+03 9.248114447770564572e-01 3.907528651222394976e-03
6.417769449353599157e+03 9.320594855852584182e-01 3.730039441361717670e-03
6.424187218802954703e+03 9.402533623670075169e-01 3.498183937465528144e-03
6.430611406021760558e+03 9.439581365209919195e-01 3.274836180865218788e-03
6.437042017427784231e+03 9.437682891535276175e-01 3.217936392997471171e-03
6.443479059445214261e+03 9.422421215909660974e-01 3.259785997649012734e-03
6.449922538504661134e+03 9.384848083439578659e-01 3.275622880161066161e-03
6.456372461043168187e+03 9.332151605652493354e-01 3.220427552753007960e-03
6.462828833504213435e+03 9.244772069058093678e-01 3.260885007480945810e-03
6.469291662337719572e+03 9.229464201281785130e-01 3.294761777387765489e-03
6.475760954000059428e+03 9.237570694088551582e-01 3.473741164137406599e-03
6.482236714954061426e+03 9.307532685597345035e-01 4.720924588511987881e-03
6.488718951669017770e+03 9.371107299817968972e-01 6.091603813889129825e-03
6.495207670620688987e+03 9.543809048361965308e-01 1.036111947517517895e-02
6.501702878291312118e+03 9.436385429362621480e-01 1.919871138989810017e-02
6.508204581169605262e+03 8.905705416682696551e-01 3.770314512470485796e-02
6.514712785750777584e+03 8.688990197573553953e-01 4.462484833884585583e-02
6.521227498536530220e+03 9.318406595547842342e-01 4.330031333854943154e-02
6.527748726035069012e+03 1.049111772562059564e+00 4.532588008021147530e-02
6.534276474761106329e+03 1.217016894179467901e+00 5.097312104825951068e-02
6.540810751235869247e+03 1.392722702529768153e+00 5.579244870200088940e-02
6.547351561987107743e+03 1.545669771424023953e+00 5.709005711940791372e-02
6.553898913549096505e+03 1.674973771079672158e+00 5.551813593400913710e-02
6.560452812462647671e+03 1.745160593956437634e+00 5.309410252516856554e-02
6.567013265275112644e+03 1.744895509191011662e+00 5.306750103550379738e-02
6.573580278540390282e+03 1.676403018816281731e+00 5.609929699518181878e-02
6.580153858818932349e+03 1.548794913165111753e+00 5.868614135161301371e-02
6.586734012677753526e+03 1.370511721498022029e+00 5.779776729736862961e-02
6.593320746690433225e+03 1.171036450157207476e+00 5.280122208509827053e-02
6.599914067437126505e+03 9.991762227491989279e-01 4.633319624608431275e-02
6.606513981504565891e+03 8.745851051126596332e-01 4.465109090387190532e-02
6.613120495486072286e+03 8.340378541236830312e-01 4.683573538750192278e-02
6.619733615981560433e+03 8.811200081951529040e-01 3.939340298634911447e-02
6.626353349597544366e+03 9.764337551800053028e-01 1.329690929248953345e-02
6.632979702947143778e+03 9.711047087655414467e-01 6.484270921036060231e-03
6.639612682650093120e+03 9.724372633922261366e-01 5.026136628320493349e-03
6.646252295332745234e+03 9.734640160247779450e-01 5.307239679840128690e-03
6.652898547628080451e+03 9.758742592547223760e-01 5.070534269541339574e-03
6.659551446175711135e+03 9.788995211940485497e-01 4.836189926161991136e-03
6.666210997621888964e+03 9.717048202366977971e-01 4.570801013360325203e-03
6.672877208619513112e+03 9.702626939547139839e-01 4.963675739983503150e-03
6.679550085828134797e+03 9.715072509913974530e-01 5.385590932512460474e-03
6.686229635913964557e+03 9.682930375259659606e-01 5.514462707436708529e-03
6.692915865549881346e+03 9.633087903258481521e-01 5.552493816299014853e-03
6.699608781415433441e+03 9.558314060000810963e-01 5.599392365558181726e-03
6.706308390196851178e+03 9.504731291499309842e-01 5.651255858525954315e-03
6.713014698587049679e+03 9.454435899271546040e-01 5.751614710079497317e-03
6.719727713285638856e+03 9.379393868375059951e-01 5.303524674219953737e-03
6.726447440998927050e+03 9.319050993009408979e-01 5.094509521673117568e-03
6.733173888439928305e+03 9.301291374930574785e-01 5.094282012584575199e-03
6.739907062328370557e+03 9.356227457151840010e-01 5.224322629325722604e-03
6.746646969390701088e+03 9.421477992937855594e-01 5.134989582691244607e-03
6.753393616360093802e+03 9.452161728595767087e-01 5.123460467295029748e-03
6.760147009976456502e+03 9.445339321233778840e-01 6.471062185279326251e-03
6.766907156986434529e+03 9.581097713936231886e-01 7.906257037801787610e-03
6.773674064143423493e+03 9.656328128354412232e-01 8.096418542354927653e-03
6.780447738207569273e+03 9.717812394319771396e-01 8.098902892822772148e-03
6.787228185945778932e+03 9.711928686172922598e-01 8.062723922582382824e-03
6.794015414131727084e+03 9.527903734414459036e-01 9.181336580248403156e-03
6.800809429545861349e+03 9.427666879668433753e-01 9.109902677960237879e-03
6.807610238975408720e+03 9.441579482264483847e-01 8.934752088550435012e-03
6.814417849214386479e+03 9.459101650463258570e-01 8.962993392113607904e-03
6.821232267063603103e+03 9.465540468767700277e-01 8.951151137176765679e-03
6.828053499330669183e+03 9.497925715045478778e-01 8.866428724937785999e-03
6.834881552830001965e+03 9.537686046767014370e-01 8.864916606452621223e-03
6.841716434382834450e+03 9.600749028986933498e-01 8.950293999478565674e-03
6.848558150817219939e+03 9.633741442371500652e-01 8.930152259404933526e-03
6.855406708968039311e+03 9.659696777206259188e-01 8.843918208264365047e-03
6.862262115677009206e+03 9.677967934579472242e-01 8.742470448180833173e-03
6.869124377792688392e+03 9.701544120672644933e-01 8.767860030877332525e-03
6.875993502170483225e+03 9.748511684693420554e-01 8.706722589580224991e-03
6.882869495672656740e+03 9.712315262888785439e-01 8.471345321819583052e-03
6.889752365168331380e+03 9.640187984081790562e-01 7.763439541445969240e-03
6.896642117533501732e+03 9.604397022970988518e-01 6.602366156556840546e-03
6.903538759651037253e+03 9.601121868145884308e-01 6.458492811191669965e-03
6.910442298410691365e+03 9.769384640889863247e-01 8.329357966831390028e-03
6.917352740709104182e+03 9.919930043480387205e-01 8.273073459601704496e-03
6.924270093449815249e+03 9.900568878949982388e-01 8.161885103800930324e-03
6.931194363543267173e+03 9.792815006183777093e-01 8.156064012129843332e-03
6.938125557906812901e+03 9.697988041146178295e-01 8.272379342977710312e-03
6.945063683464722089e+03 9.575469309284146968e-01 8.576687407078113778e-03
6.952008747148189286e+03 9.464836686650016651e-01 8.448162924412666586e-03
6.958960755895339389e+03 9.395593397409496284e-01 8.347949639317901044e-03
