# starting wavelength: 3394.758
# ending wavelength: 9984.783
# wav flux eflux
3.395289084168380214e+03 9.714111098881389461e-02 1.204167079213736835e-01
3.398684373252549449e+03 7.270418338452934448e-02 8.982339175211132010e-02
3.402083057625803121e+03 5.971282240784755307e-02 6.679358419410641456e-02
3.405485140683430018e+03 5.139116971215826335e-02 5.108411738178510186e-02
3.408890625824114522e+03 4.805847425089115887e-02 3.985150811051037245e-02
3.412299516449939802e+03 4.616756822319650205e-02 3.161134572182822122e-02
3.415711815966390986e+03 4.919763336742648263e-02 2.568156706558773900e-02
3.419127527782358356e+03 5.217248981585891759e-02 2.220790193249913558e-02
3.422546655310141887e+03 5.464813062376118469e-02 1.847409816716934564e-02
3.425969201965453522e+03 5.759132340716022203e-02 1.590319767249643093e-02
3.429395171167419903e+03 6.068089206738302988e-02 1.390015894031805359e-02
3.432824566338588284e+03 6.583620251214959695e-02 1.264269606733772061e-02
3.436257390904928343e+03 6.670816010328900481e-02 1.153986182646844771e-02
3.439693648295834464e+03 6.326202910330172569e-02 1.099406160583140356e-02
3.443133341944131189e+03 6.402065756899111282e-02 1.019766686191416610e-02
3.446576475286076402e+03 6.614156310975734254e-02 9.620470407902512872e-03
3.450023051761363604e+03 6.571660493599759678e-02 9.224460331936645135e-03
3.453473074813126004e+03 6.284817104845293045e-02 8.973146768450630806e-03
3.456926547887940615e+03 5.850152054052708273e-02 8.967072331103331795e-03
3.460383474435829612e+03 5.929673912525124796e-02 8.760257510246689111e-03
3.463843857910266706e+03 6.147038167328469638e-02 8.896404427950097352e-03
3.467307701768178049e+03 5.909739582286743786e-02 8.691215913967159298e-03
3.470775009469947236e+03 5.734171628292000777e-02 8.570813114028554003e-03
3.474245784479418489e+03 5.426418610287870453e-02 8.467707592786742968e-03
3.477720030263898934e+03 5.029821686957897109e-02 8.362071347588049056e-03
3.481197750294164052e+03 4.757373978978288870e-02 8.450574827474263348e-03
3.484678948044459503e+03 5.050621613445776398e-02 8.118800108950800440e-03
3.488163626992504760e+03 5.235829445413223843e-02 7.994988368595818545e-03
3.491651790619498570e+03 5.525394101442673150e-02 8.071894880408355191e-03
3.495143442410119405e+03 5.241681843377313937e-02 8.179706964432941624e-03
3.498638585852530468e+03 5.344062922530452842e-02 7.991629883728612951e-03
3.502137224438384237e+03 5.258522849705647012e-02 7.983869358128723934e-03
3.505639361662823831e+03 5.529549572023996495e-02 8.018418970093903891e-03
3.509145001024487556e+03 5.396338924294187545e-02 7.949251010856386163e-03
3.512654146025513455e+03 5.564644047813645245e-02 7.799068856948995418e-03
3.516166800171540217e+03 5.751775182262485603e-02 7.591717014084696513e-03
3.519682966971712631e+03 5.596443073030360482e-02 7.607422756233004138e-03
3.523202649938685681e+03 5.629506022858922487e-02 7.365913615384733597e-03
3.526725852588625457e+03 5.521782624329354267e-02 7.091184193100299148e-03
3.530252578441215064e+03 5.805559482768933577e-02 7.101005020037172086e-03
3.533782831019657806e+03 5.935823424630331385e-02 7.124732177523377882e-03
3.537316613850678550e+03 5.755691605937093835e-02 6.976734563837003189e-03
3.540853930464530094e+03 5.608549982093457426e-02 6.831479884715254726e-03
3.544394784394995895e+03 5.799998684265483817e-02 6.908898239770970562e-03
3.547939179179392340e+03 5.768419862684188992e-02 6.721714747488139255e-03
3.551487118358572843e+03 5.946003596617616821e-02 6.459068193442926709e-03
3.555038605476932389e+03 6.097395527847608576e-02 6.412542124469189538e-03
3.558593644082410719e+03 5.933424215622750547e-02 6.354041623915447461e-03
3.562152237726494150e+03 5.628676055893624963e-02 6.165679669065443971e-03
3.565714389964221937e+03 5.186016209155889373e-02 6.215482823050637665e-03
3.569280104354187188e+03 5.433143931568874818e-02 6.188745281387021159e-03
3.572849384458542772e+03 5.335308965194343611e-02 6.212293089807278609e-03
3.576422233843002232e+03 5.007324032551946358e-02 5.973931358138246522e-03
3.579998656076846601e+03 5.184839277935225643e-02 6.137419265433241219e-03
3.583578654732924406e+03 5.109766840622494838e-02 5.995541024912701307e-03
3.587162233387658489e+03 5.348960768575505148e-02 5.997243003393364774e-03
3.590749395621047370e+03 5.076835094943973892e-02 6.061118272407450651e-03
3.594340145016669794e+03 5.126080808636676589e-02 6.051662414692488001e-03
3.597934485161687462e+03 4.908130076270392217e-02 6.045013983925949519e-03
3.601532419646850485e+03 5.131021117714809621e-02 6.182061456786630202e-03
3.605133952066498296e+03 5.379688179598249298e-02 5.900296760854360605e-03
3.608739086018566013e+03 5.238045911485762068e-02 5.893467380994540927e-03
3.612347825104585809e+03 5.455395307591893311e-02 5.882091646556288425e-03
3.615960172929691907e+03 5.529830758350429143e-02 5.627982050993944434e-03
3.619576133102622407e+03 5.715811209899619022e-02 5.596264503941836277e-03
3.623195709235726554e+03 5.789701544881087347e-02 5.536934461939171243e-03
3.626818904944963379e+03 5.914548485718412046e-02 5.492929226509157478e-03
3.630445723849909427e+03 5.898515944823148199e-02 5.387527180521804564e-03
3.634076169573760581e+03 5.973738428819040658e-02 5.264154670693572784e-03
3.637710245743335690e+03 6.087752010998789126e-02 5.265653375921811388e-03
3.641347955989080219e+03 6.027262131753101382e-02 5.297208741791781944e-03
3.644989303945070333e+03 6.106885715066080050e-02 5.195733047787091247e-03
3.648634293249016537e+03 6.128487161211307321e-02 5.235113477518519090e-03
3.652282927542266862e+03 6.180957476521100474e-02 5.213062170327478762e-03
3.655935210469810499e+03 6.044592347994645620e-02 5.138785449056133305e-03
3.659591145680281443e+03 6.095361756936022030e-02 5.157450290094694849e-03
3.663250736825963031e+03 6.243920253553211785e-02 4.983024361513898638e-03
3.666913987562790226e+03 6.178893133598050563e-02 4.973383073812080203e-03
3.670580901550354156e+03 6.264826507042123294e-02 4.901469753229660380e-03
3.674251482451905758e+03 6.457226412982755570e-02 5.478771590078968662e-03
3.677925733934358959e+03 5.986680776611058574e-02 5.765229945596599473e-03
3.681603659668294313e+03 5.139197696102815183e-02 6.553754044498646264e-03
3.685285263327964003e+03 5.066316336432950818e-02 6.548255070970946355e-03
3.688970548591293209e+03 4.740950200406043868e-02 6.558956609981766821e-03
3.692659519139885560e+03 4.936570454729859170e-02 6.550768986488536907e-03
3.696352178659026777e+03 5.146315848428877071e-02 6.507440374441362217e-03
3.700048530837686940e+03 5.080162367424756464e-02 6.370355873628890872e-03
3.703748579368525952e+03 5.523414735307086848e-02 6.297493280946464371e-03
3.707452327947895355e+03 6.068881706900478706e-02 6.543377620620426105e-03
3.711159780275844696e+03 6.284176081781113476e-02 6.513541276989569598e-03
3.714870940056121526e+03 6.796316445743454115e-02 6.276020882890464940e-03
3.718585810996179134e+03 7.048631390915256756e-02 6.283824233606976131e-03
3.722304396807176545e+03 7.275849538729495247e-02 6.300295882096422842e-03
3.726026701203984885e+03 7.654366009358655465e-02 6.095465935217749161e-03
