# starting wavelength: 3486.732
# ending wavelength: 9372.466
# wav flux eflux
3.488163626992504760e+03 1.782616614245768061e-01 5.987352848549153117e-02
3.491651790619498570e+03 1.801731310829805532e-01 4.337733822244035226e-02
3.495143442410119405e+03 1.797797280487152261e-01 3.225490567801631708e-02
3.498638585852530468e+03 1.789565692508886252e-01 2.467917617994459106e-02
3.502137224438384237e+03 1.760424508319825831e-01 1.930082765273202772e-02
3.505639361662823831e+03 1.723353861403451037e-01 1.619716440277860561e-02
3.509145001024487556e+03 1.748041611026640019e-01 1.311067693269917997e-02
3.512654146025513455e+03 1.768329459988704500e-01 1.122790438076957248e-02
3.516166800171540217e+03 1.768991229650613839e-01 9.843229875389908345e-03
3.519682966971712631e+03 1.757402417472460621e-01 8.318518863974390734e-03
3.523202649938685681e+03 1.746288753094793478e-01 7.218098824917043577e-03
3.526725852588625457e+03 1.778426590752932857e-01 6.885841587118528458e-03
3.530252578441215064e+03 1.823552058876440618e-01 6.502946049007664146e-03
3.533782831019657806e+03 1.839846007726088639e-01 5.967648859483247470e-03
3.537316613850678550e+03 1.830823382064002969e-01 5.642217577043557621e-03
3.540853930464530094e+03 1.835078318338848047e-01 5.383156085191281165e-03
3.544394784394995895e+03 1.836709154468788296e-01 5.137183369195833654e-03
3.547939179179392340e+03 1.868062683994400619e-01 4.966906952121432142e-03
3.551487118358572843e+03 1.907729004118790539e-01 4.863742066435898341e-03
3.555038605476932389e+03 1.917299397438348152e-01 4.792677414055570607e-03
3.558593644082410719e+03 1.922792965691683953e-01 4.896660022149808625e-03
3.562152237726494150e+03 1.954560821995148245e-01 4.839380282008395699e-03
3.565714389964221937e+03 1.975594083841520354e-01 4.813461285825727451e-03
3.569280104354187188e+03 2.033140570379116385e-01 4.913387533155965520e-03
3.572849384458542772e+03 2.061967060780426630e-01 4.872134521902870934e-03
3.576422233843002232e+03 2.108206216131983390e-01 4.833148351891376066e-03
3.579998656076846601e+03 2.149767404744492572e-01 4.842373363305572768e-03
3.583578654732924406e+03 2.190437049142838766e-01 4.817916628277981936e-03
3.587162233387658489e+03 2.256197540736855356e-01 4.880510058355375450e-03
3.590749395621047370e+03 2.310223823477554339e-01 4.992191125521072692e-03
3.594340145016669794e+03 2.380545068879831583e-01 5.048950123710532235e-03
3.597934485161687462e+03 2.437690854290351927e-01 5.082359899150638329e-03
3.601532419646850485e+03 2.459577716040649287e-01 5.065571174588737180e-03
3.605133952066498296e+03 2.508048642432247344e-01 5.053394148704265162e-03
3.608739086018566013e+03 2.533777432322172896e-01 5.123934748778331133e-03
3.612347825104585809e+03 2.577918072562880303e-01 5.099997586902995164e-03
3.615960172929691907e+03 2.584037345499772820e-01 5.167838436314089144e-03
3.619576133102622407e+03 2.596143249476389192e-01 5.260235501158432719e-03
3.623195709235726554e+03 2.607450244712525289e-01 5.352227948138816790e-03
3.626818904944963379e+03 2.654069161957648415e-01 5.410968665767030422e-03
3.630445723849909427e+03 2.689334176841897683e-01 5.546949747499647053e-03
3.634076169573760581e+03 2.743968609517045132e-01 5.572305433168217061e-03
3.637710245743335690e+03 2.758691772774897188e-01 5.439046490921160826e-03
3.641347955989080219e+03 2.770942257520999652e-01 5.432714480539423303e-03
3.644989303945070333e+03 2.787177252074727885e-01 5.367020096950454733e-03
3.648634293249016537e+03 2.838287257447119072e-01 5.467193345677417646e-03
3.652282927542266862e+03 2.892106901978847011e-01 5.638989980283180652e-03
3.655935210469810499e+03 2.979177486492721738e-01 5.293704751696356840e-03
3.659591145680281443e+03 3.008609338414320322e-01 5.415723029616734303e-03
3.663250736825963031e+03 3.040237902869589171e-01 5.517658982747985358e-03
3.666913987562790226e+03 3.072590349983987390e-01 5.650017993349778535e-03
3.670580901550354156e+03 3.136264742494334068e-01 5.692679222401388940e-03
3.674251482451905758e+03 3.195000877633574765e-01 5.844376508652373778e-03
3.677925733934358959e+03 3.221846519044672119e-01 6.136111635990966137e-03
3.681603659668294313e+03 3.225998607880460334e-01 6.158141318806090690e-03
3.685285263327964003e+03 3.258045298810118284e-01 6.270995202141154204e-03
3.688970548591293209e+03 3.295720545734616147e-01 6.220748385822399973e-03
3.692659519139885560e+03 3.348319112232653882e-01 6.311440760563757565e-03
3.696352178659026777e+03 3.381053764275349094e-01 6.179270328768110554e-03
3.700048530837686940e+03 3.412208340848789656e-01 6.171285818042276591e-03
3.703748579368525952e+03 3.424663559928151080e-01 6.149598229364377361e-03
3.707452327947895355e+03 3.499381697722374063e-01 6.277819203723781355e-03
3.711159780275844696e+03 3.622763990846671889e-01 6.332957142398431757e-03
3.714870940056121526e+03 3.741149377740567994e-01 6.198667390267297364e-03
3.718585810996179134e+03 3.817678358347130763e-01 6.348207595665895757e-03
3.722304396807176545e+03 3.929309135936372432e-01 6.244918294293363460e-03
3.726026701203984885e+03 4.045502371543359676e-01 6.102273379618598781e-03
3.729752727905190113e+03 4.123206071465663203e-01 6.179192547501849431e-03
3.733482480633096657e+03 4.198689667152950555e-01 6.309649620828715333e-03
