# starting wavelength: 3635.506
# ending wavelength: 7966.310
# wav flux eflux
3.637710245743335690e+03 1.695056562764104990e+00 3.471058526238550712e-01
3.641347955989080219e+03 1.687808143280547846e+00 2.558025032655281694e-01
3.644989303945070333e+03 1.691648635019314728e+00 1.944481268714315647e-01
3.648634293249016537e+03 1.639223824368277516e+00 2.778031245930661086e-01
3.652282927542266862e+03 1.721009442434932479e+00 2.561776838018068880e-01
3.655935210469810499e+03 1.761017099882728365e+00 2.021689943765566100e-01
3.659591145680281443e+03 1.805086657654427995e+00 1.740441709123484171e-01
3.663250736825963031e+03 1.835100616524343753e+00 1.416376288107131232e-01
3.666913987562790226e+03 1.829014345650715745e+00 1.476235804081757197e-01
3.670580901550354156e+03 1.811127426367482807e+00 1.370084049462987896e-01
3.674251482451905758e+03 1.816513740597264004e+00 1.198686420253174956e-01
3.677925733934358959e+03 1.840575543052308971e+00 1.084324441406757378e-01
3.681603659668294313e+03 1.921100636607969481e+00 1.122279761012414112e-01
3.685285263327964003e+03 1.960195924692019309e+00 1.053236604390953707e-01
3.688970548591293209e+03 2.043676915690406215e+00 1.044723401225158416e-01
3.692659519139885560e+03 2.088979211608747111e+00 1.016644235328299506e-01
3.696352178659026777e+03 2.159513438178061850e+00 9.948225790362401344e-02
3.700048530837686940e+03 2.233272320257169152e+00 1.012074474954370445e-01
3.703748579368525952e+03 2.277894184696518831e+00 1.039357329549339820e-01
3.707452327947895355e+03 2.316041923252035062e+00 1.006584112902495776e-01
3.711159780275844696e+03 2.298838811781146685e+00 1.066410539554047548e-01
3.714870940056121526e+03 2.319884236544594636e+00 1.105713790016750325e-01
3.718585810996179134e+03 2.301965935441645961e+00 1.082335269045298504e-01
3.722304396807176545e+03 2.314060663421579900e+00 1.127110806058202186e-01
3.726026701203984885e+03 2.322804292211057664e+00 1.120900796273806843e-01
3.729752727905190113e+03 2.298092887573064846e+00 1.127589862014389405e-01
3.733482480633096657e+03 2.277949991175915567e+00 1.127237944028725708e-01
3.737215963113731050e+03 2.231003367546809280e+00 1.120337954232015487e-01
3.740953179076846027e+03 2.192350718431350209e+00 1.125210951977599072e-01
3.744694132255923705e+03 2.159845915357033519e+00 1.125980756585086701e-01
3.748438826388181042e+03 2.096545956621589823e+00 1.130114617675137129e-01
3.752187265214570289e+03 2.031965530466582237e+00 1.090097654868298488e-01
3.755939452479786269e+03 1.967769790248350636e+00 1.089732497835440850e-01
3.759695391932267285e+03 1.940795972073442011e+00 1.039954517483447916e-01
3.763455087324201031e+03 1.876772090836962725e+00 1.028442776518084800e-01
