# starting wavelength: 3205.714
# ending wavelength: 9427.824
# wav flux eflux
3.207261277443593826e+03 4.314387224221586159e+00 3.735108778700841903e-01
3.210468538721038840e+03 4.283517601995064261e+00 2.761395190836763436e-01
3.213679007259760965e+03 4.261378679768304423e+00 2.066258669088242572e-01
3.216892686267021418e+03 4.272618425573611489e+00 1.643422613238457453e-01
3.220109578953289656e+03 4.277270739036094227e+00 1.279413845413476525e-01
3.223329688532243836e+03 4.288273369474342900e+00 1.024486793346855440e-01
3.226553018220777176e+03 4.305575778633964568e+00 8.510245206079335156e-02
3.229779571238999324e+03 4.317601735035879074e+00 6.983373013254744188e-02
3.233009350810239084e+03 4.328418296569354951e+00 5.959958059181132140e-02
3.236242360161050783e+03 4.330562705394716438e+00 5.218981853828200818e-02
3.239478602521212906e+03 4.329874433629637309e+00 4.581287773582927436e-02
3.242718081123734919e+03 4.322055987438719882e+00 4.156576882099610043e-02
3.245960799204859995e+03 4.313753700869384033e+00 3.795537239122957762e-02
3.249206760004065927e+03 4.302286832005703054e+00 3.537877297101075375e-02
3.252455966764071036e+03 4.283026670785393897e+00 3.379062685151661832e-02
3.255708422730835991e+03 4.262966108329518278e+00 3.318977622746788203e-02
3.258964131153567905e+03 4.248433620539699973e+00 3.221514364235634337e-02
3.262223095284722604e+03 4.233008912708688953e+00 3.126319236175802152e-02
3.265485318380008266e+03 4.224853418157244356e+00 3.058030169340715532e-02
3.268750803698389518e+03 4.217481257684490892e+00 3.020452452117525222e-02
3.272019554502088795e+03 4.210690098816811222e+00 3.002016303094052346e-02
3.275291574056592253e+03 4.191112251591064819e+00 2.730007909782094719e-02
3.278566865630649772e+03 4.195889566595925935e+00 2.804841986713536850e-02
3.281845432496281319e+03 4.201037893591737848e+00 2.717972654185790704e-02
3.285127277928778767e+03 4.203591995165242068e+00 2.732073184478645694e-02
3.288412405206708627e+03 4.212928059882179888e+00 2.753915509895235245e-02
3.291700817611916591e+03 4.217331226159440227e+00 2.744359150300958519e-02
3.294992518429529355e+03 4.227828462122580788e+00 2.725257113962732680e-02
3.298287510947960072e+03 4.231112908353404478e+00 2.724844468537499301e-02
3.301585798458909267e+03 4.230810491260795558e+00 2.820762697887549755e-02
3.304887384257369376e+03 4.232855161085949725e+00 2.760489937374741021e-02
3.308192271641627485e+03 4.237409745155581220e+00 2.825319098209182200e-02
3.311500463913270323e+03 4.242597066895123170e+00 2.851072120719564187e-02
3.314811964377184722e+03 4.256388915122540695e+00 2.843092999285198527e-02
3.318126776341563072e+03 4.242243296348663151e+00 2.691348821994116874e-02
3.321444903117905596e+03 4.221446461315959908e+00 2.449707371118876875e-02
3.324766348021024896e+03 4.224702612380874633e+00 2.328125338461896343e-02
3.328091114369046863e+03 4.211723667978801267e+00 2.302239805146452656e-02
3.331419205483417045e+03 4.190897399430693504e+00 2.234249918956084449e-02
3.334750624688901553e+03 4.172620337918484523e+00 2.264773238376052017e-02
3.338085375313591612e+03 4.146347262783971033e+00 2.133491020162154098e-02
3.341423460688906289e+03 4.130911394661589853e+00 2.075042854395493450e-02
3.344764884149596128e+03 4.111571159535852615e+00 2.119839183698114457e-02
3.348109649033746791e+03 4.092112446339677412e+00 2.112954212347191441e-02
3.351457758682781787e+03 4.080811490754787663e+00 1.993623835206495901e-02
3.354809216441465651e+03 4.055905984185955937e+00 1.999921476116857735e-02
3.358164025657908041e+03 4.030761767111317617e+00 2.046756390232752978e-02
3.361522189683567376e+03 4.009703397406769732e+00 2.085809809919944580e-02
3.364883711873251741e+03 3.983010238487132426e+00 2.299276334150396686e-02
3.368248595585126168e+03 3.965350548423592247e+00 2.323159577069454709e-02
3.371616844180712633e+03 3.940541672167226395e+00 2.226631043420156802e-02
3.374988461024894150e+03 3.925275073059004693e+00 2.105304163183351410e-02
3.378363449485920228e+03 3.917857839837484146e+00 2.144469320864437686e-02
3.381741812935407324e+03 3.915755266813206070e+00 2.077780493974490036e-02
3.385123554748343849e+03 3.916692597753562932e+00 2.148636079891658515e-02
3.388508678303093347e+03 3.925317817294265765e+00 2.153190488794959334e-02
3.391897186981397681e+03 3.937608873046389402e+00 2.159124838554254619e-02
3.395289084168380214e+03 3.955911923855742085e+00 2.188992888827383590e-02
3.398684373252549449e+03 3.978855801236432121e+00 2.280755348226137097e-02
3.402083057625803121e+03 4.007016248925191704e+00 2.203750545484308918e-02
3.405485140683430018e+03 4.018299368503523539e+00 2.168591674254086513e-02
3.408890625824114522e+03 4.031544313018071257e+00 2.078780274120170871e-02
3.412299516449939802e+03 4.030453899382244742e+00 2.231154862802782121e-02
3.415711815966390986e+03 4.018235534022884359e+00 2.220445129612477406e-02
3.419127527782358356e+03 4.009659226942415167e+00 2.296063780378862842e-02
3.422546655310141887e+03 4.004909251607101872e+00 2.336224939404885764e-02
3.425969201965453522e+03 4.006514151393465895e+00 2.259603374402586670e-02
3.429395171167419903e+03 3.992115967433975676e+00 2.155582608021935215e-02
3.432824566338588284e+03 3.982127251744690177e+00 2.149721506433624821e-02
3.436257390904928343e+03 3.964932666134976635e+00 2.168861515315117366e-02
3.439693648295834464e+03 3.953166384290558000e+00 2.172130051423414379e-02
3.443133341944131189e+03 3.926019573653454220e+00 2.169080279139468104e-02
3.446576475286076402e+03 3.892194529746766829e+00 2.079782724948328609e-02
3.450023051761363604e+03 3.879893811176355456e+00 2.077040122715667278e-02
3.453473074813126004e+03 3.870145358614887954e+00 2.103726884930102320e-02
3.456926547887940615e+03 3.874062040841591337e+00 2.150310677873411985e-02
3.460383474435829612e+03 3.880098456831952536e+00 2.053432982959341527e-02
3.463843857910266706e+03 3.879118974166523959e+00 2.023591983193516117e-02
3.467307701768178049e+03 3.883861949385451151e+00 2.102571381079568202e-02
3.470775009469947236e+03 3.883413236620881115e+00 2.065313842343615910e-02
3.474245784479418489e+03 3.879237845220014247e+00 2.098956407993782594e-02
3.477720030263898934e+03 3.881011746284353414e+00 2.115800487142645639e-02
3.481197750294164052e+03 3.876249915752407738e+00 2.117875364788734949e-02
3.484678948044459503e+03 3.875058319131222451e+00 2.152534063685719243e-02
3.488163626992504760e+03 3.870582133225350052e+00 2.139554573870362450e-02
3.491651790619498570e+03 3.861878591979624797e+00 2.202920196293707208e-02
3.495143442410119405e+03 3.860091405353460736e+00 2.143888320943107897e-02
3.498638585852530468e+03 3.853131875255332073e+00 2.163018611930874260e-02
3.502137224438384237e+03 3.860028579165592166e+00 2.197641456476362096e-02
3.505639361662823831e+03 3.867385494862105144e+00 2.166612770364999274e-02
3.509145001024487556e+03 3.876406605177554976e+00 2.057265212527402756e-02
3.512654146025513455e+03 3.866541188234234649e+00 2.156116868539647777e-02
3.516166800171540217e+03 3.857378255169768622e+00 2.152319827181935555e-02
3.519682966971712631e+03 3.844163661627868933e+00 2.116968763343675050e-02
3.523202649938685681e+03 3.824423571828039936e+00 2.145444374816495720e-02
3.526725852588625457e+03 3.802220634617309969e+00 2.166529761879450872e-02
3.530252578441215064e+03 3.795867413044986538e+00 2.159968763475078601e-02
3.533782831019657806e+03 3.792028696116440667e+00 2.158369095131025886e-02
3.537316613850678550e+03 3.791423189244371716e+00 2.141186550672165984e-02
3.540853930464530094e+03 3.806539860474304149e+00 2.068283088749509405e-02
3.544394784394995895e+03 3.799839258906930528e+00 2.105876202544003373e-02
3.547939179179392340e+03 3.783925569350269580e+00 1.953711832675666601e-02
3.551487118358572843e+03 3.769585875535473640e+00 2.079178000505829335e-02
3.555038605476932389e+03 3.767029199914299742e+00 2.084733741775680188e-02
3.558593644082410719e+03 3.772955395297155956e+00 2.243587666158132141e-02
3.562152237726494150e+03 3.774144690957891068e+00 2.240369990344876286e-02
3.565714389964221937e+03 3.771197761687368644e+00 2.248387240927966074e-02
3.569280104354187188e+03 3.769666651194675033e+00 2.181175453569783942e-02
3.572849384458542772e+03 3.768155351483778226e+00 2.178210563379898157e-02
3.576422233843002232e+03 3.764607441030189072e+00 2.232738532355046240e-02
3.579998656076846601e+03 3.764239702970371138e+00 2.224525506343471432e-02
3.583578654732924406e+03 3.756764428935464917e+00 2.209037245610503269e-02
3.587162233387658489e+03 3.740823222545388571e+00 2.205952403550060642e-02
3.590749395621047370e+03 3.719335599116577740e+00 2.162901366939283185e-02
3.594340145016669794e+03 3.717781800247116575e+00 2.268342577907711891e-02
3.597934485161687462e+03 3.702115385643130363e+00 2.325112301632630690e-02
3.601532419646850485e+03 3.683999005097608581e+00 2.277882087344374265e-02
3.605133952066498296e+03 3.681499416160575855e+00 2.254464558783162570e-02
3.608739086018566013e+03 3.659486319188677950e+00 2.329785176144844733e-02
3.612347825104585809e+03 3.642409747717262114e+00 2.347249143672226410e-02
3.615960172929691907e+03 3.638864616878724867e+00 2.284867481631871339e-02
3.619576133102622407e+03 3.609089335423544931e+00 2.327544036339211295e-02
3.623195709235726554e+03 3.588213544928490428e+00 2.407051231075458750e-02
3.626818904944963379e+03 3.590862861535492723e+00 2.463656055425387723e-02
3.630445723849909427e+03 3.617787437229188274e+00 2.876797211853059436e-02
3.634076169573760581e+03 3.633688358573671007e+00 2.962515763346943581e-02
3.637710245743335690e+03 3.662073989177407451e+00 2.975120013437147770e-02
3.641347955989080219e+03 3.666484852341040934e+00 3.000066809496067591e-02
3.644989303945070333e+03 3.661165908051485562e+00 3.082245673110670450e-02
3.648634293249016537e+03 3.676911949057505069e+00 3.130536412657793782e-02
3.652282927542266862e+03 3.691726485663318069e+00 2.932566553211691726e-02
3.655935210469810499e+03 3.711530385798612386e+00 2.935015951429478798e-02
3.659591145680281443e+03 3.727509198764056286e+00 2.957345895374178038e-02
3.663250736825963031e+03 3.728139778854408615e+00 2.955794017754286018e-02
3.666913987562790226e+03 3.722219985992409885e+00 2.939558587838423526e-02
3.670580901550354156e+03 3.702005319549406703e+00 3.042289074975982124e-02
3.674251482451905758e+03 3.682991338329765885e+00 3.027310247525218101e-02
3.677925733934358959e+03 3.659743149323697153e+00 3.037426413912650003e-02
3.681603659668294313e+03 3.632167682260997399e+00 2.994029854511462072e-02
3.685285263327964003e+03 3.616244276582186057e+00 2.980206596657080168e-02
3.688970548591293209e+03 3.595923434335908109e+00 2.986473792851438921e-02
3.692659519139885560e+03 3.589562123035375585e+00 3.039500199222875190e-02
3.696352178659026777e+03 3.593487965287333719e+00 2.906315263255349404e-02
3.700048530837686940e+03 3.598276567087459465e+00 3.013186677721420639e-02
3.703748579368525952e+03 3.614934657491787995e+00 3.031645856625190052e-02
3.707452327947895355e+03 3.620402463619552424e+00 2.960868608727136239e-02
3.711159780275844696e+03 3.605108647884111672e+00 2.893709497747624579e-02
3.714870940056121526e+03 3.612807290882284583e+00 2.651227010909944226e-02
3.718585810996179134e+03 3.616023750769305600e+00 2.312403037263845856e-02
3.722304396807176545e+03 3.614970910072306864e+00 2.125667184754109762e-02
3.726026701203984885e+03 3.606920390410576882e+00 2.072841144115944792e-02
3.729752727905190113e+03 3.570308041184213188e+00 1.989343666045783124e-02
3.733482480633096657e+03 3.533488928561272502e+00 2.002471889041449252e-02
3.737215963113731050e+03 3.487967851335763037e+00 1.747504119564808819e-02
3.740953179076846027e+03 3.456573381578854853e+00 1.540048429635197322e-02
3.744694132255923705e+03 3.444512428878049093e+00 1.786932472640392552e-02
3.748438826388181042e+03 3.423561897708152113e+00 1.840839388130587409e-02
3.752187265214570289e+03 3.401204801420675494e+00 1.874101683188501496e-02
3.755939452479786269e+03 3.393789479033675782e+00 1.866171196958072223e-02
3.759695391932267285e+03 3.407702859972704168e+00 1.611337634122823534e-02
3.763455087324201031e+03 3.417446392714720727e+00 1.552313107559311241e-02
3.767218542411526414e+03 3.431240909799369465e+00 1.559873282360753517e-02
3.770985760953939007e+03 3.446800778164135881e+00 1.538728869693611022e-02
3.774756746714894234e+03 3.462372031339431722e+00 1.592435072985118674e-02
3.778531503461610555e+03 3.477684024836227739e+00 1.620694648735808777e-02
3.782310034965073100e+03 3.493714224494961940e+00 1.585769708974518397e-02
3.786092345000039586e+03 3.505873772612790873e+00 1.598066736584684983e-02
3.789878437345040766e+03 3.516860706358121647e+00 1.553756486574798916e-02
3.793668315782387253e+03 3.504044083129979725e+00 1.518336680026596136e-02
3.797461984098170888e+03 3.469373517187228639e+00 1.895455227671642706e-02
3.801259446082270188e+03 3.436033155657147287e+00 2.124721440935849540e-02
3.805060705528353537e+03 3.395993527796070666e+00 2.281982216052919066e-02
3.808865766233883278e+03 3.361808671925568426e+00 2.222131560190439281e-02
3.812674632000118436e+03 3.329986278362473406e+00 1.942521097178575434e-02
3.816487306632119726e+03 3.316744515457390019e+00 2.268777368782607870e-02
3.820303793938753188e+03 3.319235793904870668e+00 2.322352054329417798e-02
3.824124097732693372e+03 3.316475802273441964e+00 2.259443100815095376e-02
3.827948221830427428e+03 3.313024927412591580e+00 2.276147047961084996e-02
3.831776170052258749e+03 3.315238323621994887e+00 2.103470741318125628e-02
3.835607946222312421e+03 3.312306011634380543e+00 2.121614868370117965e-02
3.839443554168536139e+03 3.303187507569900205e+00 2.135097851208476311e-02
3.843282997722705659e+03 3.290489157454730584e+00 2.136800039372437413e-02
3.847126280720429804e+03 3.291401766066647028e+00 2.541409878387894047e-02
3.850973407001151372e+03 3.272143119399539835e+00 2.542068232133330372e-02
3.854824380408153957e+03 3.239330830298103425e+00 2.547099689369728900e-02
3.858679204788563311e+03 3.203929077662056368e+00 2.729634421033945782e-02
3.862537883993353262e+03 3.182720437731251462e+00 2.799167616936621208e-02
3.866400421877347981e+03 3.186144838812186020e+00 2.682342620067740616e-02
3.870266822299226533e+03 3.187470369365684064e+00 2.739526888722609854e-02
3.874137089121526969e+03 3.203156399169732271e+00 2.816593242951424825e-02
3.878011226210649966e+03 3.229664736137868974e+00 2.836881536684934119e-02
3.881889237436861549e+03 3.255214891219139428e+00 2.962200065379222078e-02
3.885771126674299921e+03 3.273646289352228234e+00 3.032184624548836874e-02
3.889656897800975457e+03 3.299099624192029623e+00 2.699024848608834806e-02
3.893546554698777527e+03 3.340681696094702779e+00 2.733325473113548329e-02
3.897440101253477678e+03 3.349542922719399574e+00 2.703794662128465934e-02
