# starting wavelength: 3205.714
# ending wavelength: 9427.824
# wav flux eflux
3.207261277443593826e+03 4.239029525686202504e+00 6.441397903492176447e-01
3.210468538721038840e+03 4.166715583735118855e+00 4.891991537334690054e-01
3.213679007259760965e+03 4.210241853962630287e+00 3.940196104352133299e-01
3.216892686267021418e+03 4.238138957733807999e+00 3.011846415360489582e-01
3.220109578953289656e+03 4.280218986861675567e+00 2.375474021059864049e-01
3.223329688532243836e+03 4.333756416055719818e+00 2.269795743880293204e-01
3.226553018220777176e+03 4.315752569620495471e+00 1.829061843306639679e-01
3.229779571238999324e+03 4.285916594113817091e+00 1.500353892321358851e-01
3.233009350810239084e+03 4.241351030169631109e+00 1.287692780553424954e-01
3.236242360161050783e+03 4.187241031900451382e+00 1.107076925127466333e-01
3.239478602521212906e+03 4.141170459127875958e+00 9.694380055203705160e-02
3.242718081123734919e+03 4.115255090534187588e+00 8.879578900659719498e-02
3.245960799204859995e+03 4.085780674721710248e+00 8.141883817353534614e-02
3.249206760004065927e+03 4.062914256532234702e+00 7.633505973549224721e-02
3.252455966764071036e+03 4.047591698771515034e+00 7.222818457964567951e-02
3.255708422730835991e+03 4.016639419240464193e+00 6.886683373527134611e-02
3.258964131153567905e+03 3.992295822303274733e+00 6.635383135514227870e-02
3.262223095284722604e+03 3.978006786047045829e+00 6.403313663649584653e-02
3.265485318380008266e+03 3.965115542508046431e+00 6.263511101371851963e-02
3.268750803698389518e+03 3.949346077590590198e+00 6.182769049037881159e-02
3.272019554502088795e+03 3.929421679308938042e+00 6.098022671991622928e-02
3.275291574056592253e+03 3.922149192699452058e+00 5.880603385209233480e-02
3.278566865630649772e+03 3.946691006005202507e+00 5.841384349270426629e-02
3.281845432496281319e+03 3.967684985109309892e+00 6.168598189714819685e-02
3.285127277928778767e+03 3.989002480389377325e+00 6.146148707647804132e-02
3.288412405206708627e+03 4.015755083193758068e+00 5.898691346077486464e-02
3.291700817611916591e+03 4.036925879782551796e+00 5.477224480028053399e-02
3.294992518429529355e+03 4.065358672154813391e+00 5.080069556832584460e-02
3.298287510947960072e+03 4.051829008876534743e+00 4.967017558031533442e-02
3.301585798458909267e+03 4.032571858906879747e+00 5.030317002062668907e-02
3.304887384257369376e+03 3.998793216104691073e+00 5.232614676894795092e-02
3.308192271641627485e+03 3.949666605754010185e+00 5.364024266539618030e-02
3.311500463913270323e+03 3.912844646393196957e+00 5.205684380890811952e-02
3.314811964377184722e+03 3.854912259353309167e+00 4.932540619740610061e-02
3.318126776341563072e+03 3.839581999627719178e+00 4.996176453585290250e-02
3.321444903117905596e+03 3.836979717132018575e+00 4.742667108979904678e-02
3.324766348021024896e+03 3.833585234236598360e+00 4.822024798569132797e-02
3.328091114369046863e+03 3.825958736827452800e+00 4.826581736290257857e-02
3.331419205483417045e+03 3.829408387374202416e+00 4.851952528233383771e-02
3.334750624688901553e+03 3.825189058135178843e+00 4.873302585244144308e-02
3.338085375313591612e+03 3.850511467065093285e+00 4.930604974052870543e-02
3.341423460688906289e+03 3.854310293228729201e+00 5.064049159190203014e-02
3.344764884149596128e+03 3.846078977229688611e+00 4.797524200076253020e-02
3.348109649033746791e+03 3.829441668177512970e+00 4.965129752533089386e-02
3.351457758682781787e+03 3.828200432124177599e+00 5.077403427368038652e-02
