# starting wavelength: 3200.573
# ending wavelength: 7683.423
# wav flux eflux
3.200856363859509202e+03 2.594976102131831275e-01 2.417213959513051791e-01
3.204057220223369768e+03 2.522023403074331038e-01 2.291952828387257002e-01
3.207261277443593826e+03 2.580379051209323871e-01 2.192883412043056812e-01
3.210468538721038840e+03 2.659693201994356437e-01 2.108312259201917671e-01
3.213679007259760965e+03 3.132763964019515956e-01 2.089478210239558986e-01
3.216892686267021418e+03 3.690426610435110222e-01 2.015184763142819357e-01
3.220109578953289656e+03 3.124669627409824568e-01 1.993214487966349369e-01
3.223329688532243836e+03 2.970557583379624944e-01 1.965111590875396885e-01
3.226553018220777176e+03 3.289223169069026564e-01 1.950849825325413345e-01
3.229779571238999324e+03 3.482593686682395884e-01 1.922251685678565136e-01
3.233009350810239084e+03 4.010734794079660048e-01 1.861241646163723229e-01
3.236242360161050783e+03 4.454174066600990467e-01 1.819106632631996845e-01
3.239478602521212906e+03 4.037740278108870595e-01 1.846635790789824261e-01
3.242718081123734919e+03 4.006440396542201854e-01 1.820537135394701966e-01
3.245960799204859995e+03 3.858918659743466595e-01 1.840884437885589031e-01
3.249206760004065927e+03 3.678140037801839735e-01 1.771652446055030361e-01
3.252455966764071036e+03 4.183635310281998976e-01 1.738197109425568265e-01
3.255708422730835991e+03 4.763686251778931346e-01 1.693437938846423241e-01
3.258964131153567905e+03 4.859895770458005360e-01 1.591154399970240441e-01
3.262223095284722604e+03 4.962973309590279491e-01 1.457380586222885577e-01
3.265485318380008266e+03 5.401524992883108833e-01 1.496688505264578972e-01
3.268750803698389518e+03 6.143869217253785653e-01 1.498766290817868663e-01
3.272019554502088795e+03 6.381235136932430496e-01 1.475547017904962621e-01
3.275291574056592253e+03 6.385574215797397146e-01 1.460872934515898836e-01
3.278566865630649772e+03 5.996107406128292627e-01 1.449640318972599262e-01
3.281845432496281319e+03 6.037279755483804244e-01 1.437566341132125447e-01
3.285127277928778767e+03 6.090185353539572244e-01 1.437614723714841225e-01
3.288412405206708627e+03 6.020643738818826085e-01 1.367097440182029333e-01
3.291700817611916591e+03 6.311468948466933959e-01 1.154001319347806170e-01
3.294992518429529355e+03 6.155644063156702206e-01 1.128744172990316097e-01
3.298287510947960072e+03 5.702772297978757621e-01 1.138466726100662019e-01
3.301585798458909267e+03 4.806031357866168419e-01 1.082855973164829483e-01
3.304887384257369376e+03 3.978358953541482057e-01 1.000098327448922658e-01
3.308192271641627485e+03 2.890492102670904617e-01 1.077597997605678204e-01
3.311500463913270323e+03 1.817112348361094865e-01 9.971235947691824142e-02
3.314811964377184722e+03 1.522394232847456841e-01 9.612061281083575381e-02
3.318126776341563072e+03 1.371175391698318813e-01 9.738997518444635071e-02
3.321444903117905596e+03 9.965669284607825418e-02 9.838895323028114259e-02
3.324766348021024896e+03 1.193498058266438955e-01 9.662127212366901363e-02
3.328091114369046863e+03 1.253255398120493025e-01 9.564759090148731990e-02
3.331419205483417045e+03 1.679068829101363902e-01 9.691638098776790555e-02
3.334750624688901553e+03 1.947019616865865166e-01 9.041480384138871063e-02
3.338085375313591612e+03 2.305156211235506181e-01 8.846309748968070319e-02
3.341423460688906289e+03 2.988008406739804390e-01 8.747147812262819067e-02
3.344764884149596128e+03 3.138239042991080585e-01 8.517419936678850834e-02
3.348109649033746791e+03 3.014480219749646750e-01 8.463163740922788336e-02
3.351457758682781787e+03 3.264435641578651293e-01 8.210570785519238912e-02
3.354809216441465651e+03 3.400255944212331460e-01 7.996993473710777012e-02
3.358164025657908041e+03 3.823860500369211657e-01 7.905734421751080265e-02
3.361522189683567376e+03 3.789978404574464443e-01 7.864496421549869998e-02
3.364883711873251741e+03 3.927349679941145588e-01 7.575694170072995448e-02
3.368248595585126168e+03 4.088735445061474905e-01 7.354416902124299993e-02
3.371616844180712633e+03 4.222003442234137371e-01 7.207459168222150880e-02
3.374988461024894150e+03 4.000574661178974978e-01 7.359890528059884196e-02
3.378363449485920228e+03 3.540027953724361187e-01 7.000896708245744893e-02
3.381741812935407324e+03 2.870548902057002416e-01 7.027055705066810598e-02
3.385123554748343849e+03 3.143664910785720079e-01 7.220156216980373742e-02
3.388508678303093347e+03 3.629591240471622404e-01 7.892263210808166118e-02
3.391897186981397681e+03 3.821325755842935323e-01 7.932549223919733994e-02
3.395289084168380214e+03 4.067793115220221245e-01 7.701285158255605223e-02
3.398684373252549449e+03 4.411764662941595749e-01 6.999875261621553435e-02
3.402083057625803121e+03 4.700625866796136476e-01 7.166626556909680423e-02
3.405485140683430018e+03 4.764065419725873607e-01 7.033399571885091961e-02
3.408890625824114522e+03 4.506554104658741511e-01 6.867440928350411478e-02
3.412299516449939802e+03 4.377238174433371043e-01 6.564927934631191453e-02
3.415711815966390986e+03 4.236556297534597726e-01 6.218681375052710625e-02
3.419127527782358356e+03 3.683980141864278690e-01 6.637831767816243511e-02
3.422546655310141887e+03 2.894895387254904362e-01 7.315958685831967789e-02
3.425969201965453522e+03 2.674167169536056932e-01 7.391068748421071588e-02
3.429395171167419903e+03 2.654742820421737148e-01 7.230571352305918686e-02
3.432824566338588284e+03 2.130243104299012202e-01 7.321370757732137413e-02
3.436257390904928343e+03 1.554293179616414722e-01 7.407468406371640890e-02
