# starting wavelength: 3412.297
# ending wavelength: 8623.568
# wav flux eflux
3.412299516449939802e+03 2.122700894847790121e+00 2.517451863743525031e+00
3.415711815966390986e+03 1.976837657130393167e+00 1.881040411656303535e+00
3.419127527782358356e+03 1.881484144263101399e+00 1.351036545144475021e+00
3.422546655310141887e+03 1.894796278543716905e+00 1.007321156252724670e+00
3.425969201965453522e+03 1.927456742471657103e+00 7.787546489511888437e-01
3.429395171167419903e+03 2.017422263893098755e+00 6.277051989232185214e-01
3.432824566338588284e+03 2.072964882696102240e+00 5.250950329850015974e-01
3.436257390904928343e+03 2.074808179710978973e+00 4.233532880890007455e-01
3.439693648295834464e+03 2.052754305742192198e+00 3.608681370369625774e-01
3.443133341944131189e+03 2.041787662900148348e+00 3.121242480846685985e-01
3.446576475286076402e+03 2.017557439330405433e+00 2.680792084190163349e-01
3.450023051761363604e+03 1.938060865548326239e+00 2.462702391469946683e-01
3.453473074813126004e+03 1.895418412375837969e+00 2.232107949187049911e-01
3.456926547887940615e+03 1.849537103518077874e+00 2.052752605050635615e-01
3.460383474435829612e+03 1.793709454868101183e+00 1.912029017285084842e-01
3.463843857910266706e+03 1.761144538837644546e+00 1.837260861654096411e-01
3.467307701768178049e+03 1.765481187818511932e+00 1.755739412275300060e-01
3.470775009469947236e+03 1.750149451146066903e+00 1.665870567475114528e-01
3.474245784479418489e+03 1.733288110036629970e+00 1.654807529648755771e-01
3.477720030263898934e+03 1.696956212722253721e+00 1.660806989651543442e-01
3.481197750294164052e+03 1.695141710899501053e+00 1.584733654061536712e-01
3.484678948044459503e+03 1.659029984179263284e+00 1.581913681825307394e-01
3.488163626992504760e+03 1.720311473773973754e+00 1.550016902821625964e-01
3.491651790619498570e+03 1.744414348655842772e+00 1.553710624172660870e-01
3.495143442410119405e+03 1.715570253699752801e+00 1.372954775698561058e-01
3.498638585852530468e+03 1.842737380148549153e+00 1.217525335165717398e-01
3.502137224438384237e+03 1.942525753041362657e+00 1.062871389823824286e-01
3.505639361662823831e+03 2.000957995610043838e+00 1.023628012126431425e-01
3.509145001024487556e+03 2.058412727593144087e+00 9.899868980789608419e-02
3.512654146025513455e+03 2.099904039591354632e+00 1.030928418441514616e-01
3.516166800171540217e+03 2.092244117842920303e+00 1.060052237679064424e-01
