# starting wavelength: 3239.660
# ending wavelength: 7171.440
# wav flux eflux
3.242718081123734919e+03 2.934352295645809683e+00 1.362720566091819678e-02
3.245960799204859995e+03 2.917682106403567843e+00 1.003630199295585390e-02
3.249206760004065927e+03 2.904634854513782560e+00 8.127184287247376029e-03
3.252455966764071036e+03 2.893150515116299726e+00 6.487267417769651892e-03
3.255708422730835991e+03 2.881424805113021570e+00 5.852110953692937767e-03
3.258964131153567905e+03 2.872384574283664005e+00 6.058705755256178944e-03
3.262223095284722604e+03 2.866829531149868604e+00 7.299444558398248198e-03
3.265485318380008266e+03 2.865780896039709980e+00 8.164460876708454218e-03
3.268750803698389518e+03 2.867505887464359304e+00 6.968419256093345317e-03
3.272019554502088795e+03 2.870486828021831194e+00 6.185950525188323341e-03
3.275291574056592253e+03 2.872250879558728709e+00 5.504818158277908005e-03
3.278566865630649772e+03 2.872361514429906393e+00 5.065304426197268957e-03
3.281845432496281319e+03 2.871320260846976336e+00 4.663747819992882827e-03
3.285127277928778767e+03 2.869153519000072539e+00 4.302006457433081577e-03
3.288412405206708627e+03 2.865016821658640023e+00 4.022326973010745439e-03
3.291700817611916591e+03 2.859093722318027719e+00 3.780764801733932975e-03
3.294992518429529355e+03 2.851425487661919167e+00 3.569731573664657910e-03
3.298287510947960072e+03 2.840406527294225381e+00 3.520550282929444524e-03
3.301585798458909267e+03 2.825941732023337316e+00 3.932421428884554787e-03
3.304887384257369376e+03 2.808420594227368117e+00 4.654610808655892246e-03
3.308192271641627485e+03 2.793107721455377668e+00 4.633263891577298413e-03
3.311500463913270323e+03 2.771620090334696584e+00 5.279463741332984447e-03
3.314811964377184722e+03 2.748783593456022523e+00 5.791115597000887419e-03
3.318126776341563072e+03 2.727851449724066235e+00 5.535402357533339771e-03
3.321444903117905596e+03 2.707496891184820509e+00 5.068518987423917092e-03
3.324766348021024896e+03 2.688320959025785051e+00 3.995662666601103828e-03
3.328091114369046863e+03 2.671037649774398837e+00 3.675140860652856192e-03
3.331419205483417045e+03 2.655649140218266258e+00 3.860425024528922524e-03
3.334750624688901553e+03 2.641400990637304158e+00 4.211472733355232402e-03
3.338085375313591612e+03 2.627370074596198535e+00 4.259775280813843032e-03
3.341423460688906289e+03 2.613737005336519648e+00 4.116205699160996843e-03
3.344764884149596128e+03 2.600891360957944265e+00 3.853451748710224386e-03
3.348109649033746791e+03 2.588278443720475774e+00 3.775019296401223561e-03
3.351457758682781787e+03 2.576601953988647775e+00 3.444794233652120376e-03
3.354809216441465651e+03 2.566028135252614195e+00 3.087942181593045492e-03
3.358164025657908041e+03 2.556026129756470588e+00 2.722328433928053199e-03
3.361522189683567376e+03 2.546614449797003132e+00 2.482491816240429711e-03
3.364883711873251741e+03 2.537695761742988054e+00 2.406682650707310349e-03
3.368248595585126168e+03 2.528596065119613989e+00 2.332404243399336437e-03
3.371616844180712633e+03 2.518815357280355549e+00 2.225724341720333559e-03
3.374988461024894150e+03 2.508660146826417137e+00 2.120644470611347289e-03
3.378363449485920228e+03 2.497934219764082364e+00 2.003046618002816970e-03
3.381741812935407324e+03 2.486160995626419012e+00 2.017334609840375215e-03
3.385123554748343849e+03 2.473743692853766607e+00 1.960942203486035987e-03
3.388508678303093347e+03 2.461477934572707582e+00 1.837439627258337241e-03
3.391897186981397681e+03 2.448124414934297555e+00 1.683459612587930466e-03
3.395289084168380214e+03 2.434564641500975402e+00 1.601260268063644382e-03
3.398684373252549449e+03 2.421222512604652266e+00 1.534616151858250298e-03
3.402083057625803121e+03 2.408117977037722568e+00 1.512619153775869845e-03
3.405485140683430018e+03 2.395612698006610586e+00 1.438679735178025661e-03
3.408890625824114522e+03 2.383524028224749625e+00 1.397082344739971607e-03
3.412299516449939802e+03 2.371369102778572380e+00 1.358982579804731469e-03
3.415711815966390986e+03 2.359129741629794275e+00 1.301454174089199502e-03
3.419127527782358356e+03 2.347254683591809776e+00 1.201177881273933490e-03
3.422546655310141887e+03 2.335385182545705263e+00 1.092748689274780638e-03
3.425969201965453522e+03 2.324236180294942944e+00 1.244081642060555293e-03
3.429395171167419903e+03 2.312302602421407283e+00 1.275041555507576982e-03
3.432824566338588284e+03 2.301198764193745916e+00 1.434993961293131110e-03
3.436257390904928343e+03 2.289940744290839270e+00 1.427374560419037699e-03
3.439693648295834464e+03 2.278234046250508626e+00 1.181556498105188228e-03
3.443133341944131189e+03 2.266316096395446067e+00 7.602395607140664422e-04
3.446576475286076402e+03 2.252926857824653517e+00 6.955282236024461825e-04
3.450023051761363604e+03 2.238880611885051497e+00 6.721148114026974417e-04
3.453473074813126004e+03 2.223659521280572537e+00 6.774958694393872025e-04
3.456926547887940615e+03 2.207571374406601006e+00 7.518460793259029674e-04
3.460383474435829612e+03 2.190136448478691378e+00 7.649044069942295037e-04
3.463843857910266706e+03 2.171553919096444130e+00 7.725235815821559181e-04
3.467307701768178049e+03 2.152288690545661076e+00 7.939648539445888454e-04
3.470775009469947236e+03 2.132191133937741512e+00 7.967497484856201880e-04
3.474245784479418489e+03 2.111286402487804637e+00 8.560223155098621714e-04
3.477720030263898934e+03 2.089877013634538372e+00 1.229855035968554708e-03
3.481197750294164052e+03 2.067857623777742404e+00 1.592612173154892962e-03
3.484678948044459503e+03 2.046613447638242267e+00 1.699682319042278159e-03
3.488163626992504760e+03 2.026329782722710249e+00 1.648984462472974886e-03
3.491651790619498570e+03 2.007232663972696507e+00 1.588762708641762748e-03
3.495143442410119405e+03 1.989473787431653706e+00 1.628505612550135324e-03
3.498638585852530468e+03 1.972665171232135251e+00 1.646610010442586206e-03
3.502137224438384237e+03 1.957573632089395943e+00 1.806401458155474727e-03
3.505639361662823831e+03 1.944707849903180019e+00 1.891264418289865124e-03
3.509145001024487556e+03 1.933809539896466090e+00 1.950557315301696326e-03
3.512654146025513455e+03 1.924923710029148971e+00 1.945464785632464513e-03
3.516166800171540217e+03 1.918572108217422745e+00 2.052110305818299722e-03
3.519682966971712631e+03 1.915045932180550858e+00 2.187426614613695568e-03
3.523202649938685681e+03 1.912939990224319597e+00 2.149933390287696398e-03
3.526725852588625457e+03 1.911507864569919279e+00 2.122349663102125663e-03
3.530252578441215064e+03 1.910272659448656540e+00 2.173646513030578088e-03
3.533782831019657806e+03 1.909243565549448629e+00 2.238426223207730468e-03
3.537316613850678550e+03 1.908271566280558940e+00 2.371110648975746030e-03
3.540853930464530094e+03 1.907450099948519995e+00 2.441682635395488101e-03
3.544394784394995895e+03 1.906216677110015079e+00 2.503172323878199556e-03
3.547939179179392340e+03 1.904471605649203925e+00 2.522963708309068111e-03
3.551487118358572843e+03 1.901712361817767816e+00 2.494536399799666352e-03
3.555038605476932389e+03 1.897850216348106356e+00 2.458031213404972357e-03
3.558593644082410719e+03 1.893101694612366659e+00 2.450669846636584562e-03
3.562152237726494150e+03 1.884721752670221573e+00 2.278268545216759287e-03
3.565714389964221937e+03 1.875086400057231595e+00 2.008886159528285205e-03
3.569280104354187188e+03 1.864940883080463685e+00 1.969878434641013712e-03
3.572849384458542772e+03 1.855496548903252219e+00 2.202546666630706904e-03
3.576422233843002232e+03 1.847488731017461472e+00 2.630058872231719799e-03
3.579998656076846601e+03 1.840488265914888899e+00 3.391973570360633239e-03
3.583578654732924406e+03 1.834894904281028083e+00 3.145336266735574045e-03
3.587162233387658489e+03 1.831893287076752364e+00 2.454315761166652593e-03
3.590749395621047370e+03 1.832462314120027358e+00 1.915204835731689143e-03
3.594340145016669794e+03 1.837363222107452732e+00 1.984753652957718835e-03
3.597934485161687462e+03 1.846845810012724964e+00 2.621904135448310108e-03
3.601532419646850485e+03 1.859024653979861608e+00 2.814625798799901511e-03
3.605133952066498296e+03 1.872645142561991216e+00 2.887521176542650388e-03
3.608739086018566013e+03 1.887122378524996202e+00 2.745294916464261804e-03
3.612347825104585809e+03 1.900817644104477067e+00 2.271609153216892253e-03
3.615960172929691907e+03 1.912891101281145367e+00 1.611056738099361394e-03
3.619576133102622407e+03 1.921553000958984736e+00 1.561119342781558698e-03
3.623195709235726554e+03 1.926898553837870232e+00 1.608225044340138785e-03
3.626818904944963379e+03 1.928622406974145331e+00 1.587051397890931054e-03
3.630445723849909427e+03 1.926838653445997585e+00 1.430503020342250523e-03
3.634076169573760581e+03 1.921799485826857889e+00 1.043990092389002764e-03
3.637710245743335690e+03 1.914694488269505834e+00 1.148279194079802890e-03
3.641347955989080219e+03 1.905726490095974057e+00 1.972442264251808401e-03
3.644989303945070333e+03 1.896098944801432484e+00 2.351536415312151414e-03
3.648634293249016537e+03 1.886668024213469019e+00 2.410630058037684445e-03
3.652282927542266862e+03 1.877508806705712852e+00 2.168175443030419692e-03
3.655935210469810499e+03 1.868795940802635336e+00 1.785741588445527092e-03
3.659591145680281443e+03 1.862308824728218237e+00 2.547358223221369341e-03
3.663250736825963031e+03 1.856012114489697051e+00 3.229000778593583369e-03
3.666913987562790226e+03 1.848986340029254105e+00 3.374050094574913838e-03
3.670580901550354156e+03 1.840660490448190467e+00 2.899862227789957916e-03
3.674251482451905758e+03 1.829349844928072288e+00 2.613626777317044469e-03
3.677925733934358959e+03 1.816028827924644595e+00 2.792773984920919692e-03
3.681603659668294313e+03 1.801215409044360838e+00 3.249976062102890011e-03
3.685285263327964003e+03 1.785230950180227483e+00 3.520039954224021394e-03
3.688970548591293209e+03 1.769958242577722274e+00 3.169251285270137906e-03
3.692659519139885560e+03 1.756663289728902066e+00 2.289003992610300336e-03
3.696352178659026777e+03 1.746737196861060548e+00 1.622495950512848175e-03
3.700048530837686940e+03 1.741232031073756570e+00 1.590268037650470565e-03
3.703748579368525952e+03 1.740491937720167082e+00 1.477759427050988035e-03
3.707452327947895355e+03 1.743450308023906103e+00 1.329313362851992529e-03
3.711159780275844696e+03 1.750009176686200485e+00 1.307810559188033296e-03
3.714870940056121526e+03 1.760133925760424711e+00 1.375310660300471883e-03
3.718585810996179134e+03 1.771904561927664767e+00 1.487833827050731974e-03
3.722304396807176545e+03 1.784118692028628272e+00 1.751167975302925098e-03
3.726026701203984885e+03 1.795651356043435065e+00 1.995344845641741551e-03
3.729752727905190113e+03 1.806281690827697517e+00 1.968227127447592321e-03
3.733482480633096657e+03 1.814857810229970170e+00 1.775020814923996106e-03
3.737215963113731050e+03 1.820538554205898052e+00 1.427933121230925409e-03
3.740953179076846027e+03 1.822178655579403506e+00 1.609445773106409766e-03
3.744694132255923705e+03 1.819557129570539278e+00 2.511868828361770670e-03
3.748438826388181042e+03 1.814939468015939195e+00 2.566164338652057904e-03
3.752187265214570289e+03 1.808516618499881767e+00 2.224024939046965414e-03
3.755939452479786269e+03 1.800486114704971330e+00 1.801874871916484292e-03
3.759695391932267285e+03 1.791692230784125428e+00 1.821016303643405946e-03
3.763455087324201031e+03 1.781849292160638587e+00 1.801811308583033209e-03
3.767218542411526414e+03 1.771685801813080552e+00 1.752924005827401384e-03
3.770985760953939007e+03 1.761443117346991327e+00 1.671463371725240635e-03
3.774756746714894234e+03 1.751013481255405901e+00 1.620703520261592302e-03
3.778531503461610555e+03 1.739940908108083661e+00 1.600581740092785459e-03
3.782310034965073100e+03 1.728532748213792214e+00 1.582722511735558824e-03
3.786092345000039586e+03 1.716655875702239653e+00 1.620333125248943655e-03
3.789878437345040766e+03 1.704662247862599900e+00 1.548412463559317980e-03
3.793668315782387253e+03 1.693188370384756780e+00 1.614089490391883760e-03
3.797461984098170888e+03 1.681790120283945145e+00 1.863312047186987388e-03
3.801259446082270188e+03 1.669494416214600596e+00 1.809864304087769509e-03
3.805060705528353537e+03 1.657230208230380031e+00 1.592928438365049087e-03
3.808865766233883278e+03 1.644921715371303605e+00 1.296766806073182138e-03
3.812674632000118436e+03 1.630621409581577419e+00 1.270904583468442399e-03
3.816487306632119726e+03 1.614468413835005389e+00 1.187788363612297558e-03
3.820303793938753188e+03 1.598289105943188737e+00 1.153926249696194707e-03
3.824124097732693372e+03 1.581875043566182804e+00 1.141261358855843230e-03
3.827948221830427428e+03 1.565624891547461983e+00 1.136007587125206168e-03
3.831776170052258749e+03 1.549742402324146173e+00 1.260755709857847972e-03
3.835607946222312421e+03 1.533956411748475857e+00 1.607148824812981453e-03
3.839443554168536139e+03 1.520316864772037757e+00 1.574934051530759533e-03
3.843282997722705659e+03 1.509776659133623467e+00 1.377738881851492316e-03
3.847126280720429804e+03 1.502956658197792894e+00 1.305427653339936035e-03
3.850973407001151372e+03 1.499282938044723901e+00 1.277352689720236264e-03
3.854824380408153957e+03 1.499011412383618458e+00 1.394250481921862099e-03
3.858679204788563311e+03 1.501416433135619233e+00 1.743003630090646456e-03
3.862537883993353262e+03 1.506203459805269596e+00 2.207852767351789047e-03
3.866400421877347981e+03 1.512291788122423375e+00 2.149657075668361464e-03
3.870266822299226533e+03 1.517783476429248601e+00 1.526266774857158769e-03
3.874137089121526969e+03 1.521194957097131262e+00 1.430447399336313638e-03
3.878011226210649966e+03 1.523222181673930642e+00 1.489092115564626031e-03
3.881889237436861549e+03 1.524155932177346573e+00 1.469666938178905771e-03
3.885771126674299921e+03 1.522853051453012974e+00 1.461428567627647869e-03
3.889656897800975457e+03 1.519710584555661104e+00 1.213761578478190313e-03
3.893546554698777527e+03 1.516065332381248076e+00 1.039784087214624172e-03
3.897440101253477678e+03 1.512053511747721180e+00 9.776319653221571346e-04
3.901337541354732366e+03 1.508023041732340586e+00 9.769107921748390686e-04
3.905238878896088409e+03 1.503794669235319015e+00 1.096220761459555096e-03
3.909144117774985716e+03 1.499947062993638891e+00 1.299607639051001068e-03
3.913053261892762293e+03 1.497764871325411917e+00 1.442710182316235719e-03
3.916966315154656058e+03 1.497630004621980593e+00 1.511971221424663735e-03
3.920883281469812118e+03 1.499658148276938441e+00 1.545525751735077466e-03
3.924804164751283224e+03 1.503643618699828099e+00 1.235984191005068183e-03
3.928728968916035683e+03 1.510968460317822837e+00 1.054260312766637248e-03
3.932657697884953450e+03 1.521271795874544530e+00 1.427995259161832231e-03
3.936590355582839493e+03 1.533843285264827161e+00 1.588121547686251233e-03
3.940526945938423523e+03 1.547863816360231626e+00 1.463872571911840545e-03
3.944467472884363360e+03 1.561841964507797886e+00 1.279126975288186370e-03
3.948411940357249023e+03 1.574674102781654872e+00 1.138432064134624246e-03
3.952360352297607733e+03 1.585762124703356868e+00 1.044742091893040249e-03
3.956312712649906643e+03 1.593986472027121071e+00 6.683963355847035012e-04
3.960269025362557841e+03 1.597921177408561544e+00 9.141115404735765957e-04
3.964229294387921527e+03 1.598198447408764711e+00 9.667619445529793522e-04
3.968193523682310570e+03 1.595247014714998857e+00 9.273614752957884313e-04
3.972161717205994591e+03 1.589119202491768412e+00 9.116416831972985746e-04
3.976133878923201792e+03 1.579800574188406026e+00 9.150673107253341201e-04
3.980110012802126221e+03 1.567019475141140594e+00 8.621655056095502362e-04
3.984090122814929600e+03 1.551508453561865730e+00 8.819349930390832717e-04
3.988074212937745870e+03 1.533894750871738433e+00 1.102361295634470733e-03
3.992062287150684824e+03 1.514860228699895561e+00 1.410433899205663488e-03
3.996054349437837118e+03 1.494867510747172723e+00 1.632167954932630055e-03
4.000050403787276082e+03 1.474965325063857025e+00 1.440332845257800065e-03
4.004050454191064546e+03 1.456379425427971830e+00 1.358209176397878054e-03
4.008054504645257111e+03 1.439002996199743478e+00 1.508187582056825723e-03
4.012062559149903791e+03 1.422228556829477908e+00 1.789133902233120072e-03
4.016074621709055009e+03 1.406083984582823687e+00 2.082113995659877915e-03
4.020090696330765240e+03 1.390144995362053493e+00 2.209054606655873765e-03
4.024110787027097558e+03 1.373998681779547315e+00 2.006983421091654111e-03
4.028134897814125907e+03 1.357380266183824347e+00 1.450144533971055522e-03
4.032163032711941469e+03 1.339479650984517267e+00 1.631095255417778014e-03
4.036195195744654484e+03 1.320195749825157305e+00 2.029655578486042923e-03
4.040231390940400615e+03 1.301260769029462194e+00 1.944487385044509900e-03
4.044271622331342314e+03 1.282922277986580095e+00 1.605169463023064808e-03
4.048315893953675186e+03 1.265749914763427464e+00 1.433214311580381650e-03
4.052364209847629809e+03 1.250055421549960410e+00 1.518403523798225263e-03
4.056416574057479011e+03 1.236065100471116951e+00 1.615813345021203896e-03
4.060472990631537868e+03 1.223445513987443167e+00 1.511900761706346701e-03
4.064533463622170530e+03 1.212309628386842641e+00 1.582944751501080306e-03
4.068597997085794304e+03 1.202908776647331424e+00 1.710648589355109580e-03
4.072666595082881486e+03 1.195125500026007925e+00 1.712241661771412172e-03
4.076739261677965715e+03 1.189110149019856122e+00 1.703426879401421764e-03
4.080816000939644709e+03 1.184510653181928275e+00 1.753513162009647181e-03
4.084896816940585722e+03 1.181248943530273543e+00 1.894760196230015634e-03
4.088981713757527814e+03 1.179088189631881223e+00 2.034802955583852983e-03
4.093070695471286854e+03 1.177753195103696804e+00 1.988977268463717248e-03
4.097163766166759160e+03 1.177296009257007725e+00 1.834239712785825467e-03
4.101260929932927866e+03 1.177588193708266173e+00 1.654518390459919176e-03
4.105362190862862008e+03 1.177740876563496464e+00 1.704898703103302623e-03
4.109467553053726078e+03 1.177664839364712890e+00 1.676966895352811644e-03
4.113577020606780934e+03 1.177384569623424415e+00 1.456341529625391823e-03
4.117690597627389252e+03 1.177534523470431527e+00 1.302840956574014865e-03
4.121808288225018259e+03 1.178658162835996892e+00 1.279570100144642852e-03
4.125930096513244280e+03 1.180837478286802966e+00 1.293887862898433988e-03
4.130056026609759101e+03 1.184274949752526451e+00 1.362391541022664725e-03
4.134186082636369974e+03 1.189305900583550679e+00 1.459648814710544276e-03
4.138320268719007800e+03 1.195121224768476598e+00 1.610718566651261202e-03
4.142458588987728035e+03 1.202142176316417510e+00 1.455773210284400402e-03
4.146601047576717065e+03 1.210698362737454126e+00 1.384158599823399199e-03
4.150747648624294925e+03 1.220578527240227196e+00 1.776505060045503129e-03
4.154898396272920763e+03 1.231184542445570296e+00 2.212089076699424138e-03
4.159053294669195566e+03 1.241458333983930018e+00 2.284814679426657325e-03
4.163212347963865795e+03 1.250769935841822500e+00 1.920771734890352501e-03
4.167375560311830668e+03 1.258575711229141358e+00 1.492921070850330729e-03
4.171542935872143971e+03 1.263868701144316820e+00 1.636410747988452678e-03
4.175714478808017702e+03 1.266977613668086811e+00 1.744605474719522790e-03
4.179890193286827525e+03 1.268159211969822620e+00 1.758468155440830573e-03
4.184070083480115500e+03 1.267383959193350673e+00 1.456312210785158179e-03
4.188254153563597356e+03 1.265917950727741825e+00 1.204789712595113072e-03
4.192442407717161586e+03 1.264152858704351345e+00 1.129749246248593336e-03
4.196634850124880359e+03 1.262029547608904734e+00 1.179140434613277621e-03
4.200831484975006788e+03 1.260164390196033546e+00 1.052142753698199823e-03
4.205032316459983122e+03 1.257606145881861703e+00 1.001486363675721698e-03
4.209237348776444378e+03 1.254818611094357994e+00 1.020187815461031907e-03
4.213446586125221984e+03 1.251560973081029093e+00 1.116080299638898526e-03
4.217660032711349231e+03 1.247902327328383132e+00 1.011804887786454639e-03
4.221877692744061278e+03 1.244135562071631895e+00 9.288950580590933431e-04
4.226099570436806971e+03 1.240369472361318559e+00 1.077656191646450632e-03
4.230325670007245208e+03 1.236545029741656254e+00 1.281449022911615356e-03
4.234555995677254032e+03 1.232440450888991457e+00 1.285559607005526276e-03
4.238790551672932452e+03 1.227126470297101424e+00 1.038802074962319032e-03
4.243029342224606808e+03 1.220338727146164537e+00 1.016742296753754765e-03
4.247272371566832589e+03 1.212578486626135099e+00 1.122807104774951057e-03
4.251519643938400804e+03 1.203721724318600472e+00 1.419253509454439450e-03
4.255771163582340705e+03 1.194806367717021756e+00 1.649493538756541906e-03
4.260026934745924336e+03 1.185968834977474407e+00 1.640083160636773927e-03
4.264286961680671993e+03 1.177959454897582470e+00 1.191467900941200857e-03
4.268551248642354039e+03 1.171747383676208232e+00 8.302828637782596428e-04
4.272819799890998183e+03 1.167644531369101735e+00 1.319195468193895765e-03
4.277092619690890388e+03 1.164460250545225284e+00 1.457040573727767926e-03
4.281369712310583054e+03 1.161872578873260675e+00 1.303287675865043163e-03
4.285651082022895025e+03 1.159039764531894168e+00 1.187780153231042263e-03
4.289936733104918858e+03 1.155489063218201329e+00 9.674172854246516169e-04
4.294226669838025373e+03 1.150330253676999259e+00 9.442993034052737846e-04
4.298520896507864563e+03 1.143001171797364712e+00 9.273899866843647805e-04
4.302819417404373780e+03 1.132813058448407073e+00 8.288264534619511036e-04
4.307122236821779552e+03 1.119684458156267270e+00 8.199116947122431264e-04
4.311429359058603040e+03 1.103946397812250124e+00 9.817171018312456990e-04
4.315740788417662770e+03 1.086433684094648244e+00 1.290360566436539761e-03
4.320056529206081905e+03 1.067660190104134266e+00 1.616425479560089015e-03
4.324376585735290064e+03 1.049109173161322461e+00 1.822458571191618634e-03
4.328700962321026054e+03 1.032097718605305747e+00 1.983168494095544424e-03
4.333029663283348782e+03 1.017668109482875449e+00 1.753180767644745529e-03
4.337362692946633615e+03 1.006609838544889168e+00 1.456475261421110064e-03
4.341700055639581478e+03 9.992397487863535765e-01 1.118109117840451749e-03
4.346041755695222491e+03 9.962744411812216594e-01 9.955110458811338835e-04
4.350387797450919606e+03 9.985303313428867122e-01 1.181927948837164372e-03
4.354738185248371337e+03 1.005047484073922526e+00 9.987388226820358757e-04
4.359092923433621763e+03 1.014243161377293312e+00 8.201476265009091139e-04
4.363452016357056891e+03 1.025865842397829075e+00 1.236396308593087998e-03
4.367815468373414660e+03 1.038298148209100935e+00 1.435261829055194680e-03
4.372183283841789489e+03 1.050530487837399107e+00 1.651725313277794269e-03
4.376555467125633186e+03 1.061504810736382476e+00 1.506060176711827500e-03
4.380932022592760404e+03 1.070232045278566524e+00 1.383840716083119780e-03
4.385312954615354101e+03 1.076929299284988151e+00 1.573710187379273855e-03
4.389698267569970994e+03 1.081828051561221082e+00 2.048897890054370095e-03
4.394087965837542470e+03 1.085424793071199545e+00 2.327503684374861766e-03
4.398482053803381859e+03 1.088586627819967845e+00 2.374234101145821126e-03
4.402880535857186260e+03 1.091830758258299561e+00 2.137116226188010698e-03
4.407283416393044718e+03 1.096434975839894133e+00 1.605473495841496174e-03
4.411690699809440048e+03 1.102878295998409364e+00 1.447885614380262261e-03
4.416102390509250654e+03 1.111494528653747649e+00 1.936006096189274743e-03
4.420518492899761441e+03 1.121329834289901850e+00 2.176246444483023474e-03
4.424939011392662906e+03 1.131115258343338370e+00 1.973053455700382597e-03
4.429363950404056595e+03 1.140186163148399157e+00 1.609708418868336993e-03
4.433793314354462382e+03 1.148035967086046494e+00 9.600761147483200322e-04
4.438227107668818462e+03 1.153438703607405191e+00 9.164910803937537922e-04
4.442665334776488635e+03 1.156502282496914225e+00 9.159469479023791497e-04
4.447108000111265937e+03 1.158182759762777847e+00 8.995198861690391822e-04
4.451555108111379013e+03 1.157931679450233453e+00 8.304152889676251481e-04
4.456006663219492111e+03 1.157058057630720782e+00 9.752695327394926735e-04
4.460462669882713271e+03 1.155794945100198312e+00 1.291086754327782629e-03
4.464923132552597053e+03 1.154861708374662399e+00 1.431553010769554858e-03
4.469388055685150903e+03 1.156253735276594474e+00 1.310168801632652629e-03
4.473857443740837880e+03 1.159664843017449432e+00 1.302559528549762776e-03
4.478331301184580298e+03 1.165022113968551265e+00 1.431957591415985390e-03
4.482809632485766087e+03 1.171572134340171711e+00 1.465344496399679543e-03
4.487292442118253348e+03 1.179238486362444549e+00 1.620725272789556946e-03
4.491779734560373072e+03 1.187858613298815813e+00 1.759721887359941717e-03
4.496271514294934605e+03 1.196769146934000938e+00 1.709451739431952586e-03
4.500767785809231100e+03 1.204868871711875178e+00 1.401309995477629904e-03
