# starting wavelength: 2543.590
# ending wavelength: 7815.180
# wav flux eflux
2.546023706675580343e+03 2.072701493345735280e+00 2.322671705605938719e-02
2.548569730382256694e+03 1.985785984484771172e+00 1.980317723340164690e-02
2.551118300112640100e+03 1.911181433615075420e+00 1.565802374578348019e-02
2.553669418412753203e+03 1.844237940546678001e+00 1.201483088625083726e-02
2.556223087831167049e+03 1.783308080637795001e+00 9.198697406905551391e-03
2.558779310918998817e+03 1.728524659987887624e+00 7.229428826623533928e-03
2.561338090229918635e+03 1.680508374172525521e+00 5.844839344840364707e-03
2.563899428320149582e+03 1.639386789739831096e+00 4.835944556396772412e-03
2.566463327748470419e+03 1.604947657418448248e+00 4.085700111243701152e-03
2.569029791076220135e+03 1.576822065755567159e+00 3.483746347041715916e-03
2.571598820867297036e+03 1.554423203795148645e+00 3.004219748544434583e-03
2.574170419688165111e+03 1.537185823593833600e+00 2.628437883313530354e-03
2.576744590107854037e+03 1.524668398577398554e+00 2.339436407745953614e-03
2.579321334697962811e+03 1.516413325827795200e+00 2.122436331255040005e-03
2.581900656032661573e+03 1.512312867293029717e+00 1.948013147061659900e-03
2.584482556688695240e+03 1.512259912625967706e+00 1.816588814299823157e-03
2.587067039245384876e+03 1.515526691509459623e+00 1.763101391924301597e-03
2.589654106284630871e+03 1.522114451828407322e+00 1.682779161143225415e-03
2.592243760390916577e+03 1.531790240247166590e+00 1.633288591525947466e-03
2.594836004151308316e+03 1.543918788545637355e+00 1.585642256245468158e-03
2.597430840155460373e+03 1.558307169288552396e+00 1.538203323053685938e-03
2.600028270995616822e+03 1.574870457431831072e+00 1.509517816144157832e-03
2.602628299266613340e+03 1.593560688036319117e+00 1.399535976237433052e-03
2.605230927565880847e+03 1.613983556699597477e+00 1.266915601589202250e-03
2.607836158493447329e+03 1.635753481009299515e+00 1.282258406062591850e-03
2.610443994651941921e+03 1.658365816898482947e+00 1.593905449828097575e-03
2.613054438646594463e+03 1.682296043798082730e+00 1.794760617376673500e-03
2.615667493085241858e+03 1.707637253764643592e+00 1.891780285481478975e-03
2.618283160578328079e+03 1.734414293625902825e+00 1.838297656934873492e-03
2.620901443738907346e+03 1.762915276812227816e+00 1.642420162659025910e-03
2.623522345182646859e+03 1.792808486717643923e+00 1.513456878263449859e-03
2.626145867527830433e+03 1.823930944318676639e+00 1.570662441699972618e-03
2.628772013395359409e+03 1.856150553960646876e+00 1.698071907172067499e-03
2.631400785408755382e+03 1.889470439606051100e+00 1.778510040219243374e-03
2.634032186194165206e+03 1.922968599950506174e+00 1.713578151183146620e-03
2.636666218380360078e+03 1.956883671008836423e+00 1.738343781032288373e-03
2.639302884598741457e+03 1.991915206434166974e+00 1.773589832623014484e-03
2.641942187483341058e+03 2.026690634317155126e+00 1.943946583335096371e-03
2.644584129670825405e+03 2.061942016986529236e+00 2.090252138054031223e-03
2.647228713800496735e+03 2.097689246807794117e+00 2.235217180800853735e-03
2.649875942514298458e+03 2.134058419143375129e+00 2.335787891190106279e-03
2.652525818456813340e+03 2.171166173353562989e+00 2.389138290458529910e-03
2.655178344275271229e+03 2.209360553030686347e+00 2.372177580387490724e-03
2.657833522619547239e+03 2.248045187230545583e+00 2.374687152534710882e-03
2.660491356142167660e+03 2.287034119201780680e+00 2.498097592922698257e-03
2.663151847498310872e+03 2.326757626487878650e+00 2.777992903621103252e-03
2.665814999345810065e+03 2.366702295863974292e+00 3.347189888248479957e-03
2.668480814345156887e+03 2.405961946660918116e+00 3.849398451566178082e-03
2.671149295159502799e+03 2.444016397565213605e+00 4.188114345143105662e-03
2.673820444454663175e+03 2.480686473316540575e+00 4.427511998089768246e-03
2.676494264899118662e+03 2.515151169765283967e+00 4.362481152886123550e-03
2.679170759164018818e+03 2.547318962106563056e+00 4.182616913770296520e-03
2.681849929923183481e+03 2.576777275453538074e+00 4.154086545258174959e-03
2.684531779853107764e+03 2.603942085667596551e+00 4.356305115795521161e-03
2.687216311632961606e+03 2.629272198063831834e+00 4.642120466353372166e-03
2.689903527944595680e+03 2.653058595506340822e+00 4.886290795663366521e-03
2.692593431472540942e+03 2.676930442841927160e+00 5.035050655502930697e-03
2.695286024904014539e+03 2.697286274672280992e+00 5.257025329233801919e-03
2.697981310928919356e+03 2.716198765837619433e+00 5.275686074607483303e-03
2.700679292239849019e+03 2.733760391544755031e+00 5.027892035637625615e-03
2.703379971532089712e+03 2.750014365762720736e+00 4.476994259419425810e-03
2.706083351503622907e+03 2.765998441074140501e+00 3.846929553958238455e-03
2.708789434855127183e+03 2.781756979400896501e+00 3.262245245682338611e-03
2.711498224289983227e+03 2.798117867603987730e+00 3.088491454523733821e-03
2.714209722514274290e+03 2.815451654511530677e+00 3.436747426831334579e-03
2.716923932236789369e+03 2.833651972778420625e+00 3.725335200761249396e-03
2.719640856169027302e+03 2.851430520446240457e+00 3.636484473685185851e-03
2.722360497025197219e+03 2.868428569203709699e+00 3.238356300292947153e-03
2.725082857522223094e+03 2.883886554361573484e+00 2.885645247138078281e-03
2.727807940379746015e+03 2.898669179401189400e+00 2.486688616106437055e-03
2.730535748320126913e+03 2.912551494037149524e+00 2.205986816904683713e-03
2.733266284068447931e+03 2.925277113398922157e+00 2.113423087514144927e-03
2.735999550352517417e+03 2.936681063268911096e+00 2.193556620507605519e-03
2.738735549902870844e+03 2.947176256542462180e+00 2.186697531956905208e-03
2.741474285452774438e+03 2.956559558808057986e+00 2.087339304243706738e-03
2.744215759738227916e+03 2.964736547953226165e+00 1.984414072301930385e-03
2.746959975497967207e+03 2.972573305473412031e+00 1.631209936259242661e-03
2.749706935473466274e+03 2.979463808413691517e+00 1.170307666048723974e-03
2.752456642408940297e+03 2.986403562118658428e+00 9.538943213845198525e-04
2.755209099051350222e+03 2.993636655291205706e+00 9.026649268504376156e-04
2.757964308150402758e+03 3.000927979292180581e+00 8.790105407435394114e-04
2.760722272458554016e+03 3.008360598076154080e+00 8.500289019287153754e-04
2.763482994731013605e+03 3.016289098559227000e+00 7.680177298346733440e-04
2.766246477725745535e+03 3.024390793214618789e+00 7.599996740393834705e-04
2.769012724203471862e+03 3.032621096255689874e+00 7.401890195174858642e-04
2.771781736927676320e+03 3.041182884250716700e+00 7.440632258593686370e-04
2.774553518664604780e+03 3.050309000441568497e+00 7.940505651768824287e-04
2.777328072183270706e+03 3.059574992287870110e+00 7.711067793753053137e-04
2.780105400255454697e+03 3.068867250110777434e+00 7.474348691387835671e-04
2.782885505655710858e+03 3.078059633298624753e+00 6.830433206995474701e-04
2.785668391161367708e+03 3.087059412269275605e+00 6.537828503569799226e-04
2.788454059552529998e+03 3.095867214437433290e+00 6.411282001347769471e-04
2.791242513612083258e+03 3.104505152818783920e+00 6.341552385049824356e-04
2.794033756125696527e+03 3.112877959179290333e+00 6.391031966881341193e-04
2.796827789881823264e+03 3.121212434706789107e+00 6.787791519895306760e-04
2.799624617671705892e+03 3.129899962673847735e+00 6.861590666549403439e-04
2.802424242289378526e+03 3.138311496057680117e+00 7.142401375501067134e-04
2.805226666531668798e+03 3.146726310213483480e+00 7.039368553980945376e-04
2.808031893198201487e+03 3.155047275118004535e+00 6.648871212044916122e-04
2.810839925091400346e+03 3.163172326634532183e+00 5.927051011186191317e-04
2.813650765016492642e+03 3.171231735354320236e+00 6.022347575837378158e-04
2.816464415781510070e+03 3.179041132023121108e+00 6.310677989032915242e-04
2.819280880197292845e+03 3.186622566268958678e+00 6.285925385649982367e-04
2.822100161077491066e+03 3.194023186851739915e+00 5.935235928478154246e-04
2.824922261238569263e+03 3.201174230009205424e+00 5.771515851734797991e-04
2.827747183499808671e+03 3.207918771254004042e+00 5.728891137010851510e-04
2.830574930683309503e+03 3.214376044514212438e+00 5.332052597189801835e-04
2.833405505613993682e+03 3.220421824686573675e+00 4.999738153825710515e-04
2.836238911119608929e+03 3.225933103974631955e+00 4.590858232345168782e-04
2.839075150030729219e+03 3.230836981934832153e+00 4.560371274186331104e-04
2.841914225180761150e+03 3.234998354365622220e+00 4.531735757046109563e-04
2.844756139405942577e+03 3.238490292874903531e+00 4.537261514931241967e-04
2.847600895545349431e+03 3.241199337903056144e+00 4.417434713824433079e-04
2.850448496440895724e+03 3.243230886911704580e+00 4.413991942389899436e-04
2.853298944937337637e+03 3.244503388248283660e+00 4.580439985822061738e-04
2.856152243882275798e+03 3.245298479717849460e+00 4.557558690800643866e-04
2.859008396126159369e+03 3.245354742497138290e+00 4.528916445837135240e-04
2.861867404522286051e+03 3.244795653215060582e+00 4.463422479685938090e-04
2.864729271926809361e+03 3.243451100871453718e+00 5.922556887218684632e-04
2.867594001198737260e+03 3.241723720179297885e+00 6.617742431572516681e-04
2.870461595199936710e+03 3.239513854367530588e+00 7.214799919795106004e-04
2.873332056795137760e+03 3.236835970436197751e+00 6.716333343801055662e-04
2.876205388851934003e+03 3.233431343007568071e+00 7.189189163883542280e-04
2.879081594240786671e+03 3.229643399690388161e+00 8.232426351406130259e-04
2.881960675835028724e+03 3.226204089414903109e+00 8.243971057528755742e-04
2.884842636510864395e+03 3.223133484617538347e+00 7.770459581812238972e-04
2.887727479147376471e+03 3.220364040689374097e+00 9.041619287282998910e-04
2.890615206626524468e+03 3.217613399824067688e+00 1.206257469597225547e-03
2.893505821833151913e+03 3.214498001115325465e+00 1.400541705400889765e-03
2.896399327654986337e+03 3.210714712360456247e+00 1.528190527424737148e-03
2.899295726982642009e+03 3.206115612426773787e+00 1.623440768946757696e-03
2.902195022709625846e+03 3.200394189842418413e+00 1.602861964979188699e-03
2.905097217732336503e+03 3.193169841047262647e+00 1.601329035455222385e-03
2.908002314950069831e+03 3.184190267207337222e+00 1.565363959462022156e-03
2.910910317265020694e+03 3.173558621713798100e+00 1.531610657525315534e-03
2.913821227582286610e+03 3.161066604857198037e+00 1.600767593672345777e-03
2.916735048809870023e+03 3.147019397905983062e+00 1.730083029204665694e-03
2.919651783858680574e+03 3.131247075228131838e+00 2.038969297051582835e-03
2.922571435642540564e+03 3.113015513153555069e+00 2.428175096898326033e-03
2.925494007078184040e+03 3.094335129572690413e+00 2.589048705026727147e-03
2.928419501085263164e+03 3.075070097732481411e+00 2.710422646242693565e-03
2.931347920586349119e+03 3.056290952361440549e+00 2.862586840794872824e-03
2.934279268506936660e+03 3.039163495044751251e+00 2.777298575126087039e-03
2.937213547775444567e+03 3.024179960893750962e+00 2.266939057895716800e-03
2.940150761323221104e+03 3.013361394400803306e+00 2.246023510088126889e-03
2.943090912084544925e+03 3.006414144457417947e+00 2.282752511831498497e-03
2.946034002996630534e+03 3.002512366685614165e+00 2.174482597705590468e-03
2.948980036999628283e+03 2.999411700304443595e+00 1.907861977895215820e-03
2.951929017036628920e+03 3.000701978070174913e+00 2.670546334280578249e-03
2.954880946053666321e+03 3.004683811214954758e+00 3.489417646477619567e-03
2.957835826999721121e+03 3.010694539991032315e+00 4.001663897878278593e-03
2.960793662826721629e+03 3.016428524950371060e+00 3.713543135040699682e-03
2.963754456489549284e+03 3.023589279904843607e+00 3.158460873122213939e-03
2.966718210946040017e+03 3.029100415488958919e+00 2.771246340063237765e-03
2.969684929156986982e+03 3.032817579754275794e+00 2.747496248147228773e-03
2.972654614086145102e+03 3.034982694600135478e+00 3.276007739275654633e-03
2.975627268700231980e+03 3.035587208944355631e+00 3.657380241730728756e-03
