# starting wavelength: 2579.440
# ending wavelength: 6463.390
# wav flux eflux
2.581900656032661573e+03 1.956534354313138158e+00 1.201246955404404460e-01
2.584482556688695240e+03 1.897445957808336914e+00 9.989504876392861499e-02
2.587067039245384876e+03 1.811500808991369116e+00 1.138125600439534452e-01
2.589654106284630871e+03 1.754841517609964097e+00 8.796989200593659242e-02
2.592243760390916577e+03 1.724406547738199347e+00 6.866079302668899598e-02
2.594836004151308316e+03 1.707350162865407528e+00 6.012525904498252499e-02
2.597430840155460373e+03 1.681690538131112911e+00 4.857414844514850588e-02
2.600028270995616822e+03 1.657499936920312500e+00 4.013307106689085330e-02
2.602628299266613340e+03 1.632545507355677605e+00 3.495874362143544523e-02
2.605230927565880847e+03 1.605889570997901750e+00 3.017560337330605150e-02
2.607836158493447329e+03 1.579128321950928449e+00 2.648095327984350059e-02
2.610443994651941921e+03 1.555355780432286616e+00 2.371395116468600489e-02
2.613054438646594463e+03 1.534629053429605650e+00 2.143331371196583596e-02
2.615667493085241858e+03 1.512637577521721122e+00 1.972935924759494988e-02
2.618283160578328079e+03 1.502968001264876508e+00 1.925425109669416657e-02
2.620901443738907346e+03 1.491393345822609184e+00 1.824659249143391337e-02
2.623522345182646859e+03 1.477172714262636521e+00 1.720005572827398160e-02
2.626145867527830433e+03 1.461452487563959179e+00 1.638091733124953306e-02
2.628772013395359409e+03 1.448577210429765838e+00 1.573355888052269808e-02
2.631400785408755382e+03 1.434738495155443827e+00 1.527419065310890549e-02
2.634032186194165206e+03 1.418928629628129601e+00 1.534368507739867181e-02
2.636666218380360078e+03 1.407531349859246106e+00 1.487052197827094628e-02
2.639302884598741457e+03 1.396900402838398225e+00 1.429817582529184332e-02
2.641942187483341058e+03 1.391343417760251722e+00 1.340861032412492444e-02
2.644584129670825405e+03 1.386592088546372725e+00 1.241454877292321596e-02
2.647228713800496735e+03 1.386397681488148903e+00 1.197900646814389035e-02
2.649875942514298458e+03 1.388659924407190882e+00 1.212255215760501235e-02
2.652525818456813340e+03 1.400437490351268188e+00 1.237428902829429411e-02
2.655178344275271229e+03 1.410053161845729708e+00 1.173477141493549543e-02
2.657833522619547239e+03 1.418119581141861429e+00 1.170748761890846174e-02
2.660491356142167660e+03 1.431419507403789204e+00 1.143956696852339860e-02
2.663151847498310872e+03 1.449922319167378459e+00 1.105091140396368028e-02
2.665814999345810065e+03 1.470283503930539970e+00 1.069392054219032301e-02
2.668480814345156887e+03 1.490291659170117633e+00 9.890665881814916099e-03
2.671149295159502799e+03 1.514191722919808525e+00 8.943776933935790319e-03
2.673820444454663175e+03 1.542583061875625328e+00 8.594490117491228320e-03
2.676494264899118662e+03 1.576653888602458808e+00 8.853815945859070877e-03
2.679170759164018818e+03 1.614970901362738465e+00 9.116723075638417592e-03
2.681849929923183481e+03 1.656041585277330253e+00 7.735626988308636973e-03
2.684531779853107764e+03 1.694947517057788122e+00 7.385052498485446953e-03
2.687216311632961606e+03 1.735426186128212755e+00 7.520646377715703088e-03
2.689903527944595680e+03 1.771749852139838710e+00 7.637351301179121262e-03
2.692593431472540942e+03 1.811135394996226999e+00 7.201217248342946242e-03
2.695286024904014539e+03 1.846483309751442592e+00 7.027675008419143575e-03
2.697981310928919356e+03 1.876431280062087259e+00 6.845747323354039841e-03
2.700679292239849019e+03 1.902527726537641684e+00 6.778126728078740296e-03
2.703379971532089712e+03 1.924095440896984588e+00 7.117607976381435525e-03
2.706083351503622907e+03 1.944735545614177941e+00 7.217959632016537549e-03
2.708789434855127183e+03 1.964361160047930932e+00 6.767525535407103131e-03
2.711498224289983227e+03 1.979090188992477239e+00 6.987283265136530301e-03
2.714209722514274290e+03 1.990804116357238751e+00 7.165497747656380222e-03
2.716923932236789369e+03 2.001193001538876359e+00 7.031428452059821158e-03
2.719640856169027302e+03 2.011174974053393516e+00 6.747416445950540388e-03
2.722360497025197219e+03 2.018499075918229746e+00 6.201123774527105871e-03
2.725082857522223094e+03 2.025102551353312297e+00 5.332255509576879979e-03
2.727807940379746015e+03 2.032214601892686545e+00 5.046126360789415441e-03
2.730535748320126913e+03 2.037728855436967024e+00 4.848938874437712029e-03
