# starting wavelength: 2870.600
# ending wavelength: 8273.370
# wav flux eflux
2.873332056795137760e+03 1.087420637486495645e+00 1.790410093978001688e-03
2.876205388851934003e+03 1.090326062001512497e+00 1.746308388087602871e-03
2.879081594240786671e+03 1.095755485852842437e+00 1.702650851527519500e-03
2.881960675835028724e+03 1.103661628841676512e+00 1.606040615202523458e-03
2.884842636510864395e+03 1.113700080500321876e+00 1.559549226076744049e-03
2.887727479147376471e+03 1.127361847554921193e+00 1.661408862754241815e-03
2.890615206626524468e+03 1.142922710711402168e+00 1.966725240267205334e-03
2.893505821833151913e+03 1.159482213449055887e+00 2.139256964794165536e-03
2.896399327654986337e+03 1.175989326351874809e+00 2.080309651505905452e-03
2.899295726982642009e+03 1.194234758602435553e+00 2.130028982799391738e-03
2.902195022709625846e+03 1.214593403979109976e+00 2.591580944597108877e-03
2.905097217732336503e+03 1.234412553948316393e+00 2.728549585853222957e-03
2.908002314950069831e+03 1.254158199087339165e+00 2.659193902681682674e-03
2.910910317265020694e+03 1.272806270383061156e+00 2.279050488821661880e-03
2.913821227582286610e+03 1.290315168330503193e+00 2.078203665943657245e-03
2.916735048809870023e+03 1.306645931794755411e+00 1.876432676282552454e-03
2.919651783858680574e+03 1.321423499067026830e+00 1.848456632565843296e-03
2.922571435642540564e+03 1.334507165704722720e+00 1.710634506038574264e-03
2.925494007078184040e+03 1.344769814788484119e+00 1.749719222817107270e-03
2.928419501085263164e+03 1.353435682439729337e+00 1.703023221301943474e-03
2.931347920586349119e+03 1.359733433712009720e+00 1.716402744432602052e-03
2.934279268506936660e+03 1.363304611332195382e+00 1.809990861973933673e-03
2.937213547775444567e+03 1.364867651193331310e+00 1.638070754651349157e-03
2.940150761323221104e+03 1.363981552916451401e+00 1.460558861025347847e-03
2.943090912084544925e+03 1.361594057991923457e+00 1.433928983322361583e-03
2.946034002996630534e+03 1.356369028749386807e+00 1.417183611566550034e-03
2.948980036999628283e+03 1.348864310519367393e+00 1.409788968312528177e-03
2.951929017036628920e+03 1.339698105509512516e+00 1.383428414211185448e-03
2.954880946053666321e+03 1.329081893528333502e+00 1.350803388093955223e-03
2.957835826999721121e+03 1.316734882025588638e+00 1.408733842918362617e-03
2.960793662826721629e+03 1.303504042750230685e+00 1.376279105586086966e-03
2.963754456489549284e+03 1.289094387779449846e+00 1.355148035678081829e-03
2.966718210946040017e+03 1.273761632896493134e+00 1.316634939411581847e-03
2.969684929156986982e+03 1.257537190125851412e+00 1.294872109597791860e-03
2.972654614086145102e+03 1.240493036245973402e+00 1.271388062546458279e-03
2.975627268700231980e+03 1.222724574874027192e+00 1.298501943347519540e-03
2.978602895968933353e+03 1.204467422257960996e+00 1.262874222877409004e-03
2.981581498864903097e+03 1.185791458600616632e+00 1.241828575836009026e-03
2.984563080363769132e+03 1.167050754903301124e+00 1.223762174971217620e-03
2.987547643444133882e+03 1.147888203400202478e+00 1.338772767331944304e-03
2.990535191087578823e+03 1.128538344330404453e+00 1.410232930419452616e-03
2.993525726278667662e+03 1.109719293740622836e+00 1.166663531163483064e-03
2.996519252004947248e+03 1.092591937916106870e+00 1.156204334014842129e-03
2.999515771256953030e+03 1.075809946683661922e+00 1.129000302464094581e-03
3.002515287028211333e+03 1.059856967627024638e+00 1.122455760083956996e-03
3.005517802315240260e+03 1.044466233171993164e+00 1.096644391709321363e-03
3.008523320117556523e+03 1.030266663920017089e+00 1.199029418432060595e-03
3.011531843437674979e+03 1.016718346442324616e+00 1.261376061638776365e-03
3.014543375281113640e+03 1.003861814642620587e+00 1.349232530294789323e-03
3.017557918656395941e+03 9.912295424772343821e-01 1.389627159751330053e-03
3.020575476575053472e+03 9.791835676210263184e-01 1.405573363810951005e-03
3.023596052051629158e+03 9.673458377841873679e-01 1.396390110734062068e-03
3.026619648103681811e+03 9.559383612831416910e-01 1.429403740799503218e-03
3.029646267751786581e+03 9.444687014591472973e-01 1.186343142213540066e-03
3.032675914019539505e+03 9.331125938022259980e-01 1.006350100693351049e-03
3.035708589933559779e+03 9.215600783584698696e-01 8.329784730373038324e-04
