# starting wavelength: 2864.870
# ending wavelength: 8364.840
# wav flux eflux
2.867594001198737260e+03 3.974980214526253164e+00 1.169019499176200509e-02
2.870461595199936710e+03 3.943332422593787800e+00 9.509092418314331330e-03
2.873332056795137760e+03 3.909317686482546073e+00 8.181120117561368685e-03
2.876205388851934003e+03 3.872850442216998257e+00 7.293395042552525999e-03
2.879081594240786671e+03 3.835812564955372483e+00 6.322214426282760438e-03
2.881960675835028724e+03 3.801310293475748114e+00 5.997296496304056063e-03
2.884842636510864395e+03 3.770931842799261080e+00 6.489814330596779986e-03
2.887727479147376471e+03 3.743952930393972700e+00 6.792942703705669855e-03
2.890615206626524468e+03 3.719845111769115586e+00 6.928152917044774241e-03
2.893505821833151913e+03 3.695148889810418336e+00 6.641012759615001933e-03
2.896399327654986337e+03 3.676599728919804022e+00 7.052778620711453589e-03
2.899295726982642009e+03 3.660577296460316266e+00 7.699639512378630285e-03
2.902195022709625846e+03 3.645555457265465371e+00 8.258742763566492492e-03
2.905097217732336503e+03 3.631256507814770274e+00 8.603506564405711751e-03
2.908002314950069831e+03 3.617333743102626453e+00 8.716503408519482576e-03
2.910910317265020694e+03 3.605449578564167812e+00 9.234686113095431220e-03
2.913821227582286610e+03 3.592731049665518483e+00 9.105132798656727713e-03
2.916735048809870023e+03 3.581175794342818186e+00 6.672965505400715522e-03
2.919651783858680574e+03 3.562243110739156116e+00 6.313630032097888346e-03
2.922571435642540564e+03 3.539749346375839600e+00 7.266501995070015832e-03
2.925494007078184040e+03 3.516388013019073888e+00 7.862285173433613064e-03
2.928419501085263164e+03 3.492473566711911559e+00 8.090505715389486804e-03
2.931347920586349119e+03 3.466839196731646755e+00 8.163952675229752681e-03
2.934279268506936660e+03 3.440250493796024323e+00 8.059265656996536520e-03
2.937213547775444567e+03 3.412393317367437451e+00 7.870350619862947344e-03
2.940150761323221104e+03 3.383722560266980484e+00 7.663041953748219934e-03
2.943090912084544925e+03 3.354634206707071353e+00 7.533471983286083550e-03
2.946034002996630534e+03 3.324746625099147757e+00 7.467877338647002303e-03
2.948980036999628283e+03 3.292337244141828378e+00 7.495659456353850544e-03
2.951929017036628920e+03 3.261387541989170469e+00 7.632696074683056192e-03
2.954880946053666321e+03 3.229680210221388847e+00 7.640470579248168428e-03
2.957835826999721121e+03 3.198761952394857389e+00 7.563874597523928718e-03
2.960793662826721629e+03 3.167512120003793008e+00 7.805350236340729934e-03
2.963754456489549284e+03 3.136373310104422441e+00 8.265142493313729771e-03
2.966718210946040017e+03 3.108082401056544430e+00 8.660510993528491852e-03
2.969684929156986982e+03 3.083589123699641110e+00 8.967168666477865271e-03
2.972654614086145102e+03 3.063062908954826469e+00 9.503970749754614769e-03
2.975627268700231980e+03 3.043874571017280317e+00 9.649340570220708499e-03
