# starting wavelength: 3153.390
# ending wavelength: 5860.290
# wav flux eflux
3.156378679794802792e+03 5.293692930739024582e-01 2.671311255466396820e-02
3.159535058474598372e+03 5.201928848506245373e-01 2.310265253598035515e-02
3.162694593533074112e+03 5.086854415263120099e-01 1.908037497152361567e-02
3.165857288126608182e+03 4.985363268649713464e-01 1.562369060456168975e-02
3.169023145414736064e+03 4.912617441493506432e-01 1.283039121468271260e-02
3.172192168560151458e+03 4.872779443114155784e-01 1.062643042879609333e-02
3.175364360728712654e+03 4.864791992891290273e-01 8.523714149400266407e-03
3.178539725089442527e+03 4.880347077686782997e-01 7.417904748351924170e-03
3.181718264814533086e+03 4.914359142454441387e-01 6.336185135237951301e-03
3.184899983079348658e+03 4.960217982667690650e-01 5.521534822168525786e-03
3.188084883062429071e+03 5.015918342639587024e-01 4.945462130396649503e-03
3.191272967945492383e+03 5.071145274054941199e-01 4.480159261684677451e-03
3.194464240913438971e+03 5.121076391292668228e-01 4.132075942006892440e-03
3.197658705154353811e+03 5.162153577513726166e-01 3.914295820818943124e-03
3.200856363859509202e+03 5.206705966538526242e-01 3.695857230286825942e-03
3.204057220223369768e+03 5.243472569122040738e-01 3.617129460101627114e-03
3.207261277443593826e+03 5.268695383181954961e-01 3.496578116080594108e-03
3.210468538721038840e+03 5.281736300880501833e-01 3.469573227075777554e-03
3.213679007259760965e+03 5.306176228510650628e-01 3.269129905335791536e-03
3.216892686267021418e+03 5.306932101219079545e-01 3.381204438954372483e-03
3.220109578953289656e+03 5.295297819245926574e-01 3.296466313689095599e-03
3.223329688532243836e+03 5.264793814125903193e-01 3.140556192195431088e-03
3.226553018220777176e+03 5.227315193824605410e-01 3.104827563020431599e-03
3.229779571238999324e+03 5.192801821343888680e-01 2.769937661711894140e-03
3.233009350810239084e+03 5.141777065332818752e-01 1.768123464411359112e-03
3.236242360161050783e+03 5.107892955129342827e-01 1.426375342015677190e-03
3.239478602521212906e+03 5.082398608855527300e-01 1.426075949042084241e-03
3.242718081123734919e+03 5.070307907014588444e-01 1.405201873525237840e-03
3.245960799204859995e+03 5.050646765367168278e-01 1.454452853967134378e-03
3.249206760004065927e+03 5.034597551281679850e-01 1.466217009761019161e-03
3.252455966764071036e+03 5.033998686358897023e-01 1.503110037031820528e-03
3.255708422730835991e+03 5.037586786097184577e-01 1.677810542207728651e-03
3.258964131153567905e+03 5.040921742399233629e-01 1.656585718768967220e-03
3.262223095284722604e+03 5.049552157928989260e-01 1.888354356370111663e-03
3.265485318380008266e+03 5.055289960555151563e-01 1.897075456987139122e-03
3.268750803698389518e+03 5.067386700928189214e-01 1.910350935225558567e-03
3.272019554502088795e+03 5.076168977186049647e-01 1.984591211791015674e-03
3.275291574056592253e+03 5.075810505226755476e-01 1.928990269241344716e-03
3.278566865630649772e+03 5.065183008612345050e-01 2.096210872458790370e-03
3.281845432496281319e+03 5.055375556704009288e-01 2.234343165658322743e-03
3.285127277928778767e+03 5.053064454636226888e-01 2.308514537201367383e-03
3.288412405206708627e+03 5.041607182792362529e-01 2.337468366787612533e-03
3.291700817611916591e+03 5.034953593488287193e-01 2.368632863690780643e-03
3.294992518429529355e+03 5.022497345340338759e-01 2.505876021134455928e-03
3.298287510947960072e+03 5.004696158456493071e-01 2.652372070013918337e-03
3.301585798458909267e+03 4.992546767380630079e-01 2.691760268511690386e-03
3.304887384257369376e+03 5.006613835134877677e-01 2.805737517987149255e-03
3.308192271641627485e+03 5.022210830126058179e-01 2.878675395424862803e-03
3.311500463913270323e+03 5.045125191865664771e-01 3.011234353642900773e-03
3.314811964377184722e+03 5.070169899655773138e-01 3.146186556996101620e-03
3.318126776341563072e+03 5.118111845443066299e-01 3.235269499297340270e-03
3.321444903117905596e+03 5.161865139682451087e-01 3.222147030265404190e-03
3.324766348021024896e+03 5.200085697157883491e-01 3.286327242793724707e-03
3.328091114369046863e+03 5.258652237735003121e-01 3.278220409616030857e-03
3.331419205483417045e+03 5.328860359046609929e-01 3.099483702040548624e-03
3.334750624688901553e+03 5.388476227309834110e-01 2.973191540154331881e-03
3.338085375313591612e+03 5.434437100170501633e-01 3.084057405735502778e-03
3.341423460688906289e+03 5.469864110420822323e-01 2.986325736980549681e-03
3.344764884149596128e+03 5.501104766258706480e-01 3.097416880268421494e-03
3.348109649033746791e+03 5.536607655732018740e-01 3.372918577409463915e-03
3.351457758682781787e+03 5.587084684011521807e-01 3.331206198773701242e-03
3.354809216441465651e+03 5.644937430314918014e-01 3.170726632967690427e-03
3.358164025657908041e+03 5.722187452512285111e-01 3.205333763310017070e-03
3.361522189683567376e+03 5.807731077398181618e-01 3.166976697499677539e-03
3.364883711873251741e+03 5.891894930900130056e-01 3.189852757854372972e-03
3.368248595585126168e+03 5.967001233452452480e-01 3.281082913344575153e-03
3.371616844180712633e+03 6.056106770397546857e-01 3.273149611615250570e-03
3.374988461024894150e+03 6.159692963770553309e-01 2.867611886951990097e-03
3.378363449485920228e+03 6.244461416955466859e-01 2.921913252718292848e-03
3.381741812935407324e+03 6.304945847812560844e-01 2.865678637186733907e-03
3.385123554748343849e+03 6.350718660445097141e-01 2.848159525999603963e-03
3.388508678303093347e+03 6.389555325307418876e-01 2.535091877024711702e-03
3.391897186981397681e+03 6.402714470128899604e-01 2.568975791116937402e-03
3.395289084168380214e+03 6.407757152047930393e-01 2.670508262704485158e-03
3.398684373252549449e+03 6.388074978030281459e-01 2.683275877152146646e-03
3.402083057625803121e+03 6.323031161960682711e-01 1.379072940572827590e-03
3.405485140683430018e+03 6.285142897174771370e-01 1.378127248517513684e-03
3.408890625824114522e+03 6.242598421509186757e-01 1.267047084354120789e-03
3.412299516449939802e+03 6.197650717993234970e-01 1.273375535090455219e-03
3.415711815966390986e+03 6.155649722499142440e-01 1.260286366019607853e-03
3.419127527782358356e+03 6.111495231185112287e-01 1.149310088022306416e-03
3.422546655310141887e+03 6.074948889565759957e-01 1.095823543217041987e-03
3.425969201965453522e+03 6.049211583564462202e-01 1.164807847697390706e-03
3.429395171167419903e+03 6.040638673808138570e-01 1.154941423055772529e-03
3.432824566338588284e+03 6.051438804540747451e-01 1.376634600435382898e-03
3.436257390904928343e+03 6.068461341665033482e-01 1.609127567665847615e-03
3.439693648295834464e+03 6.081111856236551816e-01 1.592313287090460711e-03
3.443133341944131189e+03 6.089582430466865537e-01 1.926307537825799887e-03
3.446576475286076402e+03 6.114784604778686905e-01 1.869910815437500528e-03
3.450023051761363604e+03 6.154983873816294304e-01 1.860558239403411595e-03
3.453473074813126004e+03 6.193304997638893195e-01 1.914736755695156840e-03
3.456926547887940615e+03 6.224953147156658817e-01 1.888751994339245418e-03
3.460383474435829612e+03 6.252572106521901985e-01 1.870704895930032146e-03
3.463843857910266706e+03 6.273638868731731266e-01 1.840086748149586879e-03
3.467307701768178049e+03 6.291874416960780980e-01 1.805503826169246916e-03
3.470775009469947236e+03 6.305326167706115648e-01 1.870516835665583409e-03
3.474245784479418489e+03 6.315071730122990834e-01 1.901018756440055321e-03
3.477720030263898934e+03 6.302369210546223677e-01 1.965695838516327062e-03
3.481197750294164052e+03 6.285191576620255960e-01 2.041127657855357214e-03
3.484678948044459503e+03 6.259707345020875113e-01 2.461222090274205535e-03
3.488163626992504760e+03 6.232616041699587939e-01 2.596795715397903076e-03
3.491651790619498570e+03 6.216263697951230904e-01 2.094849692402280666e-03
3.495143442410119405e+03 6.223657255826866574e-01 2.290544913551088770e-03
3.498638585852530468e+03 6.240808089942094794e-01 2.260607580652081519e-03
3.502137224438384237e+03 6.272087234467127459e-01 2.268976039380933649e-03
3.505639361662823831e+03 6.294115624120573127e-01 2.309723988671343649e-03
3.509145001024487556e+03 6.315000838218419732e-01 2.692318771290203982e-03
3.512654146025513455e+03 6.329726050093188450e-01 2.449428793530813130e-03
3.516166800171540217e+03 6.324731753204233531e-01 2.066848670641724482e-03
3.519682966971712631e+03 6.302712019069008909e-01 1.796923004526043135e-03
3.523202649938685681e+03 6.244488545941238034e-01 2.765078575741500289e-03
3.526725852588625457e+03 6.174697796987120846e-01 3.235444645622889432e-03
3.530252578441215064e+03 6.109940440772384518e-01 2.853125297971255501e-03
3.533782831019657806e+03 6.050522917182280525e-01 2.155946782337873468e-03
3.537316613850678550e+03 6.011847558041808481e-01 2.229577417643794929e-03
3.540853930464530094e+03 5.988166170469361171e-01 2.449661700417413851e-03
3.544394784394995895e+03 5.971720318999920174e-01 2.844428096148678836e-03
3.547939179179392340e+03 5.955267475764465246e-01 2.626019357731991868e-03
3.551487118358572843e+03 5.920991521150573700e-01 2.510574427965356955e-03
3.555038605476932389e+03 5.882294248402984982e-01 2.436452836931710976e-03
3.558593644082410719e+03 5.838436854815999277e-01 2.384440035232823427e-03
3.562152237726494150e+03 5.788162240025178651e-01 2.465180276301521568e-03
3.565714389964221937e+03 5.723260417605587902e-01 2.251442318986638953e-03
3.569280104354187188e+03 5.658663161733942237e-01 2.023642317610780967e-03
3.572849384458542772e+03 5.600663900122289096e-01 1.587284859080924674e-03
3.576422233843002232e+03 5.557918170445729222e-01 1.650594937452778401e-03
3.579998656076846601e+03 5.521516904350226573e-01 1.631764756562671410e-03
3.583578654732924406e+03 5.498516714568072450e-01 1.539501831804985111e-03
3.587162233387658489e+03 5.490275151823705846e-01 1.285565312744520834e-03
3.590749395621047370e+03 5.484139662776054136e-01 1.224968038267582786e-03
3.594340145016669794e+03 5.489174272484406147e-01 1.255421535821362160e-03
3.597934485161687462e+03 5.504512519245339242e-01 1.558953698404069461e-03
3.601532419646850485e+03 5.511504854657486296e-01 1.549740001853459632e-03
3.605133952066498296e+03 5.517981829587003118e-01 1.540859032775077032e-03
3.608739086018566013e+03 5.519589557841695360e-01 1.534918911275257427e-03
3.612347825104585809e+03 5.529499446593560963e-01 1.409890162109044952e-03
3.615960172929691907e+03 5.526015074919298220e-01 1.319175234253793568e-03
3.619576133102622407e+03 5.509797073645439358e-01 1.298879177794218329e-03
3.623195709235726554e+03 5.478959744989521097e-01 1.815392045245212398e-03
3.626818904944963379e+03 5.450148684027154022e-01 1.767146804098330059e-03
3.630445723849909427e+03 5.416046291370480992e-01 1.662045433904617980e-03
3.634076169573760581e+03 5.391619697979578296e-01 1.603196800239346234e-03
3.637710245743335690e+03 5.364245201157982201e-01 1.499856228536169522e-03
3.641347955989080219e+03 5.356830211357365146e-01 1.797833943242862272e-03
3.644989303945070333e+03 5.347570936105848771e-01 1.759246214197852931e-03
3.648634293249016537e+03 5.333590941514684269e-01 1.672534077696994931e-03
3.652282927542266862e+03 5.310332199538446707e-01 1.632554115782457876e-03
3.655935210469810499e+03 5.278762433329448056e-01 1.778995446165674080e-03
3.659591145680281443e+03 5.250016781816367883e-01 1.895263214848383988e-03
3.663250736825963031e+03 5.226693667937530874e-01 2.033409738859564154e-03
3.666913987562790226e+03 5.218081118244366490e-01 1.998771159238285199e-03
3.670580901550354156e+03 5.212528757211585262e-01 1.802055799790851058e-03
3.674251482451905758e+03 5.216329344322733208e-01 1.663941754698487025e-03
3.677925733934358959e+03 5.233599972209445061e-01 1.848360955879659127e-03
3.681603659668294313e+03 5.267839720363414191e-01 2.121273674590846633e-03
3.685285263327964003e+03 5.297106017386727927e-01 1.892492370743832078e-03
3.688970548591293209e+03 5.321199658543881439e-01 1.575105233825223544e-03
3.692659519139885560e+03 5.329303284037121280e-01 2.050960267693708022e-03
3.696352178659026777e+03 5.348476369111848649e-01 2.046152878946983639e-03
3.700048530837686940e+03 5.360319445360044455e-01 1.932857809751601557e-03
3.703748579368525952e+03 5.379422543546914515e-01 2.132419969620721369e-03
3.707452327947895355e+03 5.382251406776691338e-01 2.049093362511801922e-03
3.711159780275844696e+03 5.392577182663901292e-01 2.416176227804378573e-03
3.714870940056121526e+03 5.375477413258082926e-01 2.653787297270217456e-03
3.718585810996179134e+03 5.359265578789835782e-01 3.055613797822550205e-03
3.722304396807176545e+03 5.353011635732031204e-01 3.065583601955963137e-03
3.726026701203984885e+03 5.350244139349016326e-01 3.008557778434394446e-03
3.729752727905190113e+03 5.361117943393390872e-01 3.280732999368297931e-03
3.733482480633096657e+03 5.361260093277597782e-01 3.330688533994941632e-03
3.737215963113731050e+03 5.352779809895962249e-01 3.381623445307060157e-03
3.740953179076846027e+03 5.348509364615721129e-01 3.417438645337718232e-03
3.744694132255923705e+03 5.341780405986835678e-01 3.487211540105054474e-03
3.748438826388181042e+03 5.354515886426305382e-01 3.579036603734101190e-03
3.752187265214570289e+03 5.366391273366107884e-01 3.484777535372980423e-03
3.755939452479786269e+03 5.379176104835868832e-01 3.443883220233084821e-03
3.759695391932267285e+03 5.387388950594204085e-01 3.405785457506168949e-03
3.763455087324201031e+03 5.388812461731793402e-01 3.188163423216318695e-03
3.767218542411526414e+03 5.387890055971298331e-01 3.172199840693975051e-03
3.770985760953939007e+03 5.399011643687969819e-01 2.991605952274460287e-03
3.774756746714894234e+03 5.438070229223828100e-01 2.947935688594884290e-03
3.778531503461610555e+03 5.504662996107886341e-01 2.959060794759555812e-03
3.782310034965073100e+03 5.591357292196460493e-01 2.559349343232238463e-03
3.786092345000039586e+03 5.668375448512853465e-01 2.468250864939314140e-03
3.789878437345040766e+03 5.747233514400552634e-01 2.391054139150364070e-03
3.793668315782387253e+03 5.833320720016385019e-01 2.387379673241446336e-03
3.797461984098170888e+03 5.919828130364042096e-01 2.330407524072077453e-03
3.801259446082270188e+03 6.020724595111215383e-01 1.728930410008811241e-03
3.805060705528353537e+03 6.085790595684695825e-01 3.020952307507188041e-03
3.808865766233883278e+03 6.166858628208895521e-01 2.849385750970054657e-03
3.812674632000118436e+03 6.261921228293415576e-01 2.913725613033551695e-03
3.816487306632119726e+03 6.348571654022929778e-01 2.852293782545134264e-03
3.820303793938753188e+03 6.433130142947514063e-01 2.792732679840034121e-03
3.824124097732693372e+03 6.517589813577866487e-01 2.645511121386474353e-03
3.827948221830427428e+03 6.609424648634548705e-01 2.763750182403764549e-03
3.831776170052258749e+03 6.722997330737924271e-01 2.751003365439183817e-03
3.835607946222312421e+03 6.853968496209230654e-01 2.765147222029276392e-03
3.839443554168536139e+03 7.007694116744564994e-01 2.734466166042317549e-03
3.843282997722705659e+03 7.171997796264945046e-01 2.698152515178200549e-03
3.847126280720429804e+03 7.349065859375178977e-01 2.746918121166251614e-03
3.850973407001151372e+03 7.533545429594726839e-01 2.672015927287728614e-03
3.854824380408153957e+03 7.729878420487482638e-01 2.761239716543022367e-03
3.858679204788563311e+03 7.920518310469979451e-01 2.607983283165636688e-03
3.862537883993353262e+03 8.105398165343009609e-01 2.524784433073097752e-03
3.866400421877347981e+03 8.284884934507509291e-01 2.556364980687780755e-03
3.870266822299226533e+03 8.466179067008535730e-01 2.479412328935446871e-03
3.874137089121526969e+03 8.636860292338522926e-01 2.426001675756960050e-03
3.878011226210649966e+03 8.782238586811490499e-01 1.368607601624486541e-03
3.881889237436861549e+03 8.937310174748922531e-01 1.602390449312319316e-03
3.885771126674299921e+03 9.078180727989909604e-01 1.549518953936011943e-03
3.889656897800975457e+03 9.218281087739097490e-01 1.503769601736926198e-03
3.893546554698777527e+03 9.343931720431857268e-01 1.423658846540471357e-03
3.897440101253477678e+03 9.459587993012847917e-01 1.275093075429510224e-03
3.901337541354732366e+03 9.551521570157084362e-01 1.627091314238877321e-03
3.905238878896088409e+03 9.639749356972291405e-01 1.616180195236352089e-03
3.909144117774985716e+03 9.727405612867711104e-01 1.857171748754167517e-03
3.913053261892762293e+03 9.801451778768657253e-01 1.869793751779546837e-03
3.916966315154656058e+03 9.865037946849996020e-01 1.881879744114386358e-03
3.920883281469812118e+03 9.931829661860163139e-01 1.899936298568327686e-03
3.924804164751283224e+03 9.994309084419470413e-01 1.983959943863082727e-03
3.928728968916035683e+03 1.005529004407679894e+00 1.801062657515641518e-03
3.932657697884953450e+03 1.010691833407497020e+00 1.778909824637079284e-03
3.936590355582839493e+03 1.014822718418891379e+00 1.811327217979019980e-03
3.940526945938423523e+03 1.017962672977422045e+00 1.886815631139767638e-03
3.944467472884363360e+03 1.021621730250863669e+00 1.900521454257376357e-03
3.948411940357249023e+03 1.025380318464761409e+00 2.006332501742649158e-03
3.952360352297607733e+03 1.028585632643055581e+00 2.044920983135536507e-03
3.956312712649906643e+03 1.031926626846455308e+00 2.060916766529569729e-03
3.960269025362557841e+03 1.033408591000779531e+00 2.063027641214753433e-03
3.964229294387921527e+03 1.035628702506780963e+00 1.969713117900920036e-03
3.968193523682310570e+03 1.037107967358395610e+00 2.009120803832779509e-03
3.972161717205994591e+03 1.038494296629743685e+00 2.009566241836356886e-03
3.976133878923201792e+03 1.038528461389332191e+00 1.842476704821570041e-03
3.980110012802126221e+03 1.038948070148842273e+00 1.842253596965612869e-03
3.984090122814929600e+03 1.040105841440043699e+00 1.713895488316858956e-03
3.988074212937745870e+03 1.039329921744489127e+00 1.639785818009419907e-03
3.992062287150684824e+03 1.039810350981936971e+00 1.535079450596439675e-03
3.996054349437837118e+03 1.041132340559085545e+00 1.752934930666570114e-03
4.000050403787276082e+03 1.041932362921491606e+00 1.674466102213205670e-03
4.004050454191064546e+03 1.042343546522596309e+00 1.742971089173959076e-03
4.008054504645257111e+03 1.041852681198362829e+00 1.538611919706959520e-03
4.012062559149903791e+03 1.039298899595660242e+00 1.528531385940193506e-03
4.016074621709055009e+03 1.034624485706332253e+00 1.487597416973736146e-03
4.020090696330765240e+03 1.028369097453096792e+00 1.496780229567923988e-03
4.024110787027097558e+03 1.021113290510271332e+00 1.508767253575572700e-03
4.028134897814125907e+03 1.010979608104503047e+00 1.505196139920254514e-03
4.032163032711941469e+03 9.981397200513981716e-01 1.550272259642899086e-03
4.036195195744654484e+03 9.824411663940684214e-01 1.661570332021900008e-03
4.040231390940400615e+03 9.653023768950284023e-01 1.838444088293558938e-03
4.044271622331342314e+03 9.476591403784073719e-01 1.679694827856858825e-03
4.048315893953675186e+03 9.307374646520222283e-01 1.830237727992146566e-03
4.052364209847629809e+03 9.131107700436728036e-01 1.839012107083894815e-03
4.056416574057479011e+03 8.953423867671886915e-01 1.843707082286019346e-03
4.060472990631537868e+03 8.776282926533277573e-01 1.869604462281530301e-03
4.064533463622170530e+03 8.604203415597715399e-01 1.801525526424912994e-03
4.068597997085794304e+03 8.464349927708683108e-01 1.793782892979639294e-03
4.072666595082881486e+03 8.346356241381998053e-01 1.815458196126110840e-03
4.076739261677965715e+03 8.244568058261252386e-01 1.945023618038003088e-03
4.080816000939644709e+03 8.159940954061921659e-01 2.090772636422243754e-03
4.084896816940585722e+03 8.096241928372998053e-01 2.086889942845506288e-03
4.088981713757527814e+03 8.052985471473338430e-01 2.030145074633319183e-03
4.093070695471286854e+03 8.036131395680196077e-01 2.094428499651608457e-03
4.097163766166759160e+03 8.041229027603175039e-01 2.250381271644968754e-03
4.101260929932927866e+03 8.065857037057297951e-01 2.016515286750487912e-03
4.105362190862862008e+03 8.103302642749722340e-01 1.800433033071466293e-03
4.109467553053726078e+03 8.136719626228681168e-01 1.783408435089160228e-03
4.113577020606780934e+03 8.161302206395452119e-01 1.918657453807981906e-03
4.117690597627389252e+03 8.184767675565629563e-01 1.766941751338275187e-03
4.121808288225018259e+03 8.212125411275262854e-01 1.859201921349419497e-03
4.125930096513244280e+03 8.239148012312895730e-01 1.873544054256162054e-03
4.130056026609759101e+03 8.248952192759482216e-01 1.953157319564256637e-03
4.134186082636369974e+03 8.232672543200283410e-01 1.875458648345710438e-03
4.138320268719007800e+03 8.191596038116875089e-01 2.124008482237175685e-03
4.142458588987728035e+03 8.133584244519797002e-01 2.239597813264036265e-03
4.146601047576717065e+03 8.075756515931643564e-01 2.219875246156967699e-03
4.150747648624294925e+03 8.022741052859215793e-01 2.219036281023403518e-03
4.154898396272920763e+03 7.970445814174400567e-01 2.222221372067533385e-03
4.159053294669195566e+03 7.906627963697360206e-01 1.840255722512331056e-03
