# starting wavelength: 2963.900
# ending wavelength: 9152.220
# wav flux eflux
2.966718210946040017e+03 8.243890833425031595e-01 1.970697091342178686e-02
2.969684929156986982e+03 8.303874542261612257e-01 1.465729645898893908e-02
2.972654614086145102e+03 8.372181799469855523e-01 1.089779657539602029e-02
2.975627268700231980e+03 8.453573526113403735e-01 8.303110252763873031e-03
2.978602895968933353e+03 8.540586027463467067e-01 6.875794167993058009e-03
2.981581498864903097e+03 8.630256351005998194e-01 8.504254526529041874e-03
2.984563080363769132e+03 8.680418941721627091e-01 7.508418059173447602e-03
2.987547643444133882e+03 8.704961320950606041e-01 6.195356253139131138e-03
2.990535191087578823e+03 8.722726970418530623e-01 5.246647236479319749e-03
2.993525726278667662e+03 8.736202642104272664e-01 4.566019395840735344e-03
2.996519252004947248e+03 8.745494846382466658e-01 4.056516131485846111e-03
2.999515771256953030e+03 8.744598447534737140e-01 3.602855614426695146e-03
3.002515287028211333e+03 8.727150261329512659e-01 3.366365471453574600e-03
3.005517802315240260e+03 8.692706226687102466e-01 3.453513336163466490e-03
3.008523320117556523e+03 8.648388827405184553e-01 3.619927754831490062e-03
3.011531843437674979e+03 8.618352524254884184e-01 3.396603539992662773e-03
3.014543375281113640e+03 8.592965579467836124e-01 3.320544703669395248e-03
3.017557918656395941e+03 8.579388227220812180e-01 3.245067125946591614e-03
3.020575476575053472e+03 8.562146881037349111e-01 3.131143774378278809e-03
3.023596052051629158e+03 8.540719538999279603e-01 3.016729873132947565e-03
3.026619648103681811e+03 8.523827329909114958e-01 2.930349679064430616e-03
3.029646267751786581e+03 8.506634558917229860e-01 2.843132428423610341e-03
3.032675914019539505e+03 8.501583980865733414e-01 2.840835551893612296e-03
3.035708589933559779e+03 8.502934222835231148e-01 2.958383467548846620e-03
3.038744298523494763e+03 8.497581643820796282e-01 2.904890372041584855e-03
3.041783042822019070e+03 8.498566195225805142e-01 2.838898562249868480e-03
3.044824825864842296e+03 8.498821788817267908e-01 2.743484041792667010e-03
3.047869650690708113e+03 8.500076633580092578e-01 2.533548342164817797e-03
3.050917520341399722e+03 8.493106536932106820e-01 2.379698239149025639e-03
3.053968437861742132e+03 8.486999085784358021e-01 2.321944121866670232e-03
3.057022406299604881e+03 8.478805378552356498e-01 2.343727981129917638e-03
3.060079428705905229e+03 8.471216930736358286e-01 2.315909371844897865e-03
3.063139508134612242e+03 8.464918158147879401e-01 2.242967996154606510e-03
3.066202647642748161e+03 8.462140671517649482e-01 2.130980254331556450e-03
3.069268850290391583e+03 8.461815600091865397e-01 2.028031384655806790e-03
3.072338119140682920e+03 8.462650138411583756e-01 1.985198837547968130e-03
3.075410457259824852e+03 8.459428682941356747e-01 2.019678677269077204e-03
3.078485867717085512e+03 8.463504242563778535e-01 2.045475129270293412e-03
3.081564353584803939e+03 8.468225016067233435e-01 2.068338955752432352e-03
3.084645917938389630e+03 8.469110931962482436e-01 2.047466689334326122e-03
3.087730563856328899e+03 8.468249091363632131e-01 2.072263013618471771e-03
3.090818294420186248e+03 8.460142513086031935e-01 2.054128988177646165e-03
3.093909112714607545e+03 8.441862335842736931e-01 1.958870383000539412e-03
3.097003021827323209e+03 8.420359608854899314e-01 1.880876167148760403e-03
3.100100024849151396e+03 8.396464866822448414e-01 1.724589037907618347e-03
3.103200124874001631e+03 8.371085205804016383e-01 1.566524643111092069e-03
3.106303324998876633e+03 8.334586606823339849e-01 1.843460300672962763e-03
3.109409628323876859e+03 8.294419525447959129e-01 2.187013244521680052e-03
3.112519037952201415e+03 8.256825037949542256e-01 2.247621084009461274e-03
3.115631556990154877e+03 8.225223668088018636e-01 2.048285023667112056e-03
3.118747188547145925e+03 8.196297451110695631e-01 1.861138405369402787e-03
3.121865935735694165e+03 8.171998746611093267e-01 1.810472821067574210e-03
3.124987801671431043e+03 8.158873348861279684e-01 1.703404302983331292e-03
3.128112789473103476e+03 8.154184204679255643e-01 1.513380905660182199e-03
3.131240902262577492e+03 8.160965675672532393e-01 1.504628977951869701e-03
3.134372143164840963e+03 8.176735355837140284e-01 1.652193862499628726e-03
3.137506515308006783e+03 8.199912755414654475e-01 1.842549218609809475e-03
3.140644021823316052e+03 8.220115948462579647e-01 1.848051941417959507e-03
3.143784665845140353e+03 8.257463972542875563e-01 1.920329093631357792e-03
3.146928450510986750e+03 8.297438479736501948e-01 1.946710105958159281e-03
3.150075378961498700e+03 8.336254149062973795e-01 1.726236211327388664e-03
3.153225454340461056e+03 8.376273661942198467e-01 1.488281679805143537e-03
3.156378679794802792e+03 8.416406776877165541e-01 1.307596778643101447e-03
3.159535058474598372e+03 8.454263564862265490e-01 1.262431669526310534e-03
3.162694593533074112e+03 8.493420985307461590e-01 1.225061382095650421e-03
3.165857288126608182e+03 8.527065071135946361e-01 1.224487814505673643e-03
3.169023145414736064e+03 8.555436727423110232e-01 1.228845823931536173e-03
3.172192168560151458e+03 8.580109280437661079e-01 1.200592077201121906e-03
3.175364360728712654e+03 8.605463413863004840e-01 1.173615868349388736e-03
3.178539725089442527e+03 8.627144357500245997e-01 1.210757806368526878e-03
3.181718264814533086e+03 8.644702875956172816e-01 1.313152185661528842e-03
3.184899983079348658e+03 8.656089506120152599e-01 1.391992788523585718e-03
3.188084883062429071e+03 8.657931015253534923e-01 1.384391964455178488e-03
3.191272967945492383e+03 8.654955163750915892e-01 1.377731076143084770e-03
3.194464240913438971e+03 8.646491873900693514e-01 1.447187156172922637e-03
3.197658705154353811e+03 8.633727214641645498e-01 1.617279185905262867e-03
3.200856363859509202e+03 8.628242478928134229e-01 1.670221156128530622e-03
3.204057220223369768e+03 8.614786940316746522e-01 1.970640007456006364e-03
3.207261277443593826e+03 8.602444355129010845e-01 2.187730103385223269e-03
3.210468538721038840e+03 8.593576836812956143e-01 2.180952626968307023e-03
3.213679007259760965e+03 8.591536221985782706e-01 2.115034063748766260e-03
3.216892686267021418e+03 8.596471145487383225e-01 2.060220101892222717e-03
3.220109578953289656e+03 8.608686682418282832e-01 2.012419787656191672e-03
3.223329688532243836e+03 8.618492819209970790e-01 1.817006490448749238e-03
3.226553018220777176e+03 8.646793541724835386e-01 1.919177440786617485e-03
3.229779571238999324e+03 8.683368610294354140e-01 2.077045988972799073e-03
