# starting wavelength: 4420.820
# ending wavelength: 6945.690
# wav flux eflux
4.424939011392662906e+03 8.600056859426629119e-01 2.121064547924685420e-02
4.429363950404056595e+03 8.694709224561021355e-01 1.525949564889188433e-02
4.433793314354462382e+03 8.806438353958000453e-01 1.175853616201312686e-02
4.438227107668818462e+03 8.934043644417792862e-01 9.927561093773131298e-03
4.442665334776488635e+03 9.104154130776093146e-01 7.594587179657774634e-03
4.447108000111265937e+03 9.296376449071861447e-01 5.941036252093742816e-03
4.451555108111379013e+03 9.500434994543024425e-01 4.775964517071047168e-03
4.456006663219492111e+03 9.709226679051630171e-01 4.202187564655466070e-03
4.460462669882713271e+03 9.913589974495833346e-01 3.552888754432821043e-03
4.464923132552597053e+03 1.011550537797659022e+00 3.040413529486522826e-03
4.469388055685150903e+03 1.031318584298012153e+00 2.635725503361905329e-03
4.473857443740837880e+03 1.049548770218173832e+00 2.553388630048781995e-03
4.478331301184580298e+03 1.066402045485981720e+00 2.642819650129897210e-03
4.482809632485766087e+03 1.082725309073494069e+00 2.598090599210768192e-03
4.487292442118253348e+03 1.097811251543497457e+00 2.734914067843219939e-03
4.491779734560373072e+03 1.113659799089679048e+00 2.692347398816435488e-03
4.496271514294934605e+03 1.127681312844028616e+00 2.883280095886697671e-03
4.500767785809231100e+03 1.140947560365023206e+00 2.869857469810191582e-03
4.505268553595042249e+03 1.153065020333735813e+00 2.690386978451395333e-03
4.509773822148638828e+03 1.166376877750525898e+00 2.533185321120701508e-03
4.514283595970789065e+03 1.180193042324327424e+00 2.561332324293895055e-03
4.518797879566761367e+03 1.192967457508813389e+00 2.609434337802985990e-03
4.523316677446328868e+03 1.206747881699780089e+00 3.074037392919143786e-03
4.527839994123776705e+03 1.220290705763346972e+00 3.561547801861987377e-03
4.532367834117902021e+03 1.231698199491112922e+00 3.661112716002646282e-03
4.536900201952022144e+03 1.241932691754164431e+00 3.665073441613960273e-03
4.541437102153975502e+03 1.251253809976185183e+00 3.667628787735110248e-03
4.545978539256130716e+03 1.259625617120575747e+00 3.574681327113310957e-03
4.550524517795388419e+03 1.267138603796777785e+00 3.062898388893018579e-03
4.555075042313184895e+03 1.272845409169018227e+00 2.959577745252343038e-03
4.559630117355500261e+03 1.275646143968140578e+00 2.975609056929682909e-03
4.564189747472856652e+03 1.276113612222385729e+00 2.933032154327541979e-03
4.568753937220330954e+03 1.274526663301959628e+00 3.032779597638502692e-03
4.573322691157552981e+03 1.270829277636093213e+00 3.064305352394788070e-03
4.577896013848711846e+03 1.265370899921786974e+00 3.332548171730624793e-03
4.582473909862562323e+03 1.256868066254682947e+00 3.329411188190118005e-03
4.587056383772426670e+03 1.244875250188137938e+00 3.497174638756531204e-03
4.591643440156200086e+03 1.231909486635887063e+00 3.622420115623886227e-03
4.596235083596357981e+03 1.218964125121751341e+00 3.694705162534814985e-03
4.600831318679955984e+03 1.205365517150156496e+00 3.860707670649554668e-03
4.605432149998637215e+03 1.192000703018013752e+00 4.018073569445712416e-03
4.610037582148637739e+03 1.178825560184811216e+00 4.000796968280814943e-03
4.614647619730787483e+03 1.166870653262934932e+00 3.999791697034836904e-03
4.619262267350520233e+03 1.154144738694642847e+00 3.920576488025005225e-03
4.623881529617872729e+03 1.140882000505793137e+00 4.011979915467113293e-03
4.628505411147491941e+03 1.127890068497227727e+00 4.262709266901651764e-03
4.633133916558640522e+03 1.117388783063278934e+00 5.128860104454977496e-03
4.637767050475200449e+03 1.105742681802021954e+00 5.050411503076925046e-03
4.642404817525677572e+03 1.093354860288173080e+00 4.265691238565114986e-03
4.647047222343205249e+03 1.079737610342758281e+00 3.745436505457369961e-03
4.651694269565549803e+03 1.064312149051033662e+00 3.539753614845912114e-03
4.656345963835116891e+03 1.044497052320107811e+00 4.261729244348123891e-03
4.661002309798953320e+03 1.022660874928438712e+00 4.320284951171738351e-03
4.665663312108753416e+03 9.991273057773517596e-01 3.591309542303652066e-03
4.670328975420864481e+03 9.784691701661258900e-01 2.701867407674601266e-03
4.674999304396286789e+03 9.602705793426663528e-01 1.842252475335334847e-03
4.679674303700684504e+03 9.476976213337706678e-01 2.182229136124582466e-03
4.684353978004386590e+03 9.389029450296362267e-01 2.418465461416973491e-03
4.689038331982392265e+03 9.325090505809240371e-01 2.569022183513424307e-03
4.693727370314376458e+03 9.289391440661320942e-01 2.596254856906839419e-03
4.698421097684692540e+03 9.284684144390373817e-01 2.419677533060469749e-03
4.703119518782378691e+03 9.294572198673343166e-01 2.298835450228388366e-03
4.707822638301162442e+03 9.306078540853516268e-01 1.803632253384176163e-03
4.712530460939465229e+03 9.311634931684090732e-01 1.985227068329718184e-03
4.717242991400406027e+03 9.313345795870260346e-01 2.801751983655950858e-03
4.721960234391808626e+03 9.316603253204750468e-01 2.687380836429725025e-03
4.726682194626201635e+03 9.349866848073088432e-01 2.334095763540465236e-03
4.731408876820829391e+03 9.415732428276023525e-01 2.248309841870535942e-03
4.736140285697651962e+03 9.500698203519500895e-01 2.396878171366611729e-03
4.740876425983350600e+03 9.609272111747353406e-01 3.310390040581804270e-03
4.745617302409335934e+03 9.720068119040393695e-01 3.511679735432214882e-03
4.750362919711747054e+03 9.822339907516951518e-01 3.568778172265820413e-03
4.755113282631459697e+03 9.900508167573945917e-01 2.917045354654035794e-03
4.759868395914093526e+03 9.943857389194313834e-01 2.819819751341359673e-03
4.764628264310008490e+03 9.959145706677796639e-01 3.132493117468573580e-03
4.769392892574320285e+03 9.946282610834786819e-01 4.123547296930723041e-03
4.774162285466896719e+03 9.923203480783041597e-01 4.103879056373010807e-03
4.778936447752364984e+03 9.891992491573107227e-01 3.428746379565508675e-03
4.783715384200118933e+03 9.859853155851981965e-01 2.401505983206476263e-03
4.788499099584319993e+03 9.851956731714391902e-01 2.130920376009756874e-03
