# starting wavelength: 3026.780
# ending wavelength: 7645.200
# wav flux eflux
3.029646267751786581e+03 8.603169908110447350e-01 5.004211204447155809e-02
3.032675914019539505e+03 8.247024755645260274e-01 4.193407261283959436e-02
3.035708589933559779e+03 8.030180074256761946e-01 3.126320142092198912e-02
3.038744298523494763e+03 7.925532935324230976e-01 2.383265540516846942e-02
3.041783042822019070e+03 7.938192903894010222e-01 1.958386631649376708e-02
3.044824825864842296e+03 8.002694943440721298e-01 1.713423687356719141e-02
3.047869650690708113e+03 8.083583761199688578e-01 1.471498193243680856e-02
3.050917520341399722e+03 8.171937179299235687e-01 1.295268020094813080e-02
3.053968437861742132e+03 8.262007348712392396e-01 1.130716104412176834e-02
3.057022406299604881e+03 8.362412945245701890e-01 9.742089742898380617e-03
3.060079428705905229e+03 8.462273595488731814e-01 8.641042160651412132e-03
3.063139508134612242e+03 8.570454057860394936e-01 7.773616114855001931e-03
3.066202647642748161e+03 8.657231967813503459e-01 7.350875567643536113e-03
3.069268850290391583e+03 8.740048838334301129e-01 7.012411427938245248e-03
3.072338119140682920e+03 8.821249035181961684e-01 6.719558034902125936e-03
3.075410457259824852e+03 8.895629818374649611e-01 6.565407865603760211e-03
3.078485867717085512e+03 8.974950595112773932e-01 6.347512558139709396e-03
3.081564353584803939e+03 9.050039730042388486e-01 6.215407890879463132e-03
3.084645917938389630e+03 9.117030150032903180e-01 6.090511581076245122e-03
3.087730563856328899e+03 9.176192985484609155e-01 6.023196547394715251e-03
3.090818294420186248e+03 9.230575116172629047e-01 5.710148068646048007e-03
3.093909112714607545e+03 9.289927697203042012e-01 5.003190652335667496e-03
3.097003021827323209e+03 9.354517458048459133e-01 4.493149989442294691e-03
3.100100024849151396e+03 9.433907204736454721e-01 4.328329513127599122e-03
3.103200124874001631e+03 9.519761432973192772e-01 4.349301244654750313e-03
3.106303324998876633e+03 9.617428800311511594e-01 4.465856720672608214e-03
3.109409628323876859e+03 9.719027993307324254e-01 4.573296291762654966e-03
3.112519037952201415e+03 9.818210399241489306e-01 4.358060075803717008e-03
3.115631556990154877e+03 9.928000599257228442e-01 4.107891082425198410e-03
3.118747188547145925e+03 1.004402858654546593e+00 3.122850357220023024e-03
3.121865935735694165e+03 1.014200472664562591e+00 2.819951612947556221e-03
3.124987801671431043e+03 1.021861580492485322e+00 2.792844981860138822e-03
3.128112789473103476e+03 1.027831344593733043e+00 2.769837327903152801e-03
3.131240902262577492e+03 1.032597277531264623e+00 2.726468518752640357e-03
3.134372143164840963e+03 1.037601631887689946e+00 2.788134634928120335e-03
3.137506515308006783e+03 1.040643384899939017e+00 2.771310966091368715e-03
3.140644021823316052e+03 1.042961129744288007e+00 2.760069834825798745e-03
3.143784665845140353e+03 1.044954198575697379e+00 2.560381271223819907e-03
3.146928450510986750e+03 1.045316036006335825e+00 2.642249887224553968e-03
3.150075378961498700e+03 1.045327298420113404e+00 2.655946897897133990e-03
3.153225454340461056e+03 1.043702053184144996e+00 2.420863324859493567e-03
3.156378679794802792e+03 1.040874502724401074e+00 2.191931484082580706e-03
3.159535058474598372e+03 1.038002700281460466e+00 2.061548443865514942e-03
3.162694593533074112e+03 1.033943720040811476e+00 1.830014125056489719e-03
3.165857288126608182e+03 1.030064349864635131e+00 1.858274660367017182e-03
3.169023145414736064e+03 1.026826362133685722e+00 1.918795975827122932e-03
3.172192168560151458e+03 1.023274015049977725e+00 1.797084449329107566e-03
3.175364360728712654e+03 1.020757692584750576e+00 1.920260842938859361e-03
3.178539725089442527e+03 1.018425334376069857e+00 1.927535880114701139e-03
3.181718264814533086e+03 1.016993766261015786e+00 2.167359451198305059e-03
3.184899983079348658e+03 1.016336603449512266e+00 2.433701220107959123e-03
3.188084883062429071e+03 1.015288932610037165e+00 2.758208806413313136e-03
3.191272967945492383e+03 1.013104000076618494e+00 2.770181281780466614e-03
3.194464240913438971e+03 1.009685785215656884e+00 2.816452597818820593e-03
3.197658705154353811e+03 1.004360176788949843e+00 2.765687714571794277e-03
3.200856363859509202e+03 9.984777680587229032e-01 2.666155470547596894e-03
3.204057220223369768e+03 9.919874783703722665e-01 2.711662607160283088e-03
3.207261277443593826e+03 9.839940130614067693e-01 2.818331802273823204e-03
3.210468538721038840e+03 9.755228588411044566e-01 2.808440941363266573e-03
3.213679007259760965e+03 9.661190736635028031e-01 2.842562868946543059e-03
3.216892686267021418e+03 9.558173424450268074e-01 2.903840142680605592e-03
3.220109578953289656e+03 9.451061903922258756e-01 2.891603095511211755e-03
3.223329688532243836e+03 9.329771253727011660e-01 2.957054269223226804e-03
3.226553018220777176e+03 9.203331944667573206e-01 2.975160497232154453e-03
3.229779571238999324e+03 9.080479146967614934e-01 2.960320136112121366e-03
3.233009350810239084e+03 8.980994071360772768e-01 2.870704414052909544e-03
3.236242360161050783e+03 8.893603072176010649e-01 2.854149670340415824e-03
3.239478602521212906e+03 8.803783261347397637e-01 2.382819894338199414e-03
3.242718081123734919e+03 8.751016074303672454e-01 3.037796874954282796e-03
