# starting wavelength: 2650.000
# ending wavelength: 7752.940
# wav flux eflux
2.652525818456813340e+03 1.716713103417890629e+00 3.093864074060182282e-02
2.655178344275271229e+03 1.737477927079367213e+00 2.369171255479851634e-02
2.657833522619547239e+03 1.768073372720882164e+00 2.088473802931654910e-02
2.660491356142167660e+03 1.802878602150743914e+00 1.860983795526753234e-02
2.663151847498310872e+03 1.838222452559602260e+00 1.646271710736067762e-02
2.665814999345810065e+03 1.872193735112027468e+00 1.447973242076185975e-02
2.668480814345156887e+03 1.904195041756410633e+00 1.212047701190674745e-02
2.671149295159502799e+03 1.935197861342053738e+00 1.015945384461175958e-02
2.673820444454663175e+03 1.965308722454957246e+00 8.747030350614144745e-03
2.676494264899118662e+03 1.994173425636006858e+00 7.829945696849253262e-03
2.679170759164018818e+03 2.023010656068922497e+00 6.980642831122991186e-03
2.681849929923183481e+03 2.051688858413396765e+00 6.330196912677732608e-03
2.684531779853107764e+03 2.080592077063096568e+00 5.826114348012609474e-03
2.687216311632961606e+03 2.110159553794071829e+00 5.487671040209946872e-03
2.689903527944595680e+03 2.138788671212510817e+00 5.249899354420485727e-03
2.692593431472540942e+03 2.168137361524755669e+00 5.115617479724970940e-03
2.695286024904014539e+03 2.196853519532940169e+00 5.008318866510896340e-03
2.697981310928919356e+03 2.224309876583367540e+00 4.866447927460292901e-03
2.700679292239849019e+03 2.251252253925024593e+00 4.763509064682361002e-03
2.703379971532089712e+03 2.276294935183529322e+00 4.707143847519192417e-03
2.706083351503622907e+03 2.300887707368675095e+00 4.723213857191293184e-03
2.708789434855127183e+03 2.324995386436162548e+00 4.789573419231408363e-03
2.711498224289983227e+03 2.348962454754209173e+00 4.877274493969799979e-03
2.714209722514274290e+03 2.372367595872419077e+00 5.034487922558609184e-03
2.716923932236789369e+03 2.395206100709900365e+00 4.760115202764131533e-03
2.719640856169027302e+03 2.417746367962787080e+00 4.131496190981706271e-03
2.722360497025197219e+03 2.438649107785583858e+00 3.551373114196098787e-03
2.725082857522223094e+03 2.456725527099163031e+00 3.566185261515237345e-03
2.727807940379746015e+03 2.472110936386770152e+00 3.770589591078881992e-03
2.730535748320126913e+03 2.486308452858668971e+00 3.823619814751835766e-03
2.733266284068447931e+03 2.498087062972146999e+00 3.598185338386767664e-03
2.735999550352517417e+03 2.507491278169379001e+00 2.471340590956822795e-03
2.738735549902870844e+03 2.516397607155173244e+00 2.040400998235626043e-03
2.741474285452774438e+03 2.525533794442190061e+00 1.859171203012632053e-03
2.744215759738227916e+03 2.534081557121291350e+00 1.845845231584589867e-03
2.746959975497967207e+03 2.543109983520046136e+00 1.916929704473726041e-03
2.749706935473466274e+03 2.550928053618800373e+00 1.911984999153142203e-03
2.752456642408940297e+03 2.559637373598551147e+00 1.882407599075586017e-03
2.755209099051350222e+03 2.567625635675000240e+00 1.797900077705400987e-03
2.757964308150402758e+03 2.574408895099401295e+00 1.798448163695233817e-03
2.760722272458554016e+03 2.580520596909710918e+00 1.823953291759080123e-03
2.763482994731013605e+03 2.586434383549200966e+00 1.889512388406852129e-03
2.766246477725745535e+03 2.592288352204162205e+00 1.952883703545530087e-03
2.769012724203471862e+03 2.597507895083665197e+00 2.333945632364560919e-03
2.771781736927676320e+03 2.602768603161765615e+00 2.306508483215354097e-03
2.774553518664604780e+03 2.608053594028931776e+00 2.038465344283346779e-03
2.777328072183270706e+03 2.614307484563914041e+00 1.969651447855288659e-03
2.780105400255454697e+03 2.621135204992424139e+00 1.900136530514889583e-03
2.782885505655710858e+03 2.628284208018435653e+00 1.887242334710338134e-03
2.785668391161367708e+03 2.636004453219058963e+00 1.860729713047879407e-03
2.788454059552529998e+03 2.643726668059907858e+00 1.856331167084627511e-03
2.791242513612083258e+03 2.652443401853636917e+00 2.003134702009155832e-03
