# starting wavelength: 2644.700
# ending wavelength: 4989.180
# wav flux eflux
2.647228713800496735e+03 2.641737126647694112e+00 4.500814474231003975e-03
2.649875942514298458e+03 2.641655544920555432e+00 3.700344996325923182e-03
2.652525818456813340e+03 2.642104205505336534e+00 3.205488666956240931e-03
2.655178344275271229e+03 2.643924074000594260e+00 2.557047963966893513e-03
2.657833522619547239e+03 2.646789976593060256e+00 2.016264620086622057e-03
2.660491356142167660e+03 2.650312160481952617e+00 1.661240554972916172e-03
2.663151847498310872e+03 2.654142083271510355e+00 1.578088687335586294e-03
2.665814999345810065e+03 2.657913030106462404e+00 1.607840972979387951e-03
2.668480814345156887e+03 2.661797115813586689e+00 1.488668470345109063e-03
2.671149295159502799e+03 2.666196161053270952e+00 1.323050925895161200e-03
2.673820444454663175e+03 2.671325816801778608e+00 1.219277783997772032e-03
2.676494264899118662e+03 2.677100721437192021e+00 1.178242460508443362e-03
2.679170759164018818e+03 2.683326871613999742e+00 1.162845587661855183e-03
2.681849929923183481e+03 2.689385669532453171e+00 1.128234365602856244e-03
2.684531779853107764e+03 2.695871915588922807e+00 1.105796672627625075e-03
2.687216311632961606e+03 2.702199762611228184e+00 1.070914867476864063e-03
2.689903527944595680e+03 2.708449222013624258e+00 1.057505561333167915e-03
2.692593431472540942e+03 2.714719212112842506e+00 1.069631246608155044e-03
2.695286024904014539e+03 2.720913740033485517e+00 1.076559468535937631e-03
2.697981310928919356e+03 2.727011456335931339e+00 1.152275466729577426e-03
2.700679292239849019e+03 2.732836776594216754e+00 1.292626258496441978e-03
2.703379971532089712e+03 2.738210977188491047e+00 1.406450348609844178e-03
2.706083351503622907e+03 2.742407590247328386e+00 1.389954018542824063e-03
2.708789434855127183e+03 2.746221827058943799e+00 1.333293886660706380e-03
2.711498224289983227e+03 2.748833926586799148e+00 1.234107176586035637e-03
2.714209722514274290e+03 2.750124159417531189e+00 1.224012908143260045e-03
2.716923932236789369e+03 2.750147067731190997e+00 1.334501605414886933e-03
2.719640856169027302e+03 2.749005336450500270e+00 1.400751734306188330e-03
2.722360497025197219e+03 2.746859820542039365e+00 1.441963246598715288e-03
2.725082857522223094e+03 2.743664916794131603e+00 1.465599275663746325e-03
2.727807940379746015e+03 2.739362893341618310e+00 1.489132514867052637e-03
2.730535748320126913e+03 2.734310414626151875e+00 1.524913642805178146e-03
2.733266284068447931e+03 2.727686059987586287e+00 1.432775996757695977e-03
2.735999550352517417e+03 2.720119937646296115e+00 1.259945273016785557e-03
2.738735549902870844e+03 2.711748592687414305e+00 1.192990894258603041e-03
2.741474285452774438e+03 2.703508217959447180e+00 1.270839610675229738e-03
2.744215759738227916e+03 2.694546488715804600e+00 1.284809869683121780e-03
2.746959975497967207e+03 2.684563384571558409e+00 1.291989586741301493e-03
2.749706935473466274e+03 2.673308426347839717e+00 1.296637236694663875e-03
2.752456642408940297e+03 2.660821191407868991e+00 1.314547849978307467e-03
2.755209099051350222e+03 2.646990086439099610e+00 1.364511037630455285e-03
2.757964308150402758e+03 2.632558943732652867e+00 1.372355909996196251e-03
2.760722272458554016e+03 2.617253177058973534e+00 1.294716269202532237e-03
2.763482994731013605e+03 2.601636136447697201e+00 9.591427576381634287e-04
2.766246477725745535e+03 2.584083268192384431e+00 8.588811147189812003e-04
2.769012724203471862e+03 2.565093249284995380e+00 9.412046885363587433e-04
2.771781736927676320e+03 2.544965404949285581e+00 9.266188960930612280e-04
2.774553518664604780e+03 2.523927916881544053e+00 7.439415500285461716e-04
2.777328072183270706e+03 2.502494803841809112e+00 5.318426821171800493e-04
2.780105400255454697e+03 2.480892849779286369e+00 3.978342173367302231e-04
2.782885505655710858e+03 2.459365342786687947e+00 5.580065771939499673e-04
2.785668391161367708e+03 2.438299725283915809e+00 8.523374655452674786e-04
2.788454059552529998e+03 2.417779594795363973e+00 1.136017789270034545e-03
2.791242513612083258e+03 2.398332663084778549e+00 1.261898960438423683e-03
2.794033756125696527e+03 2.380519461039828588e+00 1.208907015660128526e-03
2.796827789881823264e+03 2.364871526055924988e+00 1.057580634472902624e-03
2.799624617671705892e+03 2.351613478145190950e+00 9.856246073642565934e-04
2.802424242289378526e+03 2.340326772022757407e+00 9.861268316796948773e-04
2.805226666531668798e+03 2.331531925682205575e+00 1.087158896511916531e-03
2.808031893198201487e+03 2.324776723953443813e+00 1.333092405777044909e-03
2.810839925091400346e+03 2.320570561662506748e+00 1.744177012882433585e-03
2.813650765016492642e+03 2.318022467459195379e+00 1.959787076835797868e-03
2.816464415781510070e+03 2.316355217195197103e+00 1.835296295755919471e-03
2.819280880197292845e+03 2.314967116369209155e+00 1.559929435333713135e-03
2.822100161077491066e+03 2.313544150989119697e+00 1.278702662394392642e-03
2.824922261238569263e+03 2.312101700270471571e+00 1.172199937017375003e-03
2.827747183499808671e+03 2.310003372671335597e+00 1.182206455976416879e-03
2.830574930683309503e+03 2.307289659175627339e+00 1.325960437361970801e-03
2.833405505613993682e+03 2.303802631550663449e+00 1.368802471769820601e-03
2.836238911119608929e+03 2.299703954722622790e+00 1.257146193811835072e-03
2.839075150030729219e+03 2.295932480641179829e+00 8.709217507289031745e-04
2.841914225180761150e+03 2.292973047479622828e+00 5.925432657935464148e-04
2.844756139405942577e+03 2.290984774779890820e+00 5.307245398397627319e-04
2.847600895545349431e+03 2.290488513191847542e+00 5.158421976614672435e-04
2.850448496440895724e+03 2.291289151397789770e+00 5.082750594400368581e-04
2.853298944937337637e+03 2.293536430182966157e+00 5.080837193074966979e-04
2.856152243882275798e+03 2.297243817139856592e+00 6.289527581077774057e-04
2.859008396126159369e+03 2.302128822929444318e+00 8.035227821104975500e-04
2.861867404522286051e+03 2.307646157472548865e+00 8.932542647588808445e-04
2.864729271926809361e+03 2.313335385407511602e+00 1.016268172745850252e-03
2.867594001198737260e+03 2.318272207183134981e+00 9.872180350830378134e-04
2.870461595199936710e+03 2.322555528725235074e+00 9.622843439921067088e-04
2.873332056795137760e+03 2.326365371694703921e+00 8.374834489712543574e-04
2.876205388851934003e+03 2.329083226533179118e+00 6.820482036006330837e-04
2.879081594240786671e+03 2.330051428853723294e+00 7.305103849304902305e-04
2.881960675835028724e+03 2.329350951164423034e+00 8.511164588885836678e-04
2.884842636510864395e+03 2.327501507884813137e+00 7.716960427561340204e-04
2.887727479147376471e+03 2.324692649249507248e+00 6.143694233232409622e-04
2.890615206626524468e+03 2.321237093355018821e+00 5.583220092725804098e-04
2.893505821833151913e+03 2.317182467693510439e+00 5.298899238498490198e-04
2.896399327654986337e+03 2.312676497285337085e+00 5.015618785921243782e-04
2.899295726982642009e+03 2.308507619398486810e+00 4.800967666339438873e-04
2.902195022709625846e+03 2.304181233216340718e+00 4.773066327860152509e-04
2.905097217732336503e+03 2.299340181478005896e+00 4.942233396434508571e-04
2.908002314950069831e+03 2.294240838839932017e+00 5.060501053892385364e-04
2.910910317265020694e+03 2.288653262224761953e+00 5.081269025619027319e-04
2.913821227582286610e+03 2.282825155324145872e+00 5.074036490791061305e-04
2.916735048809870023e+03 2.276891109296662830e+00 5.142793717659242250e-04
2.919651783858680574e+03 2.270839423903035392e+00 5.757912789383960121e-04
2.922571435642540564e+03 2.265043760321738819e+00 6.021683206779273939e-04
2.925494007078184040e+03 2.259085688662483271e+00 5.321675529935816469e-04
2.928419501085263164e+03 2.253737852283724141e+00 4.801899830933912595e-04
2.931347920586349119e+03 2.248918946794193019e+00 4.818482443545264119e-04
2.934279268506936660e+03 2.244344070381539602e+00 4.633950533459809166e-04
2.937213547775444567e+03 2.240272849567801039e+00 6.054085450678015371e-04
2.940150761323221104e+03 2.236642182741919616e+00 6.689765690420286124e-04
2.943090912084544925e+03 2.232921723107264889e+00 5.039579164570109470e-04
2.946034002996630534e+03 2.228714351240706382e+00 5.397973648929105467e-04
2.948980036999628283e+03 2.224239739938324245e+00 6.180461417187299838e-04
2.951929017036628920e+03 2.219430334712151343e+00 5.997170458408388740e-04
2.954880946053666321e+03 2.214597912888137898e+00 5.710809721912723244e-04
2.957835826999721121e+03 2.209457001948595511e+00 5.394460107411041443e-04
2.960793662826721629e+03 2.203958812818709312e+00 5.072176426063557337e-04
2.963754456489549284e+03 2.198218239367241811e+00 5.242024402250815198e-04
2.966718210946040017e+03 2.192130930335383532e+00 6.222154165239946215e-04
2.969684929156986982e+03 2.185207877250512798e+00 6.426533028567791260e-04
2.972654614086145102e+03 2.177287786007428672e+00 5.633411759802938942e-04
2.975627268700231980e+03 2.168177036859296081e+00 5.135679040613275745e-04
2.978602895968933353e+03 2.157792674719322790e+00 4.752686267909627641e-04
2.981581498864903097e+03 2.145992768016570018e+00 4.728424911069123091e-04
2.984563080363769132e+03 2.133037689997318243e+00 5.311098697783155466e-04
2.987547643444133882e+03 2.118369054038007349e+00 5.154821356157919749e-04
2.990535191087578823e+03 2.102271899837032887e+00 5.056574652573052981e-04
2.993525726278667662e+03 2.085510888050508438e+00 5.392118177656200296e-04
2.996519252004947248e+03 2.068110621986336994e+00 6.271516636705829536e-04
2.999515771256953030e+03 2.050247538717835383e+00 7.168047434773014556e-04
3.002515287028211333e+03 2.032134986336468607e+00 6.895007280759814575e-04
3.005517802315240260e+03 2.014669557583952830e+00 6.163282159640904407e-04
3.008523320117556523e+03 1.997871154550352024e+00 5.565847462147068296e-04
3.011531843437674979e+03 1.982177267243009799e+00 5.154534098671796107e-04
3.014543375281113640e+03 1.967583171323951996e+00 4.688540121779755272e-04
3.017557918656395941e+03 1.954271471227487567e+00 6.771412406879293586e-04
3.020575476575053472e+03 1.942035008681450847e+00 1.008732553236052487e-03
3.023596052051629158e+03 1.930321227433379416e+00 1.005019015732674286e-03
3.026619648103681811e+03 1.918266136059158189e+00 7.956348959802230988e-04
3.029646267751786581e+03 1.905553671532910442e+00 6.837941732229166347e-04
3.032675914019539505e+03 1.892207549643937003e+00 7.080375222719080238e-04
3.035708589933559779e+03 1.878055531572234926e+00 7.819340026681119047e-04
3.038744298523494763e+03 1.863527304181388455e+00 7.603357546490469238e-04
3.041783042822019070e+03 1.848844264623072497e+00 7.720283198827781589e-04
3.044824825864842296e+03 1.833327903128564307e+00 7.390476340638470545e-04
3.047869650690708113e+03 1.817274230092869924e+00 7.072248662751661873e-04
3.050917520341399722e+03 1.801275260938406841e+00 6.843016488519876621e-04
3.053968437861742132e+03 1.785444194552064490e+00 6.720546125638368401e-04
3.057022406299604881e+03 1.769935222883744608e+00 6.770056781648477922e-04
3.060079428705905229e+03 1.754505110719550620e+00 6.650635494335432841e-04
3.063139508134612242e+03 1.739502588341749423e+00 6.206754052871715560e-04
3.066202647642748161e+03 1.724353553432612429e+00 6.174354444166035068e-04
3.069268850290391583e+03 1.709242875722010169e+00 5.965481004386300910e-04
3.072338119140682920e+03 1.694270790128021176e+00 5.687509655270095010e-04
3.075410457259824852e+03 1.679851265051676146e+00 6.555398327458205558e-04
3.078485867717085512e+03 1.665836286899126994e+00 5.994144754596150834e-04
3.081564353584803939e+03 1.651864506227310736e+00 4.786862393220797630e-04
3.084645917938389630e+03 1.637902442305932960e+00 6.454568273782169182e-04
3.087730563856328899e+03 1.624323572489397405e+00 8.162102484064330575e-04
3.090818294420186248e+03 1.611602099983528991e+00 8.243912638827413436e-04
3.093909112714607545e+03 1.600093484444676806e+00 6.326991715577659535e-04
3.097003021827323209e+03 1.590351880430277420e+00 5.725129659578939234e-04
3.100100024849151396e+03 1.582585569146987892e+00 7.697070926313625498e-04
3.103200124874001631e+03 1.576028295381528110e+00 8.847749349163855836e-04
3.106303324998876633e+03 1.570479302176897685e+00 8.764095317962401592e-04
3.109409628323876859e+03 1.566299350429555703e+00 8.495873848266022885e-04
3.112519037952201415e+03 1.563541025093523773e+00 8.122973022227981304e-04
3.115631556990154877e+03 1.562080965991007320e+00 7.822250167505265294e-04
3.118747188547145925e+03 1.561442457045294496e+00 8.559483071843266254e-04
3.121865935735694165e+03 1.562135631915550826e+00 8.675925889612021115e-04
3.124987801671431043e+03 1.563769057061528356e+00 7.765112113809044449e-04
3.128112789473103476e+03 1.566698540951673158e+00 7.446493615654719038e-04
3.131240902262577492e+03 1.570633496496583126e+00 8.434216769030753813e-04
3.134372143164840963e+03 1.575501114918564038e+00 8.911347707772291748e-04
3.137506515308006783e+03 1.580710290492485903e+00 7.516296974427449104e-04
3.140644021823316052e+03 1.585943517088036492e+00 6.878512854795356931e-04
3.143784665845140353e+03 1.591079142597837448e+00 6.673585317154279292e-04
3.146928450510986750e+03 1.595742714819224028e+00 6.636787644865748586e-04
3.150075378961498700e+03 1.599766382628949657e+00 7.059899637529597812e-04
3.153225454340461056e+03 1.602805765861963438e+00 8.127922701191801769e-04
3.156378679794802792e+03 1.604665756340583949e+00 9.006513535250166951e-04
3.159535058474598372e+03 1.605482973452936335e+00 8.989687788763451367e-04
3.162694593533074112e+03 1.604411610477844974e+00 7.864322632707722565e-04
3.165857288126608182e+03 1.601448700160448269e+00 9.023234784270346568e-04
3.169023145414736064e+03 1.597139442346422467e+00 1.114312616578887671e-03
3.172192168560151458e+03 1.592136772945207168e+00 1.199761577638174632e-03
3.175364360728712654e+03 1.586485978951116316e+00 1.261617478123807073e-03
3.178539725089442527e+03 1.580594073717961567e+00 1.078677574970553265e-03
3.181718264814533086e+03 1.575124759125632989e+00 8.434538945552336837e-04
3.184899983079348658e+03 1.570408095710514873e+00 6.123208097112283702e-04
3.188084883062429071e+03 1.567207782903228930e+00 7.269711199351622547e-04
3.191272967945492383e+03 1.565178261257340164e+00 7.390557417693853536e-04
3.194464240913438971e+03 1.564116481997138486e+00 5.343645024768863341e-04
3.197658705154353811e+03 1.563521532263971059e+00 4.808172975075484103e-04
3.200856363859509202e+03 1.563597863195948179e+00 4.781629986935011819e-04
3.204057220223369768e+03 1.564402816868083912e+00 5.137684864450494477e-04
