# starting wavelength: 2937.360
# ending wavelength: 7404.530
# wav flux eflux
2.940150761323221104e+03 2.247123103262613775e+00 6.013870418727722267e-02
2.943090912084544925e+03 2.169345263070577623e+00 4.397362321050141132e-02
2.946034002996630534e+03 2.107785908183663182e+00 3.219754465068678378e-02
2.948980036999628283e+03 2.061192870585271120e+00 2.446729405548528011e-02
2.951929017036628920e+03 2.031297007911093022e+00 1.878687550797098621e-02
2.954880946053666321e+03 2.015719642920049015e+00 1.679099028454961867e-02
2.957835826999721121e+03 2.006502082591646641e+00 1.570197671737240744e-02
2.960793662826721629e+03 1.999789416496617234e+00 1.402859521626097401e-02
2.963754456489549284e+03 1.994758144835090174e+00 1.181148851781109628e-02
2.966718210946040017e+03 1.992330782431545488e+00 1.070505447937334514e-02
2.969684929156986982e+03 1.991376245584148164e+00 9.770145394580913994e-03
2.972654614086145102e+03 1.993678715020504644e+00 8.584773121986544533e-03
2.975627268700231980e+03 1.998127810929529069e+00 7.768748724017811649e-03
2.978602895968933353e+03 2.003780288570235601e+00 7.309260005356268963e-03
2.981581498864903097e+03 2.011521468973109794e+00 6.932620591786123158e-03
2.984563080363769132e+03 2.023798268426408420e+00 6.578707430695462412e-03
2.987547643444133882e+03 2.040601658904320104e+00 6.966689637404591649e-03
2.990535191087578823e+03 2.057374568750026000e+00 7.101696899262785988e-03
2.993525726278667662e+03 2.072096025022431842e+00 6.914297396377704769e-03
2.996519252004947248e+03 2.086323963816429927e+00 6.905852812936557998e-03
2.999515771256953030e+03 2.100571605624788063e+00 7.106088959275528791e-03
3.002515287028211333e+03 2.113723091492055950e+00 7.317964771207548930e-03
3.005517802315240260e+03 2.124195379665854588e+00 7.133403965581833206e-03
3.008523320117556523e+03 2.130966572798177694e+00 6.998974453033071814e-03
3.011531843437674979e+03 2.137589326066007267e+00 6.510454571671233509e-03
3.014543375281113640e+03 2.142742423960892317e+00 6.451576806293273132e-03
3.017557918656395941e+03 2.142662840698987825e+00 6.614599813966786854e-03
3.020575476575053472e+03 2.140778792051194923e+00 6.444473518567037443e-03
3.023596052051629158e+03 2.135970485747374692e+00 6.170036400390142318e-03
3.026619648103681811e+03 2.125319741626142012e+00 6.674402209512791950e-03
3.029646267751786581e+03 2.111300801058638488e+00 7.396470561842885191e-03
3.032675914019539505e+03 2.097031055527226240e+00 7.455303047133497556e-03
3.035708589933559779e+03 2.080862492032141464e+00 7.383569450559189333e-03
3.038744298523494763e+03 2.059735761927444120e+00 6.809777291063719498e-03
3.041783042822019070e+03 2.037044974120148844e+00 6.144188862175215850e-03
3.044824825864842296e+03 2.011739306163716545e+00 5.717253833807763551e-03
3.047869650690708113e+03 1.985307254408249733e+00 5.623008941855829092e-03
3.050917520341399722e+03 1.959701352027006571e+00 5.638427985212648985e-03
3.053968437861742132e+03 1.934604815702653191e+00 5.744421663822391576e-03
3.057022406299604881e+03 1.912326465638495065e+00 5.680208435119248750e-03
3.060079428705905229e+03 1.892210598130389609e+00 5.687646293219324883e-03
3.063139508134612242e+03 1.872199587335563242e+00 5.848789662546026794e-03
3.066202647642748161e+03 1.853575752255493869e+00 5.838153125845192346e-03
3.069268850290391583e+03 1.837351406985512137e+00 5.824050616519197560e-03
3.072338119140682920e+03 1.823176593564280745e+00 5.872266907896812535e-03
3.075410457259824852e+03 1.809745582850044610e+00 5.892818201934743420e-03
3.078485867717085512e+03 1.799525677508112764e+00 5.794787959356460620e-03
3.081564353584803939e+03 1.791348094725548679e+00 5.342603124359725231e-03
3.084645917938389630e+03 1.788159017191289557e+00 5.377789414399670835e-03
3.087730563856328899e+03 1.788268029499497702e+00 5.382129104025152461e-03
3.090818294420186248e+03 1.793160505737090515e+00 5.586021361891333782e-03
3.093909112714607545e+03 1.799021965357787911e+00 5.811288625879110215e-03
3.097003021827323209e+03 1.804495288581875023e+00 5.754061160821247363e-03
3.100100024849151396e+03 1.812284366410493064e+00 5.589804869377929322e-03
3.103200124874001631e+03 1.822577676040351591e+00 5.328356952776516775e-03
3.106303324998876633e+03 1.834329182877800113e+00 5.493281005060484182e-03
3.109409628323876859e+03 1.842869359944521834e+00 5.660317336054396763e-03
3.112519037952201415e+03 1.852759118792642878e+00 6.081276947077473780e-03
3.115631556990154877e+03 1.862209227983049775e+00 5.666187365123854375e-03
3.118747188547145925e+03 1.868373768224463438e+00 4.961986590097462908e-03
3.121865935735694165e+03 1.870886654270446314e+00 4.928288063945807269e-03
3.124987801671431043e+03 1.868810983193500252e+00 4.756578650309904906e-03
3.128112789473103476e+03 1.864879164295389025e+00 4.624914133945843067e-03
3.131240902262577492e+03 1.860307447980165785e+00 4.508696409545804792e-03
3.134372143164840963e+03 1.853516882144359723e+00 4.380375868769579434e-03
3.137506515308006783e+03 1.842680293394150404e+00 4.888261857865558620e-03
3.140644021823316052e+03 1.829861779872850480e+00 5.017567281360582956e-03
3.143784665845140353e+03 1.816738142509821463e+00 4.744890922837737522e-03
3.146928450510986750e+03 1.800956787704854678e+00 4.407308354296099809e-03
3.150075378961498700e+03 1.784163428044744926e+00 4.236923474892692956e-03
3.153225454340461056e+03 1.765751662805327582e+00 4.181585143974208239e-03
3.156378679794802792e+03 1.748989601708675234e+00 4.308200315939665799e-03
3.159535058474598372e+03 1.731456895836384069e+00 4.517881257597203618e-03
3.162694593533074112e+03 1.714368067503557747e+00 4.423542989303001424e-03
3.165857288126608182e+03 1.698146877095760177e+00 4.408313260539692760e-03
3.169023145414736064e+03 1.682364987834236825e+00 4.309000953034198764e-03
3.172192168560151458e+03 1.669202248531961530e+00 4.274255325589271931e-03
3.175364360728712654e+03 1.659864101698405037e+00 4.485553475331333084e-03
3.178539725089442527e+03 1.650320339788339030e+00 4.403306525837822130e-03
3.181718264814533086e+03 1.642655946114889520e+00 4.386355952416867363e-03
3.184899983079348658e+03 1.638055558912535847e+00 4.202379217857082211e-03
3.188084883062429071e+03 1.631913585429046076e+00 4.301249365605996043e-03
3.191272967945492383e+03 1.625320613234497502e+00 4.238857665270703498e-03
3.194464240913438971e+03 1.621964347596719813e+00 4.159006027118816555e-03
3.197658705154353811e+03 1.622202288520010915e+00 4.129923742467154352e-03
3.200856363859509202e+03 1.625308556246763736e+00 4.211207389276054765e-03
3.204057220223369768e+03 1.630030116279859387e+00 4.145160310792883780e-03
3.207261277443593826e+03 1.637076123749039658e+00 4.478618827038917567e-03
