# starting wavelength: 2853.440
# ending wavelength: 5054.430
# wav flux eflux
2.856152243882275798e+03 1.562083283845006054e+00 3.056978237904888623e-02
2.859008396126159369e+03 1.598855095459737585e+00 3.119510141484151816e-02
2.861867404522286051e+03 1.624007081211861880e+00 2.517742851209997523e-02
2.864729271926809361e+03 1.648456406721186873e+00 1.879614158348653224e-02
2.867594001198737260e+03 1.674675357578875978e+00 1.595995368485880403e-02
2.870461595199936710e+03 1.697414330885100187e+00 1.430479240572392514e-02
2.873332056795137760e+03 1.711490608050696638e+00 1.123970667035199648e-02
2.876205388851934003e+03 1.722520014912114483e+00 9.339309008899268974e-03
2.879081594240786671e+03 1.729044285253751978e+00 7.906098099882689217e-03
2.881960675835028724e+03 1.731667577830853899e+00 6.971756937266987073e-03
2.884842636510864395e+03 1.731781742821276948e+00 6.016730553839421021e-03
2.887727479147376471e+03 1.731467942881899313e+00 5.574327617292249015e-03
2.890615206626524468e+03 1.730754066649732303e+00 5.298761322624852971e-03
2.893505821833151913e+03 1.727870836360127615e+00 4.918864807551072242e-03
2.896399327654986337e+03 1.724820619810724764e+00 4.645227616993909125e-03
2.899295726982642009e+03 1.721094066125908428e+00 4.436675560012138392e-03
2.902195022709625846e+03 1.716910678535917389e+00 4.285731438644331884e-03
2.905097217732336503e+03 1.712809734576064891e+00 4.275000558470603250e-03
2.908002314950069831e+03 1.708725958535642686e+00 4.377292905759286659e-03
2.910910317265020694e+03 1.703514164543710407e+00 4.319025156051614980e-03
2.913821227582286610e+03 1.697719288847057584e+00 4.337009274158378468e-03
2.916735048809870023e+03 1.692848532670288675e+00 4.461891018350299526e-03
2.919651783858680574e+03 1.687711834492773288e+00 4.509329724485947218e-03
2.922571435642540564e+03 1.682647311303078874e+00 4.610135076093024691e-03
2.925494007078184040e+03 1.678994181683139741e+00 4.754582912182741920e-03
2.928419501085263164e+03 1.676864597944907498e+00 4.790856698046510806e-03
2.931347920586349119e+03 1.675517487602050215e+00 4.779131377040407407e-03
2.934279268506936660e+03 1.674614748013646626e+00 4.837179693197703710e-03
2.937213547775444567e+03 1.674919514685177635e+00 4.870472603326357446e-03
2.940150761323221104e+03 1.676514705186783472e+00 5.051738708516483392e-03
2.943090912084544925e+03 1.677719518842515800e+00 5.154182669280605103e-03
2.946034002996630534e+03 1.677260589511443412e+00 4.949431256078998080e-03
2.948980036999628283e+03 1.679319670625724958e+00 4.372871641486539632e-03
2.951929017036628920e+03 1.683008238811950941e+00 4.104130482770406221e-03
2.954880946053666321e+03 1.691218400712060532e+00 4.398895966270754271e-03
2.957835826999721121e+03 1.701759211003145422e+00 4.228324987933542584e-03
2.960793662826721629e+03 1.711868391140248358e+00 3.609719324839401420e-03
2.963754456489549284e+03 1.722409907226883696e+00 3.343176501566058438e-03
