# starting wavelength: 1941.960
# ending wavelength: 4793.640
# wav flux eflux
1.943844516277372122e+03 2.865376726704204069e-01 1.880133566081215388e-02
1.945788360793650099e+03 2.871898801028495152e-01 1.425847635193577649e-02
1.947734149154444367e+03 2.774018331636837198e-01 1.065290879817654308e-02
1.949681883303599307e+03 2.607581083293408764e-01 8.235976939618330078e-03
1.951631565186903572e+03 2.338868491270935102e-01 9.803145737901704238e-03
1.953583196752091226e+03 2.064032342673342568e-01 9.957172535510518119e-03
1.955536779948844014e+03 1.810119920136398219e-01 9.118250342786713564e-03
1.957492316728793412e+03 1.579639179095078116e-01 9.198411192075386933e-03
1.959449809045522898e+03 1.389379785558708669e-01 8.366258940104932817e-03
1.961409258854569089e+03 1.230583274390670001e-01 7.467376111403837072e-03
1.963370668113424244e+03 1.091065730641600229e-01 6.546951451958162374e-03
1.965334038781538311e+03 9.844415919386932667e-02 6.036905617463308310e-03
1.967299372820320514e+03 8.954458509546288358e-02 5.538627740966314307e-03
1.969266672193141403e+03 8.131024992000292217e-02 5.222005666122571214e-03
1.971235938865335356e+03 7.581048499888788650e-02 4.929133617383897950e-03
1.973207174804201259e+03 7.342654797562457591e-02 4.679828204712434964e-03
1.975180381979006143e+03 7.335952163650086288e-02 4.488466737246303920e-03
1.977155562360985869e+03 7.548081611219419063e-02 4.349802923359016686e-03
1.979132717923347400e+03 8.350258177946760785e-02 4.292629966079879351e-03
1.981111850641271531e+03 9.460315420356801841e-02 4.446363384049763397e-03
1.983092962491913340e+03 1.074819289940139450e-01 4.481081382700610391e-03
1.985076055454405832e+03 1.202711864637664441e-01 4.415090553659679722e-03
1.987061131509861070e+03 1.359991178129905665e-01 4.352901018758124560e-03
1.989048192641371543e+03 1.519766393048615216e-01 4.357823585657091651e-03
1.991037240834013573e+03 1.693147355823886313e-01 4.341905897175353177e-03
1.993028278074848231e+03 1.885251329466192394e-01 4.438542768915021246e-03
1.995021306352923602e+03 2.085633010393989628e-01 4.267070485858559525e-03
1.997016327659277295e+03 2.300722446801574117e-01 4.201846950075278399e-03
1.999013343986937116e+03 2.530971383919242701e-01 4.216682981075498861e-03
2.001012357330924715e+03 2.782460155746511177e-01 4.447376684082655386e-03
2.003013369688256489e+03 3.057108056696600240e-01 4.682634792048260067e-03
2.005016383057945404e+03 3.304985982185946192e-01 4.596274847337294966e-03
2.007021399441003950e+03 3.548381927550299242e-01 4.670799132424308282e-03
2.009028420840445506e+03 3.795515816233177020e-01 4.834573864436276895e-03
2.011037449261286611e+03 4.047944294550644972e-01 4.979113871716287984e-03
2.013048486710548559e+03 4.313048616261853097e-01 4.962995100581315405e-03
2.015061535197259900e+03 4.566338041869842934e-01 5.044716048630093312e-03
2.017076596732457801e+03 4.819947714776510739e-01 5.013074093669813401e-03
2.019093673329191006e+03 5.077935846586006940e-01 4.551052023455656563e-03
2.021112767002520741e+03 5.335423470273413793e-01 4.177546527987039370e-03
2.023133879769523901e+03 5.618300009485509561e-01 4.289449484938265625e-03
2.025157013649294186e+03 5.901248900966621358e-01 4.396102000375284695e-03
2.027182170662944145e+03 6.178392583675097471e-01 4.370760329140045523e-03
2.029209352833607682e+03 6.475917373786940212e-01 4.361259125649215133e-03
2.031238562186442095e+03 6.774622361034748907e-01 4.331898105240207866e-03
2.033269800748629223e+03 7.067066768804706189e-01 4.206462756419066494e-03
2.035303070549378390e+03 7.350396991470202757e-01 4.175754717358678807e-03
2.037338373619928461e+03 7.612236851162693663e-01 4.201604556069465056e-03
2.039375711993548975e+03 7.882605796125873310e-01 4.197430550118655748e-03
2.041415087705543328e+03 8.153250251667814030e-01 4.444339008972006573e-03
2.043456502793249456e+03 8.396832125463437047e-01 4.452672070781810501e-03
2.045499959296043471e+03 8.628217113066364297e-01 4.473974485195762393e-03
2.047545459255340120e+03 8.855882378564101653e-01 3.824381162624315451e-03
2.049593004714596191e+03 9.059837971848180294e-01 3.512830440020689796e-03
2.051642597719311652e+03 9.242537808260522514e-01 3.584129734590159235e-03
2.053694240317031472e+03 9.386012333930757734e-01 3.636111160212133521e-03
2.055747934557349254e+03 9.521647867774498675e-01 3.631073604626253431e-03
2.057803682491907239e+03 9.619499690549306870e-01 3.411160837932477631e-03
2.059861486174399943e+03 9.709386749398990490e-01 3.291444513053484386e-03
2.061921347660575066e+03 9.796938307220600661e-01 3.209187634941385123e-03
2.063983269008236221e+03 9.882088087176107427e-01 3.174820029571912266e-03
2.066047252277245207e+03 9.962800264305670117e-01 3.037685701398141428e-03
2.068113299529522919e+03 1.003450407590262161e+00 3.071404760379645767e-03
2.070181412829052988e+03 1.008961508911937921e+00 2.857683105258837421e-03
2.072251594241882685e+03 1.015233485342785569e+00 2.676391059853194636e-03
2.074323845836125656e+03 1.021084245750717878e+00 2.567142304830998239e-03
2.076398169681962372e+03 1.027235332707801652e+00 2.574541932717977141e-03
2.078474567851645133e+03 1.033999343107584235e+00 2.686911212512362035e-03
2.080553042419497160e+03 1.039160934649339119e+00 2.706771773135435624e-03
2.082633595461917594e+03 1.045827898172261738e+00 2.961235128861171729e-03
2.084716229057380133e+03 1.053195659698774600e+00 2.940093606837478231e-03
2.086800945286438036e+03 1.059605989270506532e+00 2.548593962050617594e-03
2.088887746231725032e+03 1.064794370743929353e+00 2.781088381317818169e-03
2.090976633977957590e+03 1.068638180067928989e+00 3.815668010680658973e-03
2.093067610611936288e+03 1.073287651528465281e+00 3.917354747250907480e-03
2.095160678222548995e+03 1.079485747304559373e+00 3.949539695930745498e-03
2.097255838900772233e+03 1.085508448964781270e+00 4.114604547013769355e-03
2.099353094739673452e+03 1.089946367069116295e+00 4.015295432514719674e-03
2.101452447834414215e+03 1.094775129856877527e+00 4.022453325769981790e-03
2.103553900282249288e+03 1.100156516673875373e+00 4.034458833629929290e-03
2.105657454182532092e+03 1.104126306606250552e+00 4.100947423144646678e-03
2.107763111636715166e+03 1.107418295890545190e+00 4.225720656805436078e-03
2.109870874748352890e+03 1.109816348173933376e+00 4.202053828645953802e-03
2.111980745623101939e+03 1.110738371271598357e+00 4.324422803366511844e-03
2.114092726368725380e+03 1.111289970525819681e+00 4.329446041564715894e-03
2.116206819095094943e+03 1.112043468940335567e+00 4.473803037411317254e-03
2.118323025914190566e+03 1.111981760195076108e+00 4.457094694639651342e-03
2.120441348940105854e+03 1.110211225007095015e+00 4.425670047333483091e-03
2.122561790289046257e+03 1.106689285620515273e+00 4.396963112511159504e-03
2.124684352079336350e+03 1.100070445601713631e+00 4.376031950763972604e-03
2.126809036431416189e+03 1.091428696963411493e+00 4.386939374204676216e-03
2.128935845467848594e+03 1.081787160325790698e+00 4.391192280482533392e-03
2.131064781313316871e+03 1.072475017258792684e+00 4.409029546375693026e-03
2.133195846094631179e+03 1.062835321627708218e+00 4.268077094723710108e-03
2.135329041940726256e+03 1.053843855389466455e+00 4.238696862985468806e-03
2.137464370982667788e+03 1.046995051248519326e+00 4.399500157099086109e-03
2.139601835353651040e+03 1.041382576159739060e+00 4.289801603875794192e-03
2.141741437189005410e+03 1.036636818513516411e+00 4.231825334219441875e-03
2.143883178626195331e+03 1.029542400694792192e+00 3.859643037168466063e-03
2.146027061804822097e+03 1.024427562562850502e+00 2.833514773651859674e-03
2.148173088866627495e+03 1.022438722300403668e+00 3.036224458293307078e-03
2.150321261955494720e+03 1.023021316644272760e+00 3.088614577154290015e-03
2.152471583217451098e+03 1.024633952693054573e+00 3.112547072508867630e-03
2.154624054800669455e+03 1.024829358948254443e+00 2.946825374480644549e-03
2.156778678855470844e+03 1.024878738072251716e+00 2.741935261573731023e-03
2.158935457534326815e+03 1.024640999589162327e+00 1.989959711776927240e-03
2.161094392991861696e+03 1.021977911036857645e+00 1.772952356721608147e-03
2.163255487384854405e+03 1.015933992687857446e+00 2.244276639372411696e-03
2.165418742872240273e+03 1.008321524655534374e+00 1.770151541662257988e-03
2.167584161615112862e+03 9.989733163202286770e-01 1.719753011492804618e-03
2.169751745776728967e+03 9.895081695861126514e-01 1.822693337703752995e-03
2.171921497522506343e+03 9.779962018149845893e-01 1.890233088699661609e-03
2.174093419020029614e+03 9.655509313643979574e-01 1.892532103878398876e-03
2.176267512439050279e+03 9.501020834444096064e-01 2.069467411929615166e-03
2.178443779951489887e+03 9.354372000359725270e-01 2.499036756422912640e-03
2.180622223731442318e+03 9.189679998444786335e-01 2.663995079598960834e-03
2.182802845955174234e+03 9.012487269092978037e-01 2.685208669508204644e-03
2.184985648801130083e+03 8.802507984003945518e-01 2.832035028702342694e-03
2.187170634449932095e+03 8.571980071823986913e-01 3.550339431366552299e-03
2.189357805084383017e+03 8.342794137901013984e-01 3.923290865540326328e-03
2.191547162889467927e+03 8.117632833158860972e-01 3.898425033427179061e-03
2.193738710052358329e+03 7.903273811107086599e-01 3.650584130487515011e-03
2.195932448762411241e+03 7.688194953498901363e-01 3.735321219707985960e-03
2.198128381211174201e+03 7.487833135586489108e-01 3.799635767890606561e-03
2.200326509592386174e+03 7.313598057093454452e-01 4.374514668542608779e-03
2.202526836101979370e+03 7.139869274068828542e-01 4.574048952538756034e-03
2.204729362938081977e+03 6.970085577040187053e-01 4.222044367429037166e-03
2.206934092301020883e+03 6.791738897995075463e-01 4.165033146798180659e-03
2.209141026393322591e+03 6.617998442702829331e-01 4.354958327903005882e-03
2.211350167419716854e+03 6.448801936195902584e-01 4.488281351515508756e-03
2.213561517587137132e+03 6.295144712263762710e-01 4.675297145790789297e-03
2.215775079104725137e+03 6.174327852091273661e-01 4.736265847168767348e-03
2.217990854183830379e+03 6.079118276617739847e-01 4.303065966264335053e-03
2.220208845038015170e+03 6.026163021237291861e-01 4.116644273502864486e-03
2.222429053883053712e+03 6.003612377146206880e-01 4.021165181352840887e-03
2.224651482936937555e+03 6.029622452517744424e-01 4.002044801502295697e-03
2.226876134419875143e+03 6.105064637659556315e-01 3.606770853750246742e-03
2.229103010554295906e+03 6.219713827319143240e-01 2.129854281060380300e-03
2.231332113564850715e+03 6.333971874964217097e-01 2.034108837214847112e-03
2.233563445678416429e+03 6.458037780307925857e-01 2.244882041131872775e-03
2.235797009124095439e+03 6.592421758893041162e-01 2.455788043654509242e-03
2.238032806133220220e+03 6.747240816043228451e-01 2.142963240897345373e-03
2.240270838939354235e+03 6.922448215619626533e-01 1.980792316899509988e-03
2.242511109778294667e+03 7.116780946464934532e-01 2.346752245745706462e-03
2.244753620888073328e+03 7.325351788841847345e-01 2.413126231181947964e-03
2.246998374508962115e+03 7.538381367119465493e-01 2.259627603981409320e-03
2.249245372883472101e+03 7.754928444736920445e-01 2.206677264851429621e-03
2.251494618256356262e+03 7.974612212188542104e-01 2.388844812929267949e-03
2.253746112874613573e+03 8.185851686846062902e-01 2.255423000340659682e-03
2.255999858987488551e+03 8.384522936709905006e-01 2.283724849633177179e-03
2.258255858846477167e+03 8.567410342438361859e-01 2.247379897245033783e-03
2.260514114705324118e+03 8.731885232936490437e-01 2.165480778930863829e-03
2.262774628820030102e+03 8.879332471351157885e-01 2.230672878037395345e-03
2.265037403448850910e+03 9.029298908580533078e-01 2.230586651679055017e-03
2.267302440852300606e+03 9.166909171765431630e-01 2.249916592068685120e-03
2.269569743293153806e+03 9.298078800135307631e-01 2.375677073226230285e-03
2.271839313036447493e+03 9.417773482898147419e-01 2.310687093842654638e-03
2.274111152349484655e+03 9.517765710345544861e-01 2.430752332449175827e-03
2.276385263501835198e+03 9.607835479627125919e-01 2.556713837522622823e-03
2.278661648765337759e+03 9.695247078885684822e-01 2.549574638035765478e-03
2.280940310414103806e+03 9.776416675596283357e-01 2.568218701465120515e-03
2.283221250724518541e+03 9.850613420538469889e-01 2.573028321030710469e-03
2.285504471975243632e+03 9.928995379123094489e-01 2.304125376700680815e-03
2.287789976447219942e+03 9.993181492607118299e-01 2.306860632756565447e-03
2.290077766423667981e+03 1.004874292741691821e+00 2.404366835939630246e-03
2.292367844190092001e+03 1.008873809623078932e+00 2.400405371241527957e-03
2.294660212034283177e+03 1.013039375525406127e+00 2.367240017434432860e-03
2.296954872246318246e+03 1.015895550383622448e+00 2.270383878830124942e-03
2.299251827118564961e+03 1.018554936169248748e+00 2.340863105725616514e-03
2.301551078945684367e+03 1.020973274826106447e+00 2.171996539916442107e-03
2.303852630024630798e+03 1.021501563653470113e+00 2.226571826236925337e-03
2.306156482654656429e+03 1.021088364588488728e+00 2.147318283090082248e-03
2.308462639137311726e+03 1.020929192637885174e+00 2.318189318567246381e-03
2.310771101776449996e+03 1.018900034762600493e+00 2.387406298938897411e-03
2.313081872878226932e+03 1.017416831822864465e+00 2.467747108543351560e-03
2.315394954751106070e+03 1.015753510108860613e+00 2.458259915536301684e-03
2.317710349705857880e+03 1.014266342120862197e+00 2.285647981595995484e-03
2.320028060055564310e+03 1.012613643918235828e+00 2.698024077180260268e-03
2.322348088115621067e+03 1.015827212630139531e+00 2.755044861058897690e-03
2.324670436203737154e+03 1.019613678320150596e+00 2.691483176140476927e-03
2.326995106639941696e+03 1.025367788527626445e+00 2.674990249212304792e-03
2.329322101746582575e+03 1.033218302626941698e+00 3.070265668277970695e-03
2.331651423848329614e+03 1.042684814160164120e+00 3.300476460980050677e-03
2.333983075272179121e+03 1.052455733820538253e+00 2.708565829244772693e-03
2.336317058347452075e+03 1.060693587731699861e+00 2.645566414748619800e-03
2.338653375405800034e+03 1.067865360052717483e+00 2.618612271849173577e-03
2.340992028781206500e+03 1.074691054008843460e+00 2.462767961073565170e-03
2.343333020809988739e+03 1.079170884204246450e+00 3.086136077209171956e-03
2.345676353830799599e+03 1.082847699676898756e+00 3.265390462192792678e-03
2.348022030184631149e+03 1.086737951952198689e+00 2.718386701061517585e-03
2.350370052214816496e+03 1.092523669757628602e+00 2.632690337585943605e-03
2.352720422267032063e+03 1.099594484938278161e+00 2.687112855136259294e-03
2.355073142689299857e+03 1.107047373485675168e+00 3.219031143839817029e-03
2.357428215831989746e+03 1.114779130829257392e+00 3.529154766909479556e-03
2.359785644047822643e+03 1.122514971426521013e+00 3.026817361322878524e-03
2.362145429691871414e+03 1.129154772532189765e+00 2.536791136918259328e-03
2.364507575121564059e+03 1.132352588830761952e+00 2.882628555381761774e-03
2.366872082696686448e+03 1.136544554253595907e+00 3.230528246243752257e-03
2.369238954779383675e+03 1.139244526537847024e+00 3.254805364459404868e-03
2.371608193734163706e+03 1.142251012933253929e+00 2.933120086875208414e-03
2.373979801927898734e+03 1.147332529467136153e+00 2.713627389421173833e-03
2.376353781729827460e+03 1.153930943417698085e+00 2.566894541552055924e-03
2.378730135511558274e+03 1.162349593475844323e+00 3.651523298885308699e-03
2.381108865647070616e+03 1.171555562989696764e+00 4.129740003408792146e-03
2.383489974512718163e+03 1.179887404330013601e+00 3.571920876558627028e-03
2.385873464487232013e+03 1.186819287582422389e+00 2.848592036244035168e-03
2.388259337951719772e+03 1.191076250747048038e+00 2.834429838717672425e-03
2.390647597289672376e+03 1.193308665550073311e+00 2.850615318674437453e-03
2.393038244886962730e+03 1.192744504734933209e+00 3.006624310088607411e-03
2.395431283131850705e+03 1.190170632144496921e+00 2.743303814448271299e-03
2.397826714414983144e+03 1.185375710067920085e+00 2.291995700618973657e-03
2.400224541129398858e+03 1.180918015985797487e+00 2.241241951679970226e-03
2.402624765670529086e+03 1.175726313861909622e+00 2.344010690235281795e-03
2.405027390436200676e+03 1.172307530470604098e+00 2.500600029482080364e-03
2.407432417826637447e+03 1.169644619307045108e+00 2.628622977132120606e-03
2.409839850244464742e+03 1.165643255275432999e+00 2.593222714799696491e-03
2.412249690094710331e+03 1.160583020111032315e+00 2.512374289989661568e-03
2.414661939784805782e+03 1.155274069071287046e+00 2.615706458064544822e-03
2.417076601724591455e+03 1.146697549769663871e+00 2.610599864171384097e-03
2.419493678326316513e+03 1.136076598611331256e+00 2.574550097840404717e-03
2.421913172004643911e+03 1.124011906986603249e+00 2.566198681696708200e-03
2.424335085176649045e+03 1.111964048815495376e+00 2.235318336187085576e-03
2.426759420261826563e+03 1.097690233026253015e+00 2.164701766030291928e-03
2.429186179682089460e+03 1.080798706476985949e+00 2.117326972200622628e-03
2.431615365861772261e+03 1.061529419120337270e+00 2.071278811633877909e-03
2.434046981227634660e+03 1.042011669168720012e+00 2.285935864664264891e-03
2.436481028208863336e+03 1.023284354075184366e+00 2.271310062139866078e-03
2.438917509237072863e+03 1.005333387290838987e+00 2.199363862952932389e-03
2.441356426746310717e+03 9.899249303112936937e-01 2.308098957885978183e-03
2.443797783173057724e+03 9.744882763563480488e-01 2.359912991542785412e-03
2.446241580956231701e+03 9.598968185439010758e-01 2.444741079172759336e-03
2.448687822537188822e+03 9.454484766750421709e-01 2.438024067179180195e-03
