# starting wavelength: 1305.880
# ending wavelength: 3324.950
# wav flux eflux
1.307172083921651847e+03 1.409384043211206805e+00 1.120970515148047575e-01
1.308479256005573916e+03 1.416491444724224502e+00 8.673013395931784830e-02
1.309787735261579883e+03 1.412089867671229237e+00 6.726182789459277112e-02
1.311097522996841917e+03 1.404879652365933040e+00 5.367297958830011956e-02
1.312408620519839133e+03 1.400948974305329831e+00 4.347323823681080446e-02
1.313721029140359406e+03 1.401468707965337623e+00 3.630640114025328324e-02
1.315034750169500285e+03 1.408258094736846378e+00 2.995670989673491005e-02
1.316349784919670128e+03 1.418032136656740105e+00 2.514224754774874865e-02
1.317666134704590377e+03 1.429005689932043799e+00 2.172504015753845899e-02
1.318983800839295327e+03 1.441915186455633879e+00 1.919144039104307350e-02
1.320302784640135087e+03 1.452085264612371640e+00 1.695600735457778244e-02
1.321623087424775576e+03 1.457534676090151970e+00 1.581145340137471433e-02
1.322944710512200800e+03 1.464172483364090782e+00 1.454015689729585767e-02
1.324267655222713529e+03 1.464386907235499802e+00 1.413098919934976071e-02
1.325591922877936668e+03 1.464455565174311635e+00 1.358712011263719932e-02
1.326917514800815070e+03 1.464129455886892694e+00 1.309292929044818948e-02
1.328244432315616223e+03 1.461541180177813981e+00 1.296294593779936423e-02
1.329572676747932292e+03 1.458370397814350072e+00 1.309341375744983715e-02
1.330902249424680576e+03 1.453590826158254634e+00 1.388339176371144665e-02
1.332233151674105784e+03 1.451229163444999415e+00 1.444883128393236252e-02
1.333565384825780257e+03 1.451205604747702660e+00 1.451220455450224871e-02
1.334898950210606472e+03 1.451574641004712785e+00 1.446662973906092005e-02
1.336233849160817726e+03 1.456607522849012071e+00 1.422817226810739986e-02
1.337570083009978816e+03 1.464454088575158019e+00 1.396598174853413109e-02
1.338907653092989221e+03 1.476186137585147495e+00 1.348213461524804847e-02
1.340246560746082650e+03 1.490130500872721697e+00 1.298384657424346902e-02
1.341586807306829314e+03 1.508650707089025156e+00 1.376136511214635059e-02
1.342928394114136609e+03 1.522779242196945049e+00 1.374282288645429714e-02
1.344271322508251160e+03 1.546718586493031733e+00 1.439641585901402579e-02
1.345615593830759735e+03 1.573644830511876869e+00 1.368066465918787999e-02
1.346961209424591061e+03 1.607101203805189948e+00 1.080401683558787108e-02
1.348308170634016051e+03 1.636520256446761135e+00 9.874310430148386386e-03
1.349656478804650533e+03 1.667031984610033879e+00 9.361512735614073780e-03
1.351006135283455706e+03 1.697841508222486695e+00 8.511425874856990217e-03
1.352357141418739502e+03 1.725018391481744295e+00 8.504923900550208360e-03
1.353709498560158636e+03 1.743601023214890189e+00 8.435092692711919013e-03
1.355063208058719283e+03 1.756775644741023878e+00 8.626311693314823309e-03
1.356418271266778447e+03 1.764888531822657702e+00 9.394250143623770685e-03
1.357774689538045777e+03 1.767813493754910592e+00 1.003042886117937182e-02
1.359132464227584251e+03 1.767923349128683652e+00 1.025039215026958897e-02
1.360491596691812219e+03 1.764902186023677988e+00 1.016516411578828431e-02
1.361852088288504547e+03 1.759525986521359275e+00 9.956152077305147757e-03
1.363213940376793516e+03 1.751941831203563504e+00 9.706011696087665439e-03
1.364577154317170653e+03 1.737047146293140276e+00 9.285019914064112853e-03
1.365941731471488310e+03 1.726947929849670160e+00 9.675393223060060888e-03
1.367307673202960132e+03 1.711367091993080347e+00 9.988283493835979632e-03
1.368674980876163545e+03 1.690188536659447571e+00 1.034034762610460192e-02
1.370043655857040221e+03 1.667064849838543639e+00 1.079517777633387521e-02
1.371413699512897665e+03 1.641227869563469666e+00 1.013314280238671559e-02
1.372785113212411034e+03 1.611393028823446594e+00 9.357627818594713154e-03
1.374157898325624046e+03 1.574214934988160230e+00 9.706887395912701041e-03
1.375532056223950121e+03 1.533672802619359343e+00 1.035954563369055267e-02
1.376907588280174423e+03 1.488442068110530814e+00 1.178241308169780330e-02
1.378284495868454997e+03 1.442918607480736748e+00 1.295044903530661803e-02
1.379662780364323908e+03 1.397107054131537796e+00 1.389790171228044886e-02
1.381042443144688832e+03 1.353098043562187547e+00 1.345111395788176761e-02
1.382423485587833966e+03 1.312814676708152550e+00 1.311174374137440840e-02
1.383805909073422299e+03 1.277974817288235698e+00 1.231878222366697591e-02
1.385189714982496071e+03 1.249137985941964235e+00 1.256148800171611075e-02
1.386574904697479042e+03 1.225864513104778730e+00 1.241260700969348645e-02
1.387961479602176951e+03 1.210070967713542389e+00 1.290005317640888563e-02
1.389349441081779560e+03 1.195377224761581925e+00 1.290759309495643006e-02
1.390738790522861791e+03 1.187015451238324193e+00 1.468199964623344289e-02
1.392129529313385092e+03 1.184912760897219863e+00 1.542913643255753274e-02
1.393521658842699026e+03 1.189464973039703999e+00 1.465306963579948545e-02
1.394915180501542181e+03 1.195186608591018107e+00 1.278127844275002596e-02
1.396310095682044221e+03 1.205049879336357987e+00 8.853269663425776537e-03
1.397706405777726786e+03 1.210222375714345988e+00 7.248205504678206096e-03
1.399104112183504867e+03 1.209904842580682427e+00 7.988984871592857973e-03
1.400503216295688844e+03 1.205274287193381255e+00 1.042698428714530084e-02
1.401903719511984946e+03 1.199481562203849938e+00 1.204086170205328002e-02
1.403305623231497520e+03 1.195384752556593932e+00 1.188751636413558008e-02
1.404708928854729493e+03 1.192058587013490989e+00 1.132108979146168731e-02
1.406113637783584636e+03 1.187152771734218293e+00 1.017501324533847187e-02
1.407519751421368710e+03 1.185678632742366734e+00 9.467203891124839274e-03
1.408927271172790597e+03 1.184246009263954624e+00 8.404382953701149475e-03
1.410336198443963667e+03 1.183836586174928929e+00 7.843232137686227332e-03
1.411746534642408278e+03 1.191271421308199185e+00 8.505012503580249711e-03
1.413158281177051094e+03 1.200812325506016354e+00 8.670274863329009360e-03
1.414571439458228497e+03 1.214349918877437595e+00 8.807181133221464106e-03
1.415986010897687265e+03 1.226793551355944700e+00 8.677790957249104098e-03
1.417401996908585488e+03 1.238872345057157265e+00 7.447963146533325557e-03
1.418819398905494381e+03 1.247703354379421148e+00 6.790939070414835597e-03
1.420238218304400334e+03 1.252526527397797462e+00 6.228486943000325488e-03
1.421658456522705364e+03 1.252184210712258050e+00 6.803152760050361868e-03
1.423080114979228483e+03 1.248806995006874754e+00 7.562024874301115536e-03
1.424503195094208195e+03 1.242332039935005294e+00 7.520523679995375424e-03
1.425927698289302953e+03 1.234917472106092262e+00 7.579145389809759797e-03
1.427353625987592523e+03 1.223443782820854642e+00 6.948486201068186652e-03
1.428780979613580712e+03 1.212206563609124599e+00 6.673299720312382381e-03
1.430209760593194687e+03 1.197878250941406542e+00 6.384260094767883753e-03
1.431639970353788385e+03 1.184319854888343126e+00 5.913340503040252251e-03
1.433071610324142739e+03 1.172514197850984985e+00 5.890368807864731701e-03
1.434504681934467271e+03 1.163502222017125609e+00 6.058062329437488916e-03
1.435939186616402139e+03 1.156054604408766062e+00 5.108671554050560164e-03
1.437375125803019046e+03 1.148348516890764781e+00 5.043580203533501449e-03
1.438812500928822601e+03 1.140715500703980423e+00 4.791735218545483017e-03
1.440251313429751917e+03 1.135163934277094722e+00 5.118937487115487323e-03
1.441691564743182198e+03 1.129354600775215989e+00 5.108361556962059437e-03
1.443133256307925876e+03 1.125404533466167090e+00 4.794204297324021133e-03
1.444576389564234205e+03 1.122650445302076916e+00 4.739676414955365166e-03
1.446020965953798850e+03 1.121492685238423714e+00 4.895538418767647788e-03
1.447466986919753253e+03 1.118962356614745968e+00 4.742438953405884484e-03
1.448914453906673316e+03 1.117293176076346928e+00 4.675802974391496912e-03
1.450363368360580580e+03 1.116131691409751880e+00 4.521427574184648350e-03
1.451813731728941548e+03 1.120118819925755682e+00 4.461130949605703749e-03
1.453265545460671092e+03 1.127462246095896514e+00 4.908802587650583880e-03
1.454718811006132228e+03 1.135245775598907825e+00 4.855658540736733711e-03
1.456173529817138842e+03 1.143126406165735798e+00 4.662941049118574967e-03
1.457629703346956376e+03 1.150735920121561007e+00 4.649404157794664698e-03
1.459087333050303869e+03 1.156183174011133019e+00 4.626503726197724910e-03
