# starting wavelength: 1759.000
# ending wavelength: 4285.940
# wav flux eflux
1.760710091085171143e+03 3.595445953546725915e-01 2.382560980603016382e-02
1.762470801176256828e+03 3.747054825691040758e-01 1.826619393562434537e-02
1.764233271977433787e+03 3.857767414356068625e-01 1.397471706940101380e-02
1.765997505249411688e+03 3.899855554744632857e-01 1.163820524213711460e-02
1.767763502754661658e+03 3.923479006300910621e-01 9.323089331493611756e-03
1.769531266257416974e+03 3.933268298351968451e-01 7.598747500118034973e-03
1.771300797523674873e+03 3.935618956916165923e-01 6.454400528023766098e-03
1.773072098321199292e+03 3.938048889206560155e-01 5.690841321187752912e-03
1.774845170419521082e+03 3.941734986649214623e-01 4.862238232856013614e-03
1.776620015589941204e+03 3.955295419298260895e-01 4.992578705904113928e-03
1.778396635605531628e+03 3.969881126785370085e-01 4.595338628546352146e-03
1.780175032241137842e+03 3.975200121835671951e-01 4.128464344432280532e-03
1.781955207273379528e+03 3.981326068618818992e-01 3.795794040874111291e-03
1.783737162480653524e+03 3.971093851196439428e-01 3.643714912463457811e-03
1.785520899643134726e+03 3.954912009402352657e-01 3.646469407790374657e-03
1.787306420542778369e+03 3.937150125177190096e-01 3.767577419634494940e-03
1.789093726963321842e+03 3.932895142026909818e-01 3.687032517452321252e-03
1.790882820690285598e+03 3.946234365541904654e-01 3.548711001151586171e-03
1.792673703510976566e+03 3.964873314704636664e-01 3.483819673164778238e-03
1.794466377214488148e+03 3.987679725262064379e-01 3.435797510859677460e-03
1.796260843591703178e+03 4.029850757428820041e-01 3.483061829436443109e-03
1.798057104435295514e+03 4.084071399102596200e-01 3.639131696195194252e-03
1.799855161539731398e+03 4.140627102968329476e-01 3.742146779091712165e-03
1.801655016701271734e+03 4.186648231789653618e-01 3.710097915643679242e-03
1.803456671717973677e+03 4.237580776686192263e-01 3.688000391167822831e-03
1.805260128389692227e+03 4.300144363335233755e-01 3.781808881578323581e-03
1.807065388518082500e+03 4.364467052262825941e-01 3.769612639785095871e-03
1.808872453906601095e+03 4.427474334433230130e-01 3.733469568507049273e-03
1.810681326360508365e+03 4.500320691023465547e-01 3.675638803827356409e-03
1.812492007686869556e+03 4.582779892388524345e-01 3.672389870118916017e-03
1.814304499694556853e+03 4.683468077583132216e-01 3.694546299364599457e-03
1.816118804194252107e+03 4.784966614922365191e-01 3.835855890594466657e-03
1.817934922998446837e+03 4.893469747635099676e-01 3.902319894380663727e-03
1.819752857921446093e+03 5.011579439548192738e-01 3.689610118660422051e-03
1.821572610779368006e+03 5.132394392049355325e-01 3.690297440488231762e-03
1.823394183390148100e+03 5.236802466853227589e-01 3.654745124063552442e-03
1.825217577573538847e+03 5.319272444137965739e-01 3.635688669761274420e-03
1.827042795151112841e+03 5.401367761425415193e-01 3.678425165411648278e-03
1.828869837946264624e+03 5.466072332913365361e-01 3.666368026530231281e-03
1.830698707784211365e+03 5.525892706756498907e-01 3.744096384772926337e-03
1.832529406491996269e+03 5.562359588091334572e-01 3.797257758111410083e-03
1.834361935898488809e+03 5.587237620672125260e-01 3.942081101911554773e-03
1.836196297834387906e+03 5.608098407055857049e-01 4.056058929768035538e-03
1.838032494132223064e+03 5.626888428221396010e-01 4.122145456250360211e-03
1.839870526626355741e+03 5.652534052425776112e-01 4.154086272330307153e-03
1.841710397152982750e+03 5.669189528296895153e-01 4.161530043099739146e-03
1.843552107550136270e+03 5.683483804507036830e-01 4.156738861362065107e-03
1.845395659657687020e+03 5.679364422880587293e-01 3.976691202248086414e-03
1.847241055317345399e+03 5.667771014038130994e-01 3.761387833454340416e-03
1.849088296372663308e+03 5.652109298615799471e-01 3.584898170897494064e-03
1.850937384669036646e+03 5.639093647257894526e-01 3.660316886135149030e-03
1.852788322053706224e+03 5.616527084323957864e-01 3.646812765376421239e-03
1.854641110375760718e+03 5.590077055176219112e-01 3.610314528587810125e-03
1.856495751486136896e+03 5.568435630015103888e-01 3.707804103237194709e-03
1.858352247237623715e+03 5.559728775930554701e-01 3.333235555867065849e-03
1.860210599484861859e+03 5.550731449281154362e-01 2.892174619303107454e-03
1.862070810084347386e+03 5.530798226442097398e-01 2.939316641743405789e-03
1.863932880894432401e+03 5.500863799052801983e-01 3.207896748787460867e-03
1.865796813775327564e+03 5.477922451134402682e-01 3.299672345209441349e-03
1.867662610589103451e+03 5.452394007286075484e-01 3.162955071263168390e-03
1.869530273199693056e+03 5.422985061294304243e-01 2.985409510717879512e-03
1.871399803472893382e+03 5.387727772498329681e-01 2.689577847840995180e-03
1.873271203276367032e+03 5.373088048684974138e-01 2.791228536855951386e-03
1.875144474479644032e+03 5.358218392126874452e-01 2.921985915248884701e-03
1.877019618954124098e+03 5.352007602975448197e-01 3.393928172104745868e-03
1.878896638573078917e+03 5.339006073208838465e-01 3.425324020288311819e-03
1.880775535211652596e+03 5.330694125665320637e-01 3.206396492187128973e-03
1.882656310746864847e+03 5.313258592044873829e-01 3.219094293117527681e-03
1.884538967057612354e+03 5.295314025615582842e-01 3.015578843590182179e-03
