# starting wavelength: 1924.570
# ending wavelength: 3178.710
# wav flux eflux
1.926437068859464262e+03 1.196792698203108296e+00 7.614242086429562351e-02
1.928363505928324457e+03 1.190004130642223101e+00 5.541167053787001556e-02
1.930291869434253385e+03 1.184657823402867960e+00 4.131818312232461016e-02
1.932222161303688381e+03 1.178278135500625989e+00 3.154917551316482882e-02
1.934154383464992634e+03 1.172463905951435015e+00 2.494052880468566880e-02
1.936088537848458373e+03 1.170044871364209982e+00 1.967278049693994835e-02
1.938024626386307318e+03 1.168680980376760159e+00 1.823577363158337961e-02
1.939962651012694323e+03 1.171905699195490591e+00 1.588010659154842630e-02
1.941902613663707598e+03 1.177147117904306928e+00 1.370494406804029751e-02
1.943844516277372122e+03 1.180614126919287576e+00 1.194393420112315959e-02
1.945788360793650099e+03 1.179622333198858009e+00 1.155983806685469129e-02
1.947734149154444367e+03 1.180387625423775733e+00 1.051945258123052236e-02
1.949681883303599307e+03 1.176875857281167725e+00 1.003584300995074945e-02
1.951631565186903572e+03 1.171140915348493072e+00 9.907296640343177252e-03
1.953583196752091226e+03 1.168447788664209064e+00 9.354711877658294927e-03
1.955536779948844014e+03 1.162991648062194683e+00 9.075989789291478982e-03
1.957492316728793412e+03 1.158277790221485137e+00 8.744358198371009541e-03
1.959449809045522898e+03 1.149941246905128001e+00 8.678815389607446446e-03
1.961409258854569089e+03 1.145246737853697683e+00 8.871580402627888065e-03
1.963370668113424244e+03 1.139571948143618174e+00 8.468301230189602749e-03
1.965334038781538311e+03 1.135689626236268346e+00 8.533128961833060314e-03
1.967299372820320514e+03 1.131381023352548310e+00 8.469745366113709539e-03
1.969266672193141403e+03 1.129941454030233494e+00 8.327939807220390706e-03
1.971235938865335356e+03 1.130338893164779313e+00 8.337451145887839199e-03
1.973207174804201259e+03 1.126890807315791276e+00 7.886687832834332612e-03
1.975180381979006143e+03 1.125661381090064417e+00 7.569133669505735164e-03
1.977155562360985869e+03 1.126150203180898979e+00 7.490565932490968366e-03
1.979132717923347400e+03 1.127952085304952501e+00 7.339301624960248814e-03
1.981111850641271531e+03 1.131062250240962186e+00 7.277386463531698539e-03
1.983092962491913340e+03 1.137700717807848871e+00 7.039825124490824322e-03
1.985076055454405832e+03 1.145830389664068916e+00 6.888606509023407001e-03
1.987061131509861070e+03 1.156428723002699499e+00 6.875367018977864703e-03
1.989048192641371543e+03 1.166616648352964525e+00 6.786477517115059935e-03
1.991037240834013573e+03 1.176828959144745390e+00 6.733980781339706130e-03
1.993028278074848231e+03 1.186688478385391488e+00 6.553985112592349525e-03
1.995021306352923602e+03 1.196351215628866482e+00 6.297681121299102992e-03
1.997016327659277295e+03 1.205531388236690260e+00 6.177850875478255351e-03
1.999013343986937116e+03 1.215025235163647022e+00 6.383375922758177320e-03
2.001012357330924715e+03 1.228392425005859989e+00 5.703418788579243601e-03
2.003013369688256489e+03 1.239489384745290135e+00 5.277361570677738083e-03
2.005016383057945404e+03 1.247708155540637298e+00 5.352788680165623293e-03
2.007021399441003950e+03 1.256090714169071587e+00 5.226385083549246573e-03
2.009028420840445506e+03 1.264381292346778318e+00 5.272831306231617714e-03
2.011037449261286611e+03 1.269396262932564357e+00 5.482513909323497199e-03
2.013048486710548559e+03 1.274913872732234443e+00 5.161024917013428900e-03
2.015061535197259900e+03 1.275342381182709595e+00 5.241469963687649114e-03
2.017076596732457801e+03 1.273474318773591740e+00 4.889594001166406960e-03
2.019093673329191006e+03 1.269573783647789611e+00 5.729778076682830699e-03
2.021112767002520741e+03 1.266580099125857783e+00 5.714485006453261587e-03
2.023133879769523901e+03 1.264443827648175311e+00 5.178308878304915298e-03
2.025157013649294186e+03 1.264810006655566532e+00 5.401959178237463431e-03
2.027182170662944145e+03 1.268460827942770486e+00 5.584920298379087225e-03
2.029209352833607682e+03 1.271011720435055503e+00 5.642286762237283537e-03
2.031238562186442095e+03 1.272987596941199229e+00 5.766138429000387811e-03
2.033269800748629223e+03 1.272704350292105158e+00 5.650339553136060275e-03
2.035303070549378390e+03 1.274216119221459609e+00 5.789130786128601422e-03
2.037338373619928461e+03 1.273145544390298367e+00 6.050449004575398498e-03
2.039375711993548975e+03 1.273596441945941793e+00 5.611072640494258260e-03
2.041415087705543328e+03 1.270508179023462692e+00 5.703893885413834075e-03
2.043456502793249456e+03 1.267893534217363394e+00 5.547035140784307462e-03
2.045499959296043471e+03 1.262771865346470124e+00 5.552027465568051302e-03
2.047545459255340120e+03 1.256333052479813528e+00 5.608156523663791575e-03
2.049593004714596191e+03 1.247224313727131495e+00 4.183015400139762467e-03
2.051642597719311652e+03 1.237987266951408261e+00 3.759737975940322888e-03
2.053694240317031472e+03 1.234242649000799608e+00 3.631956183735551933e-03
2.055747934557349254e+03 1.234516000584431339e+00 3.985611771719130454e-03
2.057803682491907239e+03 1.236870728053681701e+00 3.919889679616668683e-03
2.059861486174399943e+03 1.238517799632796512e+00 4.238306951798670973e-03
2.061921347660575066e+03 1.242250787643313092e+00 4.143649669330020345e-03
2.063983269008236221e+03 1.245062195021972018e+00 4.610359655299702160e-03
2.066047252277245207e+03 1.246951236547900521e+00 5.189121791498988411e-03
2.068113299529522919e+03 1.246171990250545480e+00 5.872557024391583842e-03
