# starting wavelength: 3272.200
# ending wavelength: 8045.030
# wav flux eflux
3.275291574056592253e+03 7.181839476047678916e-01 8.222103566759429716e-02
3.278566865630649772e+03 7.469141523254482218e-01 6.415614154131149549e-02
3.281845432496281319e+03 7.715535059393981987e-01 5.311424042666018641e-02
3.285127277928778767e+03 7.975702790408081277e-01 4.651190482317000413e-02
3.288412405206708627e+03 8.313403943724370082e-01 3.823089945654352395e-02
3.291700817611916591e+03 8.703977049731527194e-01 3.058573519252879777e-02
3.294992518429529355e+03 9.090643657035704095e-01 2.523323839263605026e-02
3.298287510947960072e+03 9.418403813307647532e-01 2.271591135049045446e-02
3.301585798458909267e+03 9.655666723504239268e-01 2.126202326632678150e-02
3.304887384257369376e+03 9.799140875044405341e-01 2.019102056494993108e-02
3.308192271641627485e+03 9.857744844229261449e-01 1.937685950649996672e-02
3.311500463913270323e+03 9.907889584995308585e-01 1.747606101476307031e-02
3.314811964377184722e+03 9.820249217607784908e-01 1.808252423681049048e-02
3.318126776341563072e+03 9.704569421827068387e-01 1.807338005442516923e-02
3.321444903117905596e+03 9.588877733432564776e-01 1.757056052694106613e-02
3.324766348021024896e+03 9.427532193618698431e-01 1.816077829394627946e-02
3.328091114369046863e+03 9.281913703290447515e-01 1.859576206537506132e-02
3.331419205483417045e+03 9.169697300962255104e-01 1.881560929297305951e-02
3.334750624688901553e+03 9.062068534778356943e-01 1.806481056838895455e-02
3.338085375313591612e+03 8.986454643375747509e-01 1.724938794647657564e-02
3.341423460688906289e+03 8.944387364950263652e-01 1.597348288362722760e-02
3.344764884149596128e+03 8.964539257917235604e-01 1.529333222839286514e-02
3.348109649033746791e+03 9.054063154028255678e-01 1.458434583566250650e-02
3.351457758682781787e+03 9.199644789731041827e-01 1.418387942797012108e-02
3.354809216441465651e+03 9.425825376124603583e-01 1.509498893456423518e-02
3.358164025657908041e+03 9.652647115993593374e-01 1.551875755280421668e-02
3.361522189683567376e+03 9.995018527470909131e-01 1.642306817169832817e-02
3.364883711873251741e+03 1.039314064614105027e+00 1.694760821172645870e-02
3.368248595585126168e+03 1.083927561118834593e+00 1.624721581010356297e-02
3.371616844180712633e+03 1.133412276466207569e+00 1.423118878914551334e-02
3.374988461024894150e+03 1.183974254034704465e+00 1.203187269730084975e-02
3.378363449485920228e+03 1.236920512736653821e+00 8.494047095551642348e-03
3.381741812935407324e+03 1.275769497514920969e+00 6.446252254385332649e-03
3.385123554748343849e+03 1.303133138889724485e+00 6.570128922718326825e-03
3.388508678303093347e+03 1.322652244272738420e+00 6.799572102558101155e-03
3.391897186981397681e+03 1.336995848648978358e+00 6.905215297418257694e-03
