# starting wavelength: 3137.670
# ending wavelength: 7698.880
# wav flux eflux
3.140644021823316052e+03 2.055077579175896840e+00 2.934540683735121364e-02
3.143784665845140353e+03 2.079681591506911342e+00 2.197965417644884289e-02
3.146928450510986750e+03 2.101915137619835949e+00 1.656498464499830958e-02
3.150075378961498700e+03 2.120820702726814222e+00 1.274436896074305006e-02
3.153225454340461056e+03 2.135124415340259318e+00 1.012104334578828140e-02
3.156378679794802792e+03 2.146999670233197932e+00 8.122896137379417847e-03
3.159535058474598372e+03 2.156561932653783487e+00 6.747656293542236838e-03
3.162694593533074112e+03 2.162501791866778600e+00 6.495995711677297023e-03
3.165857288126608182e+03 2.164911226731046856e+00 5.618426402101041849e-03
3.169023145414736064e+03 2.165208988045118854e+00 4.851170185323671474e-03
3.172192168560151458e+03 2.163850647817462836e+00 4.300255989644357138e-03
3.175364360728712654e+03 2.160470539757556985e+00 3.869461476317894669e-03
3.178539725089442527e+03 2.155947456037735410e+00 3.569114323555670504e-03
3.181718264814533086e+03 2.149304937982984054e+00 3.338076535014617395e-03
3.184899983079348658e+03 2.141928325667882937e+00 3.142135023594794848e-03
3.188084883062429071e+03 2.134170964033990092e+00 3.030815226369991833e-03
3.191272967945492383e+03 2.125461042165731840e+00 2.943849597668178521e-03
3.194464240913438971e+03 2.116746123913407551e+00 3.107053336222030497e-03
3.197658705154353811e+03 2.106279379625457970e+00 3.156535984332048839e-03
3.200856363859509202e+03 2.094910910831528472e+00 3.110151146152993155e-03
3.204057220223369768e+03 2.082724776271489997e+00 3.029686712306362516e-03
3.207261277443593826e+03 2.070540239006025018e+00 2.887762411644724699e-03
3.210468538721038840e+03 2.057822869758580087e+00 2.861377932110231899e-03
3.213679007259760965e+03 2.044488918385936937e+00 2.809124254144931311e-03
3.216892686267021418e+03 2.031442113734204913e+00 2.790185886833263657e-03
3.220109578953289656e+03 2.018417404071458421e+00 2.860045161478285899e-03
3.223329688532243836e+03 2.005268123199172248e+00 2.866183142523149544e-03
3.226553018220777176e+03 1.992946051807068075e+00 2.782047590316410503e-03
3.229779571238999324e+03 1.980981785176522347e+00 2.801646971148119905e-03
3.233009350810239084e+03 1.968829540886865237e+00 2.772035673574632653e-03
3.236242360161050783e+03 1.957060962118188918e+00 2.520163618715377286e-03
3.239478602521212906e+03 1.946887656739434425e+00 2.538030568340239601e-03
3.242718081123734919e+03 1.937301424342582123e+00 2.458121909344089789e-03
3.245960799204859995e+03 1.928128180961152793e+00 2.359425814654808086e-03
3.249206760004065927e+03 1.921168487752506371e+00 2.351140484550375779e-03
3.252455966764071036e+03 1.916408273007078389e+00 2.464577810067651760e-03
3.255708422730835991e+03 1.912054672897569807e+00 2.493959127220374446e-03
3.258964131153567905e+03 1.908465510491287986e+00 2.476298860649156584e-03
3.262223095284722604e+03 1.906636282225486312e+00 2.450103758462223065e-03
3.265485318380008266e+03 1.906527803552396483e+00 2.366594558789609278e-03
3.268750803698389518e+03 1.908056974311575171e+00 2.063252463165991032e-03
3.272019554502088795e+03 1.910701229379403454e+00 1.955599875471281113e-03
3.275291574056592253e+03 1.913128258806517490e+00 1.944553117373274201e-03
3.278566865630649772e+03 1.915524430093463737e+00 1.975226615313495533e-03
3.281845432496281319e+03 1.920518719691665543e+00 1.968429116114141144e-03
3.285127277928778767e+03 1.926493931656416692e+00 1.967257810512114489e-03
3.288412405206708627e+03 1.932510280895073151e+00 1.968520401654677912e-03
3.291700817611916591e+03 1.938498583914615159e+00 1.862817089814189191e-03
3.294992518429529355e+03 1.945075138095665235e+00 1.913309006047496244e-03
3.298287510947960072e+03 1.952803114309644705e+00 1.939346065115801852e-03
3.301585798458909267e+03 1.962103824784147132e+00 1.961941007989182698e-03
3.304887384257369376e+03 1.972363247570528388e+00 1.847282410928951677e-03
3.308192271641627485e+03 1.981679929867544265e+00 2.028718931762996721e-03
3.311500463913270323e+03 1.991357024217302429e+00 2.188105850722737999e-03
3.314811964377184722e+03 2.002739411253999346e+00 2.164988144807887972e-03
3.318126776341563072e+03 2.015192387904837901e+00 2.159868564189074917e-03
3.321444903117905596e+03 2.029359581582617089e+00 2.244148708500561668e-03
3.324766348021024896e+03 2.044153996942187579e+00 2.322323731386511953e-03
3.328091114369046863e+03 2.059353360118216791e+00 2.349401726969145999e-03
3.331419205483417045e+03 2.074032876788984847e+00 2.386061186335266746e-03
3.334750624688901553e+03 2.089443750499451191e+00 2.383926863592600830e-03
3.338085375313591612e+03 2.105832727970715190e+00 2.406180580882371668e-03
3.341423460688906289e+03 2.122225798710377198e+00 2.360070877432369520e-03
3.344764884149596128e+03 2.138816783783076492e+00 2.308721764809240368e-03
3.348109649033746791e+03 2.154800326273591526e+00 2.311975170865610690e-03
3.351457758682781787e+03 2.171041285743987359e+00 2.283564456256463246e-03
3.354809216441465651e+03 2.188329277239716930e+00 2.292958363524061436e-03
3.358164025657908041e+03 2.205618577441216033e+00 2.246330671750241311e-03
3.361522189683567376e+03 2.221340364608917373e+00 2.332465414366127060e-03
3.364883711873251741e+03 2.236813643606228030e+00 2.470743789357670011e-03
3.368248595585126168e+03 2.251549301555026972e+00 2.527975985265676784e-03
3.371616844180712633e+03 2.265060668374201835e+00 2.498397047572738141e-03
3.374988461024894150e+03 2.277537771332968308e+00 2.541214833915664793e-03
3.378363449485920228e+03 2.288538676859480425e+00 2.504920312472857374e-03
3.381741812935407324e+03 2.299258316510975231e+00 2.454973479251522199e-03
3.385123554748343849e+03 2.308556580442155504e+00 2.681452013567252324e-03
3.388508678303093347e+03 2.316837380781481492e+00 3.203176103271733900e-03
3.391897186981397681e+03 2.325112739621234770e+00 3.309774953485768775e-03
3.395289084168380214e+03 2.333437516947358681e+00 3.198933220981573910e-03
3.398684373252549449e+03 2.342452788836694832e+00 3.176524069871087663e-03
3.402083057625803121e+03 2.352466600334439661e+00 3.171926573998586334e-03
3.405485140683430018e+03 2.361716456157302968e+00 3.151198727232006405e-03
3.408890625824114522e+03 2.370685874290770823e+00 2.730120642955725062e-03
3.412299516449939802e+03 2.380610860915888694e+00 3.091529912619065800e-03
3.415711815966390986e+03 2.390977896868410557e+00 3.344890304273907822e-03
3.419127527782358356e+03 2.402567065832413640e+00 3.214213879173171817e-03
3.422546655310141887e+03 2.412940702181965325e+00 3.158668020871766013e-03
3.425969201965453522e+03 2.421253866976183833e+00 2.776127874303477901e-03
3.429395171167419903e+03 2.427983149785295502e+00 2.383209549070407478e-03
3.432824566338588284e+03 2.432879148000187897e+00 1.657004484247964109e-03
3.436257390904928343e+03 2.433703858271325959e+00 1.801266237377080167e-03
3.439693648295834464e+03 2.431306989908677441e+00 2.208728676110481050e-03
3.443133341944131189e+03 2.426047407348356444e+00 2.620593562764246282e-03
3.446576475286076402e+03 2.418515393577492567e+00 3.035664968383940728e-03
3.450023051761363604e+03 2.410061535699012936e+00 3.139608069868174509e-03
3.453473074813126004e+03 2.402114664257286591e+00 2.838962824142734088e-03
3.456926547887940615e+03 2.393615321660121253e+00 2.563048069791047569e-03
3.460383474435829612e+03 2.386222673752309564e+00 2.411289050496422635e-03
3.463843857910266706e+03 2.379843566477501504e+00 2.899179654167765522e-03
3.467307701768178049e+03 2.374538533538285368e+00 3.024413958754434886e-03
3.470775009469947236e+03 2.368814567817084438e+00 2.969605149353229598e-03
3.474245784479418489e+03 2.362942309207759717e+00 2.891403385882351101e-03
3.477720030263898934e+03 2.356272436557020455e+00 2.852386411494628026e-03
3.481197750294164052e+03 2.349541418236209989e+00 2.741280892192632726e-03
3.484678948044459503e+03 2.342328143393362261e+00 2.780210865383896460e-03
3.488163626992504760e+03 2.335343075517316791e+00 2.778234385814340630e-03
3.491651790619498570e+03 2.328305386691229995e+00 2.850280193382383632e-03
3.495143442410119405e+03 2.320424049816348422e+00 2.856831724843668808e-03
3.498638585852530468e+03 2.311378459434544119e+00 2.988671146699430417e-03
3.502137224438384237e+03 2.300215204944638714e+00 2.916386050296876451e-03
3.505639361662823831e+03 2.288530643402244547e+00 2.917271931209435010e-03
3.509145001024487556e+03 2.277181955949915793e+00 2.883865148046326279e-03
3.512654146025513455e+03 2.267514174862959475e+00 2.880160308087098466e-03
3.516166800171540217e+03 2.259154469798610787e+00 2.806097754324987474e-03
3.519682966971712631e+03 2.251702683117605908e+00 2.775030831718935855e-03
3.523202649938685681e+03 2.244533574157947964e+00 2.777720874216241947e-03
3.526725852588625457e+03 2.237908098800325707e+00 2.749353949123874066e-03
3.530252578441215064e+03 2.231737158719371283e+00 2.751298650364381385e-03
3.533782831019657806e+03 2.225246975476061095e+00 2.741471368979373630e-03
3.537316613850678550e+03 2.219522449953119203e+00 2.992472356596102400e-03
3.540853930464530094e+03 2.213857644458587792e+00 2.725279164237315310e-03
3.544394784394995895e+03 2.207670524172007376e+00 2.455314402799836995e-03
3.547939179179392340e+03 2.200154837990848211e+00 2.264782330687239650e-03
3.551487118358572843e+03 2.191348141765990576e+00 2.204780654348575692e-03
3.555038605476932389e+03 2.181030875249104106e+00 2.218620019408099400e-03
3.558593644082410719e+03 2.168032096221860883e+00 1.844914303845226772e-03
3.562152237726494150e+03 2.153263818898011550e+00 1.371339967159069043e-03
3.565714389964221937e+03 2.138549169029898778e+00 1.400917824137974015e-03
3.569280104354187188e+03 2.124360378181975761e+00 1.387550668144322402e-03
3.572849384458542772e+03 2.110167034138562325e+00 1.402778634002033523e-03
3.576422233843002232e+03 2.096450217245354519e+00 1.459384034259718745e-03
3.579998656076846601e+03 2.082782022779042563e+00 1.527628661067516542e-03
3.583578654732924406e+03 2.069471010695181246e+00 1.437540700539509603e-03
3.587162233387658489e+03 2.055724747361785898e+00 1.502199729179678079e-03
3.590749395621047370e+03 2.042902037099695089e+00 1.581464340749706319e-03
3.594340145016669794e+03 2.030221617062920814e+00 1.586767948389697933e-03
3.597934485161687462e+03 2.017118501083028370e+00 1.470549803100560477e-03
3.601532419646850485e+03 2.004967980518833848e+00 1.439151908121012692e-03
3.605133952066498296e+03 1.994058492638351776e+00 1.547736839215870268e-03
3.608739086018566013e+03 1.983031846743321891e+00 1.985299266233082720e-03
3.612347825104585809e+03 1.971576001997516370e+00 1.931372576995953614e-03
3.615960172929691907e+03 1.957999092043678280e+00 1.917442268654343017e-03
3.619576133102622407e+03 1.943105017997701633e+00 2.094505264610451150e-03
3.623195709235726554e+03 1.928699635759481890e+00 2.086552141216765476e-03
3.626818904944963379e+03 1.914220598627989434e+00 2.194946645640774054e-03
3.630445723849909427e+03 1.899449104795202237e+00 2.678405173247004438e-03
3.634076169573760581e+03 1.885765317094286520e+00 2.522941038908451446e-03
3.637710245743335690e+03 1.873424877492162244e+00 2.228519260860383194e-03
3.641347955989080219e+03 1.862446808445699320e+00 2.022782402796558573e-03
3.644989303945070333e+03 1.853192697282576074e+00 1.957456239942850958e-03
3.648634293249016537e+03 1.846503644555453238e+00 1.880090646130135133e-03
3.652282927542266862e+03 1.841863110517773849e+00 2.022229624257776935e-03
3.655935210469810499e+03 1.837929504590186225e+00 2.205731636106390923e-03
3.659591145680281443e+03 1.832678782111195837e+00 1.987531203939961119e-03
3.663250736825963031e+03 1.825721493184502497e+00 1.771037254145008035e-03
3.666913987562790226e+03 1.816595603791512525e+00 2.183604414282578308e-03
3.670580901550354156e+03 1.806682073439555225e+00 2.277424971846990151e-03
3.674251482451905758e+03 1.797143370265745999e+00 2.201334934617290781e-03
3.677925733934358959e+03 1.788276421130000848e+00 2.188318826889217982e-03
3.681603659668294313e+03 1.779768651564054727e+00 2.144935039825572685e-03
3.685285263327964003e+03 1.772821054294427823e+00 2.160566650248332225e-03
3.688970548591293209e+03 1.766633736589283243e+00 2.133961966635192220e-03
3.692659519139885560e+03 1.762509846348419229e+00 2.024552778896400711e-03
3.696352178659026777e+03 1.759134262389374648e+00 2.050325312866734234e-03
3.700048530837686940e+03 1.757468076859342476e+00 2.026106818372720893e-03
3.703748579368525952e+03 1.757616053163159719e+00 2.079188093890943240e-03
3.707452327947895355e+03 1.759813239476510693e+00 2.072288077994830034e-03
3.711159780275844696e+03 1.763112232228674969e+00 2.036914071816430753e-03
3.714870940056121526e+03 1.767644066882743337e+00 1.983562782992986332e-03
3.718585810996179134e+03 1.773008546449982958e+00 2.256472709554236799e-03
3.722304396807176545e+03 1.779346963418499961e+00 2.445460882068462103e-03
3.726026701203984885e+03 1.785689876282507971e+00 2.049817512447478767e-03
3.729752727905190113e+03 1.791053504363500970e+00 1.721442122989034866e-03
3.733482480633096657e+03 1.794828071745908193e+00 1.800971280864813780e-03
3.737215963113731050e+03 1.797130861876988339e+00 1.905913749339010295e-03
3.740953179076846027e+03 1.798155318137849124e+00 2.012298907166957911e-03
3.744694132255923705e+03 1.798788296154499644e+00 1.948787904070069677e-03
3.748438826388181042e+03 1.798094330337233648e+00 1.955443565993922155e-03
3.752187265214570289e+03 1.796041688953324833e+00 2.114004512674644547e-03
3.755939452479786269e+03 1.793135704809218467e+00 1.977602295459043261e-03
3.759695391932267285e+03 1.787814566293636886e+00 2.323646600774532511e-03
3.763455087324201031e+03 1.781635283184762608e+00 2.940481627420336603e-03
3.767218542411526414e+03 1.776211380128953410e+00 2.944673244253300393e-03
3.770985760953939007e+03 1.771462485802561604e+00 3.051330288704116270e-03
3.774756746714894234e+03 1.764989169706417504e+00 3.205113289069002128e-03
3.778531503461610555e+03 1.757369956311289894e+00 3.421753401185915252e-03
3.782310034965073100e+03 1.747479883018438818e+00 3.416390283346043728e-03
3.786092345000039586e+03 1.737010391612824334e+00 3.471407772295500693e-03
3.789878437345040766e+03 1.726588443816376328e+00 3.490988285559876083e-03
3.793668315782387253e+03 1.715752038790020029e+00 3.543344232863667072e-03
3.797461984098170888e+03 1.704320655055258982e+00 3.628147920190687940e-03
3.801259446082270188e+03 1.691819905759160747e+00 3.707875009388153249e-03
3.805060705528353537e+03 1.677693660436067935e+00 3.831715988977631854e-03
3.808865766233883278e+03 1.663600341191518339e+00 3.664039716996718953e-03
