# starting wavelength: 3002.670
# ending wavelength: 7698.880
# wav flux eflux
3.005517802315240260e+03 7.261210000608051551e-01 3.870983849736223115e-02
3.008523320117556523e+03 7.273610177757220407e-01 2.810913226172529270e-02
3.011531843437674979e+03 7.328608851705791238e-01 2.077236396373529151e-02
3.014543375281113640e+03 7.390718157456291904e-01 1.551939516732574187e-02
3.017557918656395941e+03 7.449225014245134391e-01 1.199603508150568799e-02
3.020575476575053472e+03 7.531332570612082611e-01 9.417331518599579218e-03
3.023596052051629158e+03 7.612640006409601146e-01 7.537417795722492486e-03
3.026619648103681811e+03 7.687345810537038471e-01 6.107929936288468420e-03
3.029646267751786581e+03 7.757537064719806086e-01 5.524523801351693270e-03
3.032675914019539505e+03 7.835028288279252129e-01 4.717450425495479764e-03
3.035708589933559779e+03 7.908276643240921278e-01 4.060746860965850323e-03
3.038744298523494763e+03 7.963664176687149654e-01 3.939788605839884827e-03
3.041783042822019070e+03 8.014089854935654289e-01 3.539713524088106567e-03
3.044824825864842296e+03 8.035418314025951636e-01 3.710754929271362686e-03
3.047869650690708113e+03 8.057935820711391584e-01 3.485145208587799200e-03
3.050917520341399722e+03 8.072870866236723231e-01 3.308457402376253735e-03
3.053968437861742132e+03 8.065303842142366175e-01 3.550546692969861091e-03
3.057022406299604881e+03 8.066408842053651718e-01 3.451624597812005986e-03
3.060079428705905229e+03 8.072256843737374288e-01 3.335245155826808625e-03
3.063139508134612242e+03 8.069479811549815640e-01 3.287645145591323349e-03
3.066202647642748161e+03 8.057035443828605148e-01 3.295030648224320149e-03
3.069268850290391583e+03 8.042563734998425806e-01 3.285430213208767689e-03
3.072338119140682920e+03 8.034630869338724724e-01 3.205813024478225935e-03
3.075410457259824852e+03 8.024882691657589939e-01 3.103053742605727059e-03
3.078485867717085512e+03 8.012460344200310614e-01 2.998526923397136588e-03
3.081564353584803939e+03 8.017176119017743741e-01 3.776828367138676968e-03
3.084645917938389630e+03 8.018413285638611443e-01 4.183051425083577843e-03
3.087730563856328899e+03 7.997360632383084811e-01 4.141310128845325511e-03
3.090818294420186248e+03 7.991969177186778461e-01 4.163770010734985615e-03
3.093909112714607545e+03 7.974566247839947053e-01 3.936220386247460921e-03
3.097003021827323209e+03 7.932463614657023765e-01 3.775347786054308527e-03
3.100100024849151396e+03 7.881776714043468024e-01 3.670545654038577521e-03
3.103200124874001631e+03 7.813224187609834059e-01 3.658340280497966810e-03
3.106303324998876633e+03 7.736307851313098949e-01 3.674231321143512415e-03
3.109409628323876859e+03 7.655848950061848734e-01 3.928350996887777780e-03
3.112519037952201415e+03 7.557839504729134683e-01 4.470885979758883362e-03
3.115631556990154877e+03 7.459207194819280629e-01 4.681051543703060314e-03
3.118747188547145925e+03 7.354881625639526632e-01 4.768914704415105205e-03
3.121865935735694165e+03 7.261473188268466883e-01 4.595116353150906739e-03
3.124987801671431043e+03 7.175311291781153455e-01 4.392729272687489507e-03
3.128112789473103476e+03 7.099480582618428182e-01 4.122033316315215114e-03
3.131240902262577492e+03 7.041300277281681286e-01 3.407101791087687598e-03
3.134372143164840963e+03 7.010630402241233572e-01 2.897513385093968431e-03
3.137506515308006783e+03 7.005726964544803925e-01 2.820219534121817632e-03
3.140644021823316052e+03 7.038274929274319636e-01 2.840915562684018583e-03
3.143784665845140353e+03 7.096530293043804560e-01 2.910147798879447918e-03
3.146928450510986750e+03 7.178643475177336475e-01 2.934485223011837861e-03
3.150075378961498700e+03 7.282133035797806464e-01 2.932701906982878789e-03
3.153225454340461056e+03 7.430222173160941912e-01 2.897670694507649500e-03
3.156378679794802792e+03 7.595476430068229812e-01 2.896423345218822245e-03
3.159535058474598372e+03 7.769543090748438630e-01 2.859111623552002251e-03
3.162694593533074112e+03 7.970053987933374273e-01 2.305225051947280834e-03
3.165857288126608182e+03 8.184096952429776861e-01 1.929663806963689311e-03
3.169023145414736064e+03 8.392959979266789716e-01 1.873541734254761644e-03
3.172192168560151458e+03 8.585723732819575682e-01 1.868990722610076437e-03
3.175364360728712654e+03 8.772526420777991829e-01 1.875300003312315150e-03
3.178539725089442527e+03 8.952286860152731673e-01 1.900470249176416720e-03
3.181718264814533086e+03 9.115539581862712737e-01 1.957151815346589146e-03
3.184899983079348658e+03 9.258544391636168713e-01 2.001653961683611156e-03
3.188084883062429071e+03 9.403580154553403680e-01 1.940841850035778752e-03
3.191272967945492383e+03 9.514016167539747215e-01 1.997979676919499174e-03
3.194464240913438971e+03 9.596302663684955769e-01 1.853550328537795309e-03
3.197658705154353811e+03 9.640619628584212730e-01 1.837934950475773660e-03
3.200856363859509202e+03 9.657444604951216371e-01 1.994527147411633526e-03
3.204057220223369768e+03 9.634913396031156152e-01 2.612054058830402294e-03
3.207261277443593826e+03 9.583541989046007181e-01 3.403232859601570438e-03
3.210468538721038840e+03 9.513736094441008762e-01 3.493165263696570988e-03
3.213679007259760965e+03 9.435128260304928016e-01 3.314317182545851916e-03
3.216892686267021418e+03 9.347362498706252021e-01 3.277616385987419667e-03
3.220109578953289656e+03 9.251077898419641787e-01 3.021127550616510039e-03
3.223329688532243836e+03 9.161441401394734285e-01 2.883951462517225089e-03
3.226553018220777176e+03 9.066861045753754622e-01 2.654876649744974428e-03
3.229779571238999324e+03 8.977243514630788290e-01 2.599360480893350527e-03
3.233009350810239084e+03 8.886728033711522867e-01 2.681450808992781772e-03
3.236242360161050783e+03 8.811593892377671544e-01 2.846186253874342671e-03
3.239478602521212906e+03 8.738403883215597467e-01 2.845735134404243655e-03
3.242718081123734919e+03 8.671573419985934006e-01 2.780959906291980647e-03
3.245960799204859995e+03 8.615689126769119355e-01 2.801764147677490453e-03
3.249206760004065927e+03 8.563300849852332197e-01 2.585711178027919749e-03
3.252455966764071036e+03 8.508872676254054523e-01 2.431399342644559747e-03
3.255708422730835991e+03 8.448882021413740562e-01 2.373419360194223282e-03
3.258964131153567905e+03 8.389483966097646128e-01 2.209989882667736088e-03
3.262223095284722604e+03 8.327327114501265060e-01 2.096168262177574172e-03
3.265485318380008266e+03 8.245466826168212915e-01 2.545404492484280162e-03
3.268750803698389518e+03 8.156739954861098596e-01 2.559139230139811927e-03
3.272019554502088795e+03 8.076863746607502170e-01 2.221762726942144890e-03
3.275291574056592253e+03 8.010095860102560694e-01 1.938068507104655832e-03
3.278566865630649772e+03 7.944126954067807223e-01 1.840734516523166156e-03
3.281845432496281319e+03 7.905432530086691223e-01 2.246803378501012558e-03
3.285127277928778767e+03 7.865605791190450891e-01 2.302487260984381005e-03
3.288412405206708627e+03 7.828507733054107520e-01 2.201757767719510726e-03
3.291700817611916591e+03 7.794288494326190309e-01 2.168464798788523329e-03
3.294992518429529355e+03 7.768018689856561743e-01 2.209154150893422822e-03
3.298287510947960072e+03 7.735993550523081463e-01 2.204209583483603824e-03
3.301585798458909267e+03 7.712053014104047755e-01 2.140050086824798331e-03
3.304887384257369376e+03 7.687289562481295357e-01 2.131975907286631170e-03
3.308192271641627485e+03 7.655438305952252387e-01 2.433776403375237200e-03
3.311500463913270323e+03 7.632490062626684502e-01 2.650038865797763737e-03
3.314811964377184722e+03 7.623020097372531501e-01 2.798776638928897418e-03
3.318126776341563072e+03 7.621981078464837855e-01 2.791815272701433492e-03
3.321444903117905596e+03 7.640896675328460175e-01 2.732267960093323449e-03
3.324766348021024896e+03 7.674307994128388710e-01 2.732160111609279948e-03
3.328091114369046863e+03 7.705150304104716463e-01 2.604319181689727838e-03
3.331419205483417045e+03 7.761136380832620585e-01 3.050734409599013819e-03
3.334750624688901553e+03 7.831733474516864302e-01 3.568004007078426007e-03
3.338085375313591612e+03 7.904580440633198757e-01 3.628238737893391130e-03
3.341423460688906289e+03 7.994322888372517033e-01 3.041878196100041183e-03
3.344764884149596128e+03 8.064862434055946050e-01 2.534118757627347712e-03
3.348109649033746791e+03 8.121948633495637004e-01 2.578435049266720493e-03
3.351457758682781787e+03 8.160502042717671101e-01 2.793607292582878533e-03
3.354809216441465651e+03 8.203250217037192371e-01 2.701024005379535579e-03
3.358164025657908041e+03 8.249176127318473828e-01 2.746761849772335739e-03
3.361522189683567376e+03 8.289417107901319026e-01 2.746347498075383566e-03
3.364883711873251741e+03 8.317273842652225246e-01 3.044533907746132910e-03
3.368248595585126168e+03 8.341271202308647714e-01 3.058454626060573122e-03
3.371616844180712633e+03 8.378751088770952649e-01 2.707024959724837077e-03
3.374988461024894150e+03 8.443243969155556083e-01 2.644762383618252336e-03
3.378363449485920228e+03 8.531004805675161951e-01 2.697493821661730434e-03
3.381741812935407324e+03 8.651829641682644567e-01 2.699706053092946773e-03
3.385123554748343849e+03 8.797204962332124678e-01 3.107350236883989897e-03
3.388508678303093347e+03 8.967580291217198685e-01 3.166885721538037577e-03
3.391897186981397681e+03 9.182350175279259119e-01 3.171753640439645139e-03
3.395289084168380214e+03 9.429419602514997889e-01 3.783658159626944982e-03
3.398684373252549449e+03 9.696377579679807956e-01 4.801815543795151346e-03
3.402083057625803121e+03 9.968599673430880159e-01 5.372798638572588714e-03
3.405485140683430018e+03 1.023624479568297385e+00 5.462427810089385063e-03
3.408890625824114522e+03 1.048618750314333603e+00 4.794273001603300763e-03
3.412299516449939802e+03 1.069852877039833894e+00 3.869449672017699366e-03
3.415711815966390986e+03 1.086154846142061814e+00 3.681149053087753257e-03
3.419127527782358356e+03 1.097457353283234349e+00 4.167128722528223861e-03
3.422546655310141887e+03 1.105527311005300328e+00 4.358748805402969974e-03
3.425969201965453522e+03 1.106939916032947169e+00 4.343779179993879046e-03
3.429395171167419903e+03 1.106307299147237799e+00 3.571001357825821353e-03
3.432824566338588284e+03 1.104588977841396202e+00 3.423199213662305330e-03
3.436257390904928343e+03 1.101876436333401488e+00 3.326188220203237476e-03
3.439693648295834464e+03 1.098852855068568557e+00 3.021579609550830315e-03
3.443133341944131189e+03 1.098963423269333273e+00 2.951546081620293194e-03
3.446576475286076402e+03 1.102989138031986949e+00 2.936786007127596514e-03
3.450023051761363604e+03 1.109684733733729445e+00 2.829358150892454914e-03
3.453473074813126004e+03 1.119406546504059685e+00 2.687313104960958529e-03
3.456926547887940615e+03 1.128592353815234928e+00 2.750519579608866859e-03
3.460383474435829612e+03 1.138358307943649894e+00 2.896479594156461859e-03
3.463843857910266706e+03 1.149570299671920370e+00 3.348773751605792996e-03
3.467307701768178049e+03 1.160301766049014471e+00 3.392150856300959853e-03
3.470775009469947236e+03 1.168999129921703073e+00 3.213842109006660210e-03
3.474245784479418489e+03 1.176084331089161328e+00 2.926723420870649094e-03
3.477720030263898934e+03 1.180210867363272076e+00 2.965444856077589699e-03
3.481197750294164052e+03 1.181209953129115142e+00 4.189571490830570205e-03
3.484678948044459503e+03 1.180933316591157523e+00 4.599692656583404676e-03
3.488163626992504760e+03 1.180631654290813959e+00 4.079777423062535234e-03
3.491651790619498570e+03 1.180581111690571783e+00 3.106555122714967955e-03
3.495143442410119405e+03 1.182823444442607785e+00 2.770750538177867931e-03
3.498638585852530468e+03 1.188731706313219005e+00 3.499558688129012374e-03
3.502137224438384237e+03 1.195960882495112232e+00 3.681820363322490294e-03
3.505639361662823831e+03 1.201303633900344892e+00 3.556519941871999838e-03
3.509145001024487556e+03 1.204758365156509914e+00 3.419277737409489887e-03
3.512654146025513455e+03 1.207566466841220265e+00 3.419546147823381444e-03
