# starting wavelength: 3278.750
# ending wavelength: 9025.040
# wav flux eflux
3.281845432496281319e+03 3.438062250965281841e+00 2.126916988856932325e-02
3.285127277928778767e+03 3.428752678627238204e+00 1.613837092215040028e-02
3.288412405206708627e+03 3.418330603223369124e+00 1.259350484659892654e-02
3.291700817611916591e+03 3.408744408890778566e+00 9.623732571691445345e-03
3.294992518429529355e+03 3.398544364501063342e+00 7.680085339179777704e-03
3.298287510947960072e+03 3.386412453624055630e+00 6.143310037400082947e-03
3.301585798458909267e+03 3.372292330252724124e+00 4.993410226066496461e-03
3.304887384257369376e+03 3.355896991887601821e+00 4.474308154331383368e-03
3.308192271641627485e+03 3.336631262894835803e+00 4.167240128989736433e-03
3.311500463913270323e+03 3.314410933145256255e+00 4.107432811314868856e-03
3.314811964377184722e+03 3.289855958484507070e+00 3.928420974171317574e-03
3.318126776341563072e+03 3.263031270191595112e+00 3.957826834790867734e-03
3.321444903117905596e+03 3.235064757539908076e+00 3.848270097517460242e-03
3.324766348021024896e+03 3.207689390266098783e+00 3.619601905534907543e-03
3.328091114369046863e+03 3.178724202462264614e+00 3.578340838506544313e-03
3.331419205483417045e+03 3.149348027303275899e+00 3.744791254927874735e-03
3.334750624688901553e+03 3.121395664810834081e+00 3.724136549953398212e-03
3.338085375313591612e+03 3.094861717080481966e+00 3.678863056011300297e-03
3.341423460688906289e+03 3.069726554866369028e+00 3.709242205428552389e-03
3.344764884149596128e+03 3.045019694175529867e+00 3.352252248762170594e-03
3.348109649033746791e+03 3.022841132107925599e+00 2.915985053494906266e-03
3.351457758682781787e+03 3.002665097701891828e+00 2.306354602966412086e-03
3.354809216441465651e+03 2.986832335894813895e+00 2.162416636324523793e-03
3.358164025657908041e+03 2.973935469517980934e+00 2.105086829432278438e-03
3.361522189683567376e+03 2.964403724133723994e+00 2.059617762027074819e-03
3.364883711873251741e+03 2.959150186679150085e+00 2.099892504597893322e-03
3.368248595585126168e+03 2.957306578994929325e+00 2.213396114125397787e-03
3.371616844180712633e+03 2.958834309246831218e+00 2.430230262664394379e-03
3.374988461024894150e+03 2.964161840273854320e+00 2.659529375902432331e-03
3.378363449485920228e+03 2.972845515532767990e+00 2.588553421586826161e-03
3.381741812935407324e+03 2.983368207734961697e+00 2.179856895578985952e-03
3.385123554748343849e+03 2.997055325782572499e+00 1.915168481918768642e-03
3.388508678303093347e+03 3.012714408607504168e+00 1.726024392593228807e-03
3.391897186981397681e+03 3.029167945277808194e+00 1.882224279318694526e-03
3.395289084168380214e+03 3.046614419141299823e+00 2.103307662141706055e-03
3.398684373252549449e+03 3.064807687430881167e+00 2.299451571683955482e-03
3.402083057625803121e+03 3.082546995910002252e+00 2.307816813707154902e-03
3.405485140683430018e+03 3.100033076018418043e+00 2.279849072558474878e-03
3.408890625824114522e+03 3.117611382796551478e+00 1.805060569942768802e-03
3.412299516449939802e+03 3.132824921310130684e+00 1.721540919914462016e-03
3.415711815966390986e+03 3.146385749264017484e+00 1.575268242294785258e-03
3.419127527782358356e+03 3.158726223368603314e+00 1.304207995820105782e-03
