# starting wavelength: 2890.760
# ending wavelength: 8998.020
# wav flux eflux
2.893505821833151913e+03 9.791753996945316008e-01 9.248200585555588216e-03
2.896399327654986337e+03 9.923323267293036043e-01 6.780434822806912995e-03
2.899295726982642009e+03 1.005989332917731849e+00 5.508119076362764759e-03
2.902195022709625846e+03 1.019902895699802414e+00 5.430663887271019313e-03
2.905097217732336503e+03 1.035235885457191696e+00 5.019532720159125203e-03
2.908002314950069831e+03 1.053013761137188364e+00 4.030732795936791714e-03
2.910910317265020694e+03 1.072811908478080722e+00 3.319207549293917876e-03
2.913821227582286610e+03 1.092540445923861236e+00 3.122064966301572961e-03
2.916735048809870023e+03 1.110865412614890246e+00 3.167960986457714172e-03
2.919651783858680574e+03 1.126948122639569227e+00 3.158554365938911167e-03
2.922571435642540564e+03 1.140621568414024178e+00 2.880722135480146689e-03
2.925494007078184040e+03 1.151999913359928351e+00 2.719048176314420914e-03
2.928419501085263164e+03 1.161190526725567551e+00 2.538305297363622690e-03
2.931347920586349119e+03 1.168535982124096817e+00 2.326287758531473109e-03
2.934279268506936660e+03 1.173897952778708786e+00 2.181261538467407259e-03
2.937213547775444567e+03 1.177169070562685826e+00 2.128534261141346029e-03
2.940150761323221104e+03 1.179497828983844254e+00 2.059795079201025194e-03
2.943090912084544925e+03 1.179679514942033380e+00 2.003602836382395794e-03
2.946034002996630534e+03 1.178706384440968868e+00 1.927659866244245575e-03
2.948980036999628283e+03 1.176529292447618724e+00 1.805535757431654762e-03
2.951929017036628920e+03 1.173075581024825897e+00 1.730288516359516525e-03
2.954880946053666321e+03 1.168356456197420457e+00 1.738540824988528454e-03
2.957835826999721121e+03 1.162284918097005626e+00 1.805330691867978229e-03
2.960793662826721629e+03 1.154703271414220467e+00 1.847461548280319478e-03
2.963754456489549284e+03 1.145355977342077392e+00 1.814917332430618932e-03
2.966718210946040017e+03 1.134804420760654464e+00 1.797445195107088851e-03
2.969684929156986982e+03 1.122451793607280424e+00 1.786902212933271427e-03
2.972654614086145102e+03 1.108984419506983121e+00 1.807069657934668458e-03
2.975627268700231980e+03 1.095001086291543579e+00 1.772833588266282392e-03
2.978602895968933353e+03 1.080122694303276010e+00 1.808035992479541847e-03
2.981581498864903097e+03 1.064602037007905011e+00 1.900483205789237334e-03
2.984563080363769132e+03 1.048776898914228539e+00 1.985191548220032170e-03
2.987547643444133882e+03 1.032640316824371629e+00 2.080222500188920725e-03
2.990535191087578823e+03 1.016688938980985668e+00 2.100510435390872104e-03
2.993525726278667662e+03 1.000846227815285649e+00 1.996529836908739718e-03
2.996519252004947248e+03 9.852903795549905475e-01 1.799282628029468846e-03
2.999515771256953030e+03 9.707880931793408941e-01 1.589715162630501305e-03
3.002515287028211333e+03 9.564749492136855880e-01 1.412811938842787295e-03
3.005517802315240260e+03 9.435887616774480957e-01 1.367135470498713782e-03
3.008523320117556523e+03 9.316986209785363959e-01 1.456875090547616550e-03
3.011531843437674979e+03 9.209126085081059676e-01 1.534151990611389450e-03
3.014543375281113640e+03 9.112786166153656886e-01 1.547566497923092300e-03
3.017557918656395941e+03 9.025055740015842654e-01 1.479965332804293642e-03
3.020575476575053472e+03 8.945026141413502385e-01 1.418956578273885671e-03
3.023596052051629158e+03 8.875969599950286337e-01 1.375849046709288950e-03
3.026619648103681811e+03 8.819958867361925581e-01 1.372159398167650726e-03
3.029646267751786581e+03 8.775506423100187803e-01 1.355670379879622559e-03
3.032675914019539505e+03 8.741279916075882506e-01 1.407715302896870050e-03
3.035708589933559779e+03 8.719631625924039176e-01 1.443553037335604207e-03
3.038744298523494763e+03 8.712390470687876309e-01 1.426653871823413324e-03
3.041783042822019070e+03 8.715571583142730505e-01 1.366541820338548589e-03
3.044824825864842296e+03 8.727945470580917853e-01 1.260849311667669838e-03
3.047869650690708113e+03 8.752725956572261490e-01 1.277031371622285548e-03
3.050917520341399722e+03 8.787363755815733590e-01 1.377210886964145382e-03
3.053968437861742132e+03 8.831676749696405482e-01 1.551163653685421698e-03
3.057022406299604881e+03 8.883843909759688851e-01 1.727924877825198205e-03
3.060079428705905229e+03 8.940161534067611049e-01 1.767782843176887980e-03
3.063139508134612242e+03 8.995734218577724484e-01 1.730789695206767526e-03
3.066202647642748161e+03 9.057804761116453607e-01 1.648586583945929650e-03
3.069268850290391583e+03 9.119377093356563213e-01 1.546133010685725624e-03
3.072338119140682920e+03 9.180024236714097174e-01 1.380007451027320245e-03
3.075410457259824852e+03 9.234019317621857681e-01 1.322827583384362897e-03
3.078485867717085512e+03 9.286584444087579993e-01 1.238503924630159504e-03
3.081564353584803939e+03 9.335056598419352314e-01 1.180789130476179571e-03
3.084645917938389630e+03 9.374808399051627328e-01 1.291926273274531791e-03
3.087730563856328899e+03 9.405908511173032283e-01 1.402843219178517755e-03
3.090818294420186248e+03 9.431589519779198794e-01 1.348225854665742029e-03
3.093909112714607545e+03 9.454835587567290700e-01 1.187468964242913497e-03
3.097003021827323209e+03 9.476045691384229475e-01 9.665752130642687101e-04
3.100100024849151396e+03 9.495235779520890818e-01 8.351392421757960604e-04
3.103200124874001631e+03 9.517739225452591656e-01 1.038528678392388422e-03
3.106303324998876633e+03 9.537949709937120213e-01 1.138317949400279548e-03
3.109409628323876859e+03 9.554041332638995021e-01 1.135229115796125478e-03
3.112519037952201415e+03 9.570003337371468799e-01 1.091692045992823708e-03
3.115631556990154877e+03 9.585133686470723724e-01 1.044806016953827785e-03
3.118747188547145925e+03 9.596574777682046475e-01 1.257762153976441999e-03
3.121865935735694165e+03 9.608748423289423801e-01 1.515003892815256848e-03
3.124987801671431043e+03 9.631805919348748191e-01 1.572409066700476612e-03
3.128112789473103476e+03 9.651074080392957333e-01 1.804367429557519843e-03
3.131240902262577492e+03 9.677044516503909843e-01 1.923681078180611076e-03
3.134372143164840963e+03 9.708472072663306696e-01 1.911646142191295982e-03
3.137506515308006783e+03 9.750113412717051897e-01 1.803200838754123476e-03
3.140644021823316052e+03 9.804025264649089966e-01 1.707347907441145998e-03
3.143784665845140353e+03 9.865775256215633116e-01 1.569183200405391320e-03
3.146928450510986750e+03 9.934513457582528906e-01 1.489007087982043617e-03
3.150075378961498700e+03 1.002172408501796674e+00 1.614395919004230160e-03
3.153225454340461056e+03 1.011971372155411553e+00 1.745443505877812248e-03
3.156378679794802792e+03 1.022688312790415832e+00 1.857733149946030286e-03
3.159535058474598372e+03 1.033898641219924919e+00 1.959584620928176823e-03
3.162694593533074112e+03 1.045465781302794550e+00 1.970480087587989093e-03
3.165857288126608182e+03 1.056993896977502789e+00 1.830195666271028756e-03
3.169023145414736064e+03 1.067722168472148958e+00 1.530586251016071439e-03
3.172192168560151458e+03 1.077242219079606489e+00 1.289659596687987939e-03
3.175364360728712654e+03 1.085782851771517565e+00 9.382843663665110800e-04
3.178539725089442527e+03 1.092456981909952107e+00 9.291974387127090521e-04
3.181718264814533086e+03 1.097262679778388206e+00 9.940758891544120707e-04
3.184899983079348658e+03 1.100469571612735953e+00 9.465768993869820699e-04
3.188084883062429071e+03 1.101856003444000365e+00 8.367352447856479325e-04
3.191272967945492383e+03 1.101839378669678959e+00 8.151243888731661688e-04
3.194464240913438971e+03 1.100350447990469549e+00 9.240131951198854226e-04
3.197658705154353811e+03 1.097169745997614854e+00 9.812131757672014516e-04
3.200856363859509202e+03 1.092573772914603447e+00 9.326211964662668805e-04
3.204057220223369768e+03 1.086240366812403213e+00 9.482074154125412361e-04
3.207261277443593826e+03 1.078597663357281133e+00 1.116584625933751554e-03
3.210468538721038840e+03 1.069482634763709417e+00 1.356421357332954908e-03
3.213679007259760965e+03 1.059140622637982254e+00 1.565837509039788447e-03
3.216892686267021418e+03 1.048379713872500840e+00 1.735461086394798425e-03
3.220109578953289656e+03 1.037629381866427725e+00 1.736565944249001065e-03
3.223329688532243836e+03 1.027304756314134426e+00 1.663244290534897493e-03
3.226553018220777176e+03 1.017492775162478491e+00 1.540172665395543160e-03
3.229779571238999324e+03 1.008747376596187184e+00 1.462526944785222079e-03
3.233009350810239084e+03 1.001147739468437159e+00 1.430347022451668561e-03
3.236242360161050783e+03 9.944941514814262806e-01 1.384781935225397852e-03
3.239478602521212906e+03 9.894102018641066643e-01 1.518472899613795444e-03
3.242718081123734919e+03 9.854589418043546711e-01 1.631969314094946491e-03
3.245960799204859995e+03 9.827852059316395383e-01 1.775292931255608364e-03
3.249206760004065927e+03 9.807322390092798603e-01 1.771880900755857038e-03
3.252455966764071036e+03 9.804269158405386486e-01 1.685370006768945701e-03
3.255708422730835991e+03 9.806746892280769901e-01 1.342855694378175622e-03
3.258964131153567905e+03 9.812489710741892912e-01 9.701303989332276355e-04
3.262223095284722604e+03 9.818010552544916836e-01 8.873096150872842452e-04
3.265485318380008266e+03 9.824235327021143549e-01 8.939695955934899921e-04
3.268750803698389518e+03 9.825927159279533862e-01 7.774270713292962248e-04
3.272019554502088795e+03 9.827191523574401177e-01 5.910693002115764661e-04
3.275291574056592253e+03 9.831227974283500703e-01 4.702933541688768889e-04
3.278566865630649772e+03 9.840550141125523620e-01 4.608275887385849807e-04
3.281845432496281319e+03 9.853256977316332543e-01 4.732318970183105517e-04
3.285127277928778767e+03 9.866790771846469799e-01 4.730965418180421451e-04
3.288412405206708627e+03 9.880987303934888333e-01 5.408317369271211858e-04
3.291700817611916591e+03 9.903556529661503571e-01 5.894598381886815164e-04
3.294992518429529355e+03 9.929292854666262880e-01 7.034854971315443765e-04
3.298287510947960072e+03 9.954218687099618545e-01 6.910978128831857855e-04
3.301585798458909267e+03 9.976990162863131895e-01 7.285239525973861898e-04
3.304887384257369376e+03 9.999327256782269968e-01 8.636346159408100258e-04
3.308192271641627485e+03 1.002320404531541698e+00 1.083852327706888701e-03
3.311500463913270323e+03 1.005652230130080982e+00 1.121794521946026506e-03
3.314811964377184722e+03 1.008767948735747044e+00 1.146872304449302092e-03
3.318126776341563072e+03 1.012527254512612940e+00 1.089545049930319351e-03
3.321444903117905596e+03 1.017086655731379352e+00 1.065074802751369990e-03
3.324766348021024896e+03 1.022263977411853597e+00 1.242481007167346501e-03
3.328091114369046863e+03 1.027907562047362777e+00 1.462317751878855921e-03
3.331419205483417045e+03 1.033355974493791685e+00 1.427040207934115968e-03
3.334750624688901553e+03 1.038507477808460866e+00 1.341857301821741764e-03
3.338085375313591612e+03 1.043113595307883612e+00 1.330015178279843509e-03
3.341423460688906289e+03 1.046965845859842537e+00 1.287161588665192754e-03
3.344764884149596128e+03 1.049691065238802734e+00 1.199864642325079332e-03
3.348109649033746791e+03 1.051377295511273458e+00 1.187961979002072300e-03
3.351457758682781787e+03 1.051798728446765585e+00 1.444480317524226903e-03
3.354809216441465651e+03 1.051108337741302856e+00 1.772357602335144881e-03
3.358164025657908041e+03 1.050234275347790236e+00 1.833671334130317424e-03
3.361522189683567376e+03 1.049652703787709696e+00 1.697403686458007297e-03
3.364883711873251741e+03 1.049414788339020133e+00 1.502418350922452061e-03
3.368248595585126168e+03 1.049266316737051064e+00 1.275492911597535120e-03
3.371616844180712633e+03 1.049818968700939159e+00 1.337377832298131727e-03
3.374988461024894150e+03 1.050515060374697107e+00 1.377957368981574428e-03
3.378363449485920228e+03 1.052665023603107430e+00 1.441970663602104574e-03
3.381741812935407324e+03 1.054739386246415389e+00 1.290132144982053964e-03
3.385123554748343849e+03 1.056802183132563355e+00 1.133809569293093514e-03
3.388508678303093347e+03 1.058864736563771336e+00 1.185979155715049778e-03
3.391897186981397681e+03 1.060854671296589169e+00 1.229411228688061675e-03
3.395289084168380214e+03 1.063324771583389339e+00 1.204323183080760820e-03
3.398684373252549449e+03 1.065992595237420071e+00 1.195347785276854209e-03
3.402083057625803121e+03 1.068598491828069763e+00 1.176675821656162236e-03
3.405485140683430018e+03 1.070998684153529057e+00 1.129891792693202800e-03
3.408890625824114522e+03 1.073446144063005203e+00 1.028343604343288442e-03
3.412299516449939802e+03 1.076502938457721381e+00 1.022272742138140289e-03
3.415711815966390986e+03 1.079986488056067007e+00 1.001130409478457033e-03
3.419127527782358356e+03 1.083845738431216787e+00 9.182878676403384262e-04
3.422546655310141887e+03 1.087779584497980956e+00 9.387651201160417212e-04
3.425969201965453522e+03 1.092185880472920978e+00 9.607570438342660953e-04
3.429395171167419903e+03 1.096620721137564924e+00 9.996068533803033774e-04
3.432824566338588284e+03 1.101412082667865500e+00 8.605925543851038802e-04
3.436257390904928343e+03 1.106605608635374827e+00 7.688773011135404106e-04
3.439693648295834464e+03 1.112617064725745175e+00 9.040009751991215066e-04
3.443133341944131189e+03 1.118855933849237871e+00 1.047412359382151378e-03
3.446576475286076402e+03 1.125163671774353169e+00 1.197376899031590489e-03
3.450023051761363604e+03 1.132191556344053218e+00 8.807542258099579488e-04
3.453473074813126004e+03 1.137694500493131367e+00 7.085798440833069190e-04
3.456926547887940615e+03 1.141718749524658350e+00 8.877698602546397165e-04
3.460383474435829612e+03 1.144736511996788275e+00 1.068123776339994059e-03
3.463843857910266706e+03 1.147255344962165191e+00 1.102890792099599270e-03
3.467307701768178049e+03 1.149705834739849664e+00 1.086577864619202218e-03
3.470775009469947236e+03 1.151689735248877522e+00 1.059718417534133861e-03
3.474245784479418489e+03 1.152860299845776204e+00 1.009475518037719838e-03
3.477720030263898934e+03 1.154007748696510127e+00 9.066905807325530099e-04
3.481197750294164052e+03 1.155327323855674049e+00 8.968776150294163101e-04
3.484678948044459503e+03 1.157068619351070415e+00 8.906039276074235013e-04
3.488163626992504760e+03 1.159106030571315005e+00 8.518170101211024626e-04
3.491651790619498570e+03 1.161526513611254474e+00 7.936542818927273422e-04
3.495143442410119405e+03 1.163724087043273681e+00 8.141367018021559120e-04
3.498638585852530468e+03 1.165908477523440290e+00 7.962594290795936948e-04
3.502137224438384237e+03 1.167764457361753383e+00 7.715965232498469238e-04
3.505639361662823831e+03 1.169607836288072411e+00 7.249415265695904453e-04
3.509145001024487556e+03 1.171917436465494289e+00 7.242946531682141779e-04
3.512654146025513455e+03 1.174517919977132729e+00 6.845670010237361837e-04
3.516166800171540217e+03 1.177805398759600441e+00 6.856141870851753398e-04
3.519682966971712631e+03 1.181966865792284604e+00 6.470524467946020325e-04
3.523202649938685681e+03 1.186522942706782269e+00 7.448042641233676604e-04
