# starting wavelength: 1847.290
# ending wavelength: 9983.740
# wav flux eflux
1.849088296372663308e+03 4.734903577768586613e-01 4.156056536805477486e-02
1.850937384669036646e+03 4.931958151372526356e-01 3.267289055005350579e-02
1.852788322053706224e+03 5.063654989194396050e-01 2.439411041305071526e-02
1.854641110375760718e+03 5.153371316563818416e-01 1.866583870952054358e-02
1.856495751486136896e+03 5.206343426187302059e-01 1.505886240309906553e-02
1.858352247237623715e+03 5.211724326524698192e-01 1.238913011506574680e-02
1.860210599484861859e+03 5.175905582874894550e-01 1.021011696518081373e-02
1.862070810084347386e+03 5.112672762171968088e-01 8.711826656419613749e-03
1.863932880894432401e+03 5.039743961033708031e-01 7.488665982052730187e-03
1.865796813775327564e+03 4.972002085841841779e-01 6.571026628086924261e-03
1.867662610589103451e+03 4.915574582300881179e-01 5.900961903817543951e-03
1.869530273199693056e+03 4.882775359545630800e-01 5.687831217980316052e-03
1.871399803472893382e+03 4.865889087086426312e-01 5.435571475142102899e-03
1.873271203276367032e+03 4.862457541798302918e-01 5.154713208234225005e-03
1.875144474479644032e+03 4.874368311578693436e-01 4.913258445268685846e-03
1.877019618954124098e+03 4.896677556064275016e-01 4.669590359559792035e-03
1.878896638573078917e+03 4.960689910087852095e-01 5.011397956810149240e-03
1.880775535211652596e+03 5.046312273680461091e-01 5.686701212533561665e-03
1.882656310746864847e+03 5.137376961956594545e-01 6.186701668640142565e-03
1.884538967057612354e+03 5.245509281947634550e-01 6.338855573075504596e-03
1.886423506024670587e+03 5.363534821033955069e-01 5.990622632725128502e-03
1.888309929530695854e+03 5.478642605992507519e-01 6.496324413828876050e-03
1.890198239460227342e+03 5.570032405217059113e-01 6.460325282210205994e-03
1.892088437699688029e+03 5.664808989462530864e-01 6.256587214661459700e-03
1.893980526137388324e+03 5.755132092832221380e-01 5.546236840806897592e-03
1.895874506663526518e+03 5.825489503832962379e-01 4.593150376240634838e-03
1.897770381170190603e+03 5.848175519439832160e-01 4.413460779526787864e-03
1.899668151551361461e+03 5.837506302833811445e-01 4.826495684472117964e-03
1.901567819702913312e+03 5.819629784454101173e-01 4.862559216321098859e-03
1.903469387522616898e+03 5.770351315528734482e-01 5.005334635905185452e-03
1.905372856910140172e+03 5.708579285579362672e-01 5.046979030657427166e-03
1.907278229767051016e+03 5.617239705187739851e-01 5.271257785709370508e-03
1.909185507996818615e+03 5.507006047851897845e-01 5.342575105239969098e-03
1.911094693504816178e+03 5.382889610619474574e-01 5.019079202618036140e-03
1.913005788198321625e+03 5.248567262541055101e-01 4.395981672465956377e-03
1.914918793986520541e+03 5.105568313371493527e-01 4.006961220355416929e-03
1.916833712780507540e+03 4.960082825267185802e-01 3.486830892099160827e-03
1.918750546493288766e+03 4.802406230315092173e-01 3.379016215998196203e-03
1.920669297039782805e+03 4.643488307028871276e-01 3.241674686702280487e-03
1.922589966336823181e+03 4.485056324528838845e-01 3.188134430781932281e-03
1.924512556303160636e+03 4.329637786979341763e-01 3.113580883270878220e-03
1.926437068859464262e+03 4.175980585706049464e-01 3.072548647735200145e-03
1.928363505928324457e+03 4.038249007890554187e-01 2.993740944078904405e-03
1.930291869434253385e+03 3.900190835342290385e-01 2.941078941133464311e-03
1.932222161303688381e+03 3.783735966242727233e-01 2.919998535263616454e-03
1.934154383464992634e+03 3.683070194129902108e-01 2.982981346182363158e-03
1.936088537848458373e+03 3.595411260352266436e-01 2.780494546946159912e-03
1.938024626386307318e+03 3.515250556659182957e-01 2.680204907314169809e-03
1.939962651012694323e+03 3.442810902814040785e-01 2.714682610738427225e-03
1.941902613663707598e+03 3.383536141228805083e-01 2.914013084423532421e-03
1.943844516277372122e+03 3.338241775469474870e-01 3.084570468827925287e-03
1.945788360793650099e+03 3.316282117124025319e-01 2.946011135906946403e-03
1.947734149154444367e+03 3.305390162966109768e-01 2.566307151081629288e-03
1.949681883303599307e+03 3.333758442264361799e-01 2.570120881382918863e-03
1.951631565186903572e+03 3.381811407801840197e-01 2.587144146707457803e-03
1.953583196752091226e+03 3.461120752853270033e-01 3.138755761457696393e-03
1.955536779948844014e+03 3.548392813929618361e-01 3.233226017315481583e-03
