# starting wavelength: 2582.010
# ending wavelength: 5535.730
# wav flux eflux
2.584482556688695240e+03 3.716324958432041248e-01 4.865862648507972982e-02
2.587067039245384876e+03 3.190519559129451066e-01 3.542945256216977618e-02
2.589654106284630871e+03 2.890932666640708137e-01 2.621076587287131388e-02
2.592243760390916577e+03 2.763883697006630502e-01 1.997293056500053579e-02
2.594836004151308316e+03 2.766135056844034046e-01 1.577208587669466644e-02
2.597430840155460373e+03 2.850656130208045758e-01 1.260532560721654496e-02
2.600028270995616822e+03 2.989067098767462238e-01 1.016386984445522175e-02
2.602628299266613340e+03 3.166280304395940881e-01 8.539489187026993652e-03
2.605230927565880847e+03 3.356350535001814128e-01 7.048324095340091633e-03
2.607836158493447329e+03 3.555005535045772658e-01 5.983097799998597470e-03
2.610443994651941921e+03 3.730652448569760637e-01 6.075131122056067617e-03
2.613054438646594463e+03 3.877498396472455200e-01 6.052235783058573272e-03
2.615667493085241858e+03 4.015998291265186482e-01 5.456587906338699126e-03
2.618283160578328079e+03 4.094244522803162645e-01 5.975675770951534987e-03
2.620901443738907346e+03 4.106167898383222270e-01 7.996038955560686584e-03
2.623522345182646859e+03 4.083223118562081533e-01 9.521445542670198617e-03
2.626145867527830433e+03 4.064997769321561649e-01 9.811164925724681629e-03
2.628772013395359409e+03 4.040244541849529747e-01 1.000454755102450285e-02
2.631400785408755382e+03 4.006389058764163180e-01 9.829298432566673654e-03
2.634032186194165206e+03 3.990275095257720395e-01 8.957312425354845356e-03
2.636666218380360078e+03 3.970768949433513550e-01 8.150406546858883494e-03
2.639302884598741457e+03 3.945279235109480642e-01 6.960119553639339957e-03
2.641942187483341058e+03 3.944174566655178626e-01 6.380571532688736683e-03
2.644584129670825405e+03 3.954738188601344961e-01 6.096333327617245619e-03
2.647228713800496735e+03 3.987409045837660981e-01 6.312439281483660583e-03
2.649875942514298458e+03 4.028952407394468249e-01 6.409645215233284593e-03
2.652525818456813340e+03 4.074268944526229230e-01 6.275350265690922240e-03
2.655178344275271229e+03 4.147873186730768880e-01 5.985067176458451314e-03
2.657833522619547239e+03 4.246535367372096248e-01 5.790130902846483442e-03
2.660491356142167660e+03 4.351318443532361524e-01 5.675851749749653841e-03
2.663151847498310872e+03 4.459060229804139852e-01 5.537490577784436561e-03
2.665814999345810065e+03 4.574722122656746381e-01 5.484361010820044610e-03
2.668480814345156887e+03 4.699456409206284047e-01 5.389614458678130236e-03
2.671149295159502799e+03 4.830125204736530065e-01 5.033172362584846515e-03
2.673820444454663175e+03 4.945066093467981316e-01 4.869610457442540355e-03
2.676494264899118662e+03 5.059697180214034473e-01 4.811421076471085294e-03
2.679170759164018818e+03 5.163109264843388502e-01 4.742787671886607159e-03
2.681849929923183481e+03 5.261858099409730816e-01 4.692540915928950125e-03
2.684531779853107764e+03 5.351734220388126850e-01 4.672442170303188827e-03
2.687216311632961606e+03 5.417798446047079608e-01 4.523063656627459780e-03
2.689903527944595680e+03 5.477112596504535302e-01 4.425703826097320340e-03
2.692593431472540942e+03 5.532517436802224520e-01 4.378817438194652564e-03
2.695286024904014539e+03 5.582547415854350881e-01 4.512900079483870251e-03
2.697981310928919356e+03 5.635413536883756569e-01 4.363541136529884915e-03
2.700679292239849019e+03 5.660871919789312035e-01 4.999884450269546921e-03
2.703379971532089712e+03 5.694264629356476926e-01 5.965560458970083253e-03
2.706083351503622907e+03 5.744153762450867617e-01 6.153136916926441914e-03
2.708789434855127183e+03 5.796301526519898051e-01 5.536645809239496355e-03
2.711498224289983227e+03 5.865569816006559467e-01 5.070555014854028625e-03
2.714209722514274290e+03 5.953448877415276064e-01 4.960403813244553678e-03
2.716923932236789369e+03 6.043619961528073903e-01 4.673699273500943156e-03
2.719640856169027302e+03 6.156044721717561785e-01 4.719972310510018969e-03
2.722360497025197219e+03 6.294940775743637085e-01 5.020129069326661510e-03
2.725082857522223094e+03 6.439934203142370084e-01 5.230322339748591162e-03
2.727807940379746015e+03 6.587582682940241741e-01 5.181282821010623797e-03
2.730535748320126913e+03 6.754792542194812954e-01 5.048841553991064920e-03
2.733266284068447931e+03 6.927844489028459618e-01 4.823851157703884333e-03
2.735999550352517417e+03 7.084706315010711464e-01 4.802487338159038346e-03
2.738735549902870844e+03 7.229748259109211039e-01 4.443435634413265764e-03
2.741474285452774438e+03 7.353413854665143967e-01 4.047927424121191935e-03
2.744215759738227916e+03 7.451130939514760687e-01 4.138065687477773293e-03
2.746959975497967207e+03 7.518420365622975332e-01 4.784617700643748438e-03
2.749706935473466274e+03 7.583663623938171616e-01 4.908303118501821348e-03
2.752456642408940297e+03 7.629400516939996990e-01 4.739767312303942021e-03
2.755209099051350222e+03 7.659444137429398669e-01 4.176226158770301490e-03
2.757964308150402758e+03 7.689471744766069872e-01 3.782128924620076736e-03
2.760722272458554016e+03 7.717795986140866260e-01 3.620594487615173482e-03
2.763482994731013605e+03 7.752169859239105287e-01 3.635155529284999666e-03
2.766246477725745535e+03 7.788234600654633244e-01 3.755989916806211620e-03
2.769012724203471862e+03 7.834453454591271404e-01 3.685333702738817930e-03
2.771781736927676320e+03 7.894889605079017381e-01 3.595346865216249906e-03
2.774553518664604780e+03 7.963347821267405813e-01 3.673496275352350349e-03
2.777328072183270706e+03 8.028381170612206574e-01 3.209589136381369411e-03
2.780105400255454697e+03 8.098557338541527706e-01 2.941305847628778326e-03
2.782885505655710858e+03 8.214372272940393405e-01 2.972945505661339898e-03
2.785668391161367708e+03 8.347546120473048337e-01 3.083221639351133372e-03
2.788454059552529998e+03 8.496627245969093911e-01 3.102461518666780899e-03
2.791242513612083258e+03 8.656597049859570125e-01 3.200794412153771043e-03
2.794033756125696527e+03 8.813732349244778330e-01 3.269758470681491825e-03
2.796827789881823264e+03 8.991129887878157589e-01 3.512833226301627972e-03
2.799624617671705892e+03 9.173126861164242474e-01 4.082528774861080012e-03
2.802424242289378526e+03 9.348301367642437576e-01 4.217104936243966200e-03
2.805226666531668798e+03 9.510774047342283044e-01 3.654672413000140466e-03
2.808031893198201487e+03 9.642384269032442390e-01 3.148937322252663880e-03
2.810839925091400346e+03 9.742538875867194914e-01 2.709204742233657561e-03
2.813650765016492642e+03 9.805066273956856149e-01 2.786519741711565318e-03
2.816464415781510070e+03 9.833048550430009138e-01 2.899259558778705982e-03
2.819280880197292845e+03 9.810476184416161427e-01 2.310064158991397432e-03
2.822100161077491066e+03 9.766693054622285208e-01 2.232080933740740111e-03
2.824922261238569263e+03 9.704782080427132307e-01 2.326343984620069753e-03
2.827747183499808671e+03 9.616561928890119404e-01 2.678349432249485344e-03
2.830574930683309503e+03 9.523076700855527266e-01 3.135285069845695875e-03
2.833405505613993682e+03 9.429053752371476804e-01 3.194819152281771178e-03
2.836238911119608929e+03 9.351353143813345703e-01 2.840124087208982084e-03
2.839075150030729219e+03 9.320028595694158646e-01 3.811310155077918867e-03
2.841914225180761150e+03 9.304343008945368254e-01 4.363327692460922981e-03
2.844756139405942577e+03 9.285184896543730027e-01 4.531991244995991347e-03
2.847600895545349431e+03 9.286401114764867293e-01 4.951264126313499082e-03
2.850448496440895724e+03 9.303807315703014336e-01 4.499496901381684101e-03
2.853298944937337637e+03 9.331323184919272373e-01 4.801185149490120284e-03
2.856152243882275798e+03 9.349631969751579508e-01 5.528742063648307663e-03
2.859008396126159369e+03 9.418271023907789363e-01 5.653314484824392000e-03
2.861867404522286051e+03 9.521662430490356321e-01 5.953761789047065656e-03
2.864729271926809361e+03 9.664351909630632953e-01 5.970030664644571453e-03
2.867594001198737260e+03 9.853101703187844285e-01 5.656835869569830887e-03
2.870461595199936710e+03 1.010797828744230964e+00 5.472873502361553892e-03
2.873332056795137760e+03 1.041637260907921858e+00 6.249640884505200736e-03
2.876205388851934003e+03 1.074558827221709034e+00 6.644349545889416918e-03
2.879081594240786671e+03 1.113518286422922943e+00 6.654923525588181572e-03
2.881960675835028724e+03 1.154471188936260440e+00 5.463980406917858142e-03
2.884842636510864395e+03 1.192330571357196112e+00 4.106584999711443765e-03
2.887727479147376471e+03 1.224198169469100206e+00 3.853882564066986576e-03
2.890615206626524468e+03 1.249090028068750691e+00 4.502784508393614660e-03
2.893505821833151913e+03 1.267618036156276995e+00 3.975610365930569781e-03
2.896399327654986337e+03 1.281316136111046999e+00 3.707992766731412534e-03
2.899295726982642009e+03 1.291497296555724095e+00 4.930526569416154165e-03
2.902195022709625846e+03 1.292614897379587457e+00 5.085899411687415557e-03
2.905097217732336503e+03 1.286517213000582416e+00 4.661562819532293761e-03
2.908002314950069831e+03 1.271733655058336909e+00 4.646470970602339587e-03
2.910910317265020694e+03 1.249137489624909447e+00 6.433534210114917953e-03
2.913821227582286610e+03 1.222350201279809978e+00 8.127898497033754152e-03
2.916735048809870023e+03 1.196706746629780715e+00 9.250135710722447516e-03
2.919651783858680574e+03 1.173095418164926906e+00 8.540691935101296303e-03
2.922571435642540564e+03 1.155254371306978278e+00 7.627636242792507591e-03
2.925494007078184040e+03 1.142491958745363689e+00 8.294411983418814929e-03
2.928419501085263164e+03 1.134632372048552940e+00 9.042455701106111993e-03
2.931347920586349119e+03 1.130184022185377390e+00 8.990395824746283404e-03
2.934279268506936660e+03 1.126880107433687606e+00 8.417670600990617008e-03
2.937213547775444567e+03 1.123085487281860528e+00 7.005189532566657648e-03
2.940150761323221104e+03 1.117105875653518599e+00 6.611995438726439578e-03
2.943090912084544925e+03 1.108053202603315412e+00 6.606881285181238211e-03
2.946034002996630534e+03 1.093603886703574890e+00 6.264248798938733785e-03
2.948980036999628283e+03 1.075693886019470469e+00 5.606131762247769552e-03
2.951929017036628920e+03 1.055613724332951087e+00 5.773295963261889860e-03
2.954880946053666321e+03 1.032943864005843482e+00 6.333531528306370756e-03
2.957835826999721121e+03 1.005356207252229739e+00 6.273447383583698363e-03
2.960793662826721629e+03 9.751025154884662705e-01 5.505880613645016200e-03
2.963754456489549284e+03 9.413420322110107596e-01 4.802213989841722964e-03
2.966718210946040017e+03 9.018402789051092050e-01 6.610532923887837455e-03
2.969684929156986982e+03 8.616080909318690750e-01 7.266950086131771305e-03
2.972654614086145102e+03 8.219093082968708108e-01 6.494693019781655648e-03
2.975627268700231980e+03 7.893765680304255516e-01 4.504092091916836460e-03
2.978602895968933353e+03 7.653750007870896432e-01 4.963778670673278486e-03
2.981581498864903097e+03 7.478048808063949560e-01 5.548425166548127778e-03
2.984563080363769132e+03 7.353207238796966028e-01 5.624232962615786403e-03
2.987547643444133882e+03 7.303515002037322956e-01 5.853419597358930013e-03
2.990535191087578823e+03 7.279937371005034130e-01 4.614024141973331085e-03
2.993525726278667662e+03 7.235478437725150203e-01 4.755293631574676085e-03
2.996519252004947248e+03 7.204868629131129243e-01 5.269601383433160716e-03
2.999515771256953030e+03 7.203941188425900810e-01 5.264514714506428501e-03
3.002515287028211333e+03 7.192166896846102775e-01 4.991987519795658586e-03
3.005517802315240260e+03 7.199996192107416260e-01 4.517598755613197285e-03
3.008523320117556523e+03 7.229108073329115758e-01 4.589193202152182238e-03
3.011531843437674979e+03 7.274007324708420263e-01 4.770338675887275670e-03
3.014543375281113640e+03 7.328245057605208279e-01 4.775217087343144005e-03
3.017557918656395941e+03 7.398046556512207772e-01 4.354454842968975663e-03
3.020575476575053472e+03 7.472940637041033396e-01 4.118792469132449494e-03
3.023596052051629158e+03 7.538951200735373170e-01 4.499965944804979780e-03
3.026619648103681811e+03 7.617036588143231146e-01 4.505624091292148060e-03
3.029646267751786581e+03 7.684944360457383050e-01 3.979989686658955139e-03
3.032675914019539505e+03 7.793732903504475562e-01 4.095198385668387397e-03
3.035708589933559779e+03 7.912467090701859052e-01 4.103874505071610813e-03
3.038744298523494763e+03 8.039968949359387329e-01 4.041390391710183126e-03
3.041783042822019070e+03 8.190776328613146307e-01 4.339223425966678288e-03
3.044824825864842296e+03 8.380524964786585373e-01 3.111146968874176598e-03
3.047869650690708113e+03 8.562609986760102432e-01 2.787573672711271457e-03
3.050917520341399722e+03 8.720239617455942671e-01 3.635372508076968948e-03
3.053968437861742132e+03 8.900311464214735180e-01 3.677395324869818516e-03
3.057022406299604881e+03 9.107920946507260807e-01 3.611624272881580524e-03
3.060079428705905229e+03 9.313710957534043766e-01 3.166924999302280896e-03
3.063139508134612242e+03 9.537184811458643274e-01 3.504664486821248894e-03
3.066202647642748161e+03 9.766551394686552312e-01 3.793805051145198240e-03
3.069268850290391583e+03 9.989968075197847019e-01 4.130975412941535405e-03
3.072338119140682920e+03 1.018889113788302270e+00 4.026593807621115136e-03
3.075410457259824852e+03 1.033541272579225012e+00 3.375247835904792489e-03
3.078485867717085512e+03 1.042366603023312077e+00 3.029903930900395854e-03
3.081564353584803939e+03 1.044199784074164139e+00 4.132806590791251143e-03
3.084645917938389630e+03 1.042745112908304739e+00 4.628473774970411764e-03
3.087730563856328899e+03 1.036781538751111453e+00 4.221585483952620954e-03
3.090818294420186248e+03 1.030779586007303461e+00 3.938515469209452613e-03
3.093909112714607545e+03 1.022255217707517705e+00 2.854983166954424417e-03
3.097003021827323209e+03 1.015879164884819552e+00 2.599122624029171803e-03
3.100100024849151396e+03 1.012870071801644123e+00 2.674931965584665360e-03
3.103200124874001631e+03 1.010835294153526798e+00 2.451629224277496622e-03
3.106303324998876633e+03 1.010289496825865774e+00 2.415685394187507603e-03
3.109409628323876859e+03 1.010769314060746993e+00 2.416774680797449237e-03
3.112519037952201415e+03 1.013061435790389986e+00 2.542390669925806944e-03
3.115631556990154877e+03 1.017767510182332247e+00 2.621827775747947835e-03
3.118747188547145925e+03 1.024228403868374215e+00 2.612157105515580582e-03
3.121865935735694165e+03 1.031711409506901989e+00 2.339152129922744596e-03
3.124987801671431043e+03 1.041309854663320378e+00 2.836911830354036518e-03
3.128112789473103476e+03 1.053141840407940677e+00 4.010399062305699223e-03
3.131240902262577492e+03 1.063884284674220915e+00 3.498835530639757448e-03
3.134372143164840963e+03 1.072899590519137192e+00 3.103043877852536096e-03
3.137506515308006783e+03 1.079388860409686401e+00 3.804625536282572450e-03
3.140644021823316052e+03 1.083442805350548932e+00 4.215777571028216444e-03
3.143784665845140353e+03 1.088481429371716214e+00 4.140480118833136242e-03
3.146928450510986750e+03 1.092344448626867859e+00 4.262504124310119782e-03
3.150075378961498700e+03 1.094937137083590084e+00 4.544664057670323720e-03
3.153225454340461056e+03 1.094258085330173547e+00 4.758469692544569848e-03
3.156378679794802792e+03 1.091067609576747310e+00 4.704499101225095153e-03
3.159535058474598372e+03 1.086091914273594305e+00 4.599458542295922422e-03
3.162694593533074112e+03 1.078346153672838703e+00 4.766283443622664276e-03
3.165857288126608182e+03 1.070887188815450530e+00 4.679916128796082417e-03
3.169023145414736064e+03 1.062096948225204507e+00 4.697804556210609557e-03
3.172192168560151458e+03 1.050809042717071318e+00 4.836499833096893734e-03
3.175364360728712654e+03 1.038852315902691226e+00 4.923663587511612275e-03
3.178539725089442527e+03 1.029138194186740130e+00 4.063904575276226089e-03
3.181718264814533086e+03 1.023458920859245280e+00 4.122827853653621664e-03
3.184899983079348658e+03 1.021743007979732054e+00 4.653990205546832369e-03
3.188084883062429071e+03 1.023268165967133214e+00 4.121963808170451757e-03
3.191272967945492383e+03 1.023941136389773021e+00 3.509750488093209796e-03
3.194464240913438971e+03 1.024188695853402775e+00 2.847136002831180714e-03
3.197658705154353811e+03 1.021310657691234303e+00 2.879560588189026757e-03
3.200856363859509202e+03 1.016539628944564067e+00 2.835262255316697757e-03
3.204057220223369768e+03 1.011688721317898221e+00 2.844863035341174858e-03
3.207261277443593826e+03 1.005500021590578941e+00 2.981157830555628083e-03
3.210468538721038840e+03 9.995090264212973530e-01 2.973362403799758181e-03
3.213679007259760965e+03 9.937406166398626839e-01 2.959412405090163910e-03
3.216892686267021418e+03 9.870806578748948512e-01 2.872983290137623089e-03
3.220109578953289656e+03 9.833274444182875662e-01 2.615043460753086781e-03
3.223329688532243836e+03 9.822521990552602889e-01 2.626059902418432113e-03
3.226553018220777176e+03 9.845166043413270396e-01 2.496452482639736469e-03
3.229779571238999324e+03 9.888380718543481329e-01 2.098560279360715732e-03
3.233009350810239084e+03 9.937218836271390909e-01 2.269913512127168503e-03
3.236242360161050783e+03 9.998641443131897066e-01 1.852521679466230010e-03
3.239478602521212906e+03 1.008740793325493268e+00 2.054613334221805886e-03
3.242718081123734919e+03 1.019648782580201418e+00 1.748305527273810245e-03
3.245960799204859995e+03 1.030189808434379684e+00 1.787228439673600993e-03
3.249206760004065927e+03 1.041775808915916812e+00 1.798513260195654800e-03
3.252455966764071036e+03 1.052646063962891398e+00 1.978037270191140926e-03
3.255708422730835991e+03 1.063018650366704509e+00 2.415638712910925506e-03
3.258964131153567905e+03 1.071259109108039231e+00 2.626361912988296309e-03
3.262223095284722604e+03 1.075532003489886534e+00 2.759657423028357131e-03
3.265485318380008266e+03 1.077780765359254156e+00 2.920419710855686867e-03
3.268750803698389518e+03 1.077670483401266477e+00 3.027644675136594542e-03
3.272019554502088795e+03 1.076308355114225179e+00 3.110732977458154948e-03
3.275291574056592253e+03 1.072669692932541219e+00 3.261961832799022305e-03
3.278566865630649772e+03 1.067934349945505623e+00 2.554413557056595466e-03
3.281845432496281319e+03 1.063801204786257726e+00 2.412158046057366438e-03
3.285127277928778767e+03 1.061174216805151227e+00 2.504172302095915379e-03
3.288412405206708627e+03 1.058646656886979009e+00 2.636318429975947984e-03
3.291700817611916591e+03 1.055971860724417732e+00 2.862420729645679448e-03
3.294992518429529355e+03 1.052510964417353367e+00 2.901672242699231911e-03
3.298287510947960072e+03 1.048897401660087603e+00 2.449853810866731499e-03
3.301585798458909267e+03 1.043898368795341591e+00 2.364061026079987329e-03
