# starting wavelength: 2679.290
# ending wavelength: 4628.840
# wav flux eflux
2.681849929923183481e+03 1.065613902545418545e+00 7.048584668798414665e-02
2.684531779853107764e+03 1.109000339681945668e+00 5.337273210378710997e-02
2.687216311632961606e+03 1.138047925960233187e+00 3.895108152293205728e-02
2.689903527944595680e+03 1.157908574212416664e+00 2.906018410178022593e-02
2.692593431472540942e+03 1.168819741868055928e+00 2.238676410144330858e-02
2.695286024904014539e+03 1.175776701912210065e+00 1.737101974055691930e-02
2.697981310928919356e+03 1.177354839722439594e+00 1.407828288140099138e-02
2.700679292239849019e+03 1.178261629731322202e+00 1.157481001324204596e-02
2.703379971532089712e+03 1.176042110568741528e+00 9.768630353214215190e-03
2.706083351503622907e+03 1.171558396493229459e+00 8.577514586406057018e-03
2.708789434855127183e+03 1.166688653458795688e+00 7.439469570736012040e-03
2.711498224289983227e+03 1.164596250336493943e+00 7.040973653534998537e-03
2.714209722514274290e+03 1.165628792241265810e+00 6.984024125958009782e-03
2.716923932236789369e+03 1.166448777934188330e+00 6.518206842939082597e-03
2.719640856169027302e+03 1.172086451353877345e+00 6.478793953068831372e-03
2.722360497025197219e+03 1.180977168784567599e+00 6.756119703943041545e-03
2.725082857522223094e+03 1.190482213770777120e+00 6.672851030779932031e-03
2.727807940379746015e+03 1.203239591422228694e+00 6.307199336644378485e-03
2.730535748320126913e+03 1.216880258687953686e+00 5.914742375826817326e-03
2.733266284068447931e+03 1.231090632046449418e+00 5.685661953612005173e-03
2.735999550352517417e+03 1.247240006358466990e+00 5.764804948547880108e-03
2.738735549902870844e+03 1.263802649608755324e+00 5.803704960568993945e-03
2.741474285452774438e+03 1.282183543014886240e+00 5.924862240009857832e-03
2.744215759738227916e+03 1.301498491352181208e+00 6.042824568432769196e-03
2.746959975497967207e+03 1.322621344560690027e+00 6.058182690586658668e-03
2.749706935473466274e+03 1.347047843887471563e+00 6.162210816950306445e-03
2.752456642408940297e+03 1.374303185844935271e+00 6.270066496364907864e-03
2.755209099051350222e+03 1.405457842272559432e+00 6.460333781508446893e-03
2.757964308150402758e+03 1.436553341815356211e+00 6.306676078471893689e-03
2.760722272458554016e+03 1.469073155345706372e+00 5.694728239445807395e-03
2.763482994731013605e+03 1.503590959649507841e+00 5.554697813075844433e-03
2.766246477725745535e+03 1.540919521465059283e+00 5.743270419708217805e-03
2.769012724203471862e+03 1.579801772183674791e+00 6.127504304447604910e-03
2.771781736927676320e+03 1.620392288130406699e+00 6.938251015956998190e-03
2.774553518664604780e+03 1.658426223833684654e+00 6.924402092666937132e-03
2.777328072183270706e+03 1.699088430055079479e+00 7.206769194781364671e-03
2.780105400255454697e+03 1.737862069169594292e+00 6.258038546884650902e-03
2.782885505655710858e+03 1.772028459030908776e+00 4.813148811063287444e-03
2.785668391161367708e+03 1.801864416544721959e+00 3.864164712964231283e-03
2.788454059552529998e+03 1.826168135128795500e+00 3.894926732220384963e-03
2.791242513612083258e+03 1.844876355708241489e+00 3.905914972070777952e-03
2.794033756125696527e+03 1.857356190137862129e+00 3.708714786059838422e-03
2.796827789881823264e+03 1.864059243006504829e+00 3.521393139035076687e-03
2.799624617671705892e+03 1.866289906929553766e+00 3.621263248138615123e-03
2.802424242289378526e+03 1.862390253105067783e+00 3.432496451227588438e-03
2.805226666531668798e+03 1.854081635272459838e+00 3.417932059492746494e-03
2.808031893198201487e+03 1.839981886453706528e+00 3.512260235470419326e-03
2.810839925091400346e+03 1.823736861428112643e+00 3.529937787181853907e-03
2.813650765016492642e+03 1.804592937672579778e+00 3.685476297170840049e-03
2.816464415781510070e+03 1.781891750997095736e+00 3.800186498410273225e-03
2.819280880197292845e+03 1.757515250238620208e+00 3.932415592779179778e-03
2.822100161077491066e+03 1.731609540295707905e+00 4.210885911538514957e-03
2.824922261238569263e+03 1.704839967916784715e+00 4.263686795255969622e-03
2.827747183499808671e+03 1.678001578067662480e+00 4.076922324484397002e-03
2.830574930683309503e+03 1.651647692098798359e+00 3.619934538379870198e-03
2.833405505613993682e+03 1.626844358029158943e+00 3.589886058565555215e-03
2.836238911119608929e+03 1.604442335659046259e+00 3.588461895786115678e-03
2.839075150030729219e+03 1.585198335043118911e+00 4.244977650916821783e-03
2.841914225180761150e+03 1.568368680062097287e+00 4.536446354312904938e-03
2.844756139405942577e+03 1.553321921031995068e+00 3.398018514243189743e-03
2.847600895545349431e+03 1.539543635823850565e+00 2.120754099925076762e-03
2.850448496440895724e+03 1.523815007567512758e+00 2.248727160779851082e-03
2.853298944937337637e+03 1.508916966607098731e+00 2.363445591548430508e-03
2.856152243882275798e+03 1.492697006779862390e+00 2.806766312090265992e-03
2.859008396126159369e+03 1.477296039330129984e+00 2.925553516167196232e-03
2.861867404522286051e+03 1.463643774093914329e+00 2.732883280227667647e-03
2.864729271926809361e+03 1.454185790679980883e+00 2.742871813773418901e-03
2.867594001198737260e+03 1.446574901451512574e+00 3.122193113481117836e-03
2.870461595199936710e+03 1.440618609182054533e+00 3.835537997479948440e-03
2.873332056795137760e+03 1.432679252960352034e+00 4.074173555503673820e-03
2.876205388851934003e+03 1.427954358531442924e+00 4.321357846828265993e-03
2.879081594240786671e+03 1.421116893662283998e+00 3.856302042334968684e-03
2.881960675835028724e+03 1.412546271083365168e+00 2.974248580043914025e-03
2.884842636510864395e+03 1.400592060660927451e+00 2.983288376576680168e-03
2.887727479147376471e+03 1.385689483780463416e+00 3.949981427433502633e-03
2.890615206626524468e+03 1.370325856982601120e+00 3.839347284874583023e-03
2.893505821833151913e+03 1.353589742208402003e+00 3.423328300368930904e-03
2.896399327654986337e+03 1.338343861983268601e+00 2.913377199511540949e-03
2.899295726982642009e+03 1.325464898802482860e+00 2.797718929494099130e-03
2.902195022709625846e+03 1.315286377880068747e+00 3.323745320408250624e-03
2.905097217732336503e+03 1.310973563245541262e+00 2.919329890785752040e-03
2.908002314950069831e+03 1.315113732965231819e+00 3.629389343199305572e-03
2.910910317265020694e+03 1.324663915893644184e+00 4.925571331971201512e-03
2.913821227582286610e+03 1.334294016033594321e+00 4.740656306662540190e-03
2.916735048809870023e+03 1.345953901903238270e+00 4.818276751091132674e-03
2.919651783858680574e+03 1.359197252543119072e+00 5.193267284645253223e-03
2.922571435642540564e+03 1.377699667269323580e+00 5.277202822510036577e-03
2.925494007078184040e+03 1.397402550916549746e+00 5.314442524258058791e-03
2.928419501085263164e+03 1.419740460976678609e+00 5.290328466241589998e-03
