# starting wavelength: 1691.750
# ending wavelength: 4105.630
# wav flux eflux
1.693397177628077088e+03 2.799641078061215760e-01 4.049050274796494459e-02
1.695090574805705728e+03 2.911434740090667050e-01 3.371306519877281110e-02
1.696785665380512000e+03 2.961411587973228343e-01 2.699282570591726715e-02
1.698482451045892958e+03 2.978284037062913225e-01 2.494500581750986809e-02
1.700180933496939588e+03 3.030669964557017870e-01 2.090049346392872098e-02
1.701881114430437037e+03 3.112743260014764202e-01 1.874906421086041178e-02
1.703582995544868027e+03 3.238987348032825175e-01 1.657171694516699351e-02
1.705286578540413529e+03 3.398293635547875446e-01 1.435075859783296014e-02
1.706991865118954365e+03 3.565425317662302973e-01 1.221294722249745279e-02
1.708698856984073927e+03 3.725378895505417898e-01 1.062771401777176487e-02
1.710407555841058638e+03 3.863492655809322995e-01 9.631763948604625189e-03
1.712117963396900223e+03 4.001103351399544761e-01 8.691117913590269348e-03
1.713830081360297754e+03 4.101421709091771506e-01 8.266102641532487721e-03
1.715543911441658565e+03 4.197709894518565354e-01 7.770181805335812063e-03
1.717259455353100748e+03 4.273789813044169827e-01 7.388187457845324206e-03
1.718976714808454517e+03 4.338069843676697346e-01 7.072016972796353433e-03
1.720695691523263349e+03 4.378479894386304583e-01 6.820250689917021006e-03
1.722416387214787392e+03 4.393826307583984514e-01 6.630319753847994414e-03
1.724138803602002554e+03 4.402908725695882652e-01 6.326112912658452339e-03
1.725862942405605281e+03 4.380454906535713455e-01 5.989867089877328951e-03
1.727588805348011419e+03 4.309621010444667499e-01 5.908370463547037155e-03
1.729316394153360079e+03 4.181973950128006767e-01 6.121898066439881124e-03
1.731045710547513863e+03 4.013006025209542305e-01 5.787631964681198317e-03
1.732776756258062051e+03 3.826745521033891873e-01 5.295931567347199852e-03
1.734509533014320596e+03 3.617571340760863396e-01 5.184407961399531417e-03
1.736244042547335539e+03 3.392325953260315607e-01 4.991420456773610140e-03
1.737980286589883463e+03 3.161015980109506129e-01 4.907694553398247138e-03
1.739718266876473990e+03 2.924788255684454552e-01 4.911836274872028937e-03
1.741457985143350925e+03 2.676810624584893272e-01 5.076457388957124686e-03
1.743199443128494750e+03 2.437753608788467974e-01 5.104315405187576093e-03
1.744942642571623992e+03 2.192953043696586612e-01 5.550719252713658125e-03
1.746687585214196133e+03 1.944518392090900105e-01 5.778239389163814139e-03
1.748434272799410792e+03 1.712342662224282941e-01 6.469285048138484484e-03
1.750182707072210860e+03 1.484614595422143468e-01 6.782726970347722519e-03
1.751932889779283641e+03 1.293892280249846483e-01 6.619004373286996312e-03
1.753684822669063578e+03 1.135216812055846874e-01 6.117249452650389344e-03
1.755438507491733162e+03 1.009496261114322252e-01 5.498265536754153721e-03
1.757193945999225434e+03 9.245869911561109544e-02 5.519338707021115634e-03
1.758951139945225350e+03 8.764254946962614368e-02 5.996096046540808772e-03
1.760710091085171143e+03 8.467324360237173109e-02 6.183771406299818675e-03
1.762470801176256828e+03 8.781367788099089799e-02 7.035010147728266647e-03
