# starting wavelength: 1643.410
# ending wavelength: 3321.630
# wav flux eflux
1.645017735923726377e+03 1.250352130275419693e+00 3.583660813495542774e-02
1.646662753659650662e+03 1.218028598009904373e+00 2.611677220639100142e-02
1.648309416413310828e+03 1.190975073764247494e+00 2.142215947574151527e-02
1.649957725829724723e+03 1.165591159465302784e+00 1.806270958108121757e-02
1.651607683555555013e+03 1.136683847121727764e+00 1.394038090658236868e-02
1.653259291239111008e+03 1.109323615056923895e+00 1.124501148420121652e-02
1.654912550530350700e+03 1.080271391096675693e+00 1.026090491311079309e-02
1.656567463080881680e+03 1.054915227846032089e+00 9.429097596615804502e-03
1.658224030543962954e+03 1.033025684484561557e+00 7.853850829972371106e-03
1.659882254574507670e+03 1.013937983405567067e+00 6.987429174556239984e-03
1.661542136829082665e+03 9.955029933778666296e-01 6.215825507725712511e-03
1.663203678965912331e+03 9.788911230141600361e-01 5.560809491158702142e-03
1.664866882644878615e+03 9.639633223631348669e-01 5.053727572742699667e-03
1.666531749527524198e+03 9.534450192027802418e-01 4.995222860583602327e-03
1.668198281277052274e+03 9.438707552446649052e-01 4.759946230832061941e-03
1.669866479558329729e+03 9.338100328663343497e-01 4.486642714754953895e-03
1.671536346037888734e+03 9.259138046636917752e-01 4.256917303998145052e-03
1.673207882383927199e+03 9.205641710192683513e-01 4.302349855712523860e-03
1.674881090266311730e+03 9.141396388124967132e-01 4.368355844204339228e-03
1.676555971356578539e+03 9.092060339678277314e-01 4.312656909077836227e-03
1.678232527327935713e+03 9.063830300878578106e-01 4.453408890854490716e-03
1.679910759855264132e+03 9.018082797789200855e-01 4.157955286516583533e-03
1.681590670615119961e+03 8.970783829869186654e-01 3.909710471131675608e-03
1.683272261285735567e+03 8.939628632245920636e-01 4.291524803397999722e-03
1.684955533547022014e+03 8.892541460982219537e-01 4.394132600624876470e-03
1.686640489080569523e+03 8.828230698287433675e-01 4.081347096272293015e-03
1.688327129569650651e+03 8.735732924242370911e-01 3.751557933452795077e-03
1.690015456699220749e+03 8.611949599788528698e-01 4.185933368365897869e-03
1.691705472155920688e+03 8.500392022204932285e-01 4.246787039619693074e-03
1.693397177628077088e+03 8.334096472651219001e-01 5.356607110228159274e-03
1.695090574805705728e+03 8.166678475143931415e-01 6.170597591486807337e-03
1.696785665380512000e+03 8.014397575955671815e-01 6.221342050359544157e-03
1.698482451045892958e+03 7.877285657855811474e-01 6.067102783526043090e-03
1.700180933496939588e+03 7.748864434591065109e-01 5.915807613821968437e-03
1.701881114430437037e+03 7.663460627452711726e-01 5.734155232072552476e-03
1.703582995544868027e+03 7.599900597883965103e-01 5.558310305893179176e-03
1.705286578540413529e+03 7.545208383449631961e-01 5.377366427081762060e-03
1.706991865118954365e+03 7.516855596771780945e-01 5.329621393746651267e-03
1.708698856984073927e+03 7.485823821221634367e-01 5.368051293530612562e-03
1.710407555841058638e+03 7.499499961496564060e-01 5.559317462586259480e-03
1.712117963396900223e+03 7.523206667139377135e-01 5.545854578395543501e-03
1.713830081360297754e+03 7.580746621930068985e-01 4.919823355701588227e-03
1.715543911441658565e+03 7.645681813927284187e-01 4.684206235095089883e-03
1.717259455353100748e+03 7.709824815837025280e-01 4.534208416913550199e-03
1.718976714808454517e+03 7.785554034642361287e-01 4.261907845156200775e-03
1.720695691523263349e+03 7.868661508577216024e-01 3.998579345842913704e-03
1.722416387214787392e+03 7.960908572538526462e-01 3.599755755236787660e-03
1.724138803602002554e+03 8.043097437782535941e-01 3.558686409220664874e-03
1.725862942405605281e+03 8.104320627125946030e-01 3.657767111711741122e-03
1.727588805348011419e+03 8.151620447490306454e-01 3.631922957122757888e-03
1.729316394153360079e+03 8.190749466937662371e-01 3.571338907901902820e-03
1.731045710547513863e+03 8.200428635573551173e-01 3.455982755329854023e-03
1.732776756258062051e+03 8.199587579305368523e-01 3.064390554700663610e-03
1.734509533014320596e+03 8.197661755829072083e-01 3.012440368306293793e-03
1.736244042547335539e+03 8.208643031264918344e-01 2.861137483202810805e-03
1.737980286589883463e+03 8.224945221081035873e-01 2.810559520949932732e-03
1.739718266876473990e+03 8.241984277338273435e-01 2.753287489625072786e-03
1.741457985143350925e+03 8.238909869911268391e-01 2.767309599285873879e-03
1.743199443128494750e+03 8.235116650603672150e-01 2.864502529154480323e-03
1.744942642571623992e+03 8.215651879586970407e-01 2.738370484520641010e-03
1.746687585214196133e+03 8.204236660810381165e-01 2.760289953126074565e-03
1.748434272799410792e+03 8.196043076271455341e-01 2.796296698850585238e-03
1.750182707072210860e+03 8.180969645689963876e-01 2.740172837230179636e-03
1.751932889779283641e+03 8.174722951671133941e-01 2.598971351521154032e-03
1.753684822669063578e+03 8.173028572906309019e-01 2.515919698612207288e-03
1.755438507491733162e+03 8.178227651410295840e-01 2.557207667206263906e-03
1.757193945999225434e+03 8.190942608770988009e-01 2.314395151519793147e-03
1.758951139945225350e+03 8.199907875210428188e-01 2.292070172762515883e-03
1.760710091085171143e+03 8.213488114123541628e-01 2.389771168377796684e-03
1.762470801176256828e+03 8.224962532561473916e-01 2.485046251064348868e-03
1.764233271977433787e+03 8.231523089977941243e-01 2.597606357299134857e-03
1.765997505249411688e+03 8.262401847937290711e-01 2.427806263447274213e-03
1.767763502754661658e+03 8.316817126398283744e-01 2.408588421066847757e-03
1.769531266257416974e+03 8.413877221892311908e-01 2.489086760844866873e-03
1.771300797523674873e+03 8.540048082267850393e-01 2.706599104961288863e-03
1.773072098321199292e+03 8.678703186100461542e-01 2.791224051635244393e-03
1.774845170419521082e+03 8.844653569057514542e-01 2.817856557842229100e-03
1.776620015589941204e+03 9.013113559196028746e-01 2.964538891053943373e-03
1.778396635605531628e+03 9.197967719067912107e-01 3.051233179662624171e-03
1.780175032241137842e+03 9.398979682542063507e-01 3.142775997921303747e-03
1.781955207273379528e+03 9.605632595721245170e-01 2.723312487176267078e-03
1.783737162480653524e+03 9.816150775970408082e-01 2.452013239146525348e-03
1.785520899643134726e+03 9.999557126135899532e-01 2.582205116084494191e-03
1.787306420542778369e+03 1.017897046972346953e+00 2.780444108851244829e-03
1.789093726963321842e+03 1.036737403264893498e+00 2.784226630177980000e-03
1.790882820690285598e+03 1.055021211941706394e+00 2.902555535743692270e-03
1.792673703510976566e+03 1.070581499939856185e+00 2.723190799049745973e-03
1.794466377214488148e+03 1.084516394659436056e+00 2.606240204151135786e-03
1.796260843591703178e+03 1.099876908646977069e+00 2.743810816130741719e-03
1.798057104435295514e+03 1.114464124166436587e+00 2.580268596092502326e-03
1.799855161539731398e+03 1.127149741415716555e+00 2.297416575913263301e-03
1.801655016701271734e+03 1.137530638270920935e+00 2.791916364375364706e-03
1.803456671717973677e+03 1.145056018515787644e+00 4.000029780502629105e-03
1.805260128389692227e+03 1.153964388585347001e+00 3.839145127578657678e-03
1.807065388518082500e+03 1.163324986159631758e+00 3.506343702218836338e-03
1.808872453906601095e+03 1.173767688106874152e+00 3.674189130273011576e-03
1.810681326360508365e+03 1.183448959509932452e+00 3.919848272836479186e-03
1.812492007686869556e+03 1.193625810752722893e+00 4.216281952564201671e-03
1.814304499694556853e+03 1.203630493734965334e+00 4.203662256562156439e-03
1.816118804194252107e+03 1.213358482864861587e+00 4.145476587076303739e-03
1.817934922998446837e+03 1.222931767969936079e+00 4.000359586568975889e-03
1.819752857921446093e+03 1.231339561628169710e+00 4.223964231958059722e-03
1.821572610779368006e+03 1.237511528128960814e+00 3.754339887148981647e-03
