# starting wavelength: 1717.300
# ending wavelength: 3443.330
# wav flux eflux
1.718976714808454517e+03 2.511189420524438387e-01 8.039042678252290852e-02
1.720695691523263349e+03 3.014351451817626204e-01 6.412300673983784005e-02
1.722416387214787392e+03 3.340270266625820494e-01 5.436464669265667765e-02
1.724138803602002554e+03 3.638283809163579408e-01 4.312030730359176639e-02
1.725862942405605281e+03 3.939499522030734391e-01 3.372934095458832160e-02
1.727588805348011419e+03 4.232133682601852409e-01 2.664468920919751960e-02
1.729316394153360079e+03 4.530558161534834483e-01 2.556226243340880069e-02
1.731045710547513863e+03 4.705309972579257982e-01 2.110956874011887807e-02
1.732776756258062051e+03 4.844192150173759481e-01 1.769169176165658400e-02
1.734509533014320596e+03 4.936866075843339696e-01 1.510597347053650209e-02
1.736244042547335539e+03 4.990108200195577659e-01 1.316029465920664533e-02
1.737980286589883463e+03 4.992237805751697510e-01 1.177624262892104298e-02
1.739718266876473990e+03 4.951816888123619087e-01 1.076715214126302590e-02
1.741457985143350925e+03 4.867676883674543764e-01 1.010856758436313486e-02
1.743199443128494750e+03 4.757152453482791366e-01 9.541194529379844885e-03
1.744942642571623992e+03 4.609363709845286095e-01 9.320554706257463962e-03
1.746687585214196133e+03 4.458003106542712812e-01 8.936067639871538362e-03
1.748434272799410792e+03 4.309945246814580466e-01 8.488114056644718158e-03
1.750182707072210860e+03 4.164988797769846873e-01 8.474647617962067017e-03
1.751932889779283641e+03 4.008411737412149733e-01 8.071485599479434614e-03
1.753684822669063578e+03 3.870281782129280645e-01 7.464209216017406515e-03
1.755438507491733162e+03 3.727839993404931107e-01 7.035057013251898653e-03
1.757193945999225434e+03 3.609035106192132747e-01 6.600573420312764832e-03
1.758951139945225350e+03 3.501719414083439008e-01 6.144893046439121008e-03
1.760710091085171143e+03 3.417191341169317220e-01 5.803707098368034167e-03
1.762470801176256828e+03 3.341905002215334042e-01 5.486836178296603320e-03
1.764233271977433787e+03 3.269913946991387377e-01 5.182183778225871694e-03
1.765997505249411688e+03 3.240881042756060815e-01 5.170245668872845528e-03
1.767763502754661658e+03 3.212999851219257019e-01 5.100882822973825531e-03
1.769531266257416974e+03 3.232605591887654506e-01 4.967682894991529846e-03
1.771300797523674873e+03 3.267358089936452381e-01 4.591552224997783906e-03
1.773072098321199292e+03 3.313362288947532819e-01 3.968321097233423918e-03
1.774845170419521082e+03 3.347435347212155410e-01 3.882861954909798408e-03
1.776620015589941204e+03 3.371509552890165073e-01 3.848069051798576681e-03
1.778396635605531628e+03 3.393083893299742027e-01 3.594537457991295142e-03
1.780175032241137842e+03 3.430345167324714839e-01 3.408114068729424777e-03
1.781955207273379528e+03 3.461379358111175142e-01 3.361352535488320529e-03
1.783737162480653524e+03 3.490739857017175485e-01 3.413624353278921393e-03
1.785520899643134726e+03 3.534243341717513420e-01 3.504173920859386324e-03
1.787306420542778369e+03 3.562600680754108295e-01 3.621980981266940437e-03
1.789093726963321842e+03 3.590510016565490181e-01 3.462828369601867167e-03
1.790882820690285598e+03 3.631965612906249974e-01 2.628665187231092257e-03
1.792673703510976566e+03 3.680023799953525687e-01 2.530671046281908389e-03
1.794466377214488148e+03 3.736234524992788075e-01 2.507946862828857888e-03
1.796260843591703178e+03 3.797726123992423153e-01 2.506249315808864193e-03
1.798057104435295514e+03 3.863806081386496061e-01 2.515695963755146952e-03
1.799855161539731398e+03 3.938707122363918067e-01 2.684967463798691636e-03
1.801655016701271734e+03 4.006354216902862642e-01 2.769821579512945012e-03
1.803456671717973677e+03 4.078700304596896697e-01 2.770526105753122123e-03
1.805260128389692227e+03 4.150236773345737373e-01 2.734322064054082752e-03
1.807065388518082500e+03 4.233210012080105278e-01 2.674422143146895029e-03
1.808872453906601095e+03 4.317236799017348248e-01 2.553425209957359450e-03
1.810681326360508365e+03 4.400158747040738838e-01 2.535476119548293623e-03
1.812492007686869556e+03 4.488034115901106125e-01 2.490534046846934729e-03
1.814304499694556853e+03 4.565693507859349687e-01 2.525787803141235199e-03
1.816118804194252107e+03 4.643336652425456568e-01 2.507432700092167809e-03
1.817934922998446837e+03 4.714647170282098010e-01 2.204737850106754538e-03
1.819752857921446093e+03 4.782268232509873096e-01 1.726116006627722872e-03
1.821572610779368006e+03 4.868143387075818951e-01 1.761322829418164419e-03
1.823394183390148100e+03 4.953815942206448164e-01 1.811062825240427644e-03
1.825217577573538847e+03 5.040325687517573927e-01 1.821436714628232086e-03
1.827042795151112841e+03 5.131827289376252876e-01 1.816591221999055202e-03
1.828869837946264624e+03 5.227249796413251381e-01 1.860269050115651978e-03
1.830698707784211365e+03 5.325632905708270748e-01 1.799054508358364536e-03
1.832529406491996269e+03 5.430600790698609792e-01 1.728641231891312087e-03
1.834361935898488809e+03 5.521996953558369059e-01 1.747620158885923375e-03
1.836196297834387906e+03 5.609660741143412954e-01 1.992596260616495522e-03
1.838032494132223064e+03 5.679837499285275149e-01 2.084895003789978551e-03
1.839870526626355741e+03 5.743706959335759255e-01 2.079573980228391437e-03
1.841710397152982750e+03 5.803619142039061485e-01 1.996664348756393981e-03
1.843552107550136270e+03 5.846388575818884936e-01 2.081160090954329439e-03
1.845395659657687020e+03 5.882077652684506441e-01 2.272238163640921335e-03
1.847241055317345399e+03 5.911751796773351275e-01 2.621755460680610765e-03
1.849088296372663308e+03 5.949738018392239924e-01 2.702476604231452730e-03
1.850937384669036646e+03 5.984397426791232544e-01 2.581182863428259453e-03
