# starting wavelength: 3162.860
# ending wavelength: 7996.930
# wav flux eflux
3.165857288126608182e+03 4.610888364121720762e-01 2.121748240175153760e-02
3.169023145414736064e+03 4.654521939276822229e-01 1.593872107587790063e-02
3.172192168560151458e+03 4.684880043777914227e-01 1.191947289824486084e-02
3.175364360728712654e+03 4.709538002116561706e-01 9.015177052813341460e-03
3.178539725089442527e+03 4.721967489161816856e-01 6.895738047572407166e-03
3.181718264814533086e+03 4.722691903481068820e-01 5.492059867900660718e-03
3.184899983079348658e+03 4.724230204373947029e-01 4.443001248345031413e-03
3.188084883062429071e+03 4.726037633849504149e-01 3.969160141788843910e-03
3.191272967945492383e+03 4.737851215582269404e-01 3.427813084130129119e-03
3.194464240913438971e+03 4.747826920418594110e-01 2.919375074191034054e-03
3.197658705154353811e+03 4.757313823375434181e-01 2.627266462796838242e-03
3.200856363859509202e+03 4.771333456312238930e-01 2.314869281961104853e-03
3.204057220223369768e+03 4.793402317481407215e-01 2.129820258866785363e-03
3.207261277443593826e+03 4.823101951420662448e-01 2.024725084264348326e-03
3.210468538721038840e+03 4.859051477850134249e-01 1.966881692874546117e-03
3.213679007259760965e+03 4.901459471173167382e-01 1.980037110220024977e-03
3.216892686267021418e+03 4.937881974820177988e-01 1.891905450520455726e-03
3.220109578953289656e+03 4.976628274247821837e-01 1.824297405954962903e-03
3.223329688532243836e+03 5.029673489474251191e-01 2.009555033000430622e-03
3.226553018220777176e+03 5.082542974239918632e-01 2.084935187776944601e-03
3.229779571238999324e+03 5.134061715202566933e-01 2.029736592887595656e-03
3.233009350810239084e+03 5.184184800731850284e-01 2.096565264042627927e-03
3.236242360161050783e+03 5.227002522577431920e-01 2.144953847407430475e-03
3.239478602521212906e+03 5.267915983613252751e-01 2.114354747913316061e-03
3.242718081123734919e+03 5.297924022222834095e-01 2.019867517318692934e-03
3.245960799204859995e+03 5.319134188362109050e-01 2.125654015891073004e-03
3.249206760004065927e+03 5.331265414851382722e-01 2.596379299651553792e-03
3.252455966764071036e+03 5.353444324408338506e-01 2.661683846211822160e-03
3.255708422730835991e+03 5.360921938482051674e-01 2.712504746666356912e-03
3.258964131153567905e+03 5.373046387407618418e-01 2.648037643874474358e-03
3.262223095284722604e+03 5.378403988254805146e-01 2.641846630879401015e-03
3.265485318380008266e+03 5.386530377488826238e-01 2.582143754472937536e-03
3.268750803698389518e+03 5.393128875488683027e-01 2.553827602053559184e-03
3.272019554502088795e+03 5.402426900224962525e-01 2.570430355638627772e-03
3.275291574056592253e+03 5.420011435216768314e-01 2.428461930458392874e-03
3.278566865630649772e+03 5.435145493412267825e-01 2.323479138144987893e-03
3.281845432496281319e+03 5.462854910188823521e-01 2.410544995113853006e-03
3.285127277928778767e+03 5.501647830271981787e-01 2.750851386243257334e-03
3.288412405206708627e+03 5.533956904540119348e-01 2.959969293431142894e-03
3.291700817611916591e+03 5.573597047890359590e-01 3.302202393848895079e-03
3.294992518429529355e+03 5.607397517501807593e-01 3.294590481618512885e-03
3.298287510947960072e+03 5.636134115391008281e-01 3.042533825558086345e-03
3.301585798458909267e+03 5.658786236426969207e-01 2.833799372873121829e-03
3.304887384257369376e+03 5.680669742375371589e-01 2.456338494975434088e-03
3.308192271641627485e+03 5.682303162197583912e-01 2.430960310807624234e-03
3.311500463913270323e+03 5.681902426571778797e-01 2.314584702385330626e-03
3.314811964377184722e+03 5.662533131684484022e-01 2.570744405692452529e-03
3.318126776341563072e+03 5.634324888849521207e-01 3.249474870286980961e-03
3.321444903117905596e+03 5.602538146679693076e-01 3.458882011349891442e-03
3.324766348021024896e+03 5.566805483086736395e-01 3.512902733849972148e-03
3.328091114369046863e+03 5.522842231228967114e-01 3.298919090192242980e-03
3.331419205483417045e+03 5.486668184205164556e-01 3.102596005185451027e-03
3.334750624688901553e+03 5.468212663467015844e-01 3.022998467534109782e-03
3.338085375313591612e+03 5.473364167246674850e-01 2.655988705701331758e-03
3.341423460688906289e+03 5.500185604098692949e-01 2.717476802915690451e-03
3.344764884149596128e+03 5.554153008805901015e-01 3.463731205948678959e-03
3.348109649033746791e+03 5.598264974892495083e-01 3.572263361109906735e-03
3.351457758682781787e+03 5.674821758235519820e-01 4.133568401538304134e-03
3.354809216441465651e+03 5.748003554580736196e-01 4.330731969341028442e-03
3.358164025657908041e+03 5.824988777725503830e-01 4.431192923365062826e-03
3.361522189683567376e+03 5.904447563670326415e-01 4.399240725754966982e-03
3.364883711873251741e+03 5.988836787904401326e-01 3.858407210994843888e-03
3.368248595585126168e+03 6.077949629874467297e-01 3.077085463904370450e-03
3.371616844180712633e+03 6.138398691755175829e-01 2.878304494615763209e-03
3.374988461024894150e+03 6.182444853941981844e-01 2.989850649872539956e-03
3.378363449485920228e+03 6.217351908102258795e-01 3.085095948779050488e-03
3.381741812935407324e+03 6.241774923053978741e-01 3.149517784873391655e-03
3.385123554748343849e+03 6.250026098293327559e-01 2.928119125423891619e-03
3.388508678303093347e+03 6.250090533192428355e-01 2.943269518507284077e-03
3.391897186981397681e+03 6.246826565102154838e-01 2.858378610278042905e-03
3.395289084168380214e+03 6.232432094543455259e-01 2.716172258753671038e-03
3.398684373252549449e+03 6.229487339168567894e-01 2.637595112850947294e-03
3.402083057625803121e+03 6.220316050896728122e-01 2.286902648856988050e-03
3.405485140683430018e+03 6.222435721162692390e-01 2.050005668341421412e-03
3.408890625824114522e+03 6.239450066446875498e-01 2.021774656563898355e-03
3.412299516449939802e+03 6.273926799190048254e-01 2.047494180948055548e-03
3.415711815966390986e+03 6.328074109348534870e-01 2.143350569172822184e-03
3.419127527782358356e+03 6.384477936093457817e-01 2.118390991944445363e-03
3.422546655310141887e+03 6.454586160297655084e-01 1.828814098139800110e-03
3.425969201965453522e+03 6.529999857629437132e-01 1.820174607622311981e-03
3.429395171167419903e+03 6.604101253389526027e-01 1.905956008034807294e-03
3.432824566338588284e+03 6.680064212946883462e-01 2.180285152344056763e-03
3.436257390904928343e+03 6.755155259451026684e-01 2.518271771837602823e-03
3.439693648295834464e+03 6.825456523487358762e-01 2.407223393612648553e-03
3.443133341944131189e+03 6.889360592960299678e-01 2.202986115883168172e-03
3.446576475286076402e+03 6.947853519510627240e-01 1.758930966225866590e-03
3.450023051761363604e+03 6.990500415611412555e-01 1.573660184869697838e-03
3.453473074813126004e+03 7.011266978365111591e-01 2.007351296843476549e-03
3.456926547887940615e+03 7.024288949177459607e-01 2.398932872072842646e-03
3.460383474435829612e+03 7.030838739685210115e-01 2.611247524440053151e-03
3.463843857910266706e+03 7.020449877701607777e-01 2.557795623212115021e-03
3.467307701768178049e+03 7.016577445051933593e-01 2.160742682619635514e-03
