# starting wavelength: 3488.370
# ending wavelength: 7294.350
# wav flux eflux
3.491651790619498570e+03 1.206089619880037711e+00 2.593584989749566066e-03
3.495143442410119405e+03 1.201247340237032502e+00 1.864413380428162374e-03
3.498638585852530468e+03 1.196950708554074261e+00 1.366341249795249022e-03
3.502137224438384237e+03 1.193008707384744627e+00 1.024027449598938645e-03
3.505639361662823831e+03 1.189377619179027512e+00 8.025327318854292213e-04
3.509145001024487556e+03 1.185980046239889729e+00 7.568646809621702200e-04
3.512654146025513455e+03 1.182529527009605008e+00 7.631585456596850798e-04
3.516166800171540217e+03 1.178906176075108947e+00 8.461123738645980183e-04
3.519682966971712631e+03 1.174954520578928019e+00 6.916866134935657946e-04
3.523202649938685681e+03 1.170881269332979535e+00 6.904438569244623815e-04
3.526725852588625457e+03 1.166657827569225425e+00 6.800481509201146673e-04
3.530252578441215064e+03 1.162480609612910332e+00 6.296449863598107275e-04
3.533782831019657806e+03 1.158536646164091799e+00 5.715939938865594386e-04
3.537316613850678550e+03 1.154966042580892971e+00 5.363887293837771731e-04
3.540853930464530094e+03 1.151801284488082056e+00 5.385439538331969391e-04
3.544394784394995895e+03 1.148912246563163597e+00 5.366657143733316203e-04
3.547939179179392340e+03 1.146167354451194997e+00 5.146265721812721050e-04
3.551487118358572843e+03 1.143559323203999556e+00 5.080785896829012735e-04
3.555038605476932389e+03 1.141063844108541003e+00 5.241958200442248857e-04
3.558593644082410719e+03 1.139247896266282867e+00 5.274050441277733717e-04
3.562152237726494150e+03 1.137682343101590110e+00 5.647035479864017564e-04
3.565714389964221937e+03 1.136513111633695505e+00 6.356896774008277511e-04
3.569280104354187188e+03 1.135908880180795721e+00 6.667232112530474238e-04
3.572849384458542772e+03 1.135973320698951738e+00 6.494437332071818000e-04
3.576422233843002232e+03 1.136681541975485432e+00 6.655424717477439285e-04
3.579998656076846601e+03 1.138107553238424607e+00 7.221505029547860711e-04
3.583578654732924406e+03 1.140011750940372659e+00 7.920435294558282255e-04
3.587162233387658489e+03 1.142226675759129950e+00 8.332318720490063894e-04
3.590749395621047370e+03 1.144746508039863109e+00 8.742839736042862806e-04
3.594340145016669794e+03 1.147462834314572078e+00 9.204347337659913577e-04
3.597934485161687462e+03 1.149896122462248815e+00 9.412228157115715534e-04
3.601532419646850485e+03 1.152601812483647903e+00 9.981249813096899470e-04
3.605133952066498296e+03 1.155179143963591448e+00 1.042227331896838525e-03
3.608739086018566013e+03 1.157512122463774107e+00 1.044514236061806897e-03
3.612347825104585809e+03 1.159691424764934142e+00 1.043557653608906876e-03
3.615960172929691907e+03 1.161186436545540879e+00 1.022532965876711769e-03
3.619576133102622407e+03 1.162112877477453399e+00 9.636265134128762112e-04
3.623195709235726554e+03 1.162357873342835246e+00 8.676031610000470556e-04
3.626818904944963379e+03 1.161806365498795790e+00 7.847100486507538764e-04
3.630445723849909427e+03 1.160343393517987431e+00 8.235821067241202130e-04
3.634076169573760581e+03 1.158468067788670952e+00 8.458375863760465678e-04
3.637710245743335690e+03 1.155387092587737863e+00 9.971167920269339863e-04
3.641347955989080219e+03 1.151558265835694650e+00 1.086912946077705101e-03
3.644989303945070333e+03 1.147272815061226359e+00 1.092652222458119363e-03
3.648634293249016537e+03 1.142171512282007528e+00 7.744176168692388585e-04
3.652282927542266862e+03 1.137868831637096623e+00 6.309157105254679021e-04
