# starting wavelength: 3484.880
# ending wavelength: 7071.790
# wav flux eflux
3.488163626992504760e+03 1.067750279686138226e+00 1.258447105367736666e-03
3.491651790619498570e+03 1.070155603675402300e+00 1.039300706079839291e-03
3.495143442410119405e+03 1.071952428155947823e+00 8.541900901965990018e-04
3.498638585852530468e+03 1.073024341339422261e+00 6.491229651599059050e-04
3.502137224438384237e+03 1.073438826176867256e+00 5.055786848641204015e-04
3.505639361662823831e+03 1.073408253705544935e+00 4.363111364623934590e-04
3.509145001024487556e+03 1.073122386922904958e+00 4.496484229460953304e-04
3.512654146025513455e+03 1.072883934798798844e+00 3.597725798138753624e-04
3.516166800171540217e+03 1.072608495833189401e+00 4.198813446980198972e-04
3.519682966971712631e+03 1.072522294939894705e+00 4.555072555033326987e-04
3.523202649938685681e+03 1.072626270771658730e+00 4.580140511152022090e-04
3.526725852588625457e+03 1.072866200619015720e+00 4.391519379215834819e-04
3.530252578441215064e+03 1.073191775007774629e+00 4.141851525157100419e-04
3.533782831019657806e+03 1.073560273646015029e+00 3.878136665310417128e-04
3.537316613850678550e+03 1.073939054916905667e+00 3.634169905256823957e-04
3.540853930464530094e+03 1.074336040831505468e+00 3.439825806249880856e-04
3.544394784394995895e+03 1.074758540767798642e+00 3.291127762595954511e-04
3.547939179179392340e+03 1.075212478428143381e+00 3.181320943765933418e-04
3.551487118358572843e+03 1.075773567011715226e+00 3.200367799705093456e-04
3.555038605476932389e+03 1.076380508228500288e+00 3.085169260330599111e-04
3.558593644082410719e+03 1.077046249948858447e+00 2.973453777173471120e-04
3.562152237726494150e+03 1.077747684071113765e+00 2.898412649068677553e-04
3.565714389964221937e+03 1.078480810246249311e+00 2.956283081453480333e-04
3.569280104354187188e+03 1.079174520986948771e+00 2.970320959942886608e-04
3.572849384458542772e+03 1.079874063673484041e+00 2.970602440974195015e-04
3.576422233843002232e+03 1.080504848731830725e+00 2.921250752869485631e-04
3.579998656076846601e+03 1.081127726242315568e+00 2.961341750785404588e-04
3.583578654732924406e+03 1.081723800597143459e+00 3.168588702453425791e-04
3.587162233387658489e+03 1.082102580204535647e+00 3.223280933797312829e-04
3.590749395621047370e+03 1.082508550824708982e+00 3.515024308944585249e-04
3.594340145016669794e+03 1.082822876414588631e+00 3.803163434369783010e-04
3.597934485161687462e+03 1.083063229791307647e+00 3.959776268902638684e-04
