# starting wavelength: 3484.880
# ending wavelength: 7287.060
# wav flux eflux
3.488163626992504760e+03 1.235220339709047321e+00 5.382904396016106180e-02
3.491651790619498570e+03 1.148079321727287549e+00 4.672683879999840056e-02
3.495143442410119405e+03 1.095797195209678776e+00 3.743935917772078792e-02
3.498638585852530468e+03 1.064393815732588289e+00 2.919340754344230959e-02
3.502137224438384237e+03 1.046687048153193356e+00 2.251221663080963178e-02
3.505639361662823831e+03 1.039757098844271921e+00 1.805076186831711810e-02
3.509145001024487556e+03 1.043839279553997246e+00 1.559464893843852049e-02
3.512654146025513455e+03 1.058755096396170048e+00 1.405719476590336879e-02
3.516166800171540217e+03 1.082140850091852124e+00 1.158527436001648321e-02
3.519682966971712631e+03 1.111679653797357448e+00 1.082741600101894131e-02
3.523202649938685681e+03 1.144318369961283555e+00 9.924046506407184151e-03
3.526725852588625457e+03 1.176411865913005173e+00 8.990822300109613252e-03
3.530252578441215064e+03 1.204632408591604031e+00 8.245516345133121344e-03
3.533782831019657806e+03 1.226311570138183704e+00 8.126496029809337704e-03
3.537316613850678550e+03 1.240686304979281340e+00 8.767278901394691404e-03
3.540853930464530094e+03 1.248260504432657125e+00 9.829449170465400995e-03
3.544394784394995895e+03 1.249566716728792715e+00 1.118149221117198042e-02
3.547939179179392340e+03 1.246211341001185691e+00 1.243876245451224112e-02
3.551487118358572843e+03 1.237605097172536750e+00 1.312297084872937787e-02
3.555038605476932389e+03 1.231598269219160935e+00 1.306278816764143771e-02
3.558593644082410719e+03 1.216045516115874081e+00 1.332969177708051567e-02
3.562152237726494150e+03 1.199271285254312813e+00 1.328991778118677677e-02
3.565714389964221937e+03 1.181309360069204839e+00 1.294498489304068620e-02
3.569280104354187188e+03 1.162809415050514605e+00 1.250692976077072936e-02
3.572849384458542772e+03 1.140927956327312254e+00 1.183231433544193120e-02
3.576422233843002232e+03 1.121721922203741784e+00 1.109952442900400196e-02
3.579998656076846601e+03 1.102959121121519948e+00 1.019861428084330342e-02
3.583578654732924406e+03 1.085948698406173918e+00 9.306213958955068810e-03
3.587162233387658489e+03 1.072305431526067387e+00 8.698770098016372562e-03
3.590749395621047370e+03 1.063257343965068991e+00 8.506416589841787543e-03
3.594340145016669794e+03 1.058002698873063530e+00 8.767315740394812651e-03
3.597934485161687462e+03 1.059588167101686018e+00 8.789183292375190790e-03
3.601532419646850485e+03 1.066321867421550218e+00 8.597040365869543233e-03
3.605133952066498296e+03 1.077567889076054719e+00 7.916974022209311013e-03
3.608739086018566013e+03 1.095042062510613867e+00 6.013727626647772696e-03
3.612347825104585809e+03 1.109571340671481554e+00 5.589574210626507486e-03
3.615960172929691907e+03 1.123612288140519722e+00 5.491250065685106263e-03
3.619576133102622407e+03 1.136583965225379522e+00 5.469482228976900277e-03
3.623195709235726554e+03 1.148265864910032796e+00 5.324175976239076992e-03
3.626818904944963379e+03 1.158875473973731474e+00 5.104973479432613030e-03
3.630445723849909427e+03 1.168846925115236024e+00 5.180084625740671682e-03
3.634076169573760581e+03 1.178707735416022029e+00 5.143953723139485512e-03
3.637710245743335690e+03 1.188556905661271701e+00 5.111463275722983625e-03
3.641347955989080219e+03 1.198344695830813489e+00 4.932890471459895967e-03
3.644989303945070333e+03 1.209140428644277510e+00 4.268900833539333861e-03
3.648634293249016537e+03 1.216633026624568847e+00 3.924915351879107624e-03
3.652282927542266862e+03 1.221474831592217480e+00 3.854468674785149849e-03
