# starting wavelength: 3437.329
# ending wavelength: 7636.184
# wav flux eflux
3.439693648295834464e+03 2.996133216618142914e+00 7.692754438361620872e-02
3.443133341944131189e+03 2.972578988891506846e+00 6.929471700346977181e-02
3.446576475286076402e+03 2.963870236800881131e+00 6.010722999239866138e-02
3.450023051761363604e+03 2.957431895896567742e+00 5.366067768547604783e-02
3.453473074813126004e+03 2.956717692356493288e+00 4.872840183451589147e-02
3.456926547887940615e+03 2.963997222205882132e+00 4.548867476962310114e-02
3.460383474435829612e+03 2.976814654925530323e+00 4.322562202717538521e-02
3.463843857910266706e+03 2.983492579157403846e+00 4.087556098202109467e-02
3.467307701768178049e+03 2.987850921369188839e+00 3.830538407189064409e-02
3.470775009469947236e+03 3.003699479677633732e+00 3.645034543881083694e-02
3.474245784479418489e+03 3.014351439973263158e+00 3.526416736175434080e-02
3.477720030263898934e+03 3.022441261168862692e+00 3.582081337109099123e-02
3.481197750294164052e+03 3.027878983751665753e+00 3.466273053429053813e-02
3.484678948044459503e+03 3.024471773202752622e+00 3.371316388230139599e-02
3.488163626992504760e+03 3.010649614436310184e+00 3.391370304517808687e-02
3.491651790619498570e+03 3.012785323901037149e+00 3.312158724231618195e-02
3.495143442410119405e+03 3.031842266593356872e+00 3.406423807575446883e-02
3.498638585852530468e+03 3.045666601406001650e+00 3.292658784504588071e-02
3.502137224438384237e+03 3.049642193076861574e+00 3.181842519776751504e-02
3.505639361662823831e+03 3.047023186196935018e+00 3.165376612403068834e-02
3.509145001024487556e+03 3.038026212263622128e+00 3.207627270880131914e-02
3.512654146025513455e+03 3.054008349444207848e+00 3.278967108657122181e-02
3.516166800171540217e+03 3.044684634741813500e+00 3.251564678686547777e-02
3.519682966971712631e+03 3.030452951398928008e+00 3.248742063987790363e-02
3.523202649938685681e+03 3.012276849300342008e+00 2.737126482811197067e-02
3.526725852588625457e+03 3.005493215234636306e+00 2.717947690223252236e-02
3.530252578441215064e+03 2.994649098247896379e+00 2.667319666853690957e-02
3.533782831019657806e+03 2.988360822427494234e+00 2.716086245825845638e-02
3.537316613850678550e+03 2.975223437513828895e+00 2.686549995238836017e-02
3.540853930464530094e+03 2.977095578634801676e+00 2.720479027454601045e-02
3.544394784394995895e+03 2.973439090896032422e+00 2.545157882521899978e-02
3.547939179179392340e+03 2.971473855571661993e+00 2.608868216903514545e-02
3.551487118358572843e+03 2.960571425674937807e+00 2.555718910972841831e-02
3.555038605476932389e+03 2.941756007924858363e+00 2.462583333407784153e-02
3.558593644082410719e+03 2.913340179379555028e+00 2.748099725495698614e-02
3.562152237726494150e+03 2.911583699410111858e+00 2.811749094216071596e-02
3.565714389964221937e+03 2.896146691848038746e+00 2.848299328330420460e-02
3.569280104354187188e+03 2.876812453298096539e+00 2.902085466338362452e-02
3.572849384458542772e+03 2.876958546722043319e+00 2.982135958783600771e-02
3.576422233843002232e+03 2.872681570027359133e+00 2.964650746239011134e-02
