# starting wavelength: 2735.270
# ending wavelength: 8962.656
# wav flux eflux
2.735999550352517417e+03 4.202962368724812769e+00 1.781544452185386485e+00
2.738735549902870844e+03 4.142221600528143810e+00 1.300650578695222714e+00
2.741474285452774438e+03 4.150969183798933315e+00 9.504215717965418531e-01
2.744215759738227916e+03 4.121719802260617627e+00 7.173006675753099692e-01
2.746959975497967207e+03 4.138029522002280913e+00 5.544410826229559941e-01
2.749706935473466274e+03 4.147988118727419682e+00 4.422261112376181247e-01
2.752456642408940297e+03 4.157327845758016061e+00 3.549791966973105950e-01
2.755209099051350222e+03 4.160410480544524781e+00 2.944771419896121123e-01
2.757964308150402758e+03 4.140360377848730344e+00 2.494512630693173083e-01
2.760722272458554016e+03 4.131465244078007082e+00 2.146507422011613708e-01
2.763482994731013605e+03 4.158152914978785475e+00 1.917827682388831279e-01
2.766246477725745535e+03 4.129432302240542363e+00 1.739198296318933967e-01
2.769012724203471862e+03 4.094075565037186948e+00 1.592110421551884702e-01
2.771781736927676320e+03 4.145521690683586336e+00 1.519243977967284498e-01
2.774553518664604780e+03 4.226544095759494191e+00 1.487342346995116915e-01
2.777328072183270706e+03 4.198550295626415796e+00 1.421696395541694469e-01
2.780105400255454697e+03 4.176740036265919720e+00 1.347215846881928136e-01
2.782885505655710858e+03 4.181782992993692716e+00 1.306250972073861871e-01
2.785668391161367708e+03 4.117150952664549557e+00 1.287501521587946229e-01
2.788454059552529998e+03 4.057773047315428094e+00 1.267916870869304768e-01
2.791242513612083258e+03 4.062313090750103051e+00 1.255553431742322257e-01
2.794033756125696527e+03 4.015792938793533828e+00 1.187522538424356788e-01
2.796827789881823264e+03 3.992306359572789454e+00 1.147316442639959994e-01
2.799624617671705892e+03 4.009999385977080166e+00 1.142089675881189509e-01
2.802424242289378526e+03 4.011502938061198620e+00 1.121634354447228477e-01
2.805226666531668798e+03 4.069797281827352897e+00 1.114179039597289339e-01
2.808031893198201487e+03 4.119925753703527427e+00 1.149910506040641989e-01
2.810839925091400346e+03 4.150731737119775389e+00 1.139602566518270188e-01
2.813650765016492642e+03 4.177193748867822798e+00 1.144726186325790984e-01
2.816464415781510070e+03 4.235598790189126106e+00 1.149617189998593247e-01
2.819280880197292845e+03 4.245919722923870765e+00 1.113598216007979924e-01
2.822100161077491066e+03 4.288904494670396694e+00 1.063601356322651237e-01
2.824922261238569263e+03 4.293723212107138920e+00 1.074563360850872562e-01
2.827747183499808671e+03 4.274940455900772207e+00 1.090427945281818578e-01
2.830574930683309503e+03 4.276419692329719524e+00 1.086752028010602861e-01
2.833405505613993682e+03 4.300061793440915103e+00 1.096528681901951657e-01
2.836238911119608929e+03 4.267301452185034094e+00 1.097554811780260542e-01
2.839075150030729219e+03 4.318400698672075322e+00 1.096298608705049277e-01
2.841914225180761150e+03 4.402705598971875744e+00 1.121788402165329601e-01
2.844756139405942577e+03 4.382557967466333082e+00 1.098905663371380070e-01
2.847600895545349431e+03 4.387333492904128107e+00 1.102708240758005082e-01
2.850448496440895724e+03 4.367533379346554945e+00 1.080697910191789346e-01
2.853298944937337637e+03 4.350943504177803511e+00 1.068532489620527964e-01
2.856152243882275798e+03 4.313611628545207743e+00 1.063646115662133101e-01
2.859008396126159369e+03 4.251230849023398761e+00 1.038779446785431243e-01
2.861867404522286051e+03 4.200819231077710825e+00 1.026888352746061911e-01
2.864729271926809361e+03 4.150866805880871979e+00 1.049948778406600419e-01
2.867594001198737260e+03 4.109819556354534775e+00 1.007153658294219906e-01
2.870461595199936710e+03 4.059540246282264064e+00 9.710652702208852349e-02
2.873332056795137760e+03 4.082936584493106480e+00 9.259743725002285430e-02
2.876205388851934003e+03 4.109551263815432343e+00 9.084347476965221047e-02
