# starting wavelength: 3247.126
# ending wavelength: 8203.810
# wav flux eflux
3.249206760004065927e+03 2.323902044090044861e+00 9.598014375848640256e-01
3.252455966764071036e+03 2.250776609087048463e+00 7.201405533471710863e-01
3.255708422730835991e+03 2.188622552169152691e+00 5.467653502507648922e-01
3.258964131153567905e+03 2.029631450640867918e+00 5.612299412963912548e-01
3.262223095284722604e+03 2.081682243932423404e+00 4.628999044841989874e-01
3.265485318380008266e+03 2.096964204947346477e+00 3.650758409272719107e-01
3.268750803698389518e+03 2.127935251080372847e+00 2.957305987739919928e-01
3.272019554502088795e+03 2.163803053728637682e+00 2.522251783798809543e-01
3.275291574056592253e+03 2.198151877834352508e+00 2.099064881179701914e-01
3.278566865630649772e+03 2.225855511533406439e+00 1.824790876555571484e-01
3.281845432496281319e+03 2.241093160192231259e+00 1.631289292593685047e-01
3.285127277928778767e+03 2.270964585843412653e+00 1.460683742340736224e-01
3.288412405206708627e+03 2.297729417748562764e+00 1.332499828264843422e-01
3.291700817611916591e+03 2.326962660918047376e+00 1.253300947565598178e-01
3.294992518429529355e+03 2.414433576359066080e+00 1.282418084591138985e-01
3.298287510947960072e+03 2.398968144577964701e+00 1.243288165840241433e-01
3.301585798458909267e+03 2.414213268543788260e+00 1.220768229710391811e-01
3.304887384257369376e+03 2.409227982959213588e+00 1.168185537367511934e-01
3.308192271641627485e+03 2.400580785185796540e+00 1.125041477775982623e-01
3.311500463913270323e+03 2.408268787852717363e+00 1.172197402669880595e-01
3.314811964377184722e+03 2.372964541588089560e+00 1.161072501645840360e-01
3.318126776341563072e+03 2.364205333310140045e+00 1.112054802353724253e-01
3.321444903117905596e+03 2.364531077451819119e+00 1.158033857519280285e-01
3.324766348021024896e+03 2.342865866686945520e+00 1.084724754037928590e-01
3.328091114369046863e+03 2.370217460795716491e+00 1.097218273413611972e-01
3.331419205483417045e+03 2.369127143766438959e+00 1.094716242626722763e-01
3.334750624688901553e+03 2.362257516888940145e+00 1.095850223093311343e-01
3.338085375313591612e+03 2.364682543698771067e+00 1.065522429715326236e-01
3.341423460688906289e+03 2.362289803708323532e+00 1.064238142675434234e-01
3.344764884149596128e+03 2.392639412730712234e+00 1.018183646877367649e-01
3.348109649033746791e+03 2.428831362612244416e+00 1.007114164840122866e-01
3.351457758682781787e+03 2.450723635969862535e+00 9.972078424232642957e-02
3.354809216441465651e+03 2.457129120422167912e+00 9.479839767891332092e-02
3.358164025657908041e+03 2.450524649522938248e+00 9.863502341475897939e-02
3.361522189683567376e+03 2.434210387499512684e+00 9.821407322167148568e-02
3.364883711873251741e+03 2.408805640340693000e+00 9.589724777882398243e-02
3.368248595585126168e+03 2.379738269177593679e+00 9.612867261627762450e-02
3.371616844180712633e+03 2.397062179275553095e+00 9.609768766893160563e-02
3.374988461024894150e+03 2.429275048996798247e+00 8.249586095216061843e-02
3.378363449485920228e+03 2.429541738522675409e+00 8.250096869432693714e-02
3.381741812935407324e+03 2.393831517721052293e+00 7.567252735789434248e-02
3.385123554748343849e+03 2.385514895847332451e+00 7.482732598326773121e-02
3.388508678303093347e+03 2.357031548255065445e+00 7.399051819858253054e-02
3.391897186981397681e+03 2.336381245872044321e+00 7.096009207925896289e-02
3.395289084168380214e+03 2.308173236576815057e+00 6.907498964953075193e-02
3.398684373252549449e+03 2.283669440574253695e+00 6.798108494409182967e-02
3.402083057625803121e+03 2.280849571730064973e+00 6.458038646894309620e-02
3.405485140683430018e+03 2.317442484806598646e+00 6.907831391897174822e-02
3.408890625824114522e+03 2.365645856047216000e+00 5.730172291042671950e-02
3.412299516449939802e+03 2.343332257906301841e+00 5.643222030009745899e-02
3.415711815966390986e+03 2.379780716233298232e+00 5.554467760644707375e-02
3.419127527782358356e+03 2.409604741500931624e+00 5.754175090213568128e-02
3.422546655310141887e+03 2.472251640653364557e+00 7.128462694757074780e-02
3.425969201965453522e+03 2.496813326830353397e+00 7.185575107436227571e-02
3.429395171167419903e+03 2.500431413169497574e+00 7.172480750015033935e-02
3.432824566338588284e+03 2.500630550833418564e+00 7.072050749049124674e-02
3.436257390904928343e+03 2.519122493971321486e+00 6.762532024079696835e-02
3.439693648295834464e+03 2.518229707811953322e+00 6.904024372201425508e-02
3.443133341944131189e+03 2.475184314801333052e+00 6.982460255911293601e-02
3.446576475286076402e+03 2.426644907742978141e+00 6.732019421564074124e-02
3.450023051761363604e+03 2.409034438608312456e+00 6.805220175085505141e-02
3.453473074813126004e+03 2.345716118851205678e+00 6.919001702465792103e-02
3.456926547887940615e+03 2.288272959785572880e+00 6.883143486796115817e-02
3.460383474435829612e+03 2.251662066341438617e+00 7.201360065491699269e-02
3.463843857910266706e+03 2.192735206654614188e+00 7.094340218396080755e-02
3.467307701768178049e+03 2.143702339823261305e+00 6.307263164117582477e-02
3.470775009469947236e+03 2.121324278834763266e+00 6.286666252215858397e-02
3.474245784479418489e+03 2.104635709167931967e+00 6.135886446924489895e-02
3.477720030263898934e+03 2.126616324752885756e+00 6.404940151216881317e-02
3.481197750294164052e+03 2.130459795028420533e+00 6.677013479890112069e-02
3.484678948044459503e+03 2.145378437087715806e+00 6.359470316216428443e-02
3.488163626992504760e+03 2.159426485816920316e+00 6.289977811491444248e-02
3.491651790619498570e+03 2.197114812382444882e+00 6.482009027154252145e-02
3.495143442410119405e+03 2.259643002529959421e+00 6.691685210164274866e-02
3.498638585852530468e+03 2.285242547495194287e+00 6.326791744380354243e-02
3.502137224438384237e+03 2.322949142838169667e+00 6.591789883873329370e-02
3.505639361662823831e+03 2.332701647389158861e+00 6.925802894883947847e-02
3.509145001024487556e+03 2.391708499844734437e+00 7.265809978855364282e-02
3.512654146025513455e+03 2.412335856304599790e+00 7.255686208006614790e-02
3.516166800171540217e+03 2.388664831337294014e+00 6.161170408144337612e-02
3.519682966971712631e+03 2.383496878818665898e+00 6.220052637173265758e-02
3.523202649938685681e+03 2.401515758631460606e+00 6.298820865673587788e-02
3.526725852588625457e+03 2.405749790490353757e+00 5.932137434259910497e-02
3.530252578441215064e+03 2.402852346943929351e+00 5.871160600561108056e-02
3.533782831019657806e+03 2.388114166280185025e+00 6.165440668280230962e-02
3.537316613850678550e+03 2.373011113912197878e+00 6.268316330228185240e-02
3.540853930464530094e+03 2.368702138031203663e+00 5.895562399457112551e-02
3.544394784394995895e+03 2.354184441652283688e+00 6.161546966198244019e-02
3.547939179179392340e+03 2.347858948543428692e+00 6.159303500446858953e-02
3.551487118358572843e+03 2.323886439181311214e+00 6.338650136884411979e-02
3.555038605476932389e+03 2.357692575132046553e+00 6.628271674203080333e-02
3.558593644082410719e+03 2.349902406563404877e+00 6.902098766020196841e-02
3.562152237726494150e+03 2.349012666770434521e+00 6.810352625781405933e-02
3.565714389964221937e+03 2.370255849786460978e+00 7.011668480971873507e-02
3.569280104354187188e+03 2.390357337846344965e+00 6.948848093726550657e-02
3.572849384458542772e+03 2.399975149904813421e+00 6.575244283595539641e-02
3.576422233843002232e+03 2.399411554244430089e+00 6.437718230235653372e-02
3.579998656076846601e+03 2.399376166263825105e+00 6.803724704244588917e-02
3.583578654732924406e+03 2.363446763753112467e+00 6.784570584297530682e-02
3.587162233387658489e+03 2.344392549504418888e+00 6.422845585533332180e-02
3.590749395621047370e+03 2.352653905771064036e+00 6.581666099005409332e-02
3.594340145016669794e+03 2.313168150169328641e+00 6.220501344976799019e-02
3.597934485161687462e+03 2.289443585865315267e+00 5.512362201779066884e-02
3.601532419646850485e+03 2.297940733818095715e+00 5.593089566614101171e-02
3.605133952066498296e+03 2.311217913982907213e+00 5.379077472254158165e-02
3.608739086018566013e+03 2.323426555935061089e+00 5.844202559352908166e-02
3.612347825104585809e+03 2.305064322133301591e+00 5.822021602995378076e-02
3.615960172929691907e+03 2.316137083519024031e+00 5.838902338650062140e-02
3.619576133102622407e+03 2.328943273579569428e+00 5.762438363060363999e-02
3.623195709235726554e+03 2.329684148076017536e+00 5.341795828174079191e-02
3.626818904944963379e+03 2.322705142992668836e+00 5.683565932172858493e-02
3.630445723849909427e+03 2.315773253825216482e+00 5.539820206668737840e-02
3.634076169573760581e+03 2.276667378645601314e+00 5.314538734918394791e-02
3.637710245743335690e+03 2.260372721160424536e+00 5.322865786360180679e-02
3.641347955989080219e+03 2.210533600500275142e+00 4.251216407177420276e-02
3.644989303945070333e+03 2.200607253517310014e+00 4.189543128274561545e-02
3.648634293249016537e+03 2.189065978114931532e+00 3.716738680350024221e-02
3.652282927542266862e+03 2.192778333749815012e+00 3.885721210166614981e-02
3.655935210469810499e+03 2.206067675009171225e+00 3.638271308744923938e-02
3.659591145680281443e+03 2.252090799511758945e+00 3.731011379759459345e-02
3.663250736825963031e+03 2.277726641306600630e+00 3.894245472461212859e-02
3.666913987562790226e+03 2.308065991414115281e+00 3.632342449215852226e-02
3.670580901550354156e+03 2.320286256022458193e+00 3.874281565290287749e-02
3.674251482451905758e+03 2.341722864241132296e+00 3.874861604230361856e-02
3.677925733934358959e+03 2.355526823974804174e+00 3.839867686266876939e-02
3.681603659668294313e+03 2.341346370348214467e+00 4.378223184336856033e-02
3.685285263327964003e+03 2.360393457666797534e+00 4.532693069641450384e-02
3.688970548591293209e+03 2.373053702342732052e+00 4.784555784545539703e-02
3.692659519139885560e+03 2.379978788125044264e+00 4.423823605478239412e-02
3.696352178659026777e+03 2.349551318024535096e+00 4.270757578030119628e-02
3.700048530837686940e+03 2.369626315435455766e+00 4.390050715651289820e-02
3.703748579368525952e+03 2.391976687468638563e+00 5.103090669178800276e-02
3.707452327947895355e+03 2.416254743107874248e+00 5.170563665881014459e-02
3.711159780275844696e+03 2.391373792921675179e+00 5.058028582987052907e-02
3.714870940056121526e+03 2.386669390131056279e+00 5.385969187439990785e-02
3.718585810996179134e+03 2.359541207131083507e+00 5.623583093024035057e-02
3.722304396807176545e+03 2.326643101835209837e+00 5.660890741921247027e-02
3.726026701203984885e+03 2.309768986500945864e+00 6.004252598874140062e-02
3.729752727905190113e+03 2.308023835433069770e+00 5.543554317935215497e-02
