# starting wavelength: 2969.155
# ending wavelength: 6622.038
# wav flux eflux
2.969684929156986982e+03 1.054397850530262915e+00 1.173956915126887601e+00
2.972654614086145102e+03 1.083832785214919658e+00 8.383292199284572144e-01
2.975627268700231980e+03 1.070592364077584957e+00 6.206531797472194523e-01
2.978602895968933353e+03 1.067214519253285365e+00 4.749501365123289798e-01
2.981581498864903097e+03 1.061397036778568781e+00 3.626275562470391844e-01
2.984563080363769132e+03 1.070353965803829688e+00 2.919013021445252543e-01
2.987547643444133882e+03 1.054361707573918228e+00 2.431215746677098111e-01
2.990535191087578823e+03 1.007424575340753803e+00 1.960416889319226419e-01
2.993525726278667662e+03 9.519296759908733030e-01 1.643736001299930249e-01
2.996519252004947248e+03 8.970829347438383783e-01 1.402866809207402032e-01
2.999515771256953030e+03 8.256854963541800929e-01 1.255192066867247547e-01
3.002515287028211333e+03 8.164285916501790030e-01 1.237754435877227721e-01
3.005517802315240260e+03 7.807287530375971452e-01 1.122948586419945105e-01
3.008523320117556523e+03 7.789151942385384997e-01 1.062706588156667048e-01
3.011531843437674979e+03 7.405303916162508937e-01 9.993984306481955293e-02
3.014543375281113640e+03 7.626754233797115035e-01 9.938952506546998300e-02
3.017557918656395941e+03 7.500240342173869479e-01 9.709440765493855541e-02
3.020575476575053472e+03 7.376241038122853810e-01 9.278372639345648654e-02
3.023596052051629158e+03 7.571510018711349321e-01 9.230861122315671408e-02
3.026619648103681811e+03 7.605935576996719627e-01 9.036232416559827896e-02
3.029646267751786581e+03 7.756565494399525473e-01 8.733799354989242592e-02
3.032675914019539505e+03 7.784737866285712515e-01 9.009290136443670605e-02
3.035708589933559779e+03 7.622469951613195516e-01 8.884751073291173584e-02
3.038744298523494763e+03 7.758560161359677743e-01 8.926873523972266022e-02
3.041783042822019070e+03 7.526195090007180566e-01 8.830698190439194295e-02
3.044824825864842296e+03 7.588482181268780824e-01 8.708434226353595209e-02
3.047869650690708113e+03 7.862384485709282833e-01 8.746887375929103536e-02
3.050917520341399722e+03 7.798978814912094215e-01 8.324949714016807722e-02
3.053968437861742132e+03 7.536429597976532779e-01 8.735602541324720416e-02
3.057022406299604881e+03 7.898065105734384250e-01 8.546316229858204327e-02
3.060079428705905229e+03 7.998254760471327218e-01 8.753209406957462857e-02
3.063139508134612242e+03 8.269190826900344460e-01 8.769981528749710986e-02
3.066202647642748161e+03 8.320791480259147610e-01 8.543474531790511139e-02
3.069268850290391583e+03 8.252393786790844787e-01 7.507141440510640973e-02
3.072338119140682920e+03 8.185437870373947211e-01 7.336900605949996101e-02
3.075410457259824852e+03 8.433628067330648514e-01 7.546923865892658789e-02
3.078485867717085512e+03 9.134791834763855700e-01 8.265346414449524504e-02
3.081564353584803939e+03 9.539110481311010581e-01 8.160093769304233025e-02
3.084645917938389630e+03 9.858900895580157142e-01 7.680264416241239234e-02
3.087730563856328899e+03 1.024315708198624941e+00 7.436948753380867583e-02
3.090818294420186248e+03 1.041682385451843995e+00 7.693737932702754412e-02
3.093909112714607545e+03 1.063905769764014186e+00 7.792096687910685104e-02
3.097003021827323209e+03 1.046632776096509954e+00 7.885994314072521105e-02
3.100100024849151396e+03 1.016949971518321449e+00 7.961762162852299707e-02
3.103200124874001631e+03 9.735584229596931927e-01 7.818780122990083570e-02
3.106303324998876633e+03 9.526475446708732031e-01 7.817244921610676245e-02
3.109409628323876859e+03 9.459349726228952759e-01 7.486281290853005754e-02
3.112519037952201415e+03 9.098312393484779825e-01 7.259047157609944956e-02
3.115631556990154877e+03 8.424521294371005720e-01 7.038820851848190396e-02
3.118747188547145925e+03 8.412236577506054802e-01 7.038671984220376543e-02
3.121865935735694165e+03 8.062225544818067968e-01 7.002758578313236781e-02
3.124987801671431043e+03 8.062233157562845864e-01 6.902282770252411714e-02
3.128112789473103476e+03 8.055491200090121318e-01 7.081333060946615188e-02
3.131240902262577492e+03 7.816384575961577985e-01 7.206132103932444410e-02
3.134372143164840963e+03 7.885995188384452570e-01 7.171573184157804814e-02
3.137506515308006783e+03 8.049035662832098037e-01 7.256752773249715294e-02
3.140644021823316052e+03 8.062265182183163681e-01 7.073517561749270710e-02
3.143784665845140353e+03 8.401251049343990696e-01 7.068301189864356626e-02
3.146928450510986750e+03 8.332387548699474733e-01 6.947513890327998431e-02
3.150075378961498700e+03 8.519946029951915856e-01 6.845897303846927573e-02
3.153225454340461056e+03 8.508245176571719304e-01 6.876690592712737804e-02
3.156378679794802792e+03 8.879461849328756928e-01 6.455783942819477705e-02
3.159535058474598372e+03 9.017837607876286743e-01 6.490258896471583216e-02
3.162694593533074112e+03 9.102272768193345742e-01 6.362421072835230951e-02
3.165857288126608182e+03 9.389129872562584911e-01 6.465343120968421176e-02
3.169023145414736064e+03 9.329093354386626125e-01 6.339703759235165714e-02
3.172192168560151458e+03 9.738330014493710163e-01 5.711219465849497884e-02
3.175364360728712654e+03 9.684355340765953279e-01 5.580933621375665926e-02
3.178539725089442527e+03 9.782694286776608683e-01 5.500937202856472780e-02
3.181718264814533086e+03 1.001220806563743349e+00 5.189874652906818764e-02
3.184899983079348658e+03 1.028763423627345075e+00 4.813389310222701556e-02
3.188084883062429071e+03 1.031406715857719147e+00 4.931042498211424957e-02
3.191272967945492383e+03 1.039657772923771706e+00 4.896909136894601888e-02
3.194464240913438971e+03 1.028110785189115584e+00 4.978206604380665951e-02
3.197658705154353811e+03 1.032281821844825309e+00 4.929642173552623713e-02
3.200856363859509202e+03 1.017618312834135841e+00 4.754946940370056302e-02
3.204057220223369768e+03 1.005713314061867703e+00 4.953559910717156289e-02
