# starting wavelength: 2949.062
# ending wavelength: 8937.310
# wav flux eflux
2.951929017036628920e+03 2.988090963862825689e+00 6.959357718223494471e-01
2.954880946053666321e+03 2.712935996881774336e+00 5.213247972609685865e-01
2.957835826999721121e+03 2.489371472516656247e+00 3.995980565421919373e-01
2.960793662826721629e+03 2.323546243788757515e+00 3.265761700266016088e-01
2.963754456489549284e+03 2.291603300029581458e+00 2.567113981183360427e-01
2.966718210946040017e+03 2.336436774326628996e+00 2.052504932685237371e-01
2.969684929156986982e+03 2.442707034988319315e+00 1.669860171318552911e-01
2.972654614086145102e+03 2.577639081233015439e+00 1.394335747516306512e-01
2.975627268700231980e+03 2.719319426014713770e+00 1.183418925606816025e-01
2.978602895968933353e+03 2.852192092280390057e+00 1.029023358078317019e-01
2.981581498864903097e+03 2.946536269791534046e+00 9.610637964070135875e-02
2.984563080363769132e+03 3.027791097494156425e+00 8.778783349394070346e-02
2.987547643444133882e+03 3.069359615071301839e+00 8.371507190175260515e-02
2.990535191087578823e+03 3.089174066033339550e+00 8.046349235570590674e-02
2.993525726278667662e+03 3.072432053152508669e+00 8.017228369961840184e-02
2.996519252004947248e+03 3.025028726361237652e+00 8.064875386816496017e-02
2.999515771256953030e+03 2.963714079362528953e+00 8.414475284017190748e-02
3.002515287028211333e+03 2.918934374042860380e+00 8.377829566788153048e-02
3.005517802315240260e+03 2.865911093313826097e+00 8.528814549253270483e-02
3.008523320117556523e+03 2.795965857191852422e+00 8.522726191593950340e-02
3.011531843437674979e+03 2.742342912513567210e+00 8.355506578939053686e-02
3.014543375281113640e+03 2.671758495257013699e+00 7.493946211356225517e-02
3.017557918656395941e+03 2.653210516855081469e+00 6.859403634876816425e-02
3.020575476575053472e+03 2.634459382814158701e+00 6.599846873812510728e-02
3.023596052051629158e+03 2.642376191745349434e+00 6.891561778846702624e-02
3.026619648103681811e+03 2.688003971419469007e+00 7.362492613833067356e-02
3.029646267751786581e+03 2.722413249539617830e+00 7.571801285511518820e-02
3.032675914019539505e+03 2.768158116544504388e+00 7.752623895052603020e-02
3.035708589933559779e+03 2.835057265440387830e+00 7.432455879234407814e-02
3.038744298523494763e+03 2.863225051496730345e+00 7.404621967247736192e-02
3.041783042822019070e+03 2.876543986985127699e+00 7.190298760842749048e-02
