# starting wavelength: 2745.424
# ending wavelength: 8319.486
# wav flux eflux
2.746959975497967207e+03 2.117759420205112431e+00 1.598481505474850684e+00
2.749706935473466274e+03 2.406410881606129593e+00 1.173372462719985299e+00
2.752456642408940297e+03 2.362935736841826007e+00 9.983646105470576071e-01
2.755209099051350222e+03 2.411688861599624811e+00 8.151616864759900771e-01
2.757964308150402758e+03 2.431264958502289630e+00 6.450150452846011850e-01
2.760722272458554016e+03 2.313823148656427353e+00 5.109575449183316742e-01
2.763482994731013605e+03 2.185680864192495854e+00 4.122823088262604352e-01
2.766246477725745535e+03 2.066427534053739024e+00 3.442979465011656859e-01
2.769012724203471862e+03 1.970881951019467060e+00 2.893728252058569983e-01
2.771781736927676320e+03 1.885770034471429657e+00 2.524153489283881280e-01
2.774553518664604780e+03 1.791827161377216981e+00 2.254014495372253790e-01
2.777328072183270706e+03 1.674696819836132944e+00 2.022722292435880365e-01
2.780105400255454697e+03 1.613817488592139249e+00 1.842561847947470910e-01
2.782885505655710858e+03 1.616181401697857734e+00 1.748807549512128301e-01
2.785668391161367708e+03 1.571012840266324151e+00 1.636130143687771210e-01
2.788454059552529998e+03 1.629150308378570111e+00 1.649006703096253523e-01
2.791242513612083258e+03 1.559620369498308845e+00 1.587389273789854005e-01
2.794033756125696527e+03 1.493975214817512498e+00 1.538832824602485994e-01
2.796827789881823264e+03 1.409654752953485080e+00 1.543218172914807562e-01
2.799624617671705892e+03 1.374941189002118369e+00 1.549430225035627329e-01
2.802424242289378526e+03 1.466776503938077347e+00 1.587835744360517887e-01
2.805226666531668798e+03 1.503931179039073252e+00 1.613247423667837355e-01
2.808031893198201487e+03 1.507070447475258979e+00 1.603703385670378068e-01
2.810839925091400346e+03 1.514869735885363777e+00 1.576188744463986047e-01
2.813650765016492642e+03 1.515586055153872014e+00 1.553375552961655803e-01
2.816464415781510070e+03 1.579638630489536899e+00 1.543190866489621560e-01
2.819280880197292845e+03 1.559241649238847227e+00 1.489002463248511321e-01
2.822100161077491066e+03 1.553211298970887499e+00 1.486478567790536220e-01
2.824922261238569263e+03 1.595443935843348982e+00 1.506801972081213137e-01
2.827747183499808671e+03 1.651667030343213050e+00 1.517623669551720900e-01
2.830574930683309503e+03 1.704194505052538444e+00 1.514146022420995441e-01
2.833405505613993682e+03 1.686753839118605658e+00 1.527450309655873917e-01
2.836238911119608929e+03 1.724499263911643654e+00 1.499062133508613504e-01
2.839075150030729219e+03 1.742583946240772397e+00 1.460665088950002799e-01
2.841914225180761150e+03 1.775405980957379448e+00 1.432956646601386830e-01
2.844756139405942577e+03 1.773994149809878351e+00 1.420460804847705760e-01
2.847600895545349431e+03 1.768872759706014319e+00 1.413351652606288367e-01
2.850448496440895724e+03 1.781140696924408795e+00 1.400136868369733500e-01
2.853298944937337637e+03 1.794625706720820224e+00 1.392777599587100568e-01
2.856152243882275798e+03 1.857098960433955837e+00 1.347365661288094374e-01
2.859008396126159369e+03 1.786824851272331927e+00 1.307822463095938137e-01
2.861867404522286051e+03 1.691798903750686200e+00 1.285064247699954088e-01
2.864729271926809361e+03 1.699663739023958620e+00 1.288418646448784843e-01
2.867594001198737260e+03 1.700773241928565049e+00 1.280398655750482617e-01
2.870461595199936710e+03 1.686778446452925406e+00 1.280775105557729332e-01
2.873332056795137760e+03 1.654552277795872994e+00 1.264143341635202977e-01
2.876205388851934003e+03 1.647084457277437686e+00 1.237768511004835037e-01
2.879081594240786671e+03 1.640065051671014462e+00 1.218840725009072146e-01
2.881960675835028724e+03 1.668678130562819106e+00 1.193968310580863917e-01
2.884842636510864395e+03 1.702786353885040294e+00 1.161664218782790664e-01
2.887727479147376471e+03 1.726134390442334743e+00 1.158827117050984096e-01
2.890615206626524468e+03 1.747781045126617361e+00 1.115480074247753722e-01
2.893505821833151913e+03 1.698343288342084367e+00 1.061401795005614823e-01
2.896399327654986337e+03 1.722791354289992194e+00 1.072746850677833985e-01
2.899295726982642009e+03 1.720077099469357274e+00 1.045675157659683857e-01
