# starting wavelength: 2589.760
# ending wavelength: 8572.532
# wav flux eflux
2.592243760390916577e+03 9.597104065358963432e-02 1.933931938719710975e-01
2.594836004151308316e+03 1.231370030100050333e-01 1.824304252661367864e-01
2.597430840155460373e+03 1.928476933672964855e-01 1.733334340018864994e-01
2.600028270995616822e+03 1.977959126873322093e-01 1.660543519734615225e-01
2.602628299266613340e+03 2.317159301275532601e-01 1.590057393191670887e-01
2.605230927565880847e+03 2.315346330213668979e-01 1.547650277590093548e-01
2.607836158493447329e+03 2.077917080039274333e-01 1.488648222075858729e-01
2.610443994651941921e+03 1.678154386008669507e-01 1.432828912115705899e-01
2.613054438646594463e+03 1.543240195556211392e-01 1.405525863396123176e-01
2.615667493085241858e+03 1.939388134434869848e-01 1.290327137488266884e-01
2.618283160578328079e+03 1.894711487830167407e-01 1.263368869500327285e-01
2.620901443738907346e+03 1.904236137904227188e-01 1.217098240607767667e-01
2.623522345182646859e+03 1.286042530617390878e-01 1.253700808931800248e-01
2.626145867527830433e+03 8.418461001842744706e-02 1.193891915368627682e-01
2.628772013395359409e+03 2.181649548719966081e-02 1.193266860692623055e-01
2.631400785408755382e+03 3.907191226068149059e-02 1.123223627835365085e-01
2.634032186194165206e+03 7.942619824425545261e-02 1.097148150764790248e-01
2.636666218380360078e+03 1.058952248480169722e-01 1.057451117420054598e-01
2.639302884598741457e+03 1.677911303955551547e-01 1.009675270625826765e-01
2.641942187483341058e+03 2.152698309759675244e-01 9.969897275471362175e-02
2.644584129670825405e+03 2.202546388161212843e-01 8.893380192879483948e-02
2.647228713800496735e+03 2.105275267755479240e-01 8.895612623680054787e-02
2.649875942514298458e+03 3.177233895878717185e-01 8.925567805402453980e-02
2.652525818456813340e+03 3.625717861577600898e-01 8.488388430737532631e-02
2.655178344275271229e+03 3.257995028740225396e-01 8.239269112518582405e-02
2.657833522619547239e+03 3.523652399278762726e-01 7.999109009164713513e-02
2.660491356142167660e+03 3.543517773080190336e-01 7.463001053675090424e-02
2.663151847498310872e+03 3.938650950461123901e-01 7.221076317025820757e-02
2.665814999345810065e+03 4.142765371883481151e-01 6.925075052369004946e-02
2.668480814345156887e+03 4.280717194350012189e-01 6.639527610350248743e-02
2.671149295159502799e+03 4.241553616350952627e-01 6.553559123681584886e-02
2.673820444454663175e+03 4.131265541522319840e-01 6.213279152670579675e-02
2.676494264899118662e+03 4.042305723675400086e-01 6.180255624725071451e-02
2.679170759164018818e+03 3.843290488342224198e-01 6.089005241523420819e-02
2.681849929923183481e+03 3.903548830969150174e-01 6.104882017581592102e-02
2.684531779853107764e+03 3.468320780760812960e-01 6.105080132276669014e-02
2.687216311632961606e+03 3.066060341379651666e-01 5.972891363254062558e-02
2.689903527944595680e+03 3.195198626491279614e-01 6.144213818242260511e-02
2.692593431472540942e+03 3.560628244948153553e-01 6.207128410022019066e-02
2.695286024904014539e+03 3.477748270194205849e-01 6.156448350705526901e-02
2.697981310928919356e+03 3.575742491013958468e-01 5.940182053887636815e-02
2.700679292239849019e+03 3.196913870219511566e-01 6.304037411885765607e-02
2.703379971532089712e+03 3.235264645459417499e-01 6.325782764356648047e-02
2.706083351503622907e+03 3.045227849623251548e-01 6.184397968333223833e-02
