# starting wavelength: 2352.103
# ending wavelength: 7127.514
# wav flux eflux
2.352720422267032063e+03 2.938111443867128525e+00 2.199846605360322727e+00
2.355073142689299857e+03 3.026636770893836648e+00 1.589623440336387805e+00
2.357428215831989746e+03 3.142661956992577110e+00 1.209625213281663836e+00
2.359785644047822643e+03 3.053281945960216071e+00 9.279262029626310637e-01
2.362145429691871414e+03 2.902007101294128422e+00 7.222758710105805502e-01
2.364507575121564059e+03 2.809466996319351928e+00 5.747883747587845260e-01
2.366872082696686448e+03 2.639449819665840469e+00 4.677409080296768829e-01
2.369238954779383675e+03 2.491301288278122694e+00 3.855630074078539860e-01
2.371608193734163706e+03 2.384940836474058745e+00 3.222086679687343191e-01
2.373979801927898734e+03 2.318282874585492870e+00 2.761521429027966046e-01
2.376353781729827460e+03 2.268705976376540256e+00 2.385226643105417266e-01
2.378730135511558274e+03 2.241690368068617545e+00 2.116445856793387759e-01
2.381108865647070616e+03 2.244612198757153898e+00 1.959037329968397745e-01
2.383489974512718163e+03 2.255659280840037972e+00 1.804755795480866010e-01
2.385873464487232013e+03 2.328142196319599400e+00 1.745224190441961032e-01
2.388259337951719772e+03 2.374711156376707155e+00 1.630302508840789089e-01
2.390647597289672376e+03 2.464015289549774224e+00 1.592874125891370340e-01
2.393038244886962730e+03 2.485091594964289552e+00 1.531437949853925451e-01
2.395431283131850705e+03 2.484419510847106771e+00 1.499077651101410613e-01
2.397826714414983144e+03 2.537183115349935569e+00 1.461561887235260648e-01
2.400224541129398858e+03 2.603940855855571002e+00 1.408800678667555262e-01
2.402624765670529086e+03 2.701404498141923405e+00 1.424120835395308593e-01
2.405027390436200676e+03 2.735810578473423238e+00 1.394767746045370294e-01
2.407432417826637447e+03 2.741766923410506429e+00 1.355154068784124866e-01
2.409839850244464742e+03 2.851805395526039177e+00 1.209303161582592212e-01
2.412249690094710331e+03 2.878117301736274669e+00 1.223779528426702790e-01
2.414661939784805782e+03 2.804682029873555305e+00 1.242953101143045858e-01
2.417076601724591455e+03 2.715123106838801981e+00 1.291664717392945472e-01
2.419493678326316513e+03 2.622727133683595557e+00 1.372073321987677397e-01
2.421913172004643911e+03 2.607281231451836767e+00 1.344094579427811131e-01
2.424335085176649045e+03 2.551950944559193690e+00 1.291608061988858969e-01
2.426759420261826563e+03 2.541251582167225465e+00 1.274704973244183692e-01
2.429186179682089460e+03 2.533236572189784930e+00 1.256945511294337570e-01
2.431615365861772261e+03 2.490271272852672801e+00 1.232284517334538976e-01
2.434046981227634660e+03 2.483595796676258516e+00 1.230011488641909456e-01
2.436481028208863336e+03 2.468131114480655253e+00 1.212439296781531312e-01
2.438917509237072863e+03 2.500743051151121943e+00 1.195977305475230817e-01
2.441356426746310717e+03 2.587090210736376683e+00 1.186466760217674138e-01
2.443797783173057724e+03 2.633648389934869716e+00 1.208379742221765557e-01
2.446241580956231701e+03 2.623024796120898117e+00 1.209732225682913498e-01
2.448687822537188822e+03 2.689985929288738031e+00 1.189800308434738468e-01
