# starting wavelength: 2423.378
# ending wavelength: 7127.726
# wav flux eflux
2.424335085176649045e+03 8.220639655000305801e-01 1.052068478548471075e+00
2.426759420261826563e+03 1.132108077772723265e+00 7.939667825974253690e-01
2.429186179682089460e+03 1.230061502693913233e+00 5.991662873689571622e-01
2.431615365861772261e+03 1.148577992250433555e+00 5.084994828053323035e-01
2.434046981227634660e+03 1.121713885582677150e+00 3.987832505127292815e-01
2.436481028208863336e+03 1.064087574082301479e+00 3.213343968620489544e-01
2.438917509237072863e+03 1.057819007071017392e+00 2.671575182003612658e-01
2.441356426746310717e+03 1.021887389658541867e+00 2.194493212757319400e-01
2.443797783173057724e+03 9.959595006649356597e-01 1.879394166786965692e-01
2.446241580956231701e+03 9.825438078231136796e-01 1.599012134319208744e-01
2.448687822537188822e+03 9.779334675336666116e-01 1.401812017242994868e-01
2.451136510359726799e+03 1.004108139252309240e+00 1.269990114686419813e-01
2.453587646870087156e+03 1.024449602150487193e+00 1.156832285111027148e-01
2.456041234516958411e+03 1.009906720189235996e+00 1.086353793344232294e-01
2.458497275751476081e+03 9.882472256599021954e-01 1.034220348829780339e-01
2.460955773027228133e+03 1.036894533472500379e+00 1.005563858937445904e-01
2.463416728800256351e+03 1.042427372059634649e+00 9.604773196792056045e-02
2.465880145529057245e+03 1.034028735459618709e+00 9.236674776794236152e-02
2.468346025674587509e+03 1.030060994316498002e+00 8.941061627247502697e-02
2.470814371700262654e+03 1.026366953820140315e+00 8.638311255389218013e-02
2.473285186071963835e+03 9.880384951533942584e-01 8.611418476737717209e-02
2.475758471258036479e+03 1.002258917344270861e+00 8.454318044340498883e-02
2.478234229729295294e+03 1.011763420536518687e+00 8.405428421593731658e-02
2.480712463959025627e+03 1.028132001070694024e+00 8.387037015472441348e-02
2.483193176422985289e+03 1.016643797796734638e+00 8.153468578730901917e-02
2.485676369599409099e+03 9.831028850275693731e-01 8.068336180453768158e-02
2.488162045969009341e+03 9.730721069752800156e-01 7.979689896791973547e-02
2.490650208014979398e+03 9.522655536850698210e-01 7.851679480328065119e-02
2.493140858222995121e+03 9.259532814155421176e-01 7.721045656128579238e-02
2.495633999081218917e+03 9.048318137424307128e-01 7.774608734749063887e-02
2.498129633080301119e+03 9.283960072147194875e-01 7.682486233551186205e-02
2.500627762713382253e+03 9.361991228810209176e-01 7.519763950601955627e-02
2.503128390476096229e+03 9.341098886794464429e-01 7.592342301557102047e-02
2.505631518866573060e+03 9.369190681462551407e-01 7.424375437130772970e-02
2.508137150385440691e+03 9.428103236421688793e-01 7.433985462135468680e-02
2.510645287535826810e+03 9.533347065041714030e-01 6.990703771375025855e-02
2.513155932823363401e+03 9.768975424609183111e-01 7.018358635895936837e-02
2.515669088756187648e+03 1.003447050457882961e+00 7.160033531029146026e-02
2.518184757844944670e+03 1.019851553516526899e+00 7.070514299693422822e-02
2.520702942602790699e+03 1.031439636608538102e+00 6.872936787105422829e-02
2.523223645545393993e+03 1.042465840499806617e+00 6.723239991655478864e-02
2.525746869190940288e+03 1.044796456942273410e+00 6.477344447856697718e-02
2.528272616060131895e+03 1.031958162629828646e+00 6.392658250381678953e-02
2.530800888676193154e+03 1.036923639337001601e+00 5.966757924993453671e-02
2.533331689564869976e+03 1.036936374478539813e+00 5.921287992882715706e-02
2.535865021254435760e+03 1.050326488248732648e+00 5.853665779144495707e-02
2.538400886275690937e+03 1.028736935383873563e+00 5.908117989166390693e-02
2.540939287161967513e+03 1.013982530714124808e+00 5.917900803754622130e-02
2.543480226449130441e+03 1.007922012384498744e+00 5.865199659422250245e-02
2.546023706675580343e+03 9.988410569456310784e-01 5.764371851202099162e-02
2.548569730382256694e+03 1.020431124179057125e+00 5.974317144730235257e-02
2.551118300112640100e+03 1.038341315873880344e+00 5.562730586207394884e-02
2.553669418412753203e+03 9.987349395234238481e-01 5.727045906536670783e-02
2.556223087831167049e+03 9.810332281683423750e-01 5.613360862840902771e-02
2.558779310918998817e+03 9.445243310871542786e-01 5.553747875416396862e-02
2.561338090229918635e+03 9.383469326677318367e-01 5.395143709872862042e-02
2.563899428320149582e+03 9.453893841456105784e-01 5.564555012980854781e-02
2.566463327748470419e+03 9.532780573161544480e-01 5.482605876202878425e-02
2.569029791076220135e+03 1.003035099263210883e+00 6.189241372533057367e-02
2.571598820867297036e+03 1.007419392818641679e+00 5.979649850496994434e-02
2.574170419688165111e+03 1.000703384411647523e+00 5.926154884765495040e-02
2.576744590107854037e+03 1.022604365480452415e+00 5.906939990446873068e-02
2.579321334697962811e+03 9.901092710701144828e-01 5.913832928339127215e-02
2.581900656032661573e+03 9.770478970005059827e-01 5.989117554102460494e-02
2.584482556688695240e+03 9.815924159169591157e-01 5.927566110124709436e-02
2.587067039245384876e+03 9.210292867065084099e-01 6.302645238817970730e-02
2.589654106284630871e+03 8.976859307422876411e-01 6.023467564338871177e-02
2.592243760390916577e+03 9.003091985162303690e-01 6.021631675398438771e-02
2.594836004151308316e+03 8.931648089290846748e-01 5.868718740256823746e-02
2.597430840155460373e+03 8.926468625676444724e-01 5.950654535972103171e-02
2.600028270995616822e+03 9.271484373218281672e-01 5.966485208756994174e-02
2.602628299266613340e+03 9.416528127318388730e-01 5.994296449386090492e-02
2.605230927565880847e+03 9.799408848935878824e-01 6.079192785207349764e-02
2.607836158493447329e+03 1.003784927163734908e+00 6.081991667677477675e-02
2.610443994651941921e+03 1.032189643487858799e+00 6.015284877659365925e-02
2.613054438646594463e+03 1.064686231504803349e+00 6.020864358356455698e-02
2.615667493085241858e+03 1.103070492329119023e+00 5.845923995219385466e-02
2.618283160578328079e+03 1.155433148016424827e+00 5.893677758217961971e-02
2.620901443738907346e+03 1.181873856458151906e+00 5.897096885879261896e-02
2.623522345182646859e+03 1.168333615016507121e+00 5.986827155593701238e-02
2.626145867527830433e+03 1.184078107504959343e+00 6.102300573349483254e-02
2.628772013395359409e+03 1.230674097962558111e+00 6.119332749613001082e-02
2.631400785408755382e+03 1.260401182337846482e+00 5.884807181387657210e-02
2.634032186194165206e+03 1.260768166384642175e+00 5.972269022618940937e-02
2.636666218380360078e+03 1.237578782046379278e+00 5.692080158452767630e-02
2.639302884598741457e+03 1.223750992721722275e+00 5.562711449765735811e-02
2.641942187483341058e+03 1.215037553268450310e+00 5.438738716207044965e-02
2.644584129670825405e+03 1.210810403993364259e+00 5.443848528223063643e-02
2.647228713800496735e+03 1.229761120042466960e+00 5.572487205752683914e-02
2.649875942514298458e+03 1.246006727255755120e+00 5.230070127350209402e-02
2.652525818456813340e+03 1.247925212719172006e+00 5.223892191855747380e-02
2.655178344275271229e+03 1.260835035929781967e+00 5.138008886689438698e-02
2.657833522619547239e+03 1.242976842076128463e+00 5.278713510834937700e-02
2.660491356142167660e+03 1.219765625008793819e+00 5.618971019536597722e-02
2.663151847498310872e+03 1.234614032264870875e+00 5.624321374851580513e-02
2.665814999345810065e+03 1.186886054559254777e+00 5.556987906528795124e-02
2.668480814345156887e+03 1.179655736886297879e+00 5.498895594079812599e-02
2.671149295159502799e+03 1.157730649410364077e+00 5.487100474230533625e-02
2.673820444454663175e+03 1.151891436371302202e+00 5.552947847147129967e-02
2.676494264899118662e+03 1.137585523091307449e+00 5.542607663450627165e-02
2.679170759164018818e+03 1.114926025884604099e+00 5.562327135538110146e-02
2.681849929923183481e+03 1.098694577451155618e+00 5.535463220554135561e-02
2.684531779853107764e+03 1.090033071260087638e+00 5.507341805663326650e-02
2.687216311632961606e+03 1.064518130193701673e+00 5.439782400736628554e-02
2.689903527944595680e+03 1.055023657593042508e+00 5.405057151997676862e-02
2.692593431472540942e+03 1.048645877668471060e+00 5.360198654725525924e-02
2.695286024904014539e+03 1.061509208029486118e+00 5.265833054538215235e-02
2.697981310928919356e+03 1.052605214138390810e+00 5.350029881910208646e-02
2.700679292239849019e+03 1.031963277572418125e+00 5.187010211870028698e-02
2.703379971532089712e+03 1.042274437898334183e+00 5.121725543488908627e-02
2.706083351503622907e+03 1.093353964794987032e+00 5.170911515287002908e-02
2.708789434855127183e+03 1.079071605375677034e+00 5.154604496434442990e-02
2.711498224289983227e+03 1.091044400693911065e+00 5.115082556600034774e-02
2.714209722514274290e+03 1.078404006886922506e+00 5.093187999967196955e-02
2.716923932236789369e+03 1.095210442497132508e+00 5.104490280130415114e-02
2.719640856169027302e+03 1.115890759336488847e+00 5.155318805129649462e-02
2.722360497025197219e+03 1.133251359487057019e+00 5.064288028775815187e-02
2.725082857522223094e+03 1.156454902854289202e+00 4.996259773806071419e-02
2.727807940379746015e+03 1.203573196015205626e+00 4.913445999711244655e-02
2.730535748320126913e+03 1.204452549968620945e+00 4.821981258636810069e-02
2.733266284068447931e+03 1.213360431919735527e+00 4.926500821091429200e-02
2.735999550352517417e+03 1.239229240984409230e+00 4.355054293388052611e-02
2.738735549902870844e+03 1.225025258911456527e+00 4.325665224948200410e-02
2.741474285452774438e+03 1.194211862064796792e+00 4.228446003332399922e-02
2.744215759738227916e+03 1.182110772374568297e+00 4.222096137356154411e-02
2.746959975497967207e+03 1.172004568045989181e+00 4.052348299148141736e-02
2.749706935473466274e+03 1.159106560128119412e+00 4.058955700049406146e-02
2.752456642408940297e+03 1.137582613326711511e+00 3.845136620191629689e-02
2.755209099051350222e+03 1.130997963477644808e+00 3.709610867091062830e-02
2.757964308150402758e+03 1.122818422144847617e+00 3.781160694108773312e-02
2.760722272458554016e+03 1.106173736189874468e+00 3.733849272099937916e-02
2.763482994731013605e+03 1.115067538184546070e+00 3.926938625201137345e-02
2.766246477725745535e+03 1.119957863581639401e+00 4.072781777750826560e-02
2.769012724203471862e+03 1.112246758701536553e+00 3.981461089895417527e-02
2.771781736927676320e+03 1.128216702361886314e+00 4.037080868979385506e-02
2.774553518664604780e+03 1.178360229436418827e+00 3.788647653979598795e-02
2.777328072183270706e+03 1.194321441869313771e+00 3.691144184675142215e-02
2.780105400255454697e+03 1.198030443822016622e+00 3.797694765630706126e-02
2.782885505655710858e+03 1.205128469004318026e+00 3.893652195622499673e-02
2.785668391161367708e+03 1.195729075313150203e+00 3.879216676736765151e-02
2.788454059552529998e+03 1.181746731662350225e+00 3.841119462738519508e-02
2.791242513612083258e+03 1.152910486851906890e+00 3.745948706146564472e-02
2.794033756125696527e+03 1.138186363164183978e+00 3.710048550062030465e-02
2.796827789881823264e+03 1.113996280225321600e+00 3.734496739569324875e-02
2.799624617671705892e+03 1.091464403686040585e+00 3.638668551704777460e-02
2.802424242289378526e+03 1.081813374972366626e+00 3.720819865614789085e-02
2.805226666531668798e+03 1.088791657686955183e+00 3.766321928350040149e-02
2.808031893198201487e+03 1.103150190055469215e+00 3.854197133355769661e-02
2.810839925091400346e+03 1.113743810774733500e+00 3.910938794162776427e-02
2.813650765016492642e+03 1.127906123872919109e+00 3.864992262875273366e-02
2.816464415781510070e+03 1.163460996501041400e+00 3.960762686936212390e-02
2.819280880197292845e+03 1.190210991261797302e+00 3.962477469708577948e-02
2.822100161077491066e+03 1.213413026807412143e+00 3.973001087453005564e-02
2.824922261238569263e+03 1.219340939373614097e+00 3.940626821880661296e-02
2.827747183499808671e+03 1.237329777723014779e+00 3.966264378242870953e-02
2.830574930683309503e+03 1.240654236164230539e+00 4.049144607116238193e-02
2.833405505613993682e+03 1.221986313391457690e+00 3.866138477186856215e-02
2.836238911119608929e+03 1.223239659490610531e+00 3.915450533685034540e-02
2.839075150030729219e+03 1.196454773705067032e+00 4.143194267789919449e-02
2.841914225180761150e+03 1.176581381802030979e+00 4.196134372326278811e-02
2.844756139405942577e+03 1.155409697826209836e+00 4.037605833985849491e-02
2.847600895545349431e+03 1.150643023449600788e+00 3.783069932999585244e-02
2.850448496440895724e+03 1.166602561399850968e+00 3.771583117908158811e-02
2.853298944937337637e+03 1.167744310480110848e+00 3.953166428884626049e-02
2.856152243882275798e+03 1.212914012273090369e+00 4.334629616549547787e-02
2.859008396126159369e+03 1.228926417921476277e+00 4.311910051242776043e-02
2.861867404522286051e+03 1.222137562280390277e+00 4.437334059159765004e-02
2.864729271926809361e+03 1.228079074749007571e+00 4.469342302009109841e-02
2.867594001198737260e+03 1.271357427228916537e+00 4.641978781077647775e-02
2.870461595199936710e+03 1.259915848065730870e+00 4.747844459845172727e-02
2.873332056795137760e+03 1.243871739440076452e+00 4.956187504744480332e-02
2.876205388851934003e+03 1.240966860436856889e+00 4.930261034157260719e-02
2.879081594240786671e+03 1.248899313617815476e+00 4.898753870784627179e-02
2.881960675835028724e+03 1.249436672541642146e+00 4.841072091734318489e-02
2.884842636510864395e+03 1.250521645844951291e+00 4.874268141825914558e-02
2.887727479147376471e+03 1.274770862857612652e+00 4.967813938422267067e-02
2.890615206626524468e+03 1.279890392077023042e+00 4.933893958356532633e-02
2.893505821833151913e+03 1.301883080032954609e+00 4.722496359768535434e-02
2.896399327654986337e+03 1.324197907178305877e+00 4.728249877588164979e-02
2.899295726982642009e+03 1.353712826105347933e+00 4.863195074797569545e-02
2.902195022709625846e+03 1.316616318581651957e+00 4.786887869466836115e-02
2.905097217732336503e+03 1.284422933385015009e+00 5.183795417226513824e-02
2.908002314950069831e+03 1.261570372275325314e+00 5.332481381543168614e-02
2.910910317265020694e+03 1.238380792046546830e+00 5.194993390674568223e-02
2.913821227582286610e+03 1.255038844588446612e+00 4.748116116678327558e-02
2.916735048809870023e+03 1.231851326437487737e+00 4.848798987705156549e-02
2.919651783858680574e+03 1.223576568324033609e+00 4.817959970732374475e-02
2.922571435642540564e+03 1.272341957001049462e+00 4.682672077802058769e-02
2.925494007078184040e+03 1.322570817432809243e+00 4.460466477236556260e-02
2.928419501085263164e+03 1.349102077485781592e+00 4.503467426183629246e-02
2.931347920586349119e+03 1.341263612979088249e+00 4.782878297599395950e-02
2.934279268506936660e+03 1.349987910486533549e+00 4.909655206169643432e-02
2.937213547775444567e+03 1.369142535856145759e+00 4.954752225544485633e-02
2.940150761323221104e+03 1.382229369888986703e+00 5.021859577282614118e-02
2.943090912084544925e+03 1.387840667962694674e+00 5.119578919366817721e-02
2.946034002996630534e+03 1.342122769851972208e+00 5.322202358122736510e-02
2.948980036999628283e+03 1.292864787611627264e+00 5.218508156189063940e-02
2.951929017036628920e+03 1.269968652074889848e+00 5.338554641893986791e-02
2.954880946053666321e+03 1.247417867022605042e+00 5.294471309163904099e-02
2.957835826999721121e+03 1.225261079749917048e+00 5.045523301584476511e-02
2.960793662826721629e+03 1.212200782045948388e+00 5.017909340674543694e-02
2.963754456489549284e+03 1.199289197794519257e+00 4.941926435882820767e-02
2.966718210946040017e+03 1.224451064592531280e+00 4.906585258036835762e-02
2.969684929156986982e+03 1.239621721879349492e+00 5.003298067565049162e-02
2.972654614086145102e+03 1.262788386805966390e+00 5.008280150896425587e-02
2.975627268700231980e+03 1.257134393949323137e+00 4.857162242526945339e-02
2.978602895968933353e+03 1.301031569731096349e+00 4.583922088658809457e-02
2.981581498864903097e+03 1.339454320501327400e+00 4.564673971710117573e-02
2.984563080363769132e+03 1.361952061916896772e+00 4.321079489290909764e-02
2.987547643444133882e+03 1.319602913343765449e+00 3.884057330280784454e-02
2.990535191087578823e+03 1.292464933692305307e+00 3.826679957286666794e-02
2.993525726278667662e+03 1.300462086027690756e+00 3.865006710556391500e-02
2.996519252004947248e+03 1.297784204923633444e+00 3.944242866587764629e-02
2.999515771256953030e+03 1.304069061113286354e+00 4.064699738857497496e-02
3.002515287028211333e+03 1.293561155328845969e+00 4.006757937893485472e-02
3.005517802315240260e+03 1.302948104841660681e+00 3.683873069567859121e-02
3.008523320117556523e+03 1.302083351333907846e+00 3.672235657769635370e-02
3.011531843437674979e+03 1.251687509615670546e+00 3.598415251090308214e-02
3.014543375281113640e+03 1.250416454702965030e+00 4.003358428515233630e-02
3.017557918656395941e+03 1.275144406469461034e+00 3.906096304844085959e-02
3.020575476575053472e+03 1.264699479027534545e+00 3.827826619321343660e-02
3.023596052051629158e+03 1.289703866827131673e+00 3.813871048127063373e-02
3.026619648103681811e+03 1.325356735244175299e+00 4.332316049826058502e-02
3.029646267751786581e+03 1.337213786769700041e+00 4.320082067556435534e-02
3.032675914019539505e+03 1.317497847799244504e+00 4.372612120325548857e-02
3.035708589933559779e+03 1.327713375947709107e+00 4.330958839664076493e-02
3.038744298523494763e+03 1.337442607022041985e+00 4.286348396001784383e-02
3.041783042822019070e+03 1.324134606126621039e+00 4.364415417848859641e-02
3.044824825864842296e+03 1.287419739093973003e+00 4.402688700577879477e-02
3.047869650690708113e+03 1.276019801407036747e+00 4.413162139063944028e-02
3.050917520341399722e+03 1.262768517373134891e+00 4.358438210381963829e-02
3.053968437861742132e+03 1.252421043127640798e+00 4.318682924543751356e-02
3.057022406299604881e+03 1.259963690681687565e+00 4.284360683340011217e-02
3.060079428705905229e+03 1.291495589446203685e+00 4.268212410979285026e-02
3.063139508134612242e+03 1.302770197339822023e+00 4.139922471757360306e-02
3.066202647642748161e+03 1.315854436619261492e+00 4.143462826342872440e-02
3.069268850290391583e+03 1.298651082875702523e+00 3.969792269103453175e-02
3.072338119140682920e+03 1.246657333698810488e+00 4.101594315404922392e-02
3.075410457259824852e+03 1.219728339478332924e+00 4.081024514081730420e-02
3.078485867717085512e+03 1.201387335653581134e+00 4.050378178008911395e-02
3.081564353584803939e+03 1.195028845445003540e+00 4.131088290626733217e-02
3.084645917938389630e+03 1.194931621100294938e+00 4.158485269784533561e-02
3.087730563856328899e+03 1.228504491875181293e+00 4.201748886576787273e-02
3.090818294420186248e+03 1.257383795682625927e+00 4.344685103656324016e-02
3.093909112714607545e+03 1.290047420198154882e+00 4.429458890284249800e-02
3.097003021827323209e+03 1.310883099716041222e+00 4.492993258388739558e-02
3.100100024849151396e+03 1.341573534729787909e+00 4.750262719861406135e-02
3.103200124874001631e+03 1.350778666177216980e+00 4.830625863152868821e-02
3.106303324998876633e+03 1.335759209764694644e+00 5.137303603981911715e-02
3.109409628323876859e+03 1.335687307553669489e+00 5.290623779945599625e-02
3.112519037952201415e+03 1.302492667958661920e+00 5.320765406539751385e-02
3.115631556990154877e+03 1.288533744722539121e+00 5.163493107413999472e-02
3.118747188547145925e+03 1.288359056295293126e+00 5.453478470686349416e-02
3.121865935735694165e+03 1.281646815897756309e+00 5.383449823284029018e-02
3.124987801671431043e+03 1.303709991796684564e+00 5.666086311211750159e-02
3.128112789473103476e+03 1.351783339369750259e+00 5.575198969530228282e-02
3.131240902262577492e+03 1.376841818141103735e+00 5.608894187214617799e-02
3.134372143164840963e+03 1.395808809230299152e+00 5.716878994226388261e-02
3.137506515308006783e+03 1.427401254033524580e+00 5.480522734777792948e-02
3.140644021823316052e+03 1.409576533458792635e+00 5.680983166630203945e-02
3.143784665845140353e+03 1.384302165341137814e+00 5.752620667801799925e-02
