# starting wavelength: 3043.868
# ending wavelength: 8952.731
# wav flux eflux
3.044824825864842296e+03 2.002544362414904633e+00 5.323310843929427438e-01
3.047869650690708113e+03 1.774687909980401601e+00 3.866038179478203940e-01
3.050917520341399722e+03 1.604066180239715589e+00 2.875513714804043275e-01
3.053968437861742132e+03 1.467104027465296223e+00 2.258281556904611076e-01
3.057022406299604881e+03 1.379774991700293718e+00 1.746636105409478668e-01
3.060079428705905229e+03 1.319794221831762426e+00 1.413178692552869709e-01
3.063139508134612242e+03 1.307241233914407275e+00 1.165787642876270069e-01
3.066202647642748161e+03 1.335591881656766899e+00 9.590055632819557974e-02
3.069268850290391583e+03 1.377170500281062582e+00 8.137211153875323344e-02
3.072338119140682920e+03 1.431668565511857949e+00 6.956938304556273267e-02
3.075410457259824852e+03 1.477108945145527708e+00 6.321337731212632594e-02
3.078485867717085512e+03 1.533558260976022547e+00 5.711464408267001580e-02
3.081564353584803939e+03 1.590474152972054300e+00 5.216210955550048406e-02
3.084645917938389630e+03 1.634779469111657280e+00 4.843608287154038683e-02
3.087730563856328899e+03 1.678588357724675850e+00 4.536371961007227421e-02
3.090818294420186248e+03 1.699604056303930966e+00 4.342375649197615511e-02
3.093909112714607545e+03 1.685191242337415574e+00 4.472099157784237278e-02
3.097003021827323209e+03 1.691085575901083660e+00 4.367589368318604975e-02
3.100100024849151396e+03 1.684010712012446787e+00 4.386455401442690416e-02
3.103200124874001631e+03 1.659632726582515927e+00 4.668204053593560249e-02
3.106303324998876633e+03 1.635702092506403638e+00 4.878070257725131836e-02
3.109409628323876859e+03 1.590350594973490406e+00 5.040936161398419657e-02
3.112519037952201415e+03 1.548409126605731601e+00 4.845571442901048381e-02
3.115631556990154877e+03 1.537976807403077961e+00 4.586510297347100307e-02
3.118747188547145925e+03 1.525008942417881208e+00 4.427796569357841244e-02
3.121865935735694165e+03 1.523760400477411681e+00 4.403728970850041835e-02
3.124987801671431043e+03 1.561095777487085945e+00 4.716713898827467472e-02
3.128112789473103476e+03 1.568959055142975512e+00 4.769343374280960585e-02
3.131240902262577492e+03 1.600455762954167138e+00 4.882285151871898488e-02
3.134372143164840963e+03 1.627304764438127105e+00 4.918607346780847628e-02
3.137506515308006783e+03 1.645701890921788202e+00 4.967346242145539298e-02
3.140644021823316052e+03 1.656636573019108383e+00 4.979199540665895513e-02
3.143784665845140353e+03 1.698891622272430846e+00 4.711094362999750790e-02
3.146928450510986750e+03 1.712938890808533676e+00 4.509783598541250438e-02
3.150075378961498700e+03 1.714027951457184784e+00 4.466727690517652977e-02
3.153225454340461056e+03 1.717679802115122500e+00 4.413634554879724420e-02
3.156378679794802792e+03 1.711196245066060051e+00 4.410062743804954444e-02
3.159535058474598372e+03 1.685549105656088287e+00 4.273079072818410096e-02
3.162694593533074112e+03 1.655179793632096219e+00 4.433673568043104002e-02
3.165857288126608182e+03 1.616436907669610568e+00 4.411349487046205969e-02
3.169023145414736064e+03 1.562001249932106317e+00 4.644980883856802967e-02
3.172192168560151458e+03 1.536226991433604638e+00 4.506645457820386558e-02
3.175364360728712654e+03 1.507748115964683722e+00 4.456392510004560797e-02
3.178539725089442527e+03 1.487720700908131244e+00 4.345487401479203315e-02
3.181718264814533086e+03 1.479808447070677158e+00 4.079765945521521969e-02
3.184899983079348658e+03 1.482227552903850221e+00 4.168560303507301557e-02
3.188084883062429071e+03 1.479520023438831489e+00 4.069449532449159052e-02
3.191272967945492383e+03 1.526796269535933837e+00 4.390825145846122962e-02
3.194464240913438971e+03 1.570055864973653348e+00 4.442849615287271930e-02
3.197658705154353811e+03 1.599644838361405919e+00 4.351129118815291741e-02
3.200856363859509202e+03 1.638920705929180155e+00 4.047501849868676005e-02
3.204057220223369768e+03 1.671742493376594085e+00 3.921738270599001153e-02
3.207261277443593826e+03 1.714791630152935342e+00 3.651874559729249153e-02
3.210468538721038840e+03 1.741752849414355042e+00 3.500912137750990943e-02
3.213679007259760965e+03 1.737912928903266430e+00 3.529732228614512746e-02
3.216892686267021418e+03 1.727992121379429147e+00 3.552857357479505263e-02
3.220109578953289656e+03 1.696181398126728634e+00 3.577571892135096576e-02
3.223329688532243836e+03 1.668598528062019914e+00 3.571009423445437037e-02
3.226553018220777176e+03 1.645810777017321147e+00 3.602284303013984779e-02
