# starting wavelength: 3111.911
# ending wavelength: 7890.032
# wav flux eflux
3.112519037952201415e+03 3.367064132255605191e+00 1.866018678339370629e+00
3.115631556990154877e+03 3.325383959529915945e+00 1.395307985581426991e+00
3.118747188547145925e+03 3.185692245511569265e+00 1.022506146501135138e+00
3.121865935735694165e+03 3.064120401463923393e+00 7.606633339744933719e-01
3.124987801671431043e+03 2.948907314876798580e+00 5.890599373795341043e-01
3.128112789473103476e+03 2.802890987072424789e+00 4.961176600007451976e-01
3.131240902262577492e+03 2.749363604745070244e+00 3.994818112224680084e-01
3.134372143164840963e+03 2.703215385690968642e+00 3.231018554644352614e-01
3.137506515308006783e+03 2.674467567879207142e+00 2.710610695620531696e-01
3.140644021823316052e+03 2.638217546379133083e+00 2.376180204609857904e-01
3.143784665845140353e+03 2.623983746228959024e+00 2.050971242475501111e-01
3.146928450510986750e+03 2.643383939604908139e+00 1.843004347603945658e-01
3.150075378961498700e+03 2.657758280619896496e+00 1.678476613614336699e-01
3.153225454340461056e+03 2.686109464233533917e+00 1.542992968493716310e-01
3.156378679794802792e+03 2.794958352725097406e+00 1.590693790571478528e-01
3.159535058474598372e+03 2.826613073865611003e+00 1.532714198127801963e-01
3.162694593533074112e+03 2.824995304779908345e+00 1.468121358106046492e-01
3.165857288126608182e+03 2.841203167332106094e+00 1.392742891521666637e-01
3.169023145414736064e+03 2.866904306599016738e+00 1.385696755798813129e-01
3.172192168560151458e+03 2.955603938282891807e+00 1.400557129190984074e-01
3.175364360728712654e+03 2.946138209506522276e+00 1.350273343284315586e-01
3.178539725089442527e+03 2.936214153062557397e+00 1.395143198831449438e-01
3.181718264814533086e+03 2.928869690209224608e+00 1.384543944787352820e-01
3.184899983079348658e+03 2.942452801459152223e+00 1.428106584419668035e-01
3.188084883062429071e+03 2.912250245093286338e+00 1.378823324204777045e-01
3.191272967945492383e+03 2.819300674893854719e+00 1.268839338117599136e-01
3.194464240913438971e+03 2.755534892868467978e+00 1.217283650001168005e-01
3.197658705154353811e+03 2.721245710376133164e+00 1.161315821018131939e-01
3.200856363859509202e+03 2.744873509524192290e+00 1.101676125573669562e-01
3.204057220223369768e+03 2.744038362130321929e+00 1.144409093417083773e-01
3.207261277443593826e+03 2.745255537995929362e+00 1.090648099822837530e-01
3.210468538721038840e+03 2.707654957770086135e+00 9.874246305548557701e-02
3.213679007259760965e+03 2.695928640195278447e+00 1.029469982813636386e-01
3.216892686267021418e+03 2.707881389558987717e+00 1.015170919004199923e-01
3.220109578953289656e+03 2.698342889427594482e+00 9.712416854951134992e-02
3.223329688532243836e+03 2.705501798171042971e+00 1.013112317201525364e-01
3.226553018220777176e+03 2.720647447481051806e+00 1.008539205784522164e-01
3.229779571238999324e+03 2.735313503169484406e+00 9.593264340008127167e-02
3.233009350810239084e+03 2.763391969284072491e+00 9.855656469561202560e-02
3.236242360161050783e+03 2.813407537548846094e+00 1.014663924247544841e-01
3.239478602521212906e+03 2.872764426277762073e+00 9.043712036811041299e-02
3.242718081123734919e+03 2.866314174541018112e+00 8.975581236973981247e-02
3.245960799204859995e+03 2.912235606541339727e+00 9.617348047033127956e-02
3.249206760004065927e+03 2.920499450609444825e+00 9.979326967637178192e-02
3.252455966764071036e+03 2.905945817418746913e+00 9.837436313503551688e-02
3.255708422730835991e+03 2.801363982215456794e+00 1.229794283235283864e-01
3.258964131153567905e+03 2.780263449783752172e+00 1.286158978451618085e-01
3.262223095284722604e+03 2.741676435759267338e+00 1.262547517797852348e-01
3.265485318380008266e+03 2.730124043876891893e+00 1.203399394029924241e-01
3.268750803698389518e+03 2.725577931149128830e+00 1.241057564684370645e-01
3.272019554502088795e+03 2.639315012281454376e+00 1.115771697918757077e-01
3.275291574056592253e+03 2.604266517650471791e+00 1.108751730778239492e-01
3.278566865630649772e+03 2.590215009010528036e+00 1.109376364834849527e-01
3.281845432496281319e+03 2.629387534475701838e+00 1.063914149195387543e-01
3.285127277928778767e+03 2.615524915573089082e+00 1.033599026991440517e-01
3.288412405206708627e+03 2.613496210702773492e+00 1.081089652589717759e-01
3.291700817611916591e+03 2.649607003616838430e+00 1.080710769150052125e-01
3.294992518429529355e+03 2.655490153799644037e+00 1.067847833814259684e-01
3.298287510947960072e+03 2.653345303493259255e+00 1.116823941738346732e-01
3.301585798458909267e+03 2.671779728704501977e+00 1.110938449503117847e-01
3.304887384257369376e+03 2.671640877677968096e+00 1.049385545024266453e-01
3.308192271641627485e+03 2.697176139781362281e+00 1.065399346475981585e-01
3.311500463913270323e+03 2.725990365872739130e+00 1.034277503341106547e-01
3.314811964377184722e+03 2.689934338301078309e+00 1.057201974797832289e-01
3.318126776341563072e+03 2.699980332013016682e+00 1.108124406060505829e-01
3.321444903117905596e+03 2.695703575397486507e+00 1.093362551341472699e-01
3.324766348021024896e+03 2.659393271776240297e+00 1.059810458930740690e-01
3.328091114369046863e+03 2.651141335027848545e+00 1.060631051398696900e-01
3.331419205483417045e+03 2.631012984347597783e+00 1.044659018277301066e-01
3.334750624688901553e+03 2.631085246725275439e+00 1.053681431302408295e-01
3.338085375313591612e+03 2.619508126541452153e+00 1.105364063055719465e-01
3.341423460688906289e+03 2.593112249655670443e+00 1.059074764412533953e-01
3.344764884149596128e+03 2.574739237691741511e+00 1.030472143425324449e-01
3.348109649033746791e+03 2.622575859107655116e+00 9.421528016022767682e-02
3.351457758682781787e+03 2.654320585856651871e+00 9.280579868955625422e-02
3.354809216441465651e+03 2.665590379429443768e+00 8.751856695984785994e-02
3.358164025657908041e+03 2.629119555374975992e+00 7.594616748963506359e-02
3.361522189683567376e+03 2.671415976704618167e+00 6.591982371052225453e-02
3.364883711873251741e+03 2.716467012245753931e+00 6.532778913089466732e-02
3.368248595585126168e+03 2.716012538662825992e+00 6.542545671366853388e-02
3.371616844180712633e+03 2.675701769415803621e+00 6.780440083146256625e-02
3.374988461024894150e+03 2.658738654235556442e+00 6.666142435859588600e-02
3.378363449485920228e+03 2.647423759298865420e+00 6.988521848010531556e-02
3.381741812935407324e+03 2.608969529966412182e+00 7.026551517196087671e-02
3.385123554748343849e+03 2.583736378572822012e+00 6.829500066205380915e-02
3.388508678303093347e+03 2.580506565191396984e+00 7.110600817327215883e-02
3.391897186981397681e+03 2.567431664056917473e+00 7.035699170756835874e-02
3.395289084168380214e+03 2.544102611564045269e+00 7.050487713501378539e-02
3.398684373252549449e+03 2.531392692158597413e+00 7.049905719834104190e-02
3.402083057625803121e+03 2.515602740770652268e+00 6.961222146640408392e-02
3.405485140683430018e+03 2.510937843920673096e+00 6.893965486989413194e-02
3.408890625824114522e+03 2.483798378143501573e+00 6.513096285863444190e-02
3.412299516449939802e+03 2.501909010909497244e+00 6.578839781336152936e-02
3.415711815966390986e+03 2.506546282808174375e+00 6.371594210418095316e-02
3.419127527782358356e+03 2.511964966370336061e+00 6.307457827788753857e-02
3.422546655310141887e+03 2.526866088598607174e+00 6.614444144549454230e-02
3.425969201965453522e+03 2.552147148649945851e+00 6.411064783573901249e-02
3.429395171167419903e+03 2.592779307603062744e+00 5.553965735286182231e-02
3.432824566338588284e+03 2.577656198245197317e+00 5.478926786855858183e-02
3.436257390904928343e+03 2.576561226577372743e+00 5.455991007900756057e-02
3.439693648295834464e+03 2.557034994385891657e+00 5.120232614170385638e-02
3.443133341944131189e+03 2.541346509887111083e+00 5.389526077574397639e-02
3.446576475286076402e+03 2.504871779354804762e+00 5.329784740417628508e-02
3.450023051761363604e+03 2.459807345590309779e+00 5.631211015034316703e-02
3.453473074813126004e+03 2.449560949426774492e+00 5.710125985297687806e-02
3.456926547887940615e+03 2.414199387874757630e+00 5.674988065845997659e-02
3.460383474435829612e+03 2.378606175543666712e+00 4.922572351154975295e-02
3.463843857910266706e+03 2.363422540331974631e+00 5.231613035018652103e-02
3.467307701768178049e+03 2.318103472414955846e+00 4.095824150779919792e-02
3.470775009469947236e+03 2.347202394811064963e+00 5.044076104786494874e-02
3.474245784479418489e+03 2.355306373993918623e+00 4.971324854680490846e-02
3.477720030263898934e+03 2.388516664219365815e+00 4.913183043979098275e-02
3.481197750294164052e+03 2.440807467429141120e+00 5.915459497562438468e-02
3.484678948044459503e+03 2.458227359308602811e+00 5.815079234278393988e-02
3.488163626992504760e+03 2.478396301280577418e+00 5.808498392260900284e-02
3.491651790619498570e+03 2.502270158796835453e+00 5.634912589110273318e-02
3.495143442410119405e+03 2.519031053597233782e+00 5.447892093180480011e-02
3.498638585852530468e+03 2.507455087288231077e+00 5.153215030476480940e-02
3.502137224438384237e+03 2.528380358516238324e+00 6.382596917574473450e-02
3.505639361662823831e+03 2.493198613650418061e+00 6.019798562683317811e-02
3.509145001024487556e+03 2.419681321667999541e+00 7.644395219513382134e-02
3.512654146025513455e+03 2.387789029741819391e+00 7.985823375890495346e-02
3.516166800171540217e+03 2.358080805279308301e+00 7.851635349249987128e-02
3.519682966971712631e+03 2.379602164144603460e+00 8.110897146157543258e-02
3.523202649938685681e+03 2.367069765099324208e+00 8.683142789466342937e-02
3.526725852588625457e+03 2.374368748781235272e+00 8.603749880262881455e-02
3.530252578441215064e+03 2.357773014003423206e+00 8.590493159179021787e-02
