# starting wavelength: 2631.368
# ending wavelength: 8574.890
# wav flux eflux
2.631400785408755382e+03 4.005717285446800391e-01 2.150921623803946914e-01
2.634032186194165206e+03 4.083523949582327228e-01 2.124641044766465703e-01
2.636666218380360078e+03 4.775951215330759836e-01 1.929978884650034032e-01
2.639302884598741457e+03 4.963948942505558848e-01 1.824079012361116692e-01
2.641942187483341058e+03 4.744767879743705397e-01 1.711618086055265442e-01
2.644584129670825405e+03 5.016960974414035324e-01 1.690667708279562087e-01
2.647228713800496735e+03 5.265125450238572480e-01 1.647370550546265189e-01
2.649875942514298458e+03 5.791365346815725568e-01 1.582576049576975008e-01
2.652525818456813340e+03 6.092975060281987654e-01 1.483819712921716216e-01
2.655178344275271229e+03 6.482747897798930570e-01 1.623458230983066686e-01
2.657833522619547239e+03 6.886920593856333817e-01 1.616580761198752603e-01
2.660491356142167660e+03 7.046082662120194406e-01 1.542863938819618863e-01
2.663151847498310872e+03 7.042828603775581620e-01 1.518009993214741171e-01
2.665814999345810065e+03 7.976891923843819621e-01 1.504827186926548377e-01
2.668480814345156887e+03 6.543624652679528308e-01 1.583426442336633155e-01
2.671149295159502799e+03 6.183183562867852201e-01 1.543089782393844700e-01
2.673820444454663175e+03 5.501635721054103367e-01 1.503302016793456597e-01
2.676494264899118662e+03 5.214707954981082638e-01 1.450888938026884400e-01
2.679170759164018818e+03 4.777507389393711446e-01 1.556409280665758399e-01
2.681849929923183481e+03 5.092681695106319184e-01 1.552329045582399591e-01
2.684531779853107764e+03 5.635565939101967459e-01 1.497032921291784613e-01
2.687216311632961606e+03 6.048507555148029402e-01 1.431108792881369274e-01
2.689903527944595680e+03 5.836549723208921403e-01 1.416690973525585595e-01
2.692593431472540942e+03 6.000927442079667662e-01 1.372839953422579085e-01
2.695286024904014539e+03 6.323225112733499298e-01 1.355133201537922216e-01
2.697981310928919356e+03 6.764867325435223178e-01 1.295819102834595282e-01
2.700679292239849019e+03 6.829365159903333371e-01 1.268764432185685298e-01
2.703379971532089712e+03 7.700802954184098326e-01 1.373357567997723350e-01
2.706083351503622907e+03 7.996403495691541963e-01 1.344642818539737716e-01
2.708789434855127183e+03 8.495540654645652445e-01 1.314111556363875832e-01
2.711498224289983227e+03 8.768489469946042503e-01 1.267495859299751226e-01
2.714209722514274290e+03 8.956367775561454581e-01 1.238771877764189566e-01
2.716923932236789369e+03 8.325959506402692556e-01 1.212680571807056573e-01
2.719640856169027302e+03 8.186351156633406845e-01 1.192014308181807980e-01
2.722360497025197219e+03 7.137500537689928093e-01 1.259637799733734354e-01
2.725082857522223094e+03 6.713284959927470208e-01 1.250895785627669232e-01
2.727807940379746015e+03 7.034773212169210810e-01 1.207687552077682247e-01
2.730535748320126913e+03 6.517240594458748593e-01 1.171866879537667439e-01
2.733266284068447931e+03 6.387535087300861836e-01 1.137390351250902876e-01
2.735999550352517417e+03 6.509397328220272172e-01 1.087044690059718460e-01
2.738735549902870844e+03 6.435052906672389383e-01 1.072173552389847767e-01
2.741474285452774438e+03 6.649876301682754454e-01 1.016171239031883333e-01
2.744215759738227916e+03 6.957305854117289412e-01 9.729707491389699703e-02
2.746959975497967207e+03 7.255720894114648933e-01 9.652578092998953530e-02
2.749706935473466274e+03 8.310852798322165835e-01 9.173415973078309638e-02
2.752456642408940297e+03 8.674823451685487186e-01 9.091026105290338222e-02
2.755209099051350222e+03 9.264587842985624322e-01 8.530286189270847030e-02
2.757964308150402758e+03 1.001170381420586786e+00 8.191256676788374880e-02
2.760722272458554016e+03 1.036520449391041376e+00 8.038633922229425355e-02
2.763482994731013605e+03 1.134164092604804441e+00 8.113240117946815544e-02
2.766246477725745535e+03 1.149491400578491973e+00 8.137382723227501446e-02
2.769012724203471862e+03 1.165508316945845113e+00 7.873983318795897690e-02
2.771781736927676320e+03 1.146749579849832390e+00 7.917698053074165299e-02
2.774553518664604780e+03 1.117637423574545652e+00 7.802337865887117030e-02
2.777328072183270706e+03 1.096400849065436001e+00 7.635714951860482491e-02
2.780105400255454697e+03 1.063148925374664211e+00 7.529561502868781231e-02
2.782885505655710858e+03 1.009179910284409232e+00 7.270708850800391976e-02
2.785668391161367708e+03 9.618433651682709584e-01 7.272129067713437034e-02
2.788454059552529998e+03 8.813447867254303736e-01 7.041773149957891720e-02
2.791242513612083258e+03 8.442728067348596044e-01 6.931914997152546776e-02
2.794033756125696527e+03 7.870681762631994705e-01 6.902128480428476598e-02
2.796827789881823264e+03 7.568490510969823060e-01 6.437099505595123006e-02
2.799624617671705892e+03 7.340371731936874422e-01 6.270850164824617878e-02
2.802424242289378526e+03 6.973514331892212148e-01 6.178625566587502699e-02
2.805226666531668798e+03 6.746961433160456600e-01 6.049535077282171963e-02
2.808031893198201487e+03 6.488411116037750004e-01 6.009757502302182780e-02
2.810839925091400346e+03 6.225032346368029046e-01 5.827639059643616865e-02
2.813650765016492642e+03 6.415049902768584777e-01 5.803452526236731190e-02
2.816464415781510070e+03 6.693066102438923748e-01 5.624817481569551608e-02
2.819280880197292845e+03 6.729184065462193720e-01 5.593231207902435442e-02
2.822100161077491066e+03 6.827622407273411520e-01 5.663896789457661257e-02
2.824922261238569263e+03 6.967081462270398040e-01 5.566938056004757523e-02
2.827747183499808671e+03 6.898281452023858895e-01 5.644911358797201351e-02
2.830574930683309503e+03 6.805314192534192008e-01 6.227528632311870455e-02
2.833405505613993682e+03 6.604588207412428469e-01 6.186356327464177102e-02
2.836238911119608929e+03 6.552744867951312280e-01 6.321759774869688264e-02
2.839075150030729219e+03 6.396031652601067430e-01 6.415556037718506133e-02
2.841914225180761150e+03 6.088040609206187836e-01 6.273682000599072051e-02
2.844756139405942577e+03 5.943395351223482725e-01 6.250064751261061313e-02
2.847600895545349431e+03 5.859151948641485586e-01 6.338930203205712932e-02
2.850448496440895724e+03 6.105522947928530009e-01 6.001166372352993716e-02
2.853298944937337637e+03 5.801598538893744106e-01 5.863143528453084591e-02
2.856152243882275798e+03 5.880387860161226943e-01 6.027491916714882575e-02
2.859008396126159369e+03 5.536380026394306375e-01 5.675906266806733658e-02
2.861867404522286051e+03 5.616461718816726512e-01 5.706000202470105920e-02
2.864729271926809361e+03 5.739826776506400385e-01 5.791969829930920799e-02
2.867594001198737260e+03 5.770254221103888748e-01 5.761232863419031569e-02
2.870461595199936710e+03 5.658611946885765409e-01 5.667602375806056469e-02
2.873332056795137760e+03 5.785805236556680331e-01 5.755479625399186061e-02
2.876205388851934003e+03 6.232979967416473199e-01 5.434495024227070648e-02
2.879081594240786671e+03 6.360126485067741919e-01 5.541154583401903394e-02
2.881960675835028724e+03 6.354654905251129193e-01 5.520225965710610222e-02
2.884842636510864395e+03 6.200120693937822836e-01 5.628523660362887149e-02
2.887727479147376471e+03 6.137615243665387466e-01 5.733928033603064717e-02
2.890615206626524468e+03 6.072749187834138862e-01 5.643199097032567529e-02
2.893505821833151913e+03 5.986073603749851868e-01 5.668053828185756760e-02
2.896399327654986337e+03 5.835204909300205633e-01 5.764383421303981292e-02
2.899295726982642009e+03 5.926987851020958376e-01 5.720733895240583122e-02
2.902195022709625846e+03 6.066166272101549684e-01 5.610064607768196904e-02
2.905097217732336503e+03 6.181942371214618204e-01 5.488180102503623786e-02
2.908002314950069831e+03 6.218905790245972121e-01 5.622288906777683781e-02
2.910910317265020694e+03 6.050717410810105834e-01 5.647240533982803012e-02
2.913821227582286610e+03 5.936232296058144842e-01 5.539657246737580282e-02
2.916735048809870023e+03 6.063025319688484238e-01 4.583863741920531087e-02
2.919651783858680574e+03 6.138538136712951010e-01 4.685619761492305912e-02
2.922571435642540564e+03 5.929248264207399588e-01 4.575229415538088762e-02
2.925494007078184040e+03 6.183140054773920147e-01 4.880925980019907434e-02
2.928419501085263164e+03 6.277942201049757642e-01 4.772852133488679482e-02
2.931347920586349119e+03 6.331382685302884283e-01 4.715210431573464006e-02
2.934279268506936660e+03 6.313660751559477813e-01 4.831032285145944044e-02
2.937213547775444567e+03 6.574805931790878022e-01 4.803152775370035654e-02
2.940150761323221104e+03 6.721437814451646231e-01 4.733765502255691399e-02
2.943090912084544925e+03 6.848631521201573591e-01 4.790038728511529509e-02
2.946034002996630534e+03 6.791938932712329180e-01 4.719491396460449156e-02
2.948980036999628283e+03 6.888593458819645132e-01 4.663899850037366013e-02
2.951929017036628920e+03 7.140123740675131669e-01 4.525522244390677712e-02
2.954880946053666321e+03 7.244604530026765854e-01 4.426018253278860698e-02
2.957835826999721121e+03 7.526771310310408358e-01 4.271836665954179685e-02
2.960793662826721629e+03 7.491510660343709826e-01 4.158382289879913180e-02
2.963754456489549284e+03 7.508044463754648401e-01 4.134953202365204000e-02
2.966718210946040017e+03 7.596495419978374075e-01 4.109542174004267995e-02
2.969684929156986982e+03 7.522020235614396144e-01 4.176968996107618265e-02
2.972654614086145102e+03 7.461055791116695257e-01 4.259221396245419650e-02
2.975627268700231980e+03 7.501339920255757354e-01 4.275809093916109471e-02
2.978602895968933353e+03 7.537519605071637541e-01 4.294799638361467692e-02
2.981581498864903097e+03 7.445339339677119472e-01 4.232952899933090790e-02
2.984563080363769132e+03 7.278541815358139377e-01 4.529928365032358933e-02
2.987547643444133882e+03 7.249643542831576415e-01 4.318157173630991774e-02
2.990535191087578823e+03 7.386474408904620814e-01 4.464227928994616429e-02
2.993525726278667662e+03 7.243829708552325108e-01 4.504320350632128045e-02
2.996519252004947248e+03 7.244581116109436447e-01 4.517455876613076654e-02
2.999515771256953030e+03 7.174263172136603472e-01 4.470371209222970266e-02
3.002515287028211333e+03 7.448877246134674168e-01 4.091597835467619682e-02
3.005517802315240260e+03 7.341133372192000239e-01 3.978361854906252437e-02
3.008523320117556523e+03 7.323050159670432269e-01 3.853449833243069444e-02
3.011531843437674979e+03 7.051005711583206992e-01 3.892066394196319612e-02
3.014543375281113640e+03 6.894396604940610240e-01 3.896094857313221749e-02
3.017557918656395941e+03 6.798158812849488530e-01 3.796507889831157029e-02
3.020575476575053472e+03 6.609006653958027222e-01 3.802780701983785039e-02
3.023596052051629158e+03 6.417620543132255273e-01 3.786222105610800859e-02
3.026619648103681811e+03 6.296941339584076758e-01 3.892970506801698982e-02
3.029646267751786581e+03 6.246947163368002931e-01 3.822142594753441536e-02
3.032675914019539505e+03 6.337712530657900745e-01 3.828754685183557993e-02
3.035708589933559779e+03 6.467270369221677084e-01 3.876467308008690882e-02
