# starting wavelength: 2530.675
# ending wavelength: 7668.637
# wav flux eflux
2.530800888676193154e+03 5.193134213631887874e+00 3.007214372621225262e+00
2.533331689564869976e+03 4.288621836979904067e+00 2.261397881486169048e+00
2.535865021254435760e+03 3.935153021690209307e+00 1.667738839359310887e+00
2.538400886275690937e+03 3.779273730342340265e+00 1.249027004255474971e+00
2.540939287161967513e+03 3.806850602848593113e+00 9.711133270447201982e-01
2.543480226449130441e+03 3.858802604125961100e+00 7.630025943622904538e-01
2.546023706675580343e+03 3.887841842960835681e+00 6.051107693648644092e-01
2.548569730382256694e+03 3.975797729165877925e+00 5.303424466817171501e-01
2.551118300112640100e+03 3.961263080337638520e+00 4.404434131296453003e-01
2.553669418412753203e+03 3.912019359489017134e+00 3.842757333378670759e-01
2.556223087831167049e+03 3.875736739595669444e+00 3.345672503717629365e-01
2.558779310918998817e+03 3.898226400956430471e+00 2.987315684605011956e-01
2.561338090229918635e+03 3.900856918439226551e+00 2.677419924837549092e-01
2.563899428320149582e+03 3.942375724362099820e+00 2.447007323327408113e-01
2.566463327748470419e+03 3.940014906907026493e+00 2.275126655640195283e-01
2.569029791076220135e+03 3.944683694000267860e+00 2.128435503868462420e-01
2.571598820867297036e+03 3.976194455821803864e+00 2.037628425193202530e-01
2.574170419688165111e+03 3.999333282226710917e+00 1.951761385245592839e-01
2.576744590107854037e+03 4.001988004810910660e+00 1.882359953239805817e-01
2.579321334697962811e+03 3.949099196154074676e+00 1.808471741906004238e-01
2.581900656032661573e+03 3.909430300266910852e+00 1.767701266286280382e-01
2.584482556688695240e+03 3.851574043912807888e+00 1.661654003654691736e-01
2.587067039245384876e+03 3.721942749712534138e+00 1.735501836113367280e-01
2.589654106284630871e+03 3.772008313796997747e+00 1.656105506052925613e-01
2.592243760390916577e+03 3.795400098373324038e+00 1.621278848114432181e-01
2.594836004151308316e+03 3.824790821860172052e+00 1.576003817107305138e-01
2.597430840155460373e+03 3.845114092169053865e+00 1.529244746742491612e-01
2.600028270995616822e+03 3.830595265347613854e+00 1.539406103124205949e-01
2.602628299266613340e+03 3.858448875022344460e+00 1.501666481494390859e-01
2.605230927565880847e+03 3.870818285407590764e+00 1.451763030295910029e-01
2.607836158493447329e+03 3.811578713130415963e+00 1.396850220358139549e-01
2.610443994651941921e+03 3.788832641545333946e+00 1.393870933210395735e-01
2.613054438646594463e+03 3.812988256447159774e+00 1.335628046462496998e-01
2.615667493085241858e+03 3.857490813608688285e+00 1.310657341897134287e-01
2.618283160578328079e+03 4.003606490310704480e+00 1.388499743977310574e-01
2.620901443738907346e+03 3.985812326712018461e+00 1.378163843223347285e-01
2.623522345182646859e+03 4.010043174969209367e+00 1.326402111645107462e-01
2.626145867527830433e+03 4.048211464276338489e+00 1.313071326000850858e-01
2.628772013395359409e+03 4.082223680560780998e+00 1.295450297307218779e-01
2.631400785408755382e+03 4.070999811540342073e+00 1.297073158906177082e-01
2.634032186194165206e+03 4.102958410855787719e+00 1.249800687462031962e-01
2.636666218380360078e+03 4.137355987885367625e+00 1.246405522194760224e-01
2.639302884598741457e+03 4.124729204416851758e+00 1.236570398321569925e-01
2.641942187483341058e+03 4.086533452022247381e+00 1.220452414180222267e-01
2.644584129670825405e+03 4.008222917013199549e+00 1.141461512647116427e-01
2.647228713800496735e+03 3.974234677416781381e+00 1.120597416513968575e-01
2.649875942514298458e+03 3.950000166705940341e+00 1.073612000761768326e-01
2.652525818456813340e+03 3.892189028794137418e+00 1.050706808323216557e-01
2.655178344275271229e+03 3.848375951784776650e+00 1.028803873022492987e-01
2.657833522619547239e+03 3.828513223929365328e+00 1.036563636815504563e-01
2.660491356142167660e+03 3.782347009318142383e+00 1.026247531073332248e-01
2.663151847498310872e+03 3.746029279955255475e+00 1.030188261303583430e-01
2.665814999345810065e+03 3.715321224723099558e+00 9.944367601333706230e-02
2.668480814345156887e+03 3.672077805623507718e+00 1.002471705351595938e-01
2.671149295159502799e+03 3.675813097042963662e+00 9.873288559017821819e-02
2.673820444454663175e+03 3.696199498453004217e+00 9.731200867342371108e-02
2.676494264899118662e+03 3.661919105147185771e+00 1.000147072921463154e-01
2.679170759164018818e+03 3.734401486635133161e+00 1.072516363200295836e-01
2.681849929923183481e+03 3.787879000995858725e+00 9.991305428896543606e-02
2.684531779853107764e+03 3.835532249097590274e+00 9.987438658972584704e-02
2.687216311632961606e+03 3.902857344014574625e+00 1.035366209348623084e-01
2.689903527944595680e+03 3.940695913918716986e+00 1.013187207862973338e-01
2.692593431472540942e+03 3.911246892677301634e+00 1.009785553966122962e-01
2.695286024904014539e+03 3.961817937962937908e+00 1.028680648942320724e-01
2.697981310928919356e+03 3.939736128216213995e+00 1.017575454858565542e-01
2.700679292239849019e+03 3.901515027390729529e+00 1.006588018783197980e-01
2.703379971532089712e+03 3.870497089835768012e+00 1.034883244515535650e-01
2.706083351503622907e+03 3.841964132320114356e+00 1.017748015686041341e-01
2.708789434855127183e+03 3.853972503898322799e+00 1.006713795552083707e-01
2.711498224289983227e+03 3.830580261823514743e+00 9.531876028006541768e-02
2.714209722514274290e+03 3.837189865101453989e+00 9.543623032000127238e-02
2.716923932236789369e+03 3.848934419701864673e+00 9.384573916040657438e-02
2.719640856169027302e+03 3.812337508282548360e+00 9.185359263778665462e-02
2.722360497025197219e+03 3.809049918584427985e+00 8.959136905386660965e-02
2.725082857522223094e+03 3.776804469124246832e+00 8.876755276808784290e-02
2.727807940379746015e+03 3.749863259610818123e+00 8.779056199926377202e-02
2.730535748320126913e+03 3.711599207704363579e+00 8.588742213660120750e-02
2.733266284068447931e+03 3.681369971312155709e+00 8.626452074940146875e-02
2.735999550352517417e+03 3.692169424364700969e+00 8.634497981682898171e-02
2.738735549902870844e+03 3.727266202616732471e+00 8.625734068124275844e-02
2.741474285452774438e+03 3.731015103216374307e+00 8.574320423962880633e-02
2.744215759738227916e+03 3.752010661493476729e+00 8.356298328484346172e-02
2.746959975497967207e+03 3.754447540417321871e+00 8.191009965109996571e-02
2.749706935473466274e+03 3.752044766342602866e+00 8.271531314141093716e-02
2.752456642408940297e+03 3.678040987584056509e+00 8.625275672775907509e-02
2.755209099051350222e+03 3.698699382912863598e+00 8.907773184661080257e-02
2.757964308150402758e+03 3.758081774498659655e+00 9.925896689672307482e-02
2.760722272458554016e+03 3.675761309095858298e+00 1.024500399663866856e-01
2.763482994731013605e+03 3.696581718236928271e+00 1.037621029236508591e-01
2.766246477725745535e+03 3.700634035040406999e+00 9.847711100419635766e-02
2.769012724203471862e+03 3.660183762321167933e+00 9.605346592929481231e-02
